Frame, eSSIM, SSIM
0,0.848798,0.955551
1,0.84835,0.955651
2,0.849117,0.955666
3,0.849051,0.955655
4,0.849153,0.955673
5,0.849925,0.955959
6,0.849845,0.956087
7,0.850329,0.956208
8,0.850082,0.956167
9,0.850359,0.956308
10,0.850631,0.956791
11,0.850702,0.957179
12,0.848818,0.956576
13,0.84884,0.956701
14,0.850346,0.957615
15,0.851716,0.958973
16,0.849761,0.959089
17,0.849909,0.958802
18,0.847929,0.958265
19,0.85002,0.958913
20,0.846243,0.958339
21,0.85327,0.959204
22,0.852211,0.959078
23,0.855003,0.959769
24,0.855542,0.960254
25,0.85783,0.960525
26,0.858358,0.960767
27,0.861414,0.962433
28,0.861651,0.962687
29,0.861333,0.962667
30,0.861,0.962527
31,0.860228,0.962324
32,0.85942,0.962125
33,0.858584,0.961641
34,0.857566,0.96144
35,0.856742,0.961323
36,0.85639,0.961534
37,0.852594,0.960233
38,0.852947,0.960312
39,0.852888,0.960303
40,0.853409,0.960428
41,0.853551,0.960496
42,0.85445,0.960665
43,0.854081,0.960695
44,0.853933,0.960715
45,0.853963,0.96075
46,0.854214,0.960718
47,0.854142,0.960796
48,0.854747,0.960827
49,0.855567,0.961331
50,0.855555,0.961402
51,0.855771,0.961494
52,0.854294,0.961162
53,0.854004,0.961099
54,0.853499,0.960923
55,0.852369,0.960639
56,0.852805,0.960627
57,0.853385,0.960531
58,0.852496,0.960531
59,0.853929,0.960656
60,0.853167,0.960363
61,0.852524,0.960328
62,0.852332,0.960274
63,0.852436,0.960255
64,0.851944,0.960105
65,0.852132,0.960111
66,0.851589,0.960064
67,0.851451,0.960041
68,0.851763,0.960129
69,0.851792,0.960147
70,0.851785,0.960133
71,0.851948,0.960097
72,0.852136,0.960142
73,0.851982,0.960104
74,0.852151,0.960139
75,0.852209,0.960162
76,0.852239,0.960271
77,0.852284,0.960366
78,0.852327,0.960416
79,0.853207,0.960752
80,0.85335,0.960805
81,0.852837,0.959954
82,0.85087,0.959403
83,0.849049,0.958383
84,0.846079,0.957525
85,0.843525,0.956991
86,0.840995,0.956623
87,0.837324,0.956267
88,0.834582,0.956088
89,0.831798,0.955896
90,0.83014,0.955819
91,0.830241,0.95581
92,0.830124,0.955779
93,0.829639,0.955727
94,0.829637,0.95574
95,0.829751,0.955782
96,0.830229,0.955776
97,0.830155,0.955773
98,0.830539,0.955817
99,0.8304,0.955872
100,0.830678,0.955952
101,0.831295,0.956147
102,0.831309,0.956145
103,0.831327,0.956164
104,0.831321,0.956165
105,0.8313,0.956172
106,0.831299,0.956172
107,0.83132,0.956178
108,0.831353,0.956176
109,0.831333,0.956183
110,0.83146,0.956221
111,0.831432,0.956203
112,0.831359,0.956178
113,0.831324,0.956171
114,0.831297,0.956171
115,0.831224,0.956136
116,0.83124,0.956138
117,0.831326,0.956164
118,0.831417,0.956187
119,0.831196,0.956171
120,0.852417,0.960412
121,0.852203,0.96042
122,0.851647,0.960384
123,0.851902,0.960428
124,0.852053,0.960478
125,0.851521,0.960455
126,0.851587,0.960434
127,0.851657,0.960442
128,0.851447,0.960346
129,0.850559,0.960199
130,0.850143,0.960191
131,0.850449,0.960073
132,0.851346,0.960151
133,0.850885,0.960102
134,0.850521,0.960128
135,0.850845,0.96027
136,0.850647,0.960218
137,0.849689,0.960148
138,0.8497,0.96011
139,0.851228,0.96028
140,0.851258,0.960285
141,0.844396,0.958396
142,0.843802,0.958383
143,0.843234,0.958383
144,0.843146,0.958381
145,0.843086,0.958375
146,0.842948,0.958362
147,0.843176,0.958398
148,0.843475,0.958446
149,0.84354,0.958419
150,0.843489,0.958395
151,0.843256,0.958354
152,0.843267,0.958391
153,0.84313,0.958374
154,0.843657,0.958539
155,0.843536,0.958212
156,0.834228,0.954447
157,0.83448,0.953893
158,0.834273,0.953726
159,0.838068,0.953868
160,0.837133,0.953809
161,0.83574,0.953977
162,0.83588,0.953727
163,0.835981,0.953658
164,0.83781,0.953778
165,0.838137,0.953929
166,0.83796,0.953991
167,0.836421,0.953953
168,0.836424,0.953985
169,0.836153,0.953937
170,0.836016,0.953925
171,0.835749,0.953875
172,0.835645,0.95386
173,0.841909,0.9557
174,0.841541,0.955669
175,0.84122,0.955622
176,0.841212,0.955622
177,0.841008,0.955611
178,0.840602,0.955568
179,0.840529,0.955565
180,0.839954,0.955239
181,0.83959,0.955186
182,0.834217,0.954574
183,0.833916,0.954525
184,0.833682,0.95448
185,0.833725,0.954486
186,0.831718,0.953875
187,0.830315,0.952793
188,0.827149,0.951664
189,0.825148,0.950939
190,0.826944,0.951922
191,0.831596,0.953015
192,0.8304,0.952292
193,0.82821,0.951688
194,0.828054,0.951166
195,0.826861,0.950562
196,0.827599,0.950732
197,0.828131,0.950674
198,0.828211,0.950502
199,0.828161,0.950238
200,0.828321,0.950148
201,0.834406,0.952087
202,0.83844,0.953937
203,0.840368,0.954565
204,0.83972,0.954235
205,0.838567,0.954076
206,0.837634,0.953827
207,0.839074,0.954031
208,0.837789,0.953919
209,0.838862,0.953901
210,0.83755,0.953678
211,0.838642,0.953895
212,0.8376,0.953465
213,0.839073,0.95362
214,0.837123,0.953315
215,0.838462,0.953631
216,0.837963,0.953247
217,0.837198,0.953321
218,0.837004,0.953247
219,0.837216,0.953417
220,0.837997,0.953377
221,0.838448,0.953457
222,0.83862,0.95341
223,0.838804,0.953492
224,0.838396,0.953493
225,0.837979,0.953489
226,0.838043,0.953497
227,0.838476,0.953581
228,0.838748,0.953621
229,0.838541,0.953515
230,0.84385,0.955221
231,0.842723,0.954934
232,0.843136,0.955135
233,0.842023,0.954581
234,0.841841,0.954435
235,0.841347,0.954465
236,0.841189,0.954429
237,0.839913,0.953881
238,0.839386,0.953624
239,0.83696,0.952783
240,0.837869,0.953052
241,0.83742,0.952671
242,0.834747,0.95242
243,0.835159,0.952928
244,0.835266,0.954254
245,0.836528,0.956628
246,0.844048,0.958252
247,0.844067,0.958277
248,0.844232,0.958399
249,0.844189,0.958353
250,0.844202,0.95837
251,0.844124,0.958343
252,0.844098,0.958375
253,0.844046,0.958389
254,0.844122,0.958408
255,0.844179,0.958404
256,0.844227,0.958397
257,0.84431,0.958427
258,0.84432,0.958419
259,0.841895,0.953931
