Frame, eSSIM, SSIM
0,0.806125,0.917499
1,0.805174,0.917519
2,0.805953,0.917502
3,0.805199,0.917367
4,0.805781,0.91746
5,0.806458,0.91789
6,0.806663,0.918083
7,0.806939,0.918252
8,0.806612,0.918144
9,0.806218,0.918006
10,0.806857,0.918909
11,0.806778,0.919103
12,0.801355,0.918137
13,0.795557,0.917482
14,0.800537,0.918752
15,0.797525,0.919285
16,0.791593,0.918867
17,0.795861,0.919229
18,0.789432,0.918231
19,0.80047,0.919964
20,0.791393,0.919272
21,0.802206,0.921423
22,0.797644,0.921167
23,0.815609,0.924713
24,0.819962,0.928298
25,0.823367,0.929747
26,0.822226,0.929626
27,0.828186,0.931852
28,0.83044,0.93263
29,0.831276,0.932986
30,0.832671,0.934258
31,0.834231,0.935398
32,0.835213,0.936403
33,0.833517,0.935944
34,0.833182,0.936362
35,0.834225,0.937081
36,0.835265,0.937917
37,0.830295,0.937089
38,0.832181,0.93787
39,0.8328,0.938188
40,0.834776,0.938759
41,0.835168,0.939354
42,0.837136,0.940406
43,0.837366,0.941279
44,0.838027,0.94211
45,0.839917,0.943185
46,0.839061,0.943243
47,0.840017,0.943616
48,0.840783,0.943643
49,0.843521,0.94438
50,0.843665,0.944867
51,0.844026,0.945363
52,0.843793,0.945495
53,0.844098,0.945665
54,0.842381,0.944929
55,0.839749,0.944261
56,0.840114,0.943956
57,0.839946,0.94369
58,0.838474,0.943399
59,0.840126,0.943439
60,0.838211,0.939484
61,0.837337,0.939232
62,0.836414,0.938962
63,0.836531,0.938834
64,0.835319,0.938554
65,0.835229,0.938453
66,0.834775,0.938393
67,0.834676,0.938225
68,0.835609,0.938503
69,0.835622,0.938577
70,0.83559,0.938565
71,0.835517,0.938498
72,0.835593,0.938454
73,0.834983,0.938347
74,0.835173,0.938381
75,0.834947,0.938246
76,0.835315,0.938213
77,0.835615,0.938473
78,0.835554,0.938623
79,0.836235,0.939102
80,0.836348,0.939388
81,0.834988,0.938822
82,0.834434,0.938803
83,0.831327,0.937763
84,0.828371,0.936776
85,0.826909,0.937183
86,0.82602,0.937524
87,0.823727,0.937463
88,0.821958,0.937629
89,0.821448,0.938735
90,0.82029,0.939211
91,0.820579,0.939547
92,0.820817,0.939978
93,0.820985,0.940342
94,0.821768,0.941128
95,0.821747,0.941395
96,0.822662,0.941543
97,0.822556,0.941631
98,0.823185,0.941796
99,0.823659,0.942586
100,0.824103,0.943011
101,0.82492,0.943428
102,0.824971,0.943552
103,0.825231,0.943698
104,0.825818,0.944461
105,0.825991,0.944888
106,0.826224,0.945216
107,0.826557,0.945606
108,0.826787,0.945902
109,0.827,0.946235
110,0.827327,0.946647
111,0.826914,0.946359
112,0.826487,0.946071
113,0.826393,0.945915
114,0.8261,0.94576
115,0.826025,0.945709
116,0.82594,0.945742
117,0.825998,0.945827
118,0.826441,0.945989
119,0.826554,0.946089
120,0.837384,0.940302
121,0.837052,0.940194
122,0.835736,0.939958
123,0.836137,0.939974
124,0.83632,0.940021
125,0.836235,0.940155
126,0.835307,0.939981
127,0.835279,0.940017
128,0.835697,0.939991
129,0.835166,0.939886
130,0.834488,0.939757
131,0.832924,0.939371
132,0.834552,0.939447
133,0.834214,0.939393
134,0.834647,0.939415
135,0.835236,0.939832
136,0.834402,0.939654
137,0.833454,0.939598
138,0.833326,0.9396
139,0.835565,0.93989
140,0.835387,0.940217
141,0.829876,0.938597
142,0.829958,0.938827
143,0.830136,0.939069
144,0.829641,0.939199
145,0.829481,0.939222
146,0.829582,0.939242
147,0.830293,0.93941
148,0.830892,0.939871
149,0.830601,0.940059
150,0.830963,0.940305
151,0.830998,0.940429
152,0.831534,0.94064
153,0.832451,0.941449
154,0.831982,0.941138
155,0.831728,0.940282
156,0.819489,0.934956
157,0.823367,0.935887
158,0.820435,0.934692
159,0.82507,0.935204
160,0.824563,0.935502
161,0.825198,0.93651
162,0.824051,0.935956
163,0.823876,0.935622
164,0.823841,0.935274
165,0.827097,0.936208
166,0.827461,0.936652
167,0.826714,0.93688
168,0.827088,0.9371
169,0.826575,0.937084
170,0.826432,0.937104
171,0.825652,0.936751
172,0.825087,0.936413
173,0.830159,0.938003
174,0.83024,0.937969
175,0.829676,0.937995
176,0.829879,0.93821
177,0.830029,0.938316
178,0.82984,0.938476
179,0.829872,0.938936
180,0.824909,0.933165
181,0.824823,0.933275
182,0.819814,0.93271
183,0.819588,0.932735
184,0.819302,0.932681
185,0.819534,0.932844
186,0.817303,0.932259
187,0.814483,0.93066
188,0.808754,0.929003
189,0.802964,0.92751
190,0.806687,0.928908
191,0.812542,0.929862
192,0.808936,0.928373
193,0.801062,0.926693
194,0.800289,0.925668
195,0.797007,0.924524
196,0.802835,0.92508
197,0.802972,0.924877
198,0.801265,0.924175
199,0.79916,0.923551
200,0.798516,0.923318
201,0.766165,0.918556
202,0.795444,0.925179
203,0.805721,0.927403
204,0.794472,0.924942
205,0.798936,0.925778
206,0.793217,0.924589
207,0.803983,0.926467
208,0.795302,0.924823
209,0.80148,0.926004
210,0.795256,0.925119
