Frame, eSSIM, SSIM
0,0.886812,0.953173
1,0.87126,0.943414
2,0.875746,0.946138
3,0.869024,0.942755
4,0.880392,0.9497
5,0.866068,0.941025
6,0.873,0.944588
7,0.868025,0.942003
8,0.878496,0.948052
9,0.864971,0.940754
10,0.87102,0.944232
11,0.868455,0.941326
12,0.875552,0.947538
13,0.863094,0.939166
14,0.870404,0.943678
15,0.866458,0.940134
16,0.876049,0.9472
17,0.866628,0.939778
18,0.87108,0.944003
19,0.86522,0.940399
20,0.880634,0.947847
21,0.867776,0.940426
22,0.872982,0.944711
23,0.868867,0.942765
24,0.881291,0.949758
25,0.866506,0.946917
26,0.866464,0.946956
27,0.863892,0.94631
28,0.872057,0.947269
29,0.866899,0.946652
30,0.869343,0.947167
31,0.866138,0.946709
32,0.872889,0.947679
33,0.866569,0.947017
34,0.86716,0.947211
35,0.862393,0.946648
36,0.877592,0.949824
37,0.872295,0.949604
38,0.87581,0.950599
39,0.873254,0.950347
40,0.884361,0.952377
41,0.878971,0.951681
42,0.882049,0.952562
43,0.878496,0.952146
44,0.887541,0.954118
45,0.876516,0.947211
46,0.885453,0.952592
47,0.880208,0.94954
48,0.889883,0.955834
49,0.878045,0.948596
50,0.884133,0.952186
51,0.877541,0.948825
52,0.889501,0.955953
53,0.874835,0.947612
54,0.882156,0.950656
55,0.875669,0.947309
56,0.884731,0.954245
57,0.871435,0.945804
58,0.878554,0.94909
59,0.879783,0.950632
60,0.901117,0.96786
61,0.87437,0.949726
62,0.889321,0.95959
63,0.888761,0.961217
64,0.894247,0.963063
65,0.88332,0.961069
66,0.889216,0.961987
67,0.888049,0.961598
68,0.893044,0.962538
69,0.886709,0.961327
70,0.88934,0.96171
71,0.885823,0.960877
72,0.891549,0.962122
73,0.882767,0.960134
74,0.88229,0.96013
75,0.880912,0.95967
76,0.8922,0.961785
77,0.889505,0.960039
78,0.886493,0.958009
79,0.874087,0.951494
80,0.890146,0.958668
81,0.867241,0.947578
82,0.879588,0.951896
83,0.871035,0.947349
84,0.886828,0.956447
85,0.870351,0.946964
86,0.87822,0.9507
87,0.872114,0.94686
88,0.882892,0.95413
89,0.871026,0.946159
90,0.878599,0.95052
91,0.873916,0.94706
92,0.886688,0.955182
93,0.876718,0.951075
94,0.882614,0.955056
95,0.881637,0.955581
96,0.889578,0.957619
97,0.882206,0.955883
98,0.885354,0.956496
99,0.881538,0.955792
100,0.886977,0.956901
101,0.88305,0.956226
102,0.885124,0.956835
103,0.884071,0.956431
104,0.888988,0.957789
105,0.884952,0.956963
106,0.887143,0.957806
107,0.882136,0.957125
108,0.887186,0.958318
109,0.88547,0.957719
110,0.886355,0.958149
111,0.888108,0.958714
112,0.891937,0.959972
113,0.886867,0.958531
114,0.888235,0.958636
115,0.885716,0.957868
116,0.890358,0.958454
117,0.88489,0.952536
118,0.887071,0.953749
119,0.886523,0.953584
120,0.902132,0.966354
121,0.87921,0.952104
122,0.880806,0.954746
123,0.871853,0.948748
124,0.893744,0.95948
125,0.872382,0.946956
126,0.876438,0.949562
127,0.869729,0.946248
128,0.889025,0.955849
129,0.864237,0.941863
130,0.871473,0.94528
131,0.859627,0.941201
132,0.878871,0.95115
133,0.86198,0.940453
134,0.86957,0.943479
135,0.877005,0.949164
136,0.864379,0.941118
137,0.866478,0.94115
138,0.88056,0.949327
139,0.860073,0.937272
140,0.874884,0.946344
141,0.871044,0.946403
142,0.877067,0.949778
143,0.868639,0.948024
144,0.874881,0.948491
145,0.87123,0.947491
146,0.874482,0.948369
147,0.867691,0.946755
148,0.872024,0.947275
149,0.865968,0.94604
150,0.873276,0.947359
151,0.864203,0.945348
152,0.867262,0.945688
153,0.865201,0.944445
154,0.872059,0.945853
155,0.861121,0.943548
156,0.864133,0.943733
157,0.87334,0.946701
158,0.852899,0.933833
159,0.863786,0.938927
160,0.851471,0.933951
161,0.869971,0.944261
162,0.850671,0.931675
163,0.854224,0.934103
164,0.871109,0.944448
165,0.854105,0.933897
166,0.861974,0.938394
167,0.854246,0.934526
168,0.873561,0.944459
169,0.854423,0.933867
170,0.864887,0.939679
171,0.857004,0.935283
172,0.875605,0.945109
173,0.861706,0.936086
174,0.863613,0.939006
175,0.857511,0.935127
176,0.874908,0.945079
177,0.853453,0.933493
178,0.865383,0.939087
179,0.865489,0.940438
180,0.894377,0.961242
181,0.863927,0.941104
182,0.869554,0.945887
183,0.861301,0.940007
184,0.883378,0.954446
185,0.867659,0.942797
186,0.876571,0.948297
187,0.872889,0.946241
188,0.884093,0.954705
189,0.875544,0.952767
190,0.880752,0.953568
191,0.875747,0.952703
192,0.883204,0.954309
193,0.876496,0.952474
194,0.878232,0.953076
195,0.875333,0.952244
196,0.881003,0.9541
197,0.876092,0.952743
198,0.87753,0.953071
199,0.875153,0.952477
200,0.881181,0.953849
201,0.870384,0.951701
202,0.873445,0.952305
203,0.870062,0.951672
204,0.882459,0.954158
205,0.874288,0.952626
206,0.87922,0.953316
207,0.877574,0.952818
208,0.879745,0.953562
209,0.875628,0.952564
210,0.877963,0.953243
211,0.874963,0.952635
212,0.881563,0.953939
213,0.871121,0.946701
214,0.870909,0.945131
215,0.865737,0.941864
216,0.881102,0.951813
217,0.861764,0.939881
218,0.870918,0.944211
219,0.861376,0.939425
220,0.88039,0.949856
221,0.863529,0.939029
222,0.870027,0.943217
223,0.860719,0.939604
224,0.875565,0.948584
225,0.859406,0.939637
226,0.868931,0.944387
227,0.861287,0.940324
228,0.874277,0.949007
229,0.864547,0.941081
230,0.869762,0.945038
231,0.863515,0.942212
232,0.877824,0.949016
233,0.863833,0.941599
234,0.87011,0.944861
235,0.86461,0.942173
236,0.8736,0.948426
237,0.853519,0.938133
238,0.866134,0.942128
239,0.871406,0.944608
240,0.890007,0.961827
241,0.858722,0.942315
242,0.870279,0.947174
243,0.885688,0.955701
244,0.856527,0.939881
245,0.863178,0.943511
246,0.856961,0.939775
247,0.88062,0.952604
248,0.864584,0.943487
249,0.869016,0.945016
250,0.880662,0.951487
251,0.862236,0.940576
252,0.865152,0.942067
253,0.878869,0.950964
254,0.850274,0.936312
255,0.868652,0.943028
256,0.878983,0.949583
257,0.861653,0.940463
258,0.871763,0.944499
259,0.878787,0.948932
260,0.862809,0.940578
261,0.867208,0.943074
262,0.875346,0.947717
263,0.856205,0.936974
264,0.864476,0.94023
265,0.87022,0.945368
266,0.850412,0.935616
267,0.865091,0.942787
268,0.863413,0.943396
269,0.866265,0.944297
270,0.86041,0.942415
271,0.862908,0.942651
272,0.857167,0.940989
273,0.859912,0.941107
274,0.857565,0.940395
275,0.863889,0.93971
276,0.856095,0.938324
277,0.856672,0.938483
278,0.854719,0.937973
279,0.861145,0.939345
280,0.838689,0.927754
281,0.837503,0.926853
282,0.858693,0.93612
283,0.83363,0.923119
284,0.838992,0.926934
285,0.856562,0.934496
286,0.837787,0.9254
287,0.856295,0.934355
288,0.839524,0.924764
289,0.837873,0.924972
290,0.857828,0.9345
291,0.842428,0.927796
292,0.857464,0.934625
293,0.831425,0.921517
294,0.835519,0.92348
295,0.850737,0.932203
296,0.834456,0.923098
297,0.834608,0.923503
298,0.853239,0.932514
299,0.848532,0.929406
300,0.879562,0.946892
301,0.83466,0.924859
302,0.849496,0.931194
303,0.861433,0.938743
304,0.805548,0.910247
305,0.853533,0.933394
306,0.86783,0.94102
307,0.859574,0.939378
308,0.862573,0.940726
309,0.861329,0.940481
310,0.868834,0.942533
311,0.863149,0.941326
312,0.866434,0.942294
313,0.862487,0.941433
314,0.870615,0.943063
315,0.86226,0.941154
316,0.867168,0.942223
317,0.863125,0.941593
318,0.870552,0.943101
