Frame, eSSIM, SSIM
0,0.749594,0.88475
1,0.678375,0.855697
2,0.709906,0.86581
3,0.680531,0.85659
4,0.731591,0.876036
5,0.678325,0.853541
6,0.706428,0.863724
7,0.68072,0.8554
8,0.730902,0.87499
9,0.673166,0.852977
10,0.702825,0.862102
11,0.683486,0.856442
12,0.728816,0.873567
13,0.677187,0.853025
14,0.704474,0.862379
15,0.683469,0.855843
16,0.728931,0.873206
17,0.686753,0.85618
18,0.709717,0.863299
19,0.682967,0.855303
20,0.731669,0.873499
21,0.681587,0.854145
22,0.708156,0.863049
23,0.700332,0.8617
24,0.735895,0.875549
25,0.716057,0.872196
26,0.72192,0.87281
27,0.720841,0.87325
28,0.732211,0.875826
29,0.72421,0.875231
30,0.72943,0.876822
31,0.731063,0.877679
32,0.739825,0.879453
33,0.730513,0.878411
34,0.730965,0.878091
35,0.720156,0.876664
36,0.744827,0.883583
37,0.730793,0.882411
38,0.744935,0.885647
39,0.737276,0.885242
40,0.758474,0.889233
41,0.749976,0.888332
42,0.75619,0.889709
43,0.755084,0.889932
44,0.767984,0.892625
45,0.72376,0.876956
46,0.751225,0.886976
47,0.733846,0.880853
48,0.771174,0.894662
49,0.725359,0.877329
50,0.751109,0.885756
51,0.733817,0.880785
52,0.775674,0.896244
53,0.727087,0.878412
54,0.746932,0.884221
55,0.726016,0.879488
56,0.762351,0.892285
57,0.712872,0.873654
58,0.733885,0.87989
59,0.743725,0.88387
60,0.823601,0.921612
61,0.737013,0.890473
62,0.77416,0.900964
63,0.782397,0.906938
64,0.796168,0.912733
65,0.783162,0.910621
66,0.788479,0.911668
67,0.78805,0.911331
68,0.796718,0.912946
69,0.788734,0.911589
70,0.790632,0.91178
71,0.782304,0.910065
72,0.792597,0.911841
73,0.779291,0.909057
74,0.7798,0.909181
75,0.778771,0.909001
76,0.79439,0.911847
77,0.779744,0.906932
78,0.7686,0.900906
79,0.730802,0.885645
80,0.784252,0.905448
81,0.717988,0.878623
82,0.748727,0.891018
83,0.728515,0.886317
84,0.776777,0.902755
85,0.718054,0.879505
86,0.747381,0.888795
87,0.721682,0.882181
88,0.768098,0.897799
89,0.718493,0.878537
90,0.742959,0.88762
91,0.712509,0.878559
92,0.769553,0.898044
93,0.711567,0.876664
94,0.753894,0.891293
95,0.755229,0.894987
96,0.778499,0.90174
97,0.763654,0.898041
98,0.767648,0.898975
99,0.764205,0.897986
100,0.775587,0.90041
101,0.76537,0.899007
102,0.771345,0.900791
103,0.770596,0.900667
104,0.782976,0.903468
105,0.773421,0.901773
106,0.777609,0.903062
107,0.771134,0.901714
108,0.78635,0.904638
109,0.779443,0.903521
110,0.784333,0.904404
111,0.783764,0.905189
112,0.795714,0.907879
113,0.784205,0.905051
114,0.786841,0.905403
115,0.78373,0.904286
116,0.78796,0.905093
117,0.759222,0.888238
118,0.771022,0.894741
119,0.769205,0.895613
120,0.829841,0.922009
121,0.757514,0.892762
122,0.770573,0.899766
123,0.73541,0.884391
124,0.786285,0.905759
125,0.720985,0.876528
126,0.745243,0.886893
127,0.718401,0.876383
128,0.771135,0.897327
129,0.699354,0.867559
130,0.733438,0.879583
131,0.700414,0.868026
132,0.746396,0.885856
133,0.674669,0.856963
134,0.679429,0.860523
135,0.737364,0.880403
136,0.673425,0.853725
137,0.688384,0.858993
138,0.738941,0.879728
139,0.684132,0.856679
140,0.721339,0.870366
141,0.730191,0.876801
142,0.74514,0.882883
143,0.727133,0.878531
144,0.729838,0.878919
145,0.721889,0.876841
146,0.734007,0.879901
147,0.719439,0.876081
148,0.726878,0.877935
149,0.714522,0.875113
150,0.732233,0.878971
151,0.719762,0.875279
152,0.722465,0.875805
153,0.718271,0.873419
154,0.731125,0.876653
155,0.709974,0.8709
156,0.717186,0.872442
157,0.733121,0.879004
158,0.672296,0.852829
159,0.697984,0.860203
160,0.675327,0.854859
161,0.730981,0.875385
162,0.6727,0.852432
163,0.675874,0.854666
164,0.733408,0.87545
165,0.678932,0.853968
166,0.703612,0.862033
167,0.68188,0.857005
168,0.729313,0.874554
169,0.680062,0.855221
170,0.707739,0.863414
171,0.68543,0.858045
172,0.736566,0.875981
173,0.680345,0.853964
174,0.702442,0.860942
175,0.680144,0.855291
176,0.722371,0.871336
177,0.666892,0.849844
178,0.69444,0.858948
179,0.706439,0.863957
180,0.800577,0.90555
181,0.694428,0.863016
182,0.720054,0.870723
183,0.689922,0.862426
184,0.756287,0.889057
185,0.679689,0.856502
186,0.707611,0.868624
187,0.72106,0.875843
188,0.7551,0.89
189,0.739008,0.886245
190,0.745871,0.887963
191,0.738448,0.886541
192,0.753416,0.889971
193,0.740693,0.886799
194,0.745128,0.887996
195,0.738772,0.886663
196,0.751748,0.889942
197,0.740258,0.887299
198,0.745991,0.88879
199,0.747701,0.888779
200,0.757626,0.891772
201,0.734827,0.886771
202,0.739094,0.887906
203,0.731707,0.8861
204,0.754784,0.890651
205,0.738662,0.887448
206,0.745415,0.888534
207,0.739098,0.887053
208,0.750768,0.890004
209,0.742141,0.888674
210,0.74476,0.889589
211,0.745405,0.889811
212,0.760378,0.893185
213,0.73618,0.881955
214,0.724366,0.875559
215,0.711875,0.870092
216,0.76567,0.892372
217,0.70888,0.866793
218,0.734549,0.876462
219,0.711202,0.869721
220,0.761884,0.888835
221,0.707333,0.864941
222,0.726517,0.872554
223,0.715289,0.869113
224,0.754173,0.885082
225,0.707768,0.866296
226,0.73011,0.875384
227,0.715683,0.870137
228,0.750713,0.884558
229,0.717121,0.870599
230,0.728696,0.875649
231,0.721263,0.872918
232,0.755039,0.885527
233,0.69688,0.86292
234,0.722132,0.871454
235,0.694016,0.863473
236,0.738244,0.879854
237,0.698656,0.863931
238,0.716844,0.870361
239,0.720362,0.871661
240,0.797593,0.907979
241,0.681837,0.863131
242,0.722622,0.876861
243,0.764866,0.89492
244,0.682445,0.861148
245,0.709991,0.87283
246,0.6943,0.865955
247,0.752739,0.888785
248,0.691305,0.862999
249,0.708203,0.869274
250,0.74292,0.883779
251,0.689031,0.860687
252,0.697889,0.86513
253,0.738292,0.881429
254,0.680978,0.857322
255,0.685134,0.859238
256,0.734309,0.877525
257,0.68035,0.856095
258,0.699095,0.863167
259,0.732217,0.876664
260,0.674251,0.853866
261,0.699984,0.863241
262,0.729802,0.875083
263,0.65099,0.844943
264,0.670283,0.852103
265,0.713852,0.868713
266,0.658779,0.85086
267,0.683065,0.857592
268,0.696554,0.862818
269,0.707838,0.865864
270,0.694078,0.862254
271,0.696883,0.862552
272,0.691288,0.861195
273,0.700545,0.863437
274,0.694981,0.863298
275,0.723735,0.873505
276,0.714336,0.87161
277,0.715701,0.871508
278,0.708492,0.869712
279,0.720813,0.872312
280,0.685965,0.85776
281,0.659353,0.846634
282,0.707645,0.862445
