Frame, eSSIM, SSIM
0,0.875,0.941619
1,0.761431,0.899482
2,0.798881,0.911784
3,0.759393,0.898529
4,0.823409,0.923703
5,0.745676,0.890682
6,0.780188,0.903825
7,0.7538,0.894355
8,0.812914,0.917283
9,0.743285,0.889078
10,0.774388,0.900046
11,0.753084,0.892788
12,0.802607,0.912938
13,0.670132,0.862091
14,0.711149,0.872538
15,0.675709,0.863968
16,0.750292,0.891348
17,0.674122,0.860558
18,0.702676,0.868759
19,0.681399,0.86498
20,0.758451,0.894064
21,0.678016,0.863209
22,0.720805,0.878
23,0.71323,0.880293
24,0.789534,0.906686
25,0.779789,0.906594
26,0.78854,0.90885
27,0.788346,0.910265
28,0.808836,0.914252
29,0.805831,0.915342
30,0.816317,0.918794
31,0.818054,0.920047
32,0.831283,0.92286
33,0.828626,0.924214
34,0.83373,0.927397
35,0.831684,0.928111
36,0.848922,0.933379
37,0.841876,0.93374
38,0.853988,0.936412
39,0.852287,0.936807
40,0.870212,0.94007
41,0.860149,0.938805
42,0.867425,0.939952
43,0.861104,0.939211
44,0.873619,0.941007
45,0.810105,0.918323
46,0.83703,0.92688
47,0.812897,0.918437
48,0.853268,0.933191
49,0.799933,0.913518
50,0.824897,0.922083
51,0.802819,0.915182
52,0.846644,0.931297
53,0.801278,0.914087
54,0.824976,0.922213
55,0.802177,0.915602
56,0.848776,0.932211
57,0.800435,0.913788
58,0.823204,0.921964
59,0.83274,0.925793
60,0.922369,0.962919
61,0.833478,0.93206
62,0.869554,0.944909
63,0.869762,0.948156
64,0.884259,0.953123
65,0.870968,0.951513
66,0.877468,0.952204
67,0.873808,0.951476
68,0.881259,0.952027
69,0.871073,0.950848
70,0.872448,0.951
71,0.864593,0.949635
72,0.871753,0.950538
73,0.861161,0.948838
74,0.860443,0.948701
75,0.858199,0.947966
76,0.866494,0.949066
77,0.854175,0.944992
78,0.84489,0.939243
79,0.805391,0.921459
80,0.856389,0.942444
81,0.806174,0.920443
82,0.831702,0.929451
83,0.807467,0.921565
84,0.855311,0.940508
85,0.802828,0.917275
86,0.827096,0.926732
87,0.80954,0.921516
88,0.853035,0.938245
89,0.80077,0.916439
90,0.827809,0.926085
91,0.801675,0.916754
92,0.855608,0.93782
93,0.80426,0.916052
94,0.839666,0.930272
95,0.844865,0.935298
96,0.86454,0.941009
97,0.850918,0.938998
98,0.856346,0.940142
99,0.847639,0.938833
100,0.862428,0.941099
101,0.853228,0.940186
102,0.85876,0.941439
103,0.853777,0.940952
104,0.866085,0.942952
105,0.85773,0.942404
106,0.86399,0.943819
107,0.855936,0.942821
108,0.875055,0.945682
109,0.867247,0.944742
110,0.873605,0.94599
111,0.872025,0.945898
112,0.888223,0.948448
113,0.875067,0.946202
114,0.876475,0.946137
115,0.873026,0.945277
116,0.876287,0.945612
117,0.835146,0.925151
118,0.85128,0.932925
119,0.850048,0.934166
120,0.906962,0.954701
121,0.831566,0.926293
122,0.851328,0.935404
123,0.826897,0.923793
124,0.862469,0.940461
125,0.813356,0.918734
126,0.831527,0.925462
127,0.812928,0.918028
128,0.849483,0.934024
129,0.810565,0.916167
130,0.827632,0.922326
131,0.809852,0.915269
132,0.842113,0.929932
133,0.770476,0.900959
134,0.806074,0.91293
135,0.776438,0.901895
136,0.829636,0.924306
137,0.767252,0.897572
138,0.802232,0.910946
139,0.78275,0.905375
140,0.831566,0.924577
141,0.819897,0.922205
142,0.823981,0.923416
143,0.815568,0.921813
144,0.82663,0.923851
145,0.815609,0.921367
146,0.820763,0.922751
147,0.816107,0.92163
148,0.828149,0.924208
149,0.818018,0.921813
150,0.820294,0.923052
151,0.815508,0.922109
152,0.831064,0.925238
153,0.815596,0.921386
154,0.822297,0.922524
155,0.81335,0.920624
156,0.830742,0.923974
157,0.796602,0.910981
158,0.802609,0.910761
159,0.776249,0.90145
160,0.831455,0.922911
161,0.775424,0.900127
162,0.800671,0.909345
163,0.77941,0.901818
164,0.826316,0.920792
165,0.774392,0.898402
166,0.804129,0.909499
167,0.78039,0.902794
168,0.827894,0.921094
169,0.775188,0.899858
170,0.802789,0.909326
171,0.780527,0.902659
172,0.829924,0.921675
173,0.774765,0.898755
174,0.800035,0.908542
175,0.774718,0.899362
176,0.822646,0.918757
177,0.770616,0.896837
178,0.795773,0.906546
179,0.802342,0.909861
180,0.889017,0.946906
181,0.793356,0.908794
182,0.819207,0.919024
183,0.796591,0.910364
184,0.846705,0.93303
185,0.784628,0.904314
186,0.813287,0.917196
187,0.811,0.918633
188,0.845942,0.933762
189,0.827761,0.930456
190,0.83106,0.93117
191,0.82544,0.930158
192,0.837974,0.932358
193,0.821866,0.929006
194,0.826811,0.929863
195,0.817882,0.928286
196,0.827664,0.930112
197,0.816126,0.927858
198,0.822172,0.929256
199,0.816951,0.928433
200,0.830064,0.931101
201,0.821196,0.929777
202,0.826796,0.931044
203,0.821391,0.930137
204,0.839318,0.933308
205,0.823509,0.930807
206,0.82969,0.931923
207,0.826271,0.931114
208,0.836251,0.933426
209,0.82433,0.931633
210,0.830097,0.932988
211,0.827296,0.932447
212,0.848549,0.935962
213,0.814433,0.919689
214,0.816969,0.919013
215,0.7926,0.909436
216,0.848158,0.932721
217,0.793365,0.908154
218,0.818099,0.918614
219,0.795882,0.9105
220,0.844512,0.930447
221,0.798659,0.909361
222,0.822283,0.919371
223,0.808008,0.913944
224,0.84293,0.928473
225,0.800078,0.91121
226,0.822255,0.920028
227,0.799926,0.912038
228,0.843288,0.929484
229,0.798106,0.911218
230,0.821201,0.91993
231,0.800299,0.913569
232,0.843609,0.930159
233,0.807141,0.914529
234,0.82019,0.919967
235,0.80252,0.914034
236,0.8366,0.927396
237,0.791205,0.908251
238,0.814104,0.916882
239,0.818856,0.918886
240,0.901411,0.953552
241,0.803443,0.91816
242,0.826033,0.925036
243,0.80444,0.917611
244,0.859685,0.939866
245,0.798083,0.913689
246,0.821786,0.924139
247,0.795731,0.914319
248,0.846917,0.934192
249,0.797729,0.912296
250,0.821231,0.921578
251,0.796151,0.912036
252,0.834517,0.929011
253,0.791426,0.909173
254,0.813581,0.918002
255,0.798686,0.912401
256,0.831921,0.926445
257,0.780147,0.904432
258,0.80759,0.914762
259,0.786852,0.907516
260,0.828376,0.923634
261,0.750423,0.89426
262,0.778213,0.903266
263,0.755126,0.895932
264,0.810032,0.917016
265,0.745286,0.890427
266,0.777342,0.904187
267,0.793166,0.911913
268,0.810937,0.918197
269,0.797343,0.915003
270,0.802057,0.915419
271,0.795796,0.914248
272,0.80245,0.915528
273,0.792724,0.912943
274,0.794049,0.91325
275,0.811827,0.918413
276,0.802317,0.916613
277,0.807677,0.91719
278,0.802934,0.916322
279,0.824212,0.920458
280,0.781518,0.903518
281,0.762685,0.893849
282,0.803683,0.910344
283,0.746574,0.884616
284,0.755429,0.888258
285,0.793026,0.905753
286,0.736981,0.880013
287,0.746447,0.884552
288,0.792314,0.903247
289,0.738402,0.881243
290,0.759609,0.890867
291,0.796462,0.907159
292,0.699444,0.868511
293,0.71573,0.872759
294,0.753738,0.888857
295,0.693159,0.863415
296,0.714177,0.871165
297,0.749028,0.885704
298,0.705679,0.867855
299,0.746286,0.881485
300,0.848874,0.929865
301,0.715675,0.877625
302,0.745279,0.887799
303,0.785711,0.9059
304,0.710273,0.872377
305,0.7681,0.893753
306,0.772871,0.901572
307,0.804373,0.911254
308,0.792545,0.909086
309,0.798451,0.911323
310,0.799846,0.912329
311,0.811748,0.915115
312,0.804866,0.914073
313,0.806635,0.914894
314,0.800433,0.913805
315,0.814521,0.91606
316,0.80427,0.914402
317,0.809902,0.915667
318,0.804599,0.914716
319,0.81852,0.917184
320,0.80628,0.915085
321,0.813548,0.916615
322,0.8081,0.915889
323,0.822447,0.91867
324,0.812989,0.917843
325,0.813599,0.918921
326,0.811398,0.918975
327,0.829964,0.922596
328,0.821909,0.922314
329,0.828089,0.92427
330,0.826033,0.923996
331,0.84368,0.927604
332,0.835255,0.926721
333,0.842946,0.928973
334,0.83872,0.928812
335,0.852542,0.93159
336,0.843948,0.93093
337,0.852752,0.932828
338,0.847124,0.932377
339,0.8609,0.935155
340,0.852202,0.934445
341,0.858151,0.936029
342,0.859178,0.936464
343,0.873166,0.939099
344,0.861356,0.937223
345,0.86449,0.937859
346,0.862674,0.93767
347,0.875438,0.940008
348,0.868281,0.940769
349,0.871753,0.941543
350,0.870142,0.9416
351,0.883812,0.944173
352,0.857384,0.939709
353,0.858659,0.939763
354,0.853415,0.938554
355,0.864654,0.940197
356,0.853841,0.937992
357,0.851442,0.937632
358,0.842342,0.936062
359,0.856332,0.937977
360,0.900821,0.954842
361,0.854096,0.947703
362,0.851898,0.946814
363,0.842915,0.945292
364,0.867634,0.948825
365,0.839776,0.944442
366,0.845087,0.944824
367,0.838714,0.943504
368,0.860454,0.946501
369,0.840553,0.943111
