Frame, eSSIM, SSIM
0,0.926458,0.963244
1,0.853462,0.937275
2,0.871734,0.944418
3,0.85223,0.936112
4,0.888256,0.950914
5,0.842539,0.930948
6,0.857233,0.937451
7,0.844065,0.931116
8,0.877332,0.945577
9,0.831956,0.927351
10,0.852018,0.934446
11,0.832477,0.92715
12,0.871918,0.942753
13,0.82779,0.924551
14,0.848933,0.932436
15,0.834456,0.926778
16,0.869237,0.940624
17,0.829657,0.924179
18,0.849865,0.931682
19,0.832591,0.924989
20,0.870988,0.940391
21,0.831001,0.924298
22,0.848247,0.931338
23,0.839891,0.928697
24,0.879537,0.94461
25,0.869698,0.943458
26,0.875402,0.944751
27,0.8718,0.944624
28,0.883009,0.946305
29,0.875096,0.945916
30,0.883346,0.947286
31,0.877956,0.9469
32,0.889706,0.948537
33,0.878997,0.947655
34,0.882416,0.948758
35,0.874778,0.948054
36,0.89273,0.951277
37,0.872542,0.948711
38,0.878982,0.949133
39,0.86916,0.947331
40,0.881944,0.948692
41,0.870371,0.94752
42,0.875139,0.94798
43,0.868714,0.947096
44,0.877881,0.94806
45,0.828167,0.92746
46,0.859595,0.938872
47,0.839897,0.931466
48,0.880791,0.946734
49,0.83443,0.928415
50,0.86183,0.938031
51,0.838975,0.929817
52,0.886725,0.947561
53,0.839137,0.930086
54,0.859784,0.937149
55,0.840383,0.930404
56,0.876822,0.943513
57,0.837051,0.929131
58,0.855099,0.935626
59,0.866782,0.94003
60,0.951626,0.975356
61,0.841962,0.939078
62,0.908626,0.961411
63,0.906702,0.962694
64,0.919026,0.967163
65,0.899038,0.96541
66,0.912288,0.966402
67,0.907574,0.965775
68,0.917186,0.966561
69,0.901965,0.965346
70,0.909376,0.966018
71,0.902965,0.965154
72,0.913448,0.966093
73,0.895342,0.963918
74,0.891544,0.963651
75,0.89082,0.963118
76,0.909591,0.965128
77,0.90009,0.962335
78,0.895659,0.958489
79,0.876007,0.950368
80,0.908217,0.962003
81,0.852162,0.941228
82,0.889608,0.954116
83,0.876575,0.947946
84,0.913538,0.962258
85,0.880109,0.947856
86,0.896895,0.954568
87,0.882871,0.949054
88,0.912846,0.961171
89,0.870593,0.945371
90,0.891854,0.952467
91,0.880102,0.947851
92,0.914363,0.961054
93,0.84928,0.936663
94,0.905905,0.957353
95,0.906707,0.959387
96,0.91609,0.961991
97,0.894847,0.959197
98,0.896557,0.959243
99,0.890334,0.958192
100,0.901414,0.95941
101,0.892084,0.958387
102,0.893962,0.958875
103,0.889783,0.95839
104,0.902244,0.95996
105,0.894236,0.95918
106,0.899516,0.960167
107,0.894741,0.959661
108,0.910223,0.961861
109,0.906237,0.961044
110,0.9106,0.96154
111,0.908432,0.961102
112,0.917002,0.962337
113,0.905568,0.960439
114,0.907173,0.960496
115,0.903118,0.959683
116,0.909807,0.960534
117,0.870284,0.942906
118,0.898498,0.953255
119,0.896503,0.953803
120,0.955554,0.976007
121,0.887819,0.955331
122,0.899018,0.95923
123,0.87165,0.950388
124,0.921678,0.965013
125,0.873797,0.947182
126,0.89179,0.952859
127,0.874075,0.94752
128,0.911577,0.961031
129,0.871373,0.944323
130,0.883724,0.949182
131,0.865583,0.943231
132,0.898816,0.955728
133,0.850983,0.936955
134,0.873019,0.944159
135,0.859272,0.938014
136,0.893318,0.95242
137,0.845002,0.931379
138,0.873379,0.942703
139,0.865192,0.939669
140,0.899664,0.955267
141,0.888278,0.953639
142,0.892339,0.954605
143,0.887604,0.954042
144,0.901077,0.956272
145,0.885851,0.953951
146,0.893417,0.955308
147,0.889759,0.954693
148,0.903646,0.956963
149,0.882373,0.954327
150,0.889427,0.954991
151,0.88443,0.954023
152,0.900331,0.95632
153,0.87886,0.952392
154,0.882343,0.952384
155,0.873433,0.950541
156,0.889738,0.953149
157,0.833403,0.932186
158,0.831793,0.930385
159,0.807654,0.919607
160,0.879358,0.946415
161,0.828513,0.924855
162,0.849268,0.933031
163,0.831153,0.925522
164,0.874532,0.94345
165,0.827015,0.923866
166,0.844205,0.930546
167,0.822437,0.922777
168,0.861044,0.937836
169,0.817811,0.919877
170,0.835046,0.92685
171,0.815484,0.919696
172,0.857715,0.936371
173,0.805045,0.914418
174,0.822975,0.921629
175,0.800456,0.913914
176,0.846965,0.93236
177,0.799451,0.910909
178,0.823357,0.921447
179,0.83068,0.925351
180,0.919246,0.959796
181,0.812197,0.918639
182,0.83942,0.929523
183,0.810919,0.919241
184,0.874159,0.945824
185,0.799716,0.91321
186,0.854315,0.936332
187,0.85096,0.935458
188,0.885029,0.951323
189,0.870584,0.949193
190,0.878059,0.950629
191,0.873734,0.949793
192,0.886928,0.952125
193,0.868964,0.949104
194,0.876344,0.950506
