Frame, eSSIM, SSIM
0,0.809327,0.913224
1,0.678191,0.863615
2,0.714111,0.872267
3,0.681616,0.862991
4,0.754769,0.890697
5,0.667073,0.855637
6,0.707052,0.86754
7,0.677273,0.859163
8,0.736381,0.88099
9,0.668033,0.853696
10,0.697915,0.862548
11,0.676031,0.856719
12,0.730482,0.876674
13,0.666349,0.852169
14,0.692644,0.858879
15,0.674726,0.855826
16,0.721974,0.872973
17,0.670581,0.852605
18,0.68843,0.856346
19,0.680179,0.856664
20,0.722163,0.871233
21,0.668119,0.851958
22,0.690481,0.858983
23,0.702656,0.866055
24,0.736789,0.878067
25,0.725732,0.877133
26,0.734342,0.879311
27,0.733236,0.880218
28,0.748659,0.883523
29,0.74181,0.883556
30,0.748363,0.886163
31,0.742925,0.886303
32,0.759353,0.889229
33,0.74697,0.887947
34,0.746079,0.887662
35,0.7373,0.886386
36,0.758038,0.892781
37,0.730768,0.887809
38,0.737864,0.888822
39,0.727146,0.88663
40,0.744551,0.889096
41,0.728214,0.886761
42,0.731746,0.88683
43,0.730268,0.88664
44,0.744583,0.889317
45,0.685621,0.866557
46,0.71009,0.87462
47,0.69734,0.871843
48,0.748855,0.888766
49,0.694326,0.86906
50,0.717305,0.874732
51,0.706586,0.874157
52,0.755185,0.889804
53,0.698387,0.869792
54,0.710251,0.872242
55,0.700682,0.871713
56,0.737763,0.882168
57,0.694114,0.86724
58,0.702038,0.868096
59,0.711143,0.869492
60,0.856095,0.935967
61,0.722947,0.892706
62,0.779031,0.905907
63,0.793363,0.914353
64,0.807728,0.920576
65,0.780139,0.917197
66,0.799796,0.919379
67,0.797859,0.919057
68,0.80621,0.920679
69,0.792368,0.918524
70,0.796903,0.919396
71,0.789187,0.917776
72,0.800057,0.919274
73,0.771642,0.914895
74,0.780648,0.916268
75,0.782486,0.916166
76,0.800725,0.919227
77,0.774654,0.911567
78,0.763563,0.902964
79,0.712236,0.885355
80,0.786635,0.910634
81,0.69209,0.877727
82,0.738276,0.891638
83,0.70229,0.883334
84,0.787783,0.910583
85,0.712447,0.88203
86,0.753273,0.894167
87,0.728157,0.888227
88,0.791333,0.909388
89,0.726691,0.886832
90,0.760919,0.895791
91,0.726857,0.886519
92,0.794591,0.909033
93,0.692992,0.874496
94,0.774838,0.899932
95,0.777655,0.904825
96,0.798323,0.911184
97,0.776427,0.906239
98,0.782542,0.907594
99,0.772158,0.905391
100,0.788534,0.908722
101,0.776419,0.906869
102,0.782931,0.908808
103,0.781463,0.908117
104,0.793944,0.911005
105,0.785086,0.909342
106,0.790149,0.911143
107,0.784654,0.910361
108,0.799809,0.913387
109,0.787738,0.910853
110,0.797537,0.912706
111,0.794495,0.912832
112,0.807793,0.915454
113,0.79568,0.912603
114,0.794164,0.912531
115,0.793036,0.911991
116,0.800291,0.913584
117,0.731991,0.880037
