Frame, eSSIM, SSIM
0,0.815707,0.93557
1,0.803597,0.924456
2,0.806661,0.927344
3,0.801606,0.92349
4,0.808434,0.929603
5,0.80085,0.92293
6,0.803769,0.925123
7,0.799456,0.922221
8,0.810515,0.928033
9,0.799523,0.921928
10,0.804142,0.924657
11,0.801759,0.921732
12,0.807195,0.926759
13,0.800363,0.920757
14,0.801955,0.923738
15,0.801804,0.920955
16,0.804503,0.926209
17,0.801378,0.920746
18,0.803389,0.924109
19,0.800245,0.92136
20,0.808958,0.928245
21,0.802399,0.923537
22,0.806789,0.926948
23,0.804232,0.926781
24,0.813227,0.932706
25,0.812027,0.932988
26,0.811547,0.933633
27,0.81063,0.933453
28,0.81359,0.934761
29,0.813828,0.93539
30,0.814954,0.936074
31,0.814497,0.936071
32,0.814454,0.936723
33,0.813663,0.937108
34,0.811596,0.935861
35,0.810922,0.935546
36,0.814905,0.937733
37,0.814314,0.937867
38,0.814981,0.93828
39,0.814107,0.937854
40,0.815846,0.938595
41,0.814257,0.938121
42,0.812443,0.937053
43,0.812255,0.936727
44,0.811235,0.934839
45,0.811965,0.935328
46,0.80866,0.932134
47,0.809438,0.93316
48,0.806262,0.931065
49,0.809332,0.933812
50,0.806202,0.930068
51,0.807247,0.931704
52,0.806131,0.930117
53,0.809582,0.93396
54,0.807177,0.93046
55,0.810475,0.932213
56,0.80561,0.930472
57,0.810646,0.934035
58,0.808024,0.930232
59,0.807989,0.931766
60,0.81535,0.943421
61,0.809977,0.936668
62,0.809664,0.938695
63,0.811268,0.938895
64,0.812985,0.939634
65,0.811632,0.939145
66,0.811745,0.939577
67,0.812219,0.939408
68,0.813025,0.939721
69,0.811589,0.939186
70,0.811523,0.939273
71,0.810624,0.938678
72,0.811691,0.939096
73,0.809253,0.938648
74,0.810322,0.938882
75,0.809946,0.938632
76,0.813658,0.93949
77,0.811455,0.938418
78,0.811462,0.938069
79,0.804746,0.933946
80,0.812444,0.937671
81,0.803354,0.932473
82,0.809254,0.934472
83,0.802077,0.931899
84,0.811223,0.935917
85,0.805653,0.931929
86,0.806595,0.932895
87,0.805929,0.931605
88,0.80983,0.934357
89,0.805932,0.93097
90,0.809681,0.934492
91,0.807535,0.932543
92,0.811888,0.935788
93,0.810396,0.933964
94,0.811087,0.935768
95,0.810686,0.93578
96,0.814707,0.936919
97,0.807713,0.934223
98,0.808464,0.934548
99,0.807596,0.933917
100,0.810273,0.935035
101,0.808845,0.934741
102,0.80944,0.935227
103,0.807041,0.934689
104,0.81097,0.935937
105,0.80899,0.935507
106,0.809678,0.935773
107,0.807214,0.935204
108,0.809322,0.935829
109,0.807665,0.93548
110,0.809368,0.935999
111,0.812149,0.937753
112,0.815121,0.938654
113,0.811789,0.937832
114,0.812144,0.937963
115,0.809703,0.93753
116,0.815353,0.938343
117,0.810428,0.93393
118,0.811241,0.93397
119,0.813393,0.93542
120,0.816171,0.940937
121,0.80915,0.93458
122,0.810191,0.935805
123,0.810692,0.936499
124,0.807003,0.929965
125,0.808752,0.933441
126,0.808255,0.934199
127,0.804131,0.930129
128,0.809064,0.932347
129,0.811102,0.93281
130,0.80379,0.927912
131,0.80303,0.92814
132,0.805578,0.930822
133,0.80523,0.926949
134,0.805205,0.927603
135,0.802706,0.927954
136,0.79867,0.924002
137,0.799634,0.924411
138,0.805768,0.928
139,0.801635,0.924155
140,0.805087,0.926521
141,0.805652,0.928524
142,0.801554,0.927673
143,0.801193,0.92785
144,0.803669,0.927163
145,0.804747,0.927896
146,0.801835,0.926794
147,0.803088,0.92727
148,0.801117,0.926405
149,0.803237,0.927298
150,0.800588,0.926201
151,0.801028,0.926486
152,0.797799,0.925639
153,0.802768,0.92649
154,0.800232,0.925228
155,0.799625,0.925152
156,0.800223,0.924694
157,0.804489,0.926744
158,0.79432,0.920265
159,0.796268,0.920244
160,0.804523,0.925786
161,0.795353,0.920185
162,0.797351,0.920297
163,0.797733,0.924821
164,0.795482,0.920466
165,0.796661,0.920462
166,0.801302,0.925106
167,0.796503,0.920906
168,0.799191,0.921878
169,0.800382,0.925477
170,0.797444,0.921622
171,0.798382,0.92258
172,0.80283,0.925827
173,0.800174,0.921522
174,0.798271,0.921697
175,0.801716,0.925119
176,0.794533,0.91984
177,0.792128,0.920784
178,0.801615,0.925148
179,0.7978,0.922004
180,0.803458,0.931627
181,0.795754,0.921609
182,0.797206,0.923111
183,0.801572,0.927324
184,0.792893,0.920767
185,0.795122,0.922063
186,0.800212,0.927175
187,0.796749,0.924039
188,0.797872,0.925833
189,0.796048,0.925474
190,0.800343,0.927165
191,0.798758,0.926298
192,0.797502,0.926664
193,0.798746,0.926338
194,0.801944,0.927552
195,0.798522,0.92648
196,0.799573,0.926934
197,0.798684,0.926444
198,0.799421,0.927189
199,0.798274,0.926554
200,0.800793,0.927572
201,0.7987,0.926812
202,0.8008,0.927719
203,0.798287,0.926832
204,0.800912,0.927714
205,0.797763,0.926882
206,0.801044,0.927565
207,0.799852,0.926812
208,0.79718,0.926372
209,0.796773,0.926037
210,0.800258,0.927418
211,0.796361,0.925847
212,0.7988,0.925932
213,0.794784,0.923173
214,0.803014,0.926813
215,0.796873,0.921552
216,0.797973,0.920956
217,0.800675,0.925922
218,0.792411,0.920051
219,0.795101,0.919865
220,0.800117,0.924869
221,0.792373,0.919308
222,0.79166,0.919304
223,0.797817,0.924922
224,0.792971,0.919958
225,0.79304,0.92068
226,0.796308,0.92408
227,0.793279,0.920091
228,0.793725,0.921091
229,0.79953,0.924494
230,0.792558,0.920156
231,0.793631,0.921257
232,0.798543,0.924549
233,0.791959,0.920127
234,0.792419,0.921081
235,0.79623,0.924338
236,0.79316,0.920618
237,0.790613,0.921108
238,0.797633,0.924532
239,0.797682,0.922662
240,0.80243,0.934669
241,0.796856,0.926777
242,0.798195,0.926724
243,0.800527,0.930112
244,0.796672,0.925498
245,0.797705,0.926321
246,0.803982,0.929726
247,0.799252,0.92514
248,0.798341,0.925695
249,0.799824,0.928341
250,0.800031,0.924579
