Frame, eSSIM, SSIM
0,0.70796,0.86444
1,0.636113,0.835331
2,0.658205,0.840769
3,0.633444,0.833584
4,0.680741,0.851903
5,0.631899,0.830474
6,0.649277,0.836346
7,0.636259,0.833719
8,0.681522,0.851265
9,0.632836,0.83156
10,0.660542,0.840669
11,0.637062,0.834796
12,0.684338,0.85257
13,0.648886,0.839291
14,0.662567,0.842875
15,0.648918,0.838375
16,0.686689,0.853376
17,0.645185,0.836957
18,0.669712,0.84523
19,0.656569,0.842392
20,0.690334,0.854506
21,0.651203,0.839118
22,0.67205,0.846443
23,0.66622,0.846037
24,0.69646,0.858328
25,0.687578,0.856459
26,0.690911,0.857217
27,0.688987,0.857915
28,0.702273,0.861331
29,0.695571,0.861105
30,0.70266,0.863421
31,0.701587,0.864173
32,0.709085,0.866141
33,0.707077,0.866422
34,0.711334,0.866585
35,0.707965,0.86656
36,0.718824,0.872499
37,0.710565,0.871843
38,0.722785,0.875008
39,0.721152,0.875151
40,0.728841,0.87702
41,0.732601,0.879047
42,0.724204,0.876285
43,0.72246,0.874115
44,0.705301,0.866588
45,0.73148,0.878146
46,0.706247,0.866627
47,0.719806,0.872878
48,0.698493,0.865001
49,0.729975,0.877699
50,0.70258,0.866077
51,0.718012,0.87181
52,0.703508,0.866452
53,0.731722,0.878731
54,0.695758,0.864036
55,0.716705,0.871204
56,0.696908,0.865284
57,0.728693,0.877603
58,0.707419,0.868673
59,0.723091,0.874773
60,0.770095,0.901051
61,0.711199,0.876029
62,0.738928,0.885776
63,0.745441,0.890861
64,0.755108,0.894997
65,0.745323,0.893014
66,0.749563,0.89358
67,0.747603,0.893151
68,0.749732,0.893635
69,0.743869,0.892251
70,0.745093,0.892268
71,0.737764,0.890491
72,0.743267,0.891508
73,0.738446,0.890306
74,0.738701,0.890243
75,0.737679,0.889756
76,0.745193,0.891255
77,0.734857,0.886499
78,0.729322,0.882388
79,0.705345,0.872527
80,0.741944,0.887766
81,0.701181,0.869214
82,0.720854,0.877247
83,0.693401,0.867874
84,0.737982,0.885193
85,0.697882,0.867172
86,0.717364,0.874361
87,0.698801,0.868622
88,0.735654,0.883571
89,0.693123,0.864919
90,0.720482,0.877119
91,0.699812,0.869149
92,0.736165,0.88431
93,0.692906,0.864679
94,0.725617,0.878406
95,0.731775,0.88274
96,0.743465,0.886562
97,0.729551,0.882545
98,0.733685,0.883384
99,0.732377,0.882669
100,0.742128,0.884772
101,0.731868,0.883234
102,0.73889,0.885142
103,0.733504,0.884247
104,0.747773,0.887794
105,0.741546,0.886714
106,0.742941,0.887689
107,0.739186,0.887048
108,0.748591,0.889321
109,0.740642,0.887421
110,0.744584,0.888042
111,0.74514,0.889775
112,0.755042,0.892085
113,0.747501,0.890266
114,0.749112,0.890485
115,0.747144,0.890188
116,0.75583,0.891729
117,0.72707,0.875849
118,0.731935,0.877553
119,0.744467,0.884502
120,0.751374,0.888916
121,0.702091,0.866387
122,0.723197,0.876918
123,0.72673,0.877303
124,0.681387,0.857476
125,0.716409,0.871394
126,0.72043,0.8732
127,0.680719,0.855353
128,0.713313,0.867855
129,0.716608,0.869591
130,0.673227,0.850582
131,0.69106,0.856811
132,0.704618,0.864298
133,0.668287,0.848307
134,0.68851,0.855712
135,0.707267,0.862722
136,0.665429,0.844403
137,0.683215,0.850555
138,0.706561,0.860949
139,0.670292,0.845228
140,0.694867,0.855019
141,0.711877,0.863269
142,0.704201,0.861381
143,0.705506,0.861907
144,0.704136,0.860702
145,0.7092,0.862073
146,0.699575,0.8597
147,0.704201,0.861399
148,0.699746,0.860269
149,0.708272,0.862342
150,0.698254,0.859511
151,0.701468,0.860993
152,0.69782,0.859664
153,0.710726,0.862288
154,0.698517,0.858328
155,0.699798,0.858344
156,0.694486,0.856554
157,0.709927,0.863301
158,0.66739,0.843833
159,0.674775,0.846031
160,0.708452,0.861158
161,0.670395,0.843696
162,0.668874,0.844441
163,0.708043,0.861268
164,0.660348,0.840684
165,0.678326,0.847995
166,0.712137,0.862809
167,0.676377,0.847276
168,0.689548,0.852837
169,0.715735,0.864662
170,0.677128,0.847731
171,0.696326,0.855199
172,0.715962,0.864353
173,0.677294,0.84649
174,0.689558,0.851386
175,0.710689,0.861518
176,0.674906,0.845614
177,0.683634,0.850642
178,0.71147,0.862391
179,0.700436,0.857138
180,0.732764,0.875161
181,0.678522,0.850209
182,0.688401,0.85391
183,0.719267,0.8686
184,0.669743,0.845432
185,0.693852,0.856217
186,0.717679,0.869155
187,0.691746,0.857217
188,0.706575,0.864111
189,0.706088,0.865155
190,0.719459,0.870031
191,0.700224,0.865021
192,0.70483,0.865832
193,0.700544,0.864564
194,0.712078,0.867489
195,0.694862,0.863347
196,0.696476,0.863757
197,0.689893,0.861881
198,0.700273,0.864537
199,0.693069,0.863012
200,0.696934,0.864442
201,0.691991,0.863749
202,0.706194,0.867825
203,0.69673,0.865222
204,0.69906,0.86592
205,0.692016,0.864675
206,0.708717,0.868515
207,0.699887,0.865622
208,0.700713,0.866227
209,0.70254,0.86734
210,0.712906,0.870046
211,0.706142,0.86715
212,0.704859,0.865388
213,0.69079,0.858998
214,0.722631,0.871681
215,0.688508,0.853446
216,0.694318,0.855512
217,0.718477,0.868313
218,0.682992,0.850021
219,0.690518,0.853324
220,0.713988,0.865149
221,0.675497,0.846826
222,0.684973,0.851548
223,0.709822,0.863765
224,0.678769,0.848935
225,0.689735,0.855033
226,0.709543,0.864416
227,0.685238,0.853423
228,0.694956,0.857265
229,0.71211,0.865265
230,0.682402,0.852652
231,0.698511,0.858836
232,0.713372,0.86559
233,0.680571,0.85069
234,0.693641,0.857363
235,0.712785,0.866098
236,0.686467,0.853273
237,0.698069,0.859554
238,0.711124,0.865956
239,0.700539,0.860014
240,0.743876,0.884415
241,0.689847,0.860318
242,0.704514,0.864253
243,0.721064,0.873326
244,0.68261,0.855089
245,0.695312,0.860555
246,0.716538,0.870608
247,0.670419,0.848851
248,0.689098,0.856747
249,0.711492,0.867709
250,0.671809,0.848859
251,0.681299,0.85329
252,0.702846,0.862764
253,0.661975,0.844332
254,0.682532,0.852849
255,0.700351,0.8608
256,0.665321,0.844392
257,0.681388,0.850948
258,0.700065,0.859965
259,0.662042,0.842578
260,0.684621,0.851937
261,0.697843,0.858702
262,0.647732,0.837218
263,0.670263,0.845526
264,0.693694,0.855676
265,0.651683,0.837307
266,0.672558,0.848881
267,0.690782,0.855021
268,0.678973,0.852308
269,0.681787,0.850813
270,0.675402,0.849043
271,0.682974,0.850847
272,0.671205,0.847628
273,0.669911,0.84695
274,0.677838,0.850079
275,0.696049,0.854916
276,0.690675,0.853731
277,0.690624,0.853523
278,0.685713,0.852558
279,0.694978,0.8543
280,0.67113,0.843837
281,0.684238,0.848483
282,0.643702,0.831681
283,0.676448,0.844521
284,0.642286,0.831091
285,0.678527,0.844914
286,0.644174,0.830199
287,0.674901,0.842714
288,0.645888,0.830404
289,0.677801,0.843274
290,0.646714,0.831928
291,0.675484,0.844851
292,0.631384,0.828177
293,0.659327,0.837203
294,0.625782,0.825087
295,0.659329,0.836866
296,0.631589,0.829578
297,0.666935,0.842326
298,0.630787,0.829548
299,0.668346,0.843471
300,0.702184,0.859122
301,0.645115,0.836281
302,0.680803,0.849537
303,0.640518,0.830263
304,0.678617,0.84599
305,0.653917,0.833635
306,0.680791,0.846725
307,0.688086,0.850568
308,0.678166,0.84812
309,0.685792,0.850729
310,0.68407,0.851022
311,0.691335,0.852918
312,0.685676,0.851768
313,0.686875,0.852233
314,0.68467,0.85182
315,0.689891,0.853037
316,0.684315,0.851726
317,0.686031,0.852705
318,0.687094,0.852637
319,0.692746,0.854215
320,0.685331,0.852008
321,0.689011,0.853395
322,0.689408,0.853899
323,0.698835,0.856795
324,0.695751,0.856211
325,0.696362,0.856976
326,0.695011,0.85745
327,0.707371,0.860522
328,0.700898,0.859779
329,0.706325,0.861599
330,0.699681,0.860434
331,0.713055,0.864105
332,0.707923,0.863165
333,0.712613,0.865252
334,0.711135,0.865296
335,0.722456,0.868535
336,0.717317,0.867578
337,0.722043,0.869192
338,0.720871,0.869009
339,0.726891,0.871618
340,0.72312,0.870322
341,0.72846,0.872263
342,0.727361,0.872144
343,0.733413,0.87384
344,0.729547,0.872633
345,0.731557,0.87311
346,0.728838,0.872909
347,0.737056,0.875161
348,0.730821,0.876284
349,0.735589,0.877432
350,0.734645,0.877679
351,0.742161,0.879867
352,0.72666,0.87535
353,0.731641,0.875945
354,0.723545,0.873992
355,0.735339,0.876973
356,0.727021,0.874681
357,0.724145,0.873731
358,0.719675,0.871751
359,0.726758,0.87333
360,0.745543,0.883658
361,0.720055,0.877008
362,0.721828,0.876663
363,0.72014,0.876153
364,0.73529,0.880092
365,0.716216,0.875347
366,0.718766,0.87544
367,0.714205,0.874466
368,0.731608,0.877993
369,0.718537,0.874391
370,0.729698,0.879281
371,0.725179,0.878568
372,0.732851,0.880979
373,0.726875,0.879457
374,0.718493,0.875734
375,0.728007,0.878767
376,0.711401,0.874261
377,0.71204,0.873918
378,0.723611,0.876821
379,0.713491,0.874158
380,0.716556,0.875081
381,0.713385,0.87402
382,0.724627,0.876433
383,0.716838,0.87505
384,0.722788,0.876663
385,0.719488,0.876752
386,0.732333,0.879436
387,0.719754,0.876157
388,0.723406,0.874565
389,0.717077,0.873536
390,0.729333,0.876029
391,0.724679,0.875006
392,0.730709,0.876397
393,0.727782,0.875783
394,0.736029,0.87778
395,0.730251,0.876303
396,0.733759,0.87666
397,0.731666,0.875458
398,0.737496,0.876965
399,0.729303,0.875334
400,0.739037,0.881191
401,0.735263,0.880988
402,0.747895,0.884203
403,0.741218,0.882777
404,0.74407,0.8838
405,0.742099,0.884127
406,0.753211,0.886504
407,0.747977,0.885306
408,0.750131,0.885788
409,0.746694,0.885051
410,0.752363,0.886437
411,0.739002,0.882323
412,0.738049,0.881612
413,0.735741,0.880384
414,0.739042,0.881162
415,0.729031,0.878483
416,0.735249,0.880566
417,0.733634,0.880481
418,0.741022,0.882253
419,0.737953,0.881118
420,0.767087,0.895194
421,0.742254,0.888988
422,0.746176,0.88926
423,0.742263,0.8879
424,0.74863,0.888825
425,0.739966,0.886679
426,0.741716,0.88603
427,0.737458,0.884553
428,0.744179,0.886002
429,0.724521,0.881401
430,0.725357,0.880115
431,0.719571,0.87841
432,0.742468,0.883925
433,0.728774,0.881075
434,0.730916,0.881336
435,0.728472,0.880316
436,0.737302,0.88173
437,0.723015,0.878603
438,0.729722,0.87933
439,0.726792,0.878197
440,0.732932,0.879116
441,0.724472,0.876961
442,0.726498,0.877455
443,0.724298,0.876779
444,0.731602,0.878643
445,0.719206,0.878853
446,0.72243,0.878789
447,0.719215,0.877924
448,0.727905,0.879348
449,0.7212,0.877961
450,0.727184,0.879494
451,0.726308,0.879275
452,0.734603,0.881517
453,0.724844,0.879712
454,0.73051,0.880749
455,0.7281,0.879924
456,0.737582,0.882238
457,0.729666,0.880071
458,0.733706,0.881302
459,0.727384,0.879754
460,0.737276,0.881797
461,0.730041,0.880065
462,0.733565,0.882443
463,0.730777,0.881336
464,0.738048,0.882845
465,0.729414,0.880634
466,0.736468,0.882097
467,0.732926,0.881812
468,0.738494,0.883263
469,0.732211,0.881655
470,0.735214,0.883002
471,0.729598,0.881426
472,0.739983,0.884578
473,0.72866,0.881682
474,0.7335,0.883501
475,0.727705,0.882274
476,0.738031,0.884748
477,0.727888,0.881947
478,0.732545,0.883391
479,0.734051,0.88289
480,0.764015,0.895812
481,0.744387,0.8905
482,0.737517,0.888444
483,0.746118,0.889881
484,0.720687,0.883019
485,0.722415,0.883058
486,0.724957,0.884468
487,0.743669,0.888793
488,0.729215,0.885675
489,0.735179,0.886706
490,0.733214,0.886182
491,0.74078,0.887968
492,0.728077,0.885149
493,0.732807,0.886021
494,0.73272,0.886122
495,0.740163,0.887762
496,0.728232,0.884823
497,0.727657,0.88379
498,0.724234,0.882805
499,0.732578,0.884506
500,0.724832,0.882985
501,0.725841,0.882477
502,0.721588,0.88173
503,0.728965,0.883589
504,0.721346,0.882129
505,0.728298,0.884193
506,0.728685,0.884522
507,0.735159,0.886102
508,0.730624,0.882341
509,0.724401,0.881113
510,0.726689,0.881745
511,0.723184,0.881191
