Frame, eSSIM, SSIM
0,0.819726,0.943031
1,0.815824,0.937109
2,0.816013,0.938065
3,0.814142,0.936441
4,0.81543,0.939367
5,0.813234,0.935522
6,0.813816,0.936829
7,0.812541,0.935184
8,0.818387,0.938397
9,0.812299,0.934804
10,0.813529,0.936086
11,0.814443,0.934897
12,0.815703,0.937497
13,0.814697,0.934748
14,0.81245,0.935845
15,0.815587,0.934842
16,0.812745,0.937741
17,0.814647,0.935206
18,0.81334,0.93637
19,0.812685,0.93501
20,0.815694,0.93863
21,0.813836,0.935909
22,0.815914,0.93748
23,0.813482,0.9373
24,0.818226,0.940757
25,0.817347,0.940921
26,0.816053,0.941229
27,0.815749,0.941176
28,0.817342,0.94187
29,0.817756,0.94226
30,0.818477,0.942727
31,0.818369,0.942719
32,0.817562,0.943251
33,0.81715,0.943363
34,0.814626,0.941798
35,0.814828,0.94162
36,0.817034,0.943204
37,0.816877,0.943176
38,0.817261,0.943391
39,0.816637,0.943104
40,0.817563,0.943534
41,0.816091,0.943257
42,0.815481,0.942654
43,0.815304,0.942498
44,0.815194,0.942077
45,0.815016,0.941552
46,0.814003,0.939795
47,0.813941,0.940274
48,0.812045,0.939125
49,0.812925,0.940786
50,0.812269,0.938599
51,0.811941,0.939407
52,0.812375,0.938617
53,0.81299,0.941028
54,0.813291,0.938734
55,0.815642,0.939878
56,0.811785,0.938745
57,0.814449,0.941293
58,0.815005,0.939039
59,0.812956,0.939602
60,0.816596,0.946211
61,0.814112,0.941823
62,0.812737,0.943377
63,0.814632,0.943478
64,0.815507,0.943855
65,0.814867,0.943653
66,0.814507,0.943902
67,0.815348,0.943902
68,0.815624,0.94416
69,0.814842,0.9438
70,0.814547,0.943878
71,0.814344,0.943569
72,0.814608,0.943925
73,0.812733,0.943634
74,0.813522,0.943732
75,0.813489,0.943752
76,0.816515,0.944425
77,0.815295,0.943766
78,0.81524,0.943613
79,0.809777,0.940759
80,0.81566,0.943109
81,0.810181,0.940347
82,0.814245,0.941262
83,0.808399,0.939863
84,0.814882,0.942296
85,0.81163,0.93945
86,0.811344,0.93996
87,0.811906,0.939078
88,0.813638,0.941102
89,0.812414,0.938811
90,0.814447,0.941725
91,0.814306,0.940615
92,0.815731,0.942945
93,0.816359,0.940981
94,0.815764,0.942746
95,0.816329,0.942892
96,0.818125,0.943412
97,0.812499,0.941092
98,0.812373,0.941063
99,0.81216,0.940768
100,0.813599,0.941393
101,0.812797,0.941061
102,0.813184,0.941326
103,0.811512,0.941014
104,0.81409,0.941825
105,0.812676,0.941365
106,0.812928,0.941412
107,0.810727,0.940928
108,0.811902,0.941283
109,0.811043,0.940997
110,0.812268,0.941366
111,0.815462,0.943319
112,0.817548,0.943966
113,0.81474,0.943243
114,0.814659,0.943279
115,0.812776,0.943034
116,0.817506,0.943613
117,0.814897,0.940986
118,0.81573,0.940964
119,0.816575,0.941559
120,0.817885,0.945108
121,0.814317,0.941105
122,0.81364,0.941263
123,0.813708,0.941851
124,0.81332,0.937148
125,0.812544,0.939522
126,0.811536,0.940424
127,0.809771,0.937299
128,0.813262,0.938948
129,0.814951,0.939828
130,0.81022,0.936275
131,0.809041,0.936477
132,0.810174,0.938365
133,0.812612,0.935858
134,0.811522,0.936374
135,0.806972,0.935652
136,0.805861,0.932766
137,0.805734,0.933264
138,0.809931,0.9357
139,0.808939,0.933176
140,0.810869,0.935436
141,0.809386,0.936056
142,0.806972,0.935522
143,0.805769,0.93553
144,0.809232,0.935387
145,0.80918,0.935776
146,0.807722,0.934944
147,0.808053,0.935211
