Frame, eSSIM, SSIM
0,0.773091,0.899406
1,0.713309,0.870666
2,0.739113,0.881481
3,0.708402,0.867671
4,0.752059,0.889605
5,0.70309,0.866582
6,0.729213,0.877541
7,0.712236,0.869626
8,0.74985,0.886458
9,0.709058,0.868406
10,0.729316,0.877513
11,0.714723,0.869585
12,0.746442,0.885556
13,0.708976,0.867436
14,0.733988,0.878296
15,0.717295,0.87084
16,0.747349,0.885587
17,0.721227,0.872808
18,0.739117,0.879878
19,0.717546,0.870255
20,0.753157,0.887371
21,0.725539,0.874259
22,0.74399,0.882624
23,0.731905,0.877107
24,0.762609,0.892347
25,0.757148,0.891718
26,0.760387,0.892872
27,0.757955,0.893075
28,0.767251,0.895532
29,0.764685,0.895827
30,0.768072,0.897284
31,0.767978,0.89797
32,0.773163,0.899349
33,0.770497,0.899698
34,0.771827,0.899706
35,0.769398,0.899582
36,0.778301,0.90412
37,0.774081,0.90402
38,0.778507,0.905651
39,0.775796,0.905249
40,0.784783,0.907424
41,0.785139,0.90847
42,0.779273,0.906062
43,0.778124,0.904566
44,0.769485,0.89956
45,0.781658,0.906382
46,0.756713,0.892175
47,0.76922,0.899105
48,0.754923,0.892432
49,0.776461,0.904244
50,0.760541,0.895066
51,0.769053,0.899569
52,0.760981,0.894908
53,0.778327,0.905022
54,0.761352,0.894611
55,0.772608,0.90023
56,0.761674,0.895666
57,0.779407,0.905405
58,0.75944,0.894754
59,0.770578,0.900837
60,0.801784,0.92482
61,0.775801,0.906694
62,0.784751,0.914333
63,0.783723,0.914306
64,0.791499,0.918842
65,0.784168,0.917099
66,0.786717,0.91777
67,0.785502,0.917235
68,0.789172,0.917818
69,0.784053,0.916564
70,0.785668,0.916831
71,0.781474,0.915384
72,0.784573,0.916078
73,0.778479,0.914847
74,0.781308,0.915177
75,0.778778,0.914566
76,0.787212,0.916014
77,0.779093,0.912765
78,0.776564,0.909329
79,0.761825,0.90081
80,0.783585,0.912402
81,0.757155,0.898588
82,0.77166,0.903877
83,0.754459,0.897143
84,0.783383,0.91127
85,0.760143,0.897232
86,0.76938,0.90251
87,0.764243,0.898812
88,0.781542,0.909809
89,0.761388,0.895972
90,0.770142,0.902357
91,0.759999,0.898025
92,0.781488,0.909517
93,0.768538,0.900986
94,0.777265,0.907299
95,0.77577,0.90861
96,0.786174,0.911639
97,0.775031,0.908126
98,0.777414,0.908689
99,0.775923,0.907999
100,0.782788,0.909528
101,0.776688,0.90877
102,0.780289,0.909933
103,0.775985,0.909165
104,0.786764,0.911988
