Frame, eSSIM, SSIM
0,0.843906,0.948333
1,0.836835,0.945555
2,0.835161,0.945262
3,0.829992,0.942986
4,0.835815,0.944596
5,0.825466,0.940378
6,0.822965,0.939732
7,0.821698,0.938814
8,0.834677,0.943824
9,0.815387,0.93704
10,0.81762,0.938222
11,0.808445,0.934884
12,0.829704,0.942127
13,0.810321,0.936009
14,0.817316,0.937621
15,0.80779,0.934716
16,0.82767,0.941329
17,0.804072,0.933661
18,0.812309,0.936419
19,0.812082,0.936891
20,0.830049,0.941932
21,0.824495,0.940064
22,0.823254,0.940209
23,0.820208,0.939272
24,0.828627,0.941896
25,0.81497,0.938824
26,0.819715,0.939922
27,0.814812,0.938656
28,0.827948,0.942439
29,0.812933,0.938732
30,0.825073,0.941706
31,0.825358,0.94184
32,0.845971,0.949071
33,0.834326,0.946287
34,0.842454,0.947739
35,0.833211,0.945179
36,0.861285,0.954
37,0.849102,0.950172
38,0.8506,0.950163
39,0.849537,0.951159
40,0.866505,0.956717
41,0.849905,0.951523
42,0.860207,0.954641
43,0.860575,0.954909
44,0.870713,0.957519
45,0.858365,0.954618
46,0.861357,0.955247
47,0.856679,0.95416
48,0.866441,0.956538
49,0.856602,0.953844
50,0.862409,0.955104
51,0.859151,0.954346
52,0.86974,0.957433
53,0.856027,0.953786
54,0.861519,0.954574
55,0.855164,0.952936
56,0.866585,0.955718
57,0.851924,0.951986
58,0.859072,0.953562
59,0.86052,0.953719
60,0.900973,0.970518
61,0.869908,0.961431
62,0.867362,0.960806
63,0.8671,0.960111
64,0.888738,0.965786
65,0.863532,0.958626
66,0.868586,0.959421
67,0.867694,0.95934
68,0.884246,0.963487
69,0.86839,0.958433
70,0.877241,0.961939
71,0.866901,0.957901
72,0.881945,0.962831
73,0.859818,0.954256
74,0.876085,0.960649
75,0.856922,0.953964
76,0.851572,0.952593
77,0.848767,0.950669
78,0.860836,0.955546
79,0.835812,0.948625
80,0.858857,0.955554
81,0.824106,0.94475
82,0.836273,0.948004
83,0.853642,0.953168
84,0.831842,0.947322
85,0.842395,0.950072
86,0.833416,0.948255
87,0.854777,0.953221
88,0.834829,0.947811
89,0.843566,0.949607
90,0.833305,0.947687
91,0.85418,0.954122
92,0.841746,0.950542
93,0.84354,0.950555
94,0.829112,0.947273
95,0.853494,0.953474
96,0.833218,0.947842
97,0.842616,0.951048
98,0.842327,0.951088
99,0.860214,0.95465
100,0.844507,0.949363
101,0.845351,0.94903
102,0.868028,0.956681
103,0.855708,0.953023
104,0.870688,0.957462
105,0.854956,0.953103
106,0.873533,0.95855
107,0.84356,0.948966
108,0.854528,0.952598
109,0.868084,0.956922
110,0.83121,0.946867
111,0.843802,0.94872
112,0.834257,0.947153
113,0.866791,0.956495
114,0.848836,0.950143
115,0.863126,0.956496
116,0.835059,0.94549
117,0.84274,0.948759
118,0.836072,0.94624
119,0.871171,0.958881
120,0.903017,0.971296
121,0.848649,0.954865
122,0.855332,0.956621
123,0.865294,0.959418
124,0.878407,0.963196
125,0.853486,0.955278
126,0.861183,0.956613
127,0.852544,0.954873
128,0.867996,0.958104
129,0.849169,0.951158
130,0.861841,0.954522
131,0.845179,0.948146
132,0.85628,0.950484
133,0.837546,0.944553
134,0.854985,0.951123
135,0.837996,0.945913
136,0.84848,0.948658
137,0.826638,0.941474
138,0.831628,0.943008
139,0.8417,0.94675
140,0.822771,0.941212
141,0.837941,0.945301
142,0.82208,0.939353
143,0.822329,0.940189
144,0.83186,0.942306
145,0.820366,0.93842
146,0.831904,0.941654
147,0.817223,0.935952
148,0.831024,0.940205
149,0.812615,0.933842
150,0.830738,0.94094
151,0.813351,0.933914
152,0.829342,0.938843
153,0.785896,0.926199
154,0.800291,0.929274
155,0.829152,0.938679
156,0.808161,0.931361
157,0.828643,0.938414
158,0.790703,0.926752
159,0.800761,0.929368
160,0.825342,0.937375
161,0.796178,0.92786
162,0.803369,0.929753
163,0.819618,0.93484
164,0.794227,0.92616
165,0.801108,0.92798
166,0.81552,0.932819
167,0.795705,0.926914
168,0.798161,0.928532
169,0.802986,0.930353
170,0.781025,0.923044
171,0.794194,0.926097
172,0.803339,0.929565
173,0.786772,0.923717
174,0.798842,0.927104
175,0.778057,0.920233
176,0.789166,0.924276
177,0.783748,0.921041
178,0.792121,0.923396
179,0.781227,0.919842
180,0.849456,0.94409
181,0.807632,0.931223
182,0.793683,0.926652
183,0.790466,0.925079
184,0.786001,0.925768
185,0.790156,0.929619
186,0.795311,0.932126
187,0.781005,0.928332
188,0.792869,0.930951
189,0.77979,0.926395
190,0.793437,0.927792
191,0.790407,0.927209
192,0.811361,0.933121
193,0.796882,0.928175
194,0.823009,0.936855
195,0.809132,0.93144
196,0.831182,0.939619
197,0.8182,0.935548
198,0.83171,0.939252
199,0.81885,0.936266
200,0.823898,0.936687
201,0.831819,0.938032
202,0.81334,0.931772
203,0.827433,0.936678
204,0.796965,0.927801
205,0.816205,0.933832
206,0.796931,0.928161
207,0.815936,0.93458
208,0.801466,0.930336
209,0.818726,0.935827
210,0.803856,0.931499
211,0.823027,0.938603
212,0.804673,0.932279
213,0.828749,0.941098
214,0.81584,0.935936
215,0.826674,0.939675
216,0.818703,0.937435
217,0.83527,0.942526
218,0.816456,0.937154
219,0.822905,0.939686
220,0.816305,0.937782
221,0.832013,0.94136
222,0.815622,0.935978
223,0.819599,0.937832
224,0.834586,0.942347
225,0.814219,0.937317
226,0.818612,0.938281
227,0.828798,0.941387
228,0.810643,0.935581
229,0.815819,0.936976
230,0.826592,0.940293
231,0.810001,0.935648
232,0.827043,0.941162
233,0.793541,0.930131
234,0.806743,0.934809
235,0.827654,0.941434
236,0.801701,0.933903
237,0.81132,0.936575
238,0.821951,0.940337
239,0.812889,0.936576
240,0.875182,0.960732
241,0.806406,0.939052
242,0.817553,0.942231
243,0.833089,0.94807
244,0.805096,0.938049
245,0.836805,0.949007
246,0.795473,0.935391
247,0.806769,0.93964
248,0.828043,0.945568
249,0.777592,0.930656
250,0.780629,0.929964
251,0.763043,0.925467
252,0.836122,0.947403
253,0.81976,0.940973
254,0.845215,0.94933
255,0.831736,0.945087
