Frame, eSSIM, SSIM
0,0.868774,0.961543
1,0.863231,0.958558
2,0.863093,0.958781
3,0.858954,0.956317
4,0.864756,0.958618
5,0.857719,0.955139
6,0.856296,0.955052
7,0.855285,0.954223
8,0.863245,0.957877
9,0.85203,0.952927
10,0.854361,0.953927
11,0.848662,0.951772
12,0.860863,0.956987
13,0.850064,0.952664
14,0.854257,0.953791
15,0.847799,0.951433
16,0.858342,0.956163
17,0.84706,0.951076
18,0.853401,0.953468
19,0.851395,0.953472
20,0.861036,0.956853
21,0.855375,0.954742
22,0.855436,0.955052
23,0.852054,0.954024
24,0.858188,0.956462
25,0.851013,0.954019
26,0.85371,0.954933
27,0.851606,0.954153
28,0.858298,0.956625
29,0.849823,0.954241
30,0.854981,0.95579
31,0.854648,0.955582
32,0.881046,0.962661
33,0.87374,0.960883
34,0.878434,0.961632
35,0.872239,0.959719
36,0.892081,0.967069
37,0.88156,0.963267
38,0.883384,0.963469
39,0.880101,0.963508
40,0.894145,0.968223
41,0.882249,0.963866
42,0.886775,0.965966
43,0.889609,0.966637
44,0.897108,0.968984
45,0.887206,0.966078
46,0.890167,0.967
47,0.887636,0.966151
48,0.894095,0.967981
49,0.8867,0.965527
50,0.890444,0.96658
51,0.888798,0.96601
52,0.89721,0.968638
53,0.886635,0.965639
54,0.889543,0.966241
55,0.886546,0.965334
56,0.893859,0.967577
57,0.883895,0.964304
58,0.887766,0.9652
59,0.890084,0.965612
60,0.910188,0.976156
61,0.883964,0.96768
62,0.884416,0.967992
63,0.885067,0.967653
64,0.904571,0.973244
65,0.886869,0.967235
66,0.888581,0.967247
67,0.88786,0.967419
68,0.901423,0.971525
69,0.891774,0.967399
70,0.896505,0.970536
71,0.886801,0.966689
72,0.901016,0.971406
73,0.889654,0.965401
74,0.898482,0.970161
75,0.883769,0.964802
76,0.887692,0.965027
77,0.884703,0.964292
78,0.891335,0.967507
79,0.879809,0.963298
80,0.889804,0.967024
81,0.869154,0.958956
82,0.874183,0.961688
83,0.886349,0.965013
84,0.870392,0.96004
85,0.878183,0.962067
86,0.870857,0.960053
87,0.885086,0.964415
88,0.866276,0.95901
89,0.874347,0.960934
90,0.863346,0.9588
91,0.880293,0.964674
92,0.872233,0.961001
93,0.876431,0.961455
94,0.859186,0.95818
95,0.882434,0.96461
96,0.867466,0.959978
97,0.874732,0.962727
98,0.872542,0.962161
99,0.886984,0.965
100,0.873619,0.960345
101,0.876937,0.960931
102,0.89091,0.966216
103,0.880884,0.96341
104,0.891018,0.966199
105,0.87711,0.961641
106,0.893217,0.967011
107,0.867855,0.958556
108,0.878109,0.962311
109,0.889883,0.966381
110,0.85284,0.956111
111,0.867759,0.958118
112,0.856912,0.956003
113,0.888028,0.965656
114,0.876947,0.96114
115,0.884607,0.965526
116,0.858995,0.955374
117,0.867427,0.958625
118,0.860373,0.955724
119,0.89204,0.967519
120,0.912089,0.977165
121,0.876009,0.96412
122,0.88023,0.964914
123,0.885248,0.966796
124,0.899438,0.971463
125,0.879891,0.964698
126,0.885384,0.966158
127,0.878672,0.964664
128,0.891244,0.967578
129,0.874734,0.961107
130,0.885903,0.964479
131,0.875846,0.960179
132,0.886959,0.962505
133,0.868254,0.956733
134,0.881653,0.961949
135,0.867093,0.957248
136,0.875646,0.959327
137,0.854842,0.952598
138,0.862277,0.954572
139,0.872074,0.958334
140,0.854644,0.953757
141,0.871361,0.957494
142,0.854236,0.952255
143,0.856504,0.953035
144,0.864748,0.955347
145,0.855337,0.951783
146,0.86329,0.954236
147,0.851223,0.949212
148,0.861894,0.952607
149,0.847274,0.947413
150,0.861565,0.953265
151,0.846613,0.947823
152,0.864957,0.952751
153,0.829234,0.941813
154,0.8444,0.945323
155,0.862709,0.95157
156,0.845435,0.946178
157,0.860761,0.951461
158,0.830815,0.941996
159,0.839982,0.944338
160,0.857427,0.950447
161,0.833501,0.942563
162,0.840613,0.944548
163,0.85625,0.949488
164,0.832245,0.940967
165,0.838441,0.942682
166,0.851428,0.947259
167,0.831978,0.941707
168,0.835311,0.943323
169,0.83506,0.944371
170,0.826723,0.939871
171,0.836161,0.942251
172,0.844878,0.945381
173,0.835217,0.941655
174,0.843028,0.943612
175,0.828971,0.939373
176,0.84111,0.942913
177,0.825778,0.937685
178,0.837563,0.940685
179,0.832982,0.93871
180,0.876661,0.95641
181,0.844685,0.945046
182,0.834588,0.941934
183,0.83103,0.940301
184,0.832611,0.941159
185,0.834125,0.944325
186,0.839677,0.94659
187,0.822872,0.942924
188,0.838102,0.946409
189,0.825588,0.942691
190,0.83505,0.943888
191,0.833979,0.943659
192,0.852167,0.948369
193,0.840972,0.944699
194,0.858978,0.950545
195,0.845603,0.945651
196,0.866744,0.953069
197,0.855977,0.950175
198,0.868623,0.95342
199,0.857189,0.950565
200,0.859967,0.950412
201,0.867193,0.951744
202,0.849974,0.946017
203,0.862414,0.950344
204,0.845374,0.945208
205,0.85596,0.949635
206,0.841301,0.944779
207,0.85542,0.949912
208,0.845337,0.946278
209,0.857836,0.950795
210,0.844463,0.946907
211,0.861099,0.952995
212,0.84773,0.948306
213,0.866799,0.955032
214,0.853729,0.950444
215,0.863171,0.953661
216,0.853336,0.950997
217,0.868302,0.955339
218,0.848714,0.950092
219,0.855577,0.951924
220,0.84908,0.950515
221,0.868018,0.954541
222,0.848188,0.948579
223,0.849216,0.949681
224,0.867575,0.954726
225,0.849655,0.950326
226,0.852567,0.950648
227,0.860895,0.953357
228,0.84482,0.948136
229,0.848158,0.949085
230,0.859243,0.952455
231,0.842651,0.948072
232,0.859389,0.953084
233,0.825115,0.942294
234,0.841098,0.947348
235,0.860745,0.953477
236,0.831157,0.945472
237,0.842968,0.948306
238,0.855536,0.952699
239,0.849515,0.949879
240,0.891644,0.967912
241,0.838632,0.948214
242,0.848065,0.951566
243,0.866478,0.95922
244,0.838433,0.948911
245,0.866776,0.959638
246,0.829848,0.947037
247,0.848607,0.952944
248,0.866766,0.958454
249,0.819508,0.944789
250,0.837909,0.949187
251,0.813843,0.941453
252,0.87655,0.960271
253,0.864849,0.956179
254,0.882021,0.961772
255,0.874216,0.959515
256,0.886367,0.963456
257,0.871505,0.960246
258,0.886836,0.96566
259,0.873084,0.960077
260,0.876119,0.960026
261,0.864979,0.957607
262,0.88551,0.96267
263,0.864669,0.956575
264,0.869019,0.957696
265,0.864789,0.956746
266,0.876781,0.960629
267,0.862205,0.957019
268,0.873792,0.960226
269,0.869471,0.958776
270,0.883523,0.962642
271,0.867721,0.958558
272,0.870295,0.958916
273,0.867968,0.957172
274,0.875897,0.96102
275,0.870633,0.958629
276,0.889847,0.964427
277,0.872809,0.959687
278,0.888151,0.964669
279,0.87274,0.960063
280,0.878009,0.960874
281,0.869366,0.95868
282,0.887197,0.963961
283,0.868702,0.958771
284,0.875045,0.9605
285,0.866434,0.957506
286,0.881659,0.962735
287,0.872761,0.959413
288,0.890796,0.964476
289,0.875526,0.960856
290,0.887933,0.965629
291,0.875004,0.961145
