Frame, eSSIM, SSIM
0,0.748245,0.910529
1,0.746401,0.90939
2,0.746661,0.909212
3,0.741091,0.907176
4,0.737314,0.906098
5,0.731204,0.903209
6,0.721946,0.900826
7,0.727065,0.901807
8,0.730763,0.903515
9,0.723735,0.900236
10,0.718207,0.899012
11,0.719124,0.899107
12,0.726041,0.902138
13,0.718152,0.898521
14,0.717238,0.898519
15,0.715607,0.897525
16,0.724737,0.901306
17,0.713949,0.897117
18,0.720646,0.899089
19,0.724062,0.900364
20,0.729417,0.902533
21,0.727509,0.901754
22,0.729443,0.902461
23,0.729186,0.902195
24,0.732617,0.903513
25,0.725836,0.902013
26,0.723626,0.902453
27,0.729775,0.903544
28,0.733019,0.905015
29,0.727994,0.904436
30,0.734273,0.906412
31,0.737038,0.907279
32,0.747087,0.914754
33,0.746372,0.91438
34,0.746737,0.914578
35,0.737987,0.912591
36,0.772675,0.922564
37,0.755615,0.917883
38,0.756308,0.91773
39,0.766668,0.921213
40,0.780607,0.925805
41,0.757623,0.919698
42,0.76063,0.921247
43,0.772218,0.923665
44,0.78469,0.926894
45,0.763263,0.922305
46,0.772967,0.92405
47,0.761239,0.921914
48,0.776706,0.92512
49,0.759202,0.921201
50,0.763881,0.922551
51,0.770047,0.923556
52,0.78259,0.927471
53,0.7745,0.92448
54,0.77167,0.923699
55,0.771678,0.922948
56,0.780716,0.925466
57,0.765726,0.921559
58,0.771281,0.923331
59,0.771803,0.923403
60,0.850872,0.950524
61,0.802868,0.93931
62,0.80309,0.938442
63,0.801714,0.936049
64,0.817496,0.940493
65,0.789662,0.932823
66,0.795984,0.933652
67,0.800094,0.935182
68,0.810657,0.938336
69,0.791329,0.932672
70,0.801856,0.934551
71,0.774073,0.925544
72,0.806682,0.935098
73,0.780521,0.92735
74,0.812307,0.937297
75,0.798227,0.932696
76,0.775226,0.926552
77,0.768655,0.922238
78,0.788269,0.930778
79,0.74867,0.917672
80,0.788565,0.930046
81,0.745869,0.91729
82,0.759171,0.921219
83,0.771851,0.925253
84,0.747968,0.918758
85,0.760189,0.923081
86,0.750501,0.919809
87,0.770969,0.925477
88,0.756512,0.920217
89,0.762846,0.920972
90,0.75081,0.918468
91,0.772195,0.926607
92,0.753403,0.922058
93,0.761232,0.922829
94,0.757528,0.920955
95,0.776188,0.92657
96,0.755478,0.920276
97,0.766827,0.924378
98,0.770991,0.925863
99,0.782312,0.928591
100,0.765378,0.923408
101,0.765786,0.92241
102,0.79206,0.929951
103,0.768632,0.92381
104,0.793844,0.929875
105,0.77516,0.924267
106,0.804861,0.933995
107,0.773566,0.923884
108,0.773208,0.92427
109,0.797448,0.931695
110,0.772043,0.924563
111,0.77466,0.924412
112,0.764549,0.922706
113,0.796343,0.931273
114,0.76874,0.921889
115,0.797824,0.93158
116,0.73771,0.913118
117,0.755876,0.918158
118,0.742915,0.915549
119,0.801759,0.934144
120,0.858397,0.952623
121,0.785362,0.933242
122,0.791815,0.934534
123,0.796902,0.937076
124,0.812369,0.940805
125,0.780791,0.931086
126,0.78365,0.931319
127,0.777596,0.930432
128,0.799852,0.933225
129,0.775242,0.925367
130,0.793024,0.930013
131,0.767483,0.921286
132,0.790757,0.926828
133,0.762214,0.918168
134,0.783726,0.925803
135,0.760191,0.917862
136,0.776931,0.921739
137,0.751812,0.913593
138,0.75623,0.915324
139,0.771218,0.920045
140,0.747932,0.913604
141,0.767486,0.918622
142,0.749394,0.912087
143,0.753774,0.912797
144,0.766585,0.915703
145,0.75285,0.911207
146,0.760879,0.913073
147,0.741954,0.90654
148,0.753227,0.910002
149,0.729439,0.901892
150,0.750953,0.909908
151,0.72112,0.898821
152,0.746494,0.907017
153,0.710373,0.894861
154,0.712741,0.893414
155,0.747147,0.905453
156,0.726667,0.898322
157,0.748722,0.906582
158,0.72938,0.899214
159,0.736905,0.900781
160,0.746789,0.905848
161,0.714234,0.894377
162,0.731376,0.898914
163,0.743165,0.90317
164,0.719799,0.894856
165,0.725947,0.895529
166,0.738703,0.900008
167,0.718043,0.893674
168,0.724671,0.896241
169,0.733701,0.899265
170,0.710856,0.890086
171,0.715936,0.892825
172,0.727025,0.896362
173,0.704971,0.888925
174,0.718045,0.893026
175,0.699834,0.885861
176,0.71227,0.891023
177,0.700276,0.886482
178,0.708513,0.888616
179,0.701865,0.885587
180,0.782541,0.918771
181,0.741462,0.904179
182,0.734975,0.900475
183,0.728964,0.89951
184,0.72847,0.901043
185,0.729935,0.90511
186,0.731175,0.906339
187,0.717612,0.902251
188,0.730158,0.904517
189,0.712608,0.898614
190,0.724474,0.898791
191,0.719491,0.898403
192,0.74092,0.904628
193,0.730532,0.900336
194,0.749137,0.907797
195,0.732768,0.901007
196,0.75913,0.911065
197,0.748666,0.907892
198,0.762208,0.911045
199,0.752072,0.908371
200,0.751504,0.907902
201,0.760766,0.909446
202,0.73992,0.903651
203,0.756905,0.908208
204,0.734571,0.901237
205,0.751956,0.907475
206,0.740844,0.904091
207,0.752312,0.908857
208,0.740969,0.905634
209,0.755377,0.910088
210,0.743531,0.907203
211,0.757736,0.912859
212,0.738819,0.906996
213,0.763499,0.915669
214,0.749101,0.910179
215,0.760671,0.913146
216,0.753075,0.912145
217,0.767658,0.916424
218,0.74666,0.911083
219,0.756761,0.913535
220,0.751517,0.912427
221,0.767262,0.915824
222,0.751254,0.911612
223,0.756873,0.913172
224,0.764685,0.915269
225,0.747698,0.911884
226,0.752299,0.911566
227,0.761077,0.914214
228,0.742286,0.90837
229,0.744263,0.908212
230,0.755713,0.911258
231,0.74317,0.908125
232,0.754758,0.912512
233,0.730898,0.903834
234,0.73905,0.90645
235,0.762247,0.913993
236,0.742196,0.908252
237,0.743028,0.908867
238,0.754948,0.912996
239,0.745236,0.908549
240,0.82243,0.940113
241,0.739577,0.917576
242,0.750322,0.918074
243,0.764234,0.922221
244,0.730298,0.910977
245,0.768146,0.925634
246,0.73549,0.913316
247,0.734646,0.914097
248,0.759699,0.922254
249,0.726006,0.911089
250,0.715425,0.905968
251,0.712308,0.904432
252,0.762896,0.923192
253,0.743607,0.916653
254,0.772031,0.925507
255,0.76739,0.922305
256,0.787814,0.927583
257,0.75783,0.91874
258,0.793945,0.930857
259,0.7539,0.916951
260,0.761961,0.918602
261,0.750505,0.916546
262,0.777698,0.924584
263,0.751696,0.914542
264,0.752814,0.914665
265,0.752515,0.915292
266,0.771486,0.921283
267,0.754732,0.91568
268,0.761749,0.919996
269,0.755765,0.918225
270,0.777328,0.92461
271,0.760546,0.920071
272,0.763546,0.919726
273,0.761359,0.918561
274,0.777608,0.923401
275,0.763832,0.918253
276,0.794488,0.928168
277,0.756877,0.915829
278,0.787655,0.926459
279,0.752607,0.916232
280,0.767037,0.919513
281,0.75224,0.916778
282,0.788538,0.926479
283,0.75456,0.916741
284,0.764762,0.91881
285,0.756093,0.915244
286,0.782845,0.924959
287,0.766035,0.919729
288,0.78875,0.927342
289,0.771253,0.922249
290,0.79629,0.930972
291,0.775942,0.925295
292,0.80377,0.932204
293,0.767564,0.920333
294,0.776401,0.922266
295,0.767949,0.921377
