Frame, eSSIM, SSIM
0,0.776045,0.920411
1,0.772494,0.918728
2,0.772081,0.918535
3,0.765491,0.916201
4,0.76298,0.915624
5,0.755272,0.912236
6,0.744906,0.909584
7,0.751621,0.911174
8,0.759179,0.914163
9,0.745627,0.909363
10,0.735362,0.907645
11,0.732633,0.906321
12,0.753307,0.912126
13,0.732157,0.905833
14,0.740447,0.907949
15,0.732522,0.905994
16,0.755825,0.91272
17,0.73241,0.906531
18,0.740486,0.908471
19,0.749811,0.910933
20,0.75794,0.914064
21,0.756653,0.913787
22,0.758571,0.914735
23,0.759495,0.915111
24,0.76391,0.916928
25,0.74884,0.91485
26,0.758605,0.917361
27,0.756864,0.917637
28,0.782106,0.923286
29,0.762333,0.919635
30,0.777819,0.923347
31,0.78513,0.925224
32,0.805199,0.933744
33,0.794356,0.931243
34,0.803369,0.932804
35,0.787955,0.929528
36,0.82139,0.938601
37,0.80296,0.933211
38,0.80483,0.93306
39,0.805093,0.933958
40,0.823028,0.939493
41,0.801557,0.93362
42,0.809755,0.936638
43,0.811851,0.936917
44,0.828994,0.941111
45,0.812808,0.937467
46,0.81974,0.93914
47,0.81195,0.937684
48,0.828721,0.941584
49,0.812442,0.937635
50,0.822657,0.940079
51,0.816013,0.938553
52,0.832577,0.943026
53,0.81359,0.93796
54,0.815518,0.937997
55,0.814344,0.937271
56,0.824453,0.939902
57,0.806866,0.935333
58,0.816068,0.937534
59,0.81424,0.93703
60,0.874267,0.95922
61,0.833591,0.949398
62,0.835386,0.948877
63,0.830067,0.946454
64,0.847222,0.951001
65,0.822969,0.944424
66,0.829773,0.945342
67,0.828201,0.945359
68,0.839503,0.948319
69,0.814666,0.941248
70,0.826886,0.944492
71,0.796134,0.934454
72,0.830212,0.943904
73,0.802501,0.93518
74,0.832429,0.944891
75,0.813428,0.938905
76,0.801096,0.935607
77,0.788442,0.930598
78,0.812462,0.939221
79,0.779319,0.928563
80,0.814658,0.938771
81,0.770288,0.926501
82,0.782108,0.930244
83,0.803058,0.936091
84,0.779352,0.93
85,0.786956,0.932092
86,0.77566,0.929526
87,0.80073,0.935156
88,0.782451,0.929637
89,0.792717,0.931149
90,0.783675,0.929805
91,0.807053,0.937688
92,0.788968,0.933095
93,0.796817,0.934007
94,0.788086,0.931581
95,0.808346,0.937228
96,0.787318,0.931503
97,0.798441,0.934509
98,0.800754,0.934948
99,0.811514,0.93747
100,0.797383,0.932987
101,0.795836,0.931583
102,0.820416,0.93929
103,0.800528,0.93489
104,0.822441,0.940175
105,0.807033,0.935246
106,0.833616,0.943978
107,0.804277,0.934347
108,0.80417,0.934561
109,0.82316,0.941053
110,0.799457,0.934524
