Frame, eSSIM, SSIM
0,0.886611,0.96013
1,0.873339,0.955772
2,0.867484,0.95518
3,0.858082,0.951744
4,0.865241,0.953945
5,0.849036,0.947927
6,0.838091,0.945832
7,0.831743,0.943368
8,0.862833,0.952303
9,0.832212,0.943168
10,0.833443,0.944398
11,0.822999,0.941468
12,0.858396,0.9508
13,0.784897,0.932766
14,0.796905,0.933832
15,0.774487,0.927709
16,0.81324,0.938888
17,0.78029,0.928457
18,0.793985,0.932631
19,0.806339,0.937038
20,0.838045,0.946206
21,0.831349,0.943936
22,0.829492,0.944465
23,0.83003,0.94465
24,0.855391,0.951426
25,0.829598,0.946511
26,0.847577,0.949825
27,0.841714,0.948759
28,0.871454,0.955878
29,0.844732,0.950745
30,0.859681,0.953716
31,0.861756,0.953744
32,0.883565,0.961085
33,0.864514,0.956137
34,0.874447,0.958061
35,0.850168,0.952273
36,0.890009,0.963889
37,0.862954,0.955443
38,0.873164,0.957993
39,0.865586,0.95638
40,0.892605,0.96426
41,0.866076,0.957135
42,0.875512,0.960101
43,0.875044,0.959528
44,0.896229,0.964992
45,0.875828,0.960174
46,0.881929,0.961961
47,0.87604,0.960427
48,0.895779,0.964881
49,0.877532,0.960641
50,0.888871,0.962969
51,0.87663,0.960594
52,0.899852,0.96606
53,0.877574,0.960179
54,0.880869,0.961141
55,0.874098,0.958836
56,0.889549,0.96325
57,0.874175,0.958672
58,0.879629,0.959973
59,0.874562,0.959382
60,0.943621,0.980755
61,0.877128,0.965909
62,0.879245,0.965948
63,0.87646,0.963568
64,0.900591,0.969769
65,0.865534,0.960741
66,0.878788,0.963255
67,0.876977,0.962963
68,0.898017,0.968349
69,0.872338,0.961182
70,0.879974,0.963477
71,0.84811,0.952347
72,0.873887,0.960018
73,0.850338,0.951286
74,0.879569,0.960735
75,0.858078,0.954533
76,0.85033,0.954815
77,0.829084,0.947383
78,0.864413,0.957375
79,0.826252,0.94564
80,0.864007,0.956459
81,0.813831,0.944256
82,0.859151,0.955153
83,0.825251,0.947032
84,0.855498,0.955032
85,0.843477,0.952254
86,0.86204,0.956686
87,0.837128,0.950124
88,0.867283,0.958115
89,0.834793,0.949146
90,0.840383,0.951343
91,0.840927,0.952682
92,0.871782,0.959019
93,0.846067,0.952984
94,0.866222,0.957898
95,0.83529,0.9482
96,0.844904,0.950424
97,0.836519,0.948984
98,0.871551,0.958829
99,0.853627,0.953834
100,0.869326,0.95754
101,0.848271,0.949421
102,0.867924,0.955861
103,0.837402,0.948516
104,0.861541,0.953833
105,0.864194,0.954385
106,0.872053,0.95608
107,0.84647,0.94853
108,0.865704,0.955112
109,0.837117,0.947807
110,0.85893,0.953577
111,0.829169,0.945668
112,0.853012,0.951907
113,0.833377,0.945532
114,0.851222,0.949967
115,0.825666,0.944146
116,0.855354,0.950458
117,0.822959,0.94098
118,0.848925,0.949208
119,0.830073,0.945702
120,0.917879,0.970341
121,0.839024,0.951553
122,0.870562,0.959647
123,0.851283,0.95451
124,0.873161,0.959386
125,0.84652,0.951457
126,0.83992,0.95074
127,0.865578,0.957309
128,0.838971,0.948186
129,0.854078,0.951827
130,0.822637,0.940887
131,0.837162,0.944773
132,0.834271,0.942624
133,0.833226,0.94293
134,0.83815,0.944785
135,0.815279,0.938272
136,0.828857,0.941897
137,0.806151,0.93429
138,0.830332,0.941712
139,0.799902,0.933081
140,0.818404,0.938897
141,0.802411,0.933367
142,0.818998,0.938193
143,0.803127,0.93375
144,0.822419,0.93893
145,0.810507,0.934169
146,0.819451,0.93708
147,0.797252,0.929406
148,0.813372,0.934155
149,0.795452,0.927304
150,0.819841,0.936744
151,0.791155,0.926526
152,0.813088,0.933462
153,0.783799,0.923901
154,0.808469,0.932088
155,0.77916,0.921431
156,0.809726,0.932065
157,0.785675,0.923373
158,0.806796,0.93073
159,0.790947,0.924581
160,0.811458,0.931995
161,0.790272,0.924428
162,0.813061,0.931764
163,0.791943,0.924657
164,0.810731,0.930476
165,0.788592,0.922845
166,0.799805,0.92733
167,0.784408,0.922764
168,0.797267,0.92825
169,0.777878,0.920804
170,0.798033,0.926596
171,0.775508,0.919629
172,0.790899,0.92406
173,0.765295,0.916109
174,0.782205,0.921011
175,0.758918,0.912972
176,0.778524,0.918712
177,0.76123,0.913135
178,0.770425,0.916005
179,0.771095,0.915799
180,0.866304,0.948628
181,0.800999,0.929129
182,0.792292,0.926452
183,0.790427,0.924725
184,0.784739,0.923714
185,0.783103,0.925282
186,0.780699,0.924375
187,0.773203,0.923447
188,0.75371,0.915111
189,0.770189,0.922018
190,0.756078,0.913691
191,0.789114,0.924479
192,0.781985,0.922179
193,0.797047,0.926291
194,0.781604,0.922185
195,0.806799,0.928984
196,0.790864,0.925139
197,0.80742,0.930551
198,0.801412,0.92743
199,0.812671,0.931353
200,0.803369,0.928865
201,0.817006,0.931745
202,0.793103,0.925015
203,0.822489,0.933121
204,0.788442,0.923462
205,0.816718,0.932408
206,0.789657,0.924245
207,0.810478,0.931411
208,0.790793,0.924983
209,0.810408,0.931276
210,0.788391,0.92514
211,0.811302,0.932911
212,0.783503,0.924227
213,0.811183,0.933878
214,0.789625,0.926266
215,0.810539,0.932407
216,0.796893,0.929132
217,0.81833,0.935174
218,0.801942,0.931458
219,0.818466,0.935833
220,0.809309,0.9332
221,0.822344,0.936926
222,0.809399,0.932287
223,0.828547,0.938342
224,0.809444,0.932114
225,0.824098,0.937839
226,0.809462,0.933464
227,0.82191,0.937694
228,0.806295,0.932591
229,0.820696,0.937028
230,0.805565,0.932263
231,0.8165,0.936166
232,0.795563,0.930547
233,0.814399,0.935845
234,0.799532,0.930977
235,0.814339,0.935742
236,0.794149,0.929851
237,0.811832,0.935538
238,0.784661,0.927807
239,0.802242,0.93315
240,0.878011,0.96008
241,0.802561,0.939118
242,0.823518,0.945861
243,0.797606,0.93658
244,0.821198,0.944454
245,0.802938,0.937086
246,0.827338,0.945646
247,0.79695,0.936628
248,0.817971,0.942802
249,0.796647,0.935512
250,0.822256,0.942854
251,0.777152,0.929417
252,0.815108,0.942301
253,0.785569,0.931799
254,0.817989,0.942213
255,0.806706,0.937691
256,0.831926,0.943764
257,0.833885,0.944583
258,0.812198,0.938178
259,0.831764,0.94521
260,0.800462,0.934174
261,0.828532,0.943477
262,0.80088,0.934442
263,0.831879,0.944403
264,0.808243,0.937091
265,0.838203,0.945945
266,0.822775,0.941678
267,0.839855,0.946933
268,0.821904,0.943102
269,0.825198,0.943403
270,0.847823,0.949131
271,0.821698,0.942759
272,0.828887,0.943897
273,0.846646,0.948008
274,0.819994,0.940166
275,0.849425,0.949064
276,0.824822,0.942989
277,0.851967,0.950054
278,0.815778,0.939977
279,0.852304,0.951578
280,0.825594,0.942561
281,0.848771,0.950536
282,0.815163,0.940916
283,0.849673,0.950289
284,0.81478,0.939363
285,0.814562,0.939409
286,0.845416,0.948721
287,0.821667,0.941034
288,0.850909,0.949439
289,0.820996,0.94148
290,0.851983,0.950901
291,0.827049,0.943632
292,0.852371,0.950433
293,0.827762,0.942212
294,0.844564,0.94737
295,0.818351,0.940431
296,0.836042,0.945317
297,0.807579,0.93849
298,0.831574,0.944508
299,0.822339,0.941457
300,0.916129,0.971009
301,0.826806,0.947616
302,0.865604,0.958307
303,0.806726,0.939698
304,0.814218,0.941926
305,0.861537,0.956742
306,0.840625,0.951595
307,0.855163,0.955027
308,0.817946,0.946768
309,0.833034,0.949901
310,0.817947,0.946609
311,0.847876,0.953076
312,0.814718,0.945568
313,0.830428,0.946884
314,0.816267,0.94476
315,0.850058,0.951892
316,0.825597,0.945986
317,0.822804,0.945426
318,0.847059,0.950202
