Frame, eSSIM, SSIM
0,0.939751,0.97756
1,0.921379,0.972129
2,0.915511,0.972252
3,0.90828,0.969254
4,0.92551,0.973401
5,0.906987,0.967757
6,0.905748,0.968407
7,0.901947,0.966248
8,0.92251,0.972141
9,0.894314,0.964908
10,0.90508,0.967497
11,0.888606,0.963164
12,0.917296,0.970901
13,0.887068,0.96346
14,0.900577,0.965864
15,0.885138,0.961778
16,0.915956,0.970296
17,0.880707,0.961686
18,0.898505,0.965151
19,0.895863,0.964865
20,0.914773,0.969764
21,0.904181,0.966649
22,0.903668,0.967034
23,0.896296,0.965022
24,0.909921,0.968353
25,0.885976,0.963411
26,0.896073,0.965374
27,0.886217,0.963101
28,0.904796,0.967156
29,0.87314,0.960465
30,0.888571,0.963125
31,0.885376,0.961797
32,0.898173,0.966186
33,0.871346,0.959182
34,0.873454,0.959349
35,0.857112,0.954762
36,0.893143,0.965874
37,0.831063,0.951401
38,0.848801,0.954145
39,0.845664,0.953781
40,0.875894,0.962154
41,0.837204,0.952188
42,0.834861,0.953231
43,0.85115,0.956244
44,0.88595,0.964875
45,0.855547,0.959066
46,0.871112,0.962646
47,0.861708,0.961444
48,0.901141,0.969671
49,0.887221,0.96653
50,0.897996,0.968689
51,0.893109,0.967672
52,0.915789,0.973245
53,0.897155,0.967811
54,0.897526,0.968323
55,0.897026,0.967499
56,0.911783,0.971116
57,0.894871,0.966986
58,0.90139,0.96832
59,0.902589,0.968734
60,0.964305,0.987504
61,0.902208,0.973537
62,0.903833,0.974622
63,0.901834,0.972838
64,0.927351,0.978781
65,0.893378,0.971169
66,0.902103,0.972635
67,0.898344,0.971327
68,0.918429,0.975786
69,0.895489,0.968549
70,0.908862,0.973142
71,0.874119,0.961577
72,0.897134,0.967847
73,0.862655,0.956258
74,0.89039,0.965019
75,0.862055,0.957181
76,0.862729,0.959481
77,0.848986,0.953592
78,0.877168,0.96276
79,0.846023,0.953257
80,0.881111,0.963622
81,0.846,0.953591
82,0.890406,0.965326
83,0.865822,0.958979
84,0.891105,0.966252
85,0.882317,0.963375
86,0.895865,0.967384
87,0.874435,0.961587
88,0.898604,0.968309
89,0.86728,0.959691
90,0.870713,0.961641
91,0.870546,0.962305
92,0.902713,0.968964
93,0.879511,0.963331
94,0.892505,0.967421
95,0.860072,0.957221
96,0.868014,0.959655
97,0.858812,0.957715
98,0.897493,0.968563
99,0.876431,0.962795
100,0.899995,0.967766
101,0.879229,0.961723
102,0.901392,0.967819
103,0.87309,0.959727
104,0.893269,0.964868
105,0.894273,0.965207
106,0.904687,0.967095
107,0.873955,0.958924
108,0.899158,0.966535
109,0.87018,0.959318
110,0.895362,0.966137
111,0.856222,0.95519
112,0.880582,0.96174
113,0.852662,0.954012
