Frame, eSSIM, SSIM
0,0.976622,0.990112
1,0.958741,0.985479
2,0.96223,0.986478
3,0.955902,0.984521
4,0.967975,0.987527
5,0.954395,0.983988
6,0.95807,0.984705
7,0.952508,0.983219
8,0.964885,0.986681
9,0.952043,0.983074
10,0.957981,0.984476
11,0.95062,0.982318
12,0.962267,0.986028
13,0.948405,0.981874
14,0.9547,0.983569
15,0.946622,0.981677
16,0.960104,0.985561
17,0.945398,0.981198
18,0.954005,0.983289
19,0.951663,0.98296
20,0.960725,0.985543
21,0.951559,0.98303
22,0.954172,0.983786
23,0.950201,0.98276
24,0.957151,0.984582
25,0.946791,0.982266
26,0.950951,0.983038
27,0.945001,0.981919
28,0.952019,0.983757
29,0.943931,0.981359
30,0.947638,0.981973
31,0.943826,0.981163
32,0.952683,0.983715
33,0.938721,0.980097
34,0.942416,0.980194
35,0.929361,0.976955
36,0.947661,0.983128
37,0.908841,0.972633
38,0.922044,0.975228
39,0.912991,0.973953
40,0.935596,0.979869
41,0.911262,0.974153
42,0.917844,0.976061
43,0.917399,0.975836
44,0.942141,0.981826
45,0.928089,0.97923
46,0.935105,0.980807
47,0.930368,0.980187
48,0.953112,0.984836
49,0.943197,0.982774
50,0.948839,0.983949
51,0.94649,0.983496
52,0.962029,0.987134
53,0.945196,0.982572
54,0.949734,0.983322
55,0.947877,0.982904
56,0.958168,0.985564
57,0.938712,0.98142
58,0.942221,0.981919
59,0.951213,0.983501
60,0.984229,0.993541
61,0.927458,0.981664
62,0.943955,0.984585
63,0.937324,0.982729
64,0.964619,0.988384
65,0.93225,0.981611
66,0.936527,0.982305
67,0.931058,0.981075
68,0.959776,0.986862
69,0.9462,0.98278
70,0.955974,0.986345
71,0.93486,0.979624
72,0.944783,0.981422
73,0.926268,0.976123
74,0.940476,0.980285
75,0.928026,0.976631
76,0.937349,0.97979
77,0.929692,0.976826
78,0.947828,0.982268
79,0.928543,0.97796
80,0.947898,0.982331
81,0.928386,0.977161
82,0.947964,0.982591
83,0.932689,0.97877
84,0.946376,0.982479
85,0.932138,0.978994
86,0.945768,0.982531
87,0.929135,0.978392
88,0.947733,0.982725
89,0.904873,0.972868
90,0.911659,0.97486
91,0.908365,0.974897
92,0.945358,0.982638
93,0.932925,0.978976
94,0.944915,0.98249
95,0.895893,0.971695
96,0.914252,0.974659
97,0.896598,0.972168
98,0.947832,0.982748
99,0.931577,0.978913
100,0.946171,0.982016
101,0.931792,0.977397
102,0.94635,0.981136
103,0.932793,0.977271
104,0.940888,0.979443
105,0.940467,0.979419
106,0.942897,0.980194
107,0.929575,0.976393
108,0.94545,0.980702
109,0.928622,0.976405
110,0.942782,0.980506
111,0.919344,0.974314
112,0.932506,0.978597
113,0.912436,0.973149
114,0.930958,0.977254
115,0.916177,0.97281
116,0.936034,0.977894
117,0.902995,0.969114
118,0.938241,0.97872
119,0.934256,0.978
120,0.978308,0.990622
121,0.930502,0.979174
122,0.956268,0.984507
123,0.93066,0.979138
124,0.953548,0.983729
125,0.903078,0.973317
126,0.913093,0.975478
127,0.945804,0.981709
128,0.918045,0.974308
129,0.941997,0.979827
130,0.904659,0.970034
131,0.934498,0.976872
132,0.929134,0.974817
133,0.927339,0.975132
134,0.935549,0.976584
135,0.911812,0.970454
136,0.928628,0.974967
137,0.911977,0.970228
138,0.931343,0.975619
139,0.910356,0.970319
140,0.923753,0.974089
141,0.914068,0.971189
142,0.927261,0.974583
143,0.911525,0.970646
144,0.925366,0.974312
145,0.912939,0.970536
146,0.921526,0.973448
147,0.900444,0.965617
148,0.915994,0.970476
149,0.917046,0.970951
150,0.904104,0.966446
151,0.920178,0.971479
152,0.903569,0.966114
153,0.922714,0.971584
154,0.893408,0.963364
155,0.92412,0.971945
156,0.902727,0.965589
157,0.923373,0.971893
158,0.891344,0.963569
159,0.918232,0.970216
160,0.890298,0.963583
161,0.918487,0.969921
162,0.899582,0.96503
163,0.912147,0.968874
164,0.895893,0.963844
165,0.907766,0.96744
166,0.88455,0.961649
167,0.900018,0.966331
168,0.882866,0.962164
169,0.892951,0.965033
170,0.882352,0.961617
171,0.902888,0.966804
172,0.877281,0.959004
173,0.896065,0.964395
174,0.876608,0.958291
175,0.891691,0.962885
176,0.861386,0.954154
177,0.889168,0.961365
178,0.866896,0.954445
179,0.885717,0.959243
180,0.945028,0.977405
181,0.890679,0.963175
182,0.880584,0.959905
183,0.875224,0.958232
184,0.880218,0.959292
185,0.884767,0.962296
186,0.88574,0.963847
187,0.884141,0.964944
188,0.868748,0.95932
189,0.88624,0.964356
190,0.903564,0.966624
191,0.89822,0.965111
192,0.916201,0.969501
193,0.897771,0.963903
194,0.919126,0.97003
195,0.899304,0.964364
196,0.920728,0.971118
197,0.906365,0.967281
198,0.924911,0.971758
199,0.914804,0.970087
200,0.926984,0.972364
201,0.910646,0.966595
202,0.926666,0.971285
203,0.90397,0.965029
204,0.920661,0.970875
205,0.899692,0.964957
206,0.914312,0.969291
207,0.897489,0.964273
208,0.912831,0.969576
209,0.897162,0.964557
210,0.912247,0.969828
211,0.894203,0.96479
212,0.915719,0.970003
213,0.898982,0.96646
214,0.920548,0.971405
215,0.897202,0.964897
216,0.91467,0.970459
217,0.895927,0.964918
218,0.910772,0.969869
219,0.895573,0.966988
220,0.911399,0.97042
221,0.898987,0.967921
222,0.914164,0.970704
223,0.895715,0.966092
224,0.91975,0.971936
225,0.903325,0.968357
226,0.916111,0.97134
227,0.889455,0.965564
228,0.9131,0.970277
229,0.893956,0.966081
230,0.908545,0.96942
231,0.886782,0.964189
232,0.90816,0.970045
233,0.875745,0.961622
234,0.903947,0.968958
235,0.886385,0.96459
236,0.902028,0.968919
237,0.885294,0.963937
238,0.901277,0.968949
239,0.894488,0.966308
240,0.958624,0.98471
241,0.887252,0.966413
242,0.906814,0.973288
243,0.884912,0.96636
244,0.903791,0.972388
245,0.88701,0.966974
246,0.908175,0.973095
247,0.894691,0.968036
248,0.910651,0.973148
249,0.891796,0.967732
250,0.914161,0.973612
251,0.892539,0.966028
252,0.918312,0.974185
253,0.907447,0.969848
254,0.929215,0.975705
255,0.911083,0.971421
256,0.928132,0.975226
257,0.934619,0.976809
258,0.91799,0.973412
259,0.934981,0.977542
260,0.913866,0.971759
261,0.933114,0.977167
262,0.912321,0.97185
263,0.932203,0.976836
264,0.914541,0.972216
265,0.932876,0.976714
266,0.914575,0.972681
267,0.929971,0.976624
268,0.916388,0.973426
269,0.919078,0.974075
270,0.937683,0.978081
271,0.912795,0.972978
272,0.914732,0.973401
273,0.932956,0.977027
274,0.918797,0.972514
275,0.935514,0.977245
276,0.925978,0.974454
277,0.936698,0.977877
278,0.926891,0.974857
279,0.940585,0.979109
280,0.926462,0.97437
281,0.938499,0.9783
282,0.920905,0.97404
283,0.940626,0.978848
284,0.910162,0.971472
285,0.92065,0.973354
286,0.937447,0.977984
287,0.925063,0.974637
288,0.93946,0.978418
289,0.925923,0.974471
290,0.939086,0.978903
291,0.920846,0.973437
292,0.931523,0.977024
293,0.905613,0.971756
294,0.927683,0.975534
295,0.908904,0.971321
296,0.925461,0.975332
297,0.910317,0.971049
298,0.928497,0.97545
299,0.919263,0.972743
300,0.971459,0.988786
301,0.912601,0.97367
302,0.933462,0.980513
303,0.898768,0.971306
304,0.92285,0.977322
305,0.917035,0.97412
306,0.933743,0.979172
307,0.911873,0.972313
308,0.914229,0.973249
309,0.908537,0.972295
310,0.931488,0.978583
311,0.918411,0.975233
312,0.933656,0.978672
313,0.918581,0.973675
314,0.925908,0.976414
