Frame, eSSIM, SSIM
0,0.813305,0.935756
1,0.80601,0.932897
2,0.803458,0.932153
3,0.792138,0.928533
4,0.789739,0.928141
5,0.776598,0.923283
6,0.761784,0.919753
7,0.768761,0.920653
8,0.784988,0.92601
9,0.759565,0.918006
10,0.752708,0.916636
11,0.752877,0.916052
12,0.782542,0.924442
13,0.751767,0.915497
14,0.760404,0.91708
15,0.747536,0.914137
16,0.773726,0.921668
17,0.748511,0.913796
18,0.755655,0.914949
19,0.759032,0.916266
20,0.770385,0.91993
21,0.763446,0.917237
22,0.761028,0.916521
23,0.760456,0.916045
24,0.761197,0.916735
25,0.741319,0.912065
26,0.746554,0.913233
27,0.747297,0.912799
28,0.755089,0.915097
29,0.735733,0.910587
30,0.741913,0.911791
31,0.743789,0.911281
32,0.751281,0.916554
33,0.7379,0.91196
34,0.729046,0.909382
35,0.726102,0.907217
36,0.752829,0.917263
37,0.727635,0.910741
38,0.724428,0.909587
39,0.733187,0.91224
40,0.735436,0.913567
41,0.714832,0.90845
42,0.723826,0.912466
43,0.74429,0.917309
44,0.750903,0.921194
45,0.73229,0.918218
46,0.762494,0.923552
47,0.750991,0.922655
48,0.782836,0.929747
49,0.760517,0.925465
50,0.765599,0.92714
51,0.777846,0.928855
52,0.798408,0.934874
53,0.781037,0.92955
54,0.777692,0.928791
55,0.783128,0.928891
56,0.792219,0.9323
57,0.777905,0.927958
58,0.78095,0.929389
59,0.792241,0.931729
60,0.893573,0.96512
61,0.774443,0.941867
62,0.803339,0.94321
63,0.812808,0.942365
64,0.827568,0.947474
65,0.79099,0.936969
66,0.803134,0.939102
67,0.808099,0.940261
68,0.81957,0.944956
69,0.796277,0.937902
70,0.80392,0.938579
71,0.760336,0.923147
72,0.792239,0.933116
73,0.764714,0.924083
74,0.798866,0.934795
75,0.774644,0.92736
76,0.759273,0.924901
77,0.756003,0.920256
78,0.773511,0.927911
79,0.738955,0.91432
80,0.78506,0.929772
81,0.751626,0.919282
82,0.783514,0.929001
83,0.758914,0.922298
84,0.784775,0.930465
85,0.766918,0.927509
86,0.790397,0.931806
87,0.767558,0.926058
