Frame, eSSIM, SSIM
0,0.812788,0.938046
1,0.808845,0.936032
2,0.808119,0.935675
3,0.802975,0.933439
4,0.805882,0.934228
5,0.800907,0.931411
6,0.796464,0.930674
7,0.798146,0.930705
8,0.806173,0.934229
9,0.795999,0.930378
10,0.796596,0.93076
11,0.789066,0.92875
12,0.804236,0.933796
13,0.796189,0.930635
14,0.800354,0.932048
15,0.794264,0.929963
16,0.80592,0.934509
17,0.793744,0.930325
18,0.798895,0.932113
19,0.798024,0.932063
20,0.806874,0.934451
21,0.801553,0.93321
22,0.802129,0.933725
23,0.799971,0.933255
24,0.806689,0.935331
25,0.801302,0.934318
26,0.800967,0.934828
27,0.802121,0.93505
28,0.811334,0.937928
29,0.804789,0.936529
30,0.809837,0.937949
31,0.809265,0.938171
32,0.826738,0.944868
33,0.819192,0.943204
34,0.823973,0.943762
35,0.820985,0.942595
36,0.835037,0.948186
37,0.82531,0.94404
38,0.8219,0.942558
39,0.822955,0.943529
40,0.833592,0.94762
41,0.821761,0.943538
42,0.825403,0.945102
43,0.827998,0.945942
44,0.832986,0.947221
45,0.824509,0.944932
46,0.828045,0.945771
47,0.826141,0.945238
48,0.832069,0.946495
49,0.826404,0.944777
50,0.828721,0.945552
51,0.826807,0.9455
52,0.835109,0.947813
53,0.82598,0.945552
54,0.832294,0.946818
55,0.828451,0.945868
56,0.833392,0.947366
57,0.827673,0.945349
58,0.83073,0.945906
59,0.832164,0.945584
60,0.842111,0.953006
61,0.830152,0.948143
62,0.829873,0.947881
63,0.838791,0.950723
64,0.828602,0.946813
65,0.828107,0.946166
66,0.823171,0.944788
67,0.835228,0.949062
68,0.827342,0.946217
69,0.824204,0.944573
70,0.835284,0.949264
71,0.825192,0.94409
72,0.841563,0.950364
73,0.848555,0.95314
74,0.842385,0.952606
75,0.851092,0.956266
76,0.815553,0.940395
77,0.837164,0.948615
78,0.837698,0.950755
79,0.827272,0.946155
80,0.830865,0.947684
81,0.833024,0.947531
82,0.826729,0.945406
83,0.824439,0.944559
84,0.83143,0.946867
85,0.821873,0.943892
86,0.823536,0.944106
87,0.830539,0.946751
88,0.819711,0.94352
89,0.82158,0.943982
90,0.816166,0.942507
91,0.827089,0.946862
92,0.821522,0.943943
93,0.818828,0.942688
94,0.826152,0.945529
95,0.815022,0.941594
96,0.817678,0.941643
97,0.813224,0.94154
98,0.829227,0.946844
99,0.818432,0.942733
100,0.816363,0.942379
101,0.826819,0.945304
102,0.82653,0.944126
103,0.835365,0.949833
104,0.834362,0.948015
105,0.838193,0.949951
106,0.83381,0.94786
107,0.842561,0.950858
108,0.822854,0.944691
109,0.829398,0.946726
110,0.832084,0.948177
111,0.823503,0.943919
112,0.824837,0.945741
113,0.83427,0.949181
114,0.823337,0.944497
115,0.829702,0.947713
116,0.820994,0.943056
117,0.820981,0.94305
118,0.835419,0.949198
119,0.831265,0.948183
120,0.843833,0.955246
121,0.825648,0.947175
122,0.831543,0.948571
123,0.83848,0.951558
124,0.825376,0.94627
125,0.830144,0.947014
126,0.834831,0.948691
127,0.825268,0.945943
128,0.82909,0.94584
129,0.818194,0.941987
130,0.82744,0.944884
131,0.816681,0.940938
132,0.826143,0.942706
133,0.813274,0.938029
134,0.821432,0.942617
135,0.811186,0.938594
136,0.81588,0.939058
137,0.807137,0.935759
138,0.81955,0.94006
139,0.805156,0.935274
140,0.813213,0.937151
141,0.804827,0.933767
142,0.806835,0.93437
143,0.796468,0.930547
144,0.797172,0.929972
145,0.807848,0.933009
146,0.793668,0.927693
147,0.80867,0.932985
148,0.792028,0.927016
149,0.80293,0.930616
150,0.797291,0.929316
151,0.804083,0.930605
152,0.791573,0.925585
153,0.799012,0.929175
154,0.788041,0.924074
155,0.803696,0.929549
156,0.791744,0.925202
157,0.799933,0.928484
158,0.787304,0.924198
159,0.798685,0.92719
160,0.788973,0.924736
161,0.798593,0.927206
162,0.788503,0.923382
163,0.797459,0.925777
164,0.786511,0.922315
165,0.794702,0.924067
166,0.784034,0.920661
167,0.78879,0.923251
168,0.779772,0.920321
169,0.78412,0.920997
170,0.772604,0.916834
171,0.788394,0.921304
172,0.771113,0.915298
173,0.78114,0.918546
174,0.767198,0.914
175,0.777041,0.916571
176,0.764639,0.912955
177,0.78041,0.917779
178,0.767975,0.913696
179,0.775489,0.915885
180,0.813239,0.932939
181,0.783852,0.921574
182,0.791893,0.922954
183,0.785307,0.920521
184,0.789476,0.923356
185,0.788464,0.927219
186,0.777828,0.925447
187,0.78637,0.929013
188,0.775294,0.924561
189,0.786578,0.927505
190,0.773407,0.92085
191,0.793164,0.927436
192,0.789752,0.926236
193,0.792327,0.925831
194,0.806455,0.931412
195,0.796237,0.926889
196,0.809529,0.932828
197,0.795648,0.92817
198,0.802202,0.929305
199,0.808678,0.932546
200,0.805192,0.931079
201,0.813003,0.932603
202,0.803071,0.929327
203,0.813465,0.933298
204,0.801744,0.929712
205,0.81141,0.933313
206,0.798945,0.929375
207,0.812374,0.9337
208,0.803554,0.931194
209,0.812101,0.934368
210,0.799967,0.931554
211,0.812684,0.936453
212,0.799368,0.930925
213,0.801037,0.932582
214,0.814662,0.936544
215,0.798717,0.93124
216,0.804549,0.933422
217,0.814957,0.936808
218,0.80194,0.932912
219,0.805247,0.934116
220,0.815435,0.936606
221,0.804337,0.932956
222,0.806814,0.933128
223,0.816079,0.937003
224,0.804285,0.933437
225,0.806258,0.934464
226,0.812404,0.936334
227,0.799848,0.932452
228,0.803857,0.932863
229,0.809931,0.935445
230,0.798263,0.931801
231,0.7989,0.931815
232,0.810921,0.936245
233,0.800037,0.931341
234,0.801571,0.932239
235,0.810802,0.935957
236,0.791934,0.930669
237,0.795828,0.93165
238,0.800081,0.933324
239,0.795067,0.930619
240,0.82754,0.946498
241,0.802567,0.935746
242,0.811641,0.939217
243,0.792652,0.931905
244,0.793239,0.931897
245,0.815789,0.940598
246,0.795062,0.932879
247,0.799935,0.934685
248,0.810209,0.938088
249,0.79961,0.934026
250,0.807234,0.936007
251,0.808693,0.937198
252,0.805219,0.935564
253,0.810542,0.936895
254,0.823571,0.941877
255,0.817056,0.940229
256,0.820273,0.94202
257,0.831887,0.947559
258,0.824152,0.944616
259,0.825452,0.94506
260,0.830747,0.945539
261,0.814912,0.940481
262,0.81774,0.940915
263,0.827246,0.945338
264,0.814097,0.940188
265,0.816708,0.941374
266,0.82194,0.94331
267,0.812691,0.940056
268,0.817798,0.942819
269,0.828776,0.945635
