Frame, eSSIM, SSIM
0,0.819701,0.943078
1,0.816788,0.941088
2,0.816997,0.940968
3,0.812678,0.938933
4,0.815805,0.940105
5,0.811923,0.937591
6,0.809836,0.937389
7,0.810106,0.937198
8,0.816697,0.940154
9,0.808174,0.936639
10,0.809653,0.93748
11,0.8041,0.935677
12,0.814957,0.939921
13,0.808755,0.937214
14,0.813473,0.938999
15,0.807431,0.936763
16,0.81606,0.940477
17,0.807468,0.937417
18,0.812467,0.939379
19,0.811706,0.939539
20,0.819855,0.941942
21,0.815951,0.941214
22,0.817377,0.941927
23,0.815586,0.941491
24,0.819667,0.943034
25,0.81788,0.942756
26,0.816475,0.942923
27,0.818202,0.943276
28,0.821643,0.944848
29,0.819492,0.944218
30,0.821725,0.944732
31,0.820994,0.944846
32,0.835577,0.950568
33,0.831556,0.949232
34,0.834071,0.949376
35,0.833875,0.948603
36,0.841977,0.953032
37,0.835617,0.949826
38,0.831701,0.948227
39,0.833489,0.949153
40,0.840433,0.952185
41,0.833491,0.949393
42,0.836052,0.950577
43,0.839646,0.951715
44,0.840112,0.951908
45,0.835682,0.950425
46,0.837327,0.950862
47,0.835678,0.950448
48,0.839924,0.951347
49,0.837821,0.950472
50,0.838408,0.950795
51,0.838293,0.951054
52,0.842516,0.95232
53,0.83637,0.950534
54,0.840155,0.951233
55,0.837729,0.95061
56,0.840352,0.951545
57,0.838452,0.950337
58,0.839769,0.950708
59,0.840935,0.950439
60,0.844034,0.954705
61,0.838741,0.951882
62,0.837808,0.951531
63,0.844406,0.954002
64,0.840308,0.952015
65,0.839836,0.951448
66,0.835693,0.950339
67,0.841999,0.9529
68,0.838866,0.951094
69,0.835476,0.949814
70,0.842484,0.953143
71,0.841224,0.952143
72,0.85277,0.956493
73,0.855347,0.957856
74,0.851186,0.957949
75,0.85714,0.960523
76,0.835052,0.948322
77,0.849946,0.954917
78,0.846373,0.955986
79,0.842336,0.953456
80,0.843027,0.954257
81,0.84248,0.9533
82,0.839345,0.95226
83,0.838485,0.951479
84,0.842761,0.952903
85,0.837142,0.951045
86,0.837788,0.951082
87,0.841591,0.952712
88,0.835409,0.950525
89,0.835525,0.951173
90,0.831512,0.949656
91,0.836698,0.95248
92,0.835893,0.950586
93,0.832949,0.949417
94,0.836119,0.951422
95,0.828566,0.948472
96,0.831138,0.948641
97,0.828738,0.94875
98,0.839219,0.952906
99,0.832815,0.949883
100,0.830785,0.949163
101,0.837517,0.951356
102,0.840298,0.951423
103,0.842959,0.954901
104,0.843298,0.953174
105,0.844637,0.954206
106,0.844051,0.953308
107,0.849385,0.955521
108,0.835415,0.951613
109,0.839557,0.952281
110,0.83941,0.952719
111,0.835784,0.949612
112,0.834279,0.950826
113,0.840407,0.953273
114,0.832643,0.94937
115,0.837031,0.952226
116,0.830756,0.948651
117,0.831467,0.948943
118,0.842926,0.953685
119,0.839864,0.952886
120,0.847652,0.958487
121,0.835301,0.951989
122,0.839293,0.952488
123,0.844616,0.955012
124,0.836375,0.951317
125,0.838942,0.951557
126,0.841694,0.952531
127,0.83599,0.950807
128,0.837943,0.95058
129,0.829602,0.947491
130,0.836541,0.94991
131,0.828521,0.947128
132,0.837012,0.948451
133,0.826913,0.944538
134,0.831937,0.948121
135,0.826657,0.945798
136,0.828971,0.94586
137,0.824082,0.943666
138,0.832121,0.946956
139,0.82081,0.942654
140,0.827299,0.944245
141,0.821142,0.941551
142,0.823593,0.94256
143,0.815396,0.939304
144,0.815414,0.938627
145,0.823774,0.941586
146,0.81439,0.937879
147,0.826651,0.942537
148,0.814876,0.937479
149,0.820925,0.940166
150,0.816458,0.938868
151,0.824064,0.940589
152,0.816519,0.937149
153,0.821558,0.940338
154,0.812645,0.935928
155,0.825233,0.94048
156,0.817128,0.93736
157,0.820819,0.939356
158,0.811771,0.936018
159,0.819834,0.938383
160,0.812299,0.936075
161,0.818143,0.937661
162,0.812945,0.934825
163,0.818404,0.93618
164,0.810811,0.933562
165,0.815238,0.934519
166,0.808453,0.931992
167,0.812038,0.934271
168,0.803977,0.931383
169,0.808367,0.932485
170,0.800931,0.929128
171,0.813734,0.932981
172,0.801033,0.928429
173,0.809763,0.93141
174,0.797791,0.927553
175,0.80616,0.929877
176,0.797747,0.927197
177,0.809303,0.931182
178,0.800854,0.927542
179,0.806417,0.929489
180,0.825081,0.940828
181,0.807955,0.932565
182,0.814876,0.934572
183,0.814177,0.93386
184,0.82096,0.93786
185,0.818849,0.941342
186,0.811501,0.939853
187,0.818341,0.942646
188,0.811591,0.938793
189,0.812903,0.939773
190,0.801053,0.934241
191,0.819124,0.939948
192,0.8165,0.938752
193,0.819164,0.938523
194,0.828657,0.942502
195,0.821847,0.938626
196,0.831593,0.943699
197,0.82049,0.93965
198,0.826561,0.940569
199,0.830198,0.943025
200,0.827226,0.941293
201,0.83241,0.942255
202,0.823068,0.939002
203,0.830705,0.942506
204,0.820883,0.938619
205,0.827561,0.941712
206,0.816249,0.937639
207,0.826919,0.94127
208,0.821032,0.93913
209,0.827233,0.942175
210,0.81958,0.940428
211,0.82805,0.944729
212,0.817024,0.939469
213,0.819166,0.94121
214,0.829094,0.944173
215,0.817622,0.939929
216,0.823459,0.942234
217,0.830472,0.94466
218,0.823174,0.941919
219,0.823727,0.942305
220,0.832536,0.944864
221,0.824487,0.941981
222,0.825967,0.941887
223,0.832917,0.944938
224,0.824745,0.94171
225,0.824083,0.942503
226,0.828088,0.944018
227,0.818446,0.940879
228,0.822228,0.941137
229,0.824766,0.942621
230,0.816932,0.939641
231,0.816843,0.939504
232,0.826273,0.943492
233,0.817004,0.939497
234,0.81816,0.940122
235,0.826925,0.943713
236,0.811764,0.939231
237,0.813705,0.939965
238,0.81678,0.941487
239,0.815589,0.9395
240,0.833617,0.950732
241,0.824593,0.944291
242,0.828303,0.946258
243,0.820947,0.943269
244,0.824191,0.943632
245,0.833498,0.948657
246,0.824762,0.944484
247,0.825528,0.944827
248,0.831839,0.947003
249,0.828419,0.94564
250,0.832071,0.947395
251,0.828902,0.946347
252,0.83018,0.946356
253,0.83317,0.946849
254,0.840639,0.950275
255,0.840445,0.950801
256,0.841419,0.951744
257,0.844507,0.955083
258,0.839088,0.95259
259,0.841342,0.952752
260,0.844312,0.952334
261,0.832501,0.948557
262,0.833749,0.948088
263,0.837085,0.950623
264,0.828117,0.946268
265,0.830386,0.947252
266,0.834222,0.948963
267,0.825691,0.946053
268,0.830207,0.948412
269,0.83911,0.951197
270,0.831493,0.948592
271,0.830455,0.948778
272,0.836686,0.950277
273,0.832411,0.94753
274,0.828055,0.947553
275,0.837565,0.950932
276,0.837702,0.950237
277,0.834515,0.949157
278,0.840247,0.952154
279,0.831993,0.949811
280,0.831877,0.949183
281,0.836108,0.951314
282,0.830679,0.948072
283,0.829171,0.949225
284,0.835377,0.950949
285,0.827684,0.946988
286,0.829479,0.948422
287,0.83662,0.951345
288,0.836007,0.949189
289,0.836082,0.951266
290,0.844246,0.955421
291,0.839459,0.952389
292,0.839932,0.95232
293,0.840801,0.952941
294,0.833923,0.948269
295,0.835564,0.949093
296,0.833287,0.949201
297,0.824576,0.946224
298,0.828692,0.947155
299,0.831947,0.948288
300,0.847344,0.95719
301,0.835031,0.950147
302,0.839378,0.952193
303,0.834346,0.950418
304,0.82833,0.946593
305,0.837066,0.951388
306,0.838565,0.950706
307,0.829526,0.947851
308,0.827953,0.94748
309,0.829104,0.946926
310,0.834053,0.949358
311,0.824687,0.946163
312,0.827933,0.94632
313,0.829224,0.946961
314,0.820805,0.944572
315,0.825234,0.944963
316,0.829857,0.946665
317,0.819933,0.942831
318,0.821351,0.942826
319,0.828043,0.944691
320,0.819095,0.941395
321,0.822766,0.941713
322,0.824426,0.941976
323,0.820881,0.942072
324,0.821069,0.941293
325,0.82607,0.942462
326,0.818418,0.939549
327,0.822695,0.941929
328,0.819445,0.939832
329,0.829855,0.943777
330,0.822159,0.94088
331,0.826144,0.941831
332,0.821065,0.940507
333,0.828877,0.9428
334,0.823312,0.941117
335,0.821774,0.940995
336,0.820371,0.9404
337,0.828759,0.942595
338,0.821282,0.939939
339,0.827,0.942338
340,0.820944,0.940736
341,0.827535,0.942689
342,0.824005,0.94082
343,0.828598,0.942099
344,0.823301,0.940785
345,0.828573,0.943189
346,0.824397,0.941516
347,0.82028,0.940918
348,0.820577,0.940583
349,0.825705,0.941638
350,0.82211,0.940591
351,0.821684,0.940411
352,0.819933,0.939594
353,0.825634,0.941507
354,0.818598,0.939412
355,0.818784,0.939471
356,0.823008,0.940889
357,0.822177,0.939623
358,0.820399,0.93837
359,0.827455,0.941392
360,0.835182,0.948188
361,0.82292,0.941969
362,0.821407,0.94141
363,0.823245,0.941921
364,0.827123,0.943719
365,0.821793,0.941411
366,0.821013,0.94153
367,0.822145,0.941051
368,0.825218,0.942564
369,0.816156,0.939104
370,0.822554,0.941156
371,0.820342,0.941677
372,0.827101,0.94487
373,0.825056,0.945844
374,0.830997,0.949107
375,0.832693,0.951271
376,0.837977,0.953464
377,0.833173,0.951627
378,0.835939,0.952074
379,0.834701,0.952067
380,0.837584,0.953715
381,0.837552,0.952784
382,0.842591,0.953997
383,0.838336,0.952468
384,0.836539,0.95303
385,0.830948,0.951275
386,0.83385,0.952317
387,0.836122,0.953228
388,0.842092,0.955221
389,0.839955,0.953822
390,0.836841,0.954027
391,0.836739,0.954531
392,0.843507,0.956323
393,0.842791,0.955272
394,0.841818,0.954837
395,0.840048,0.95423
396,0.846946,0.956471
397,0.840311,0.953874
398,0.839415,0.954495
399,0.840412,0.954089
400,0.844371,0.955511
401,0.844536,0.954552
402,0.842968,0.95414
403,0.840402,0.953938
404,0.847703,0.956724
405,0.844562,0.955975
406,0.847199,0.95648
407,0.842498,0.955833
408,0.846599,0.957173
409,0.845703,0.956589
410,0.845973,0.95686
411,0.843801,0.955678
412,0.846155,0.956751
413,0.84156,0.953746
414,0.845287,0.955063
415,0.850513,0.957198
416,0.84504,0.954415
417,0.849206,0.955637
418,0.842319,0.95275
419,0.846925,0.954903
420,0.856203,0.962897
421,0.840003,0.955673
422,0.841271,0.952999
423,0.837915,0.953469
424,0.838663,0.952167
425,0.84384,0.953852
426,0.846032,0.955978
427,0.840293,0.95294
428,0.841408,0.952577
429,0.826523,0.945892
430,0.826913,0.946477
431,0.835031,0.947807
432,0.844803,0.952619
433,0.841717,0.951358
434,0.845239,0.953659
435,0.831453,0.945404
436,0.839612,0.950881
437,0.83345,0.947038
438,0.842198,0.950884
439,0.84481,0.95301
440,0.843197,0.951544
441,0.839382,0.948898
442,0.841632,0.950075
443,0.837991,0.948928
444,0.840889,0.951364
445,0.848338,0.955068
446,0.840313,0.952708
447,0.842297,0.952504
448,0.840164,0.951458
449,0.84254,0.951257
450,0.833893,0.946791
451,0.841951,0.949857
452,0.840275,0.949423
453,0.845994,0.95271
454,0.841649,0.951303
455,0.848758,0.953891
456,0.843313,0.951818
457,0.849883,0.953692
458,0.840063,0.947837
459,0.837653,0.946499
460,0.847373,0.950046
461,0.839421,0.947678
462,0.83968,0.949845
463,0.849473,0.952177
464,0.831887,0.944407
465,0.846437,0.950656
466,0.840385,0.950636
467,0.850517,0.954433
468,0.842161,0.952176
469,0.849051,0.954699
470,0.839636,0.949299
471,0.831485,0.945279
472,0.83853,0.949077
473,0.836358,0.948789
474,0.84173,0.95071
475,0.832382,0.948015
476,0.837005,0.949708
477,0.824037,0.94561
478,0.832061,0.947489
479,0.827824,0.947091
480,0.845433,0.957127
481,0.833532,0.952613
482,0.834287,0.952387
483,0.838148,0.953215
484,0.836275,0.951517
485,0.828465,0.947262
486,0.837877,0.95107
487,0.830842,0.948799
488,0.837672,0.950243
489,0.838072,0.95028
490,0.831518,0.946959
491,0.832097,0.947136
492,0.820302,0.94249
493,0.824588,0.945224
494,0.816104,0.940492
495,0.818549,0.939445
496,0.810991,0.937508
497,0.825201,0.939943
498,0.820775,0.936936
499,0.826229,0.938884
500,0.813604,0.931875
501,0.816315,0.930364
502,0.803131,0.924503
503,0.812026,0.926789
504,0.798322,0.917585
505,0.815507,0.928651
506,0.802419,0.922579
507,0.806076,0.922669
508,0.799139,0.921255
509,0.800817,0.920705
510,0.801025,0.918435
511,0.794937,0.917214
512,0.792528,0.916033
513,0.800216,0.920141
514,0.781379,0.912997
515,0.787331,0.915353
516,0.776334,0.910063
517,0.791279,0.917537
518,0.78698,0.916477
519,0.799491,0.923662
520,0.797335,0.922303
521,0.810954,0.930822
522,0.807744,0.928089
523,0.819847,0.931715
524,0.825226,0.93514
525,0.815993,0.932216
526,0.826039,0.934839
527,0.814629,0.930069
528,0.82499,0.934651
529,0.818045,0.935565
530,0.827673,0.939068
531,0.826326,0.938834
532,0.82278,0.935164
533,0.811682,0.930463
534,0.821819,0.934789
535,0.81433,0.930507
536,0.828664,0.937641
537,0.819512,0.933479
538,0.807733,0.927865
539,0.811603,0.929128
540,0.83036,0.942371
541,0.81578,0.932951
542,0.809346,0.929505
543,0.809983,0.929622
544,0.805756,0.931259
545,0.810595,0.931675
546,0.793817,0.927867
547,0.788818,0.924075
548,0.787938,0.919498
549,0.760627,0.909236
550,0.774307,0.913594
551,0.760748,0.904265
552,0.769749,0.908645
553,0.750165,0.899004
554,0.755114,0.901135
555,0.746086,0.893349
556,0.750987,0.893817
557,0.737248,0.886453
558,0.743631,0.889237
559,0.737891,0.885378
560,0.75847,0.895068
561,0.743663,0.88755
562,0.753002,0.892118
563,0.737834,0.884709
564,0.760295,0.892432
565,0.744675,0.884789
566,0.765752,0.895195
567,0.760758,0.894754
568,0.77072,0.898134
569,0.760407,0.890463
570,0.772453,0.891276
571,0.752702,0.879958
572,0.766546,0.886512
573,0.752346,0.881442
574,0.756309,0.880761
575,0.734343,0.87059
576,0.753558,0.882486
577,0.751378,0.880401
578,0.767972,0.892006
579,0.746028,0.881683
580,0.761763,0.889642
581,0.756624,0.888513
582,0.774726,0.897717
583,0.753533,0.888124
584,0.767573,0.894698
585,0.766004,0.892199
586,0.774644,0.899349
