Frame, eSSIM, SSIM
0,0.73144,0.900384
1,0.729442,0.899271
2,0.730113,0.899059
3,0.725022,0.896812
4,0.718535,0.894235
5,0.713422,0.892725
6,0.708706,0.891726
7,0.714356,0.893595
8,0.71767,0.895334
9,0.713552,0.893457
10,0.710302,0.892426
11,0.709476,0.892431
12,0.719859,0.895536
13,0.70865,0.892037
14,0.714061,0.893618
15,0.711846,0.892901
16,0.720826,0.895835
17,0.713234,0.892938
18,0.714864,0.893716
19,0.717076,0.894386
20,0.721973,0.896568
21,0.718884,0.895666
22,0.720626,0.896246
23,0.720562,0.896167
24,0.722675,0.896863
25,0.717511,0.895882
26,0.719076,0.896749
27,0.721385,0.897486
28,0.726625,0.899199
29,0.720717,0.89849
30,0.727668,0.900432
31,0.729256,0.900923
32,0.741354,0.909117
33,0.739658,0.908954
34,0.74076,0.909513
35,0.73719,0.908642
36,0.755637,0.914521
37,0.744712,0.911014
38,0.745134,0.910435
39,0.750454,0.912276
40,0.759903,0.915554
41,0.741451,0.910825
42,0.745548,0.912569
43,0.756578,0.914922
44,0.758806,0.915423
45,0.746138,0.912699
46,0.752608,0.91401
47,0.746048,0.912961
48,0.760098,0.91549
49,0.74856,0.913039
50,0.754771,0.9149
51,0.755846,0.915263
52,0.765456,0.918337
53,0.756194,0.91527
54,0.757376,0.915536
55,0.752732,0.91387
56,0.759848,0.915968
57,0.747456,0.912783
58,0.751648,0.913551
59,0.75306,0.913518
60,0.801108,0.933687
61,0.769821,0.926368
62,0.770996,0.925202
63,0.783559,0.927801
64,0.771506,0.923091
65,0.761481,0.920529
66,0.759955,0.919942
67,0.770177,0.923993
68,0.763467,0.921911
69,0.757105,0.919522
70,0.771721,0.922688
71,0.753607,0.914925
72,0.763634,0.918346
73,0.78068,0.92566
74,0.771759,0.923061
75,0.794483,0.9314
76,0.727088,0.907797
77,0.755615,0.915085
78,0.762169,0.920327
79,0.7338,0.909303
80,0.746194,0.912893
81,0.755872,0.916808
82,0.748525,0.913525
83,0.743833,0.912526
84,0.75262,0.916098
85,0.739794,0.913244
86,0.741258,0.912907
87,0.752298,0.916376
88,0.74387,0.913201
89,0.745245,0.912934
90,0.736695,0.911147
91,0.754987,0.917182
92,0.73819,0.912975
93,0.740832,0.913078
94,0.75309,0.915786
95,0.740005,0.911522
96,0.735231,0.910208
97,0.735126,0.911146
98,0.757111,0.917697
99,0.743001,0.913096
100,0.743044,0.913344
101,0.751452,0.915172
102,0.750572,0.9142
103,0.766442,0.920117
104,0.75732,0.917098
105,0.773277,0.922399
106,0.766935,0.920704
107,0.780381,0.923328
108,0.752812,0.915327
109,0.762156,0.918156
110,0.771698,0.921153
111,0.746979,0.913592
112,0.748982,0.915134
113,0.767738,0.920276
114,0.741332,0.910839
115,0.762573,0.91882
116,0.738013,0.910271
117,0.738279,0.909964
118,0.76443,0.919115
119,0.758393,0.918459
