Frame, eSSIM, SSIM
0,0.745661,0.870802
1,0.696484,0.847736
2,0.706097,0.847254
3,0.67751,0.83457
4,0.683056,0.835691
5,0.695338,0.84101
6,0.693515,0.83887
7,0.664437,0.825013
8,0.676797,0.831662
9,0.702634,0.842967
10,0.680917,0.83584
11,0.68473,0.839799
12,0.685282,0.838888
13,0.702712,0.843909
14,0.695346,0.840559
15,0.671375,0.829788
16,0.681656,0.837508
17,0.685199,0.840129
18,0.704994,0.847811
19,0.684565,0.840119
20,0.681879,0.837762
21,0.700727,0.844327
22,0.694757,0.84192
23,0.673125,0.832932
24,0.690739,0.842037
25,0.706551,0.851564
26,0.686441,0.844289
27,0.690074,0.845284
28,0.704608,0.848399
29,0.689917,0.843713
30,0.703311,0.845201
31,0.681917,0.83717
32,0.690162,0.842836
33,0.701646,0.84951
34,0.702751,0.848622
35,0.681022,0.838565
36,0.685071,0.842723
37,0.711098,0.854426
38,0.711816,0.856237
39,0.688808,0.847466
40,0.678561,0.836436
41,0.701321,0.846796
42,0.695985,0.846254
43,0.687191,0.841752
44,0.680971,0.840149
45,0.69565,0.847201
46,0.700755,0.849581
47,0.686224,0.842999
48,0.682723,0.839464
49,0.698476,0.845122
50,0.694908,0.846666
51,0.679671,0.837869
52,0.676105,0.837046
53,0.694801,0.844996
54,0.696504,0.845247
55,0.671935,0.832836
56,0.679693,0.83703
57,0.70206,0.850124
58,0.700354,0.848596
59,0.677534,0.838245
60,0.67505,0.837246
61,0.676445,0.838208
62,0.694584,0.846315
63,0.680014,0.839736
64,0.695416,0.84491
65,0.686886,0.842279
66,0.696181,0.845918
67,0.677827,0.838543
68,0.678364,0.840079
69,0.681052,0.840586
70,0.696995,0.850078
71,0.682665,0.841932
72,0.683439,0.840866
73,0.692769,0.846656
74,0.694046,0.847419
75,0.675354,0.840447
76,0.679754,0.840293
77,0.692919,0.84766
78,0.694352,0.845518
79,0.670014,0.835966
80,0.684434,0.842152
81,0.698842,0.852139
82,0.70045,0.853055
83,0.675075,0.843665
84,0.676979,0.843369
85,0.698686,0.851155
86,0.68914,0.844332
87,0.669349,0.834831
88,0.673082,0.835543
89,0.685492,0.84014
90,0.670314,0.833586
91,0.667622,0.833393
92,0.664123,0.831867
93,0.683392,0.840963
94,0.66368,0.836263
95,0.656817,0.827959
