Frame, eSSIM, SSIM
0,0.845837,0.886971
1,0.855341,0.89372
2,0.842389,0.887542
3,0.849429,0.891466
4,0.855158,0.895495
5,0.841393,0.886248
6,0.853123,0.895572
7,0.856213,0.894969
8,0.845335,0.88976
9,0.834582,0.882528
10,0.839179,0.8853
11,0.842691,0.885458
12,0.840514,0.885743
13,0.831006,0.879863
14,0.834669,0.883247
15,0.838998,0.883556
16,0.84174,0.887899
17,0.837689,0.885054
18,0.845984,0.890202
19,0.838883,0.885594
20,0.849011,0.892286
21,0.837584,0.884156
22,0.849159,0.893212
23,0.846856,0.889956
24,0.840466,0.888292
25,0.839634,0.885717
26,0.851439,0.8943
27,0.835692,0.883232
28,0.841162,0.887639
29,0.840029,0.885778
30,0.850947,0.893765
31,0.83582,0.883902
32,0.841722,0.88851
33,0.846646,0.890378
34,0.845054,0.891073
35,0.853328,0.893772
36,0.842868,0.889202
37,0.846322,0.89001
38,0.85017,0.89379
39,0.858276,0.896835
40,0.850438,0.894093
41,0.845112,0.889537
42,0.848698,0.892248
43,0.85374,0.893963
44,0.850222,0.893374
45,0.844514,0.888626
46,0.848673,0.892084
47,0.856299,0.89616
48,0.851295,0.896177
49,0.846276,0.890269
50,0.854115,0.895826
51,0.852807,0.893305
52,0.848846,0.893206
53,0.846425,0.890832
54,0.849886,0.893379
55,0.853024,0.893491
56,0.847702,0.891582
57,0.842093,0.887377
58,0.84762,0.890939
59,0.852686,0.892812
60,0.851659,0.894709
61,0.849521,0.892172
62,0.858565,0.898984
63,0.846354,0.88922
64,0.850257,0.893257
65,0.850549,0.891325
66,0.84834,0.891373
67,0.84343,0.887245
68,0.860234,0.89894
69,0.843813,0.886971
70,0.853403,0.894531
71,0.857438,0.89411
72,0.856934,0.89594
73,0.851323,0.890634
74,0.853885,0.894748
75,0.862658,0.899863
76,0.852906,0.892673
77,0.856108,0.89746
78,0.864429,0.901489
79,0.853053,0.893304
80,0.852286,0.893692
81,0.858933,0.895684
82,0.85713,0.896241
83,0.847137,0.887755
84,0.847243,0.889836
85,0.855299,0.89249
86,0.852219,0.892116
87,0.845343,0.885112
88,0.857288,0.895323
89,0.848394,0.889689
90,0.841232,0.882751
91,0.845935,0.888474
92,0.851618,0.888917
93,0.851327,0.890189
94,0.846532,0.889749
95,0.849142,0.888464
