Frame, eSSIM, SSIM
0,0.767385,0.839194
1,0.825757,0.865713
2,0.806503,0.853971
3,0.802497,0.850021
4,0.81249,0.856845
5,0.800519,0.850159
6,0.804745,0.852981
7,0.797208,0.847722
8,0.810499,0.855602
9,0.798513,0.847984
10,0.796139,0.847965
11,0.802003,0.849067
12,0.789789,0.843557
13,0.785885,0.840675
14,0.787267,0.842208
15,0.797063,0.846803
16,0.78241,0.839256
17,0.780946,0.839412
18,0.782505,0.840171
19,0.800084,0.849094
20,0.788483,0.842785
21,0.785767,0.841116
22,0.805075,0.852273
23,0.793228,0.84535
24,0.794444,0.846103
25,0.810948,0.855359
26,0.797571,0.849586
27,0.80099,0.850356
28,0.811683,0.856661
29,0.797714,0.848966
30,0.795311,0.846358
31,0.810173,0.855223
32,0.800757,0.850265
33,0.798558,0.848464
34,0.792275,0.845555
35,0.812642,0.8575
36,0.808176,0.855487
37,0.799129,0.850319
38,0.821742,0.862875
39,0.805169,0.853205
40,0.809867,0.857106
41,0.817677,0.860861
42,0.808077,0.857537
43,0.801501,0.85253
44,0.812509,0.860724
45,0.819092,0.862771
46,0.807296,0.85861
47,0.799082,0.851107
48,0.822112,0.865642
49,0.799937,0.851585
50,0.797805,0.852691
51,0.817494,0.861567
52,0.811287,0.859221
53,0.801863,0.852206
54,0.823708,0.866963
55,0.803307,0.853246
56,0.814015,0.862705
57,0.824487,0.866506
58,0.815927,0.862154
59,0.805373,0.85458
60,0.825607,0.867949
61,0.810961,0.857555
62,0.816956,0.865338
63,0.819891,0.863557
64,0.819858,0.865469
65,0.808296,0.857636
66,0.82505,0.868078
67,0.811898,0.859194
68,0.811371,0.860842
69,0.820495,0.863885
70,0.818931,0.864831
71,0.811055,0.860309
72,0.831911,0.873216
73,0.816159,0.862172
74,0.816713,0.865945
75,0.825183,0.868308
76,0.828025,0.873517
77,0.817327,0.863855
78,0.820322,0.866654
79,0.823841,0.86611
80,0.815256,0.863861
81,0.813178,0.861016
82,0.829288,0.872167
83,0.814265,0.862537
84,0.817245,0.865192
85,0.82806,0.870516
86,0.825395,0.870299
87,0.82433,0.867754
88,0.82177,0.867261
89,0.802567,0.853966
90,0.815496,0.864835
91,0.816797,0.862772
92,0.822731,0.867973
93,0.813952,0.86144
94,0.815489,0.864049
95,0.807594,0.85756
96,0.807817,0.856383
