Frame, eSSIM, SSIM
0,0.803558,0.863269
1,0.791748,0.856996
2,0.791774,0.856935
3,0.782354,0.852725
4,0.775013,0.846016
5,0.792386,0.856857
6,0.796968,0.859997
7,0.784597,0.850548
8,0.788267,0.853221
9,0.786701,0.852782
10,0.78366,0.850917
11,0.763078,0.837957
12,0.767392,0.841657
13,0.780471,0.849274
14,0.782788,0.85078
15,0.770003,0.845124
16,0.789166,0.856438
17,0.783787,0.850536
18,0.789875,0.855265
19,0.78383,0.851487
20,0.780777,0.850528
21,0.787757,0.853323
22,0.782217,0.850609
23,0.784762,0.851176
24,0.781844,0.853499
25,0.786017,0.85396
26,0.781204,0.852403
27,0.773725,0.846783
28,0.790783,0.856594
29,0.782493,0.85214
30,0.790414,0.856556
31,0.782215,0.850801
32,0.785939,0.852702
33,0.780577,0.850641
34,0.783382,0.852025
35,0.784773,0.852122
36,0.784259,0.851965
37,0.780374,0.848419
38,0.786514,0.85342
39,0.79181,0.8598
40,0.789556,0.857415
41,0.786516,0.857678
42,0.789982,0.859433
43,0.783108,0.855059
44,0.776401,0.850326
45,0.786815,0.853569
46,0.790004,0.857101
47,0.782428,0.850742
48,0.78231,0.850275
49,0.789295,0.855048
50,0.789041,0.855225
51,0.798123,0.865952
52,0.796933,0.863955
53,0.784956,0.85368
54,0.793861,0.860505
55,0.797365,0.863343
56,0.795408,0.861923
57,0.796257,0.863859
58,0.797005,0.864161
59,0.791362,0.859966
60,0.791177,0.859054
61,0.793717,0.859532
62,0.789935,0.857409
63,0.779139,0.851158
64,0.789419,0.855222
65,0.797713,0.861315
66,0.785583,0.853246
67,0.780536,0.849166
68,0.786576,0.852766
69,0.789091,0.855345
70,0.78742,0.854159
71,0.788428,0.85477
72,0.782638,0.850629
73,0.788493,0.854342
74,0.791983,0.859419
75,0.791537,0.860094
76,0.793698,0.860392
77,0.79191,0.859757
78,0.790841,0.858019
79,0.792584,0.860511
80,0.786238,0.852699
81,0.787411,0.853026
82,0.783808,0.850753
83,0.784302,0.851395
84,0.792137,0.856794
85,0.787772,0.854547
86,0.789377,0.854976
87,0.781192,0.851743
88,0.791298,0.857132
89,0.792214,0.858298
90,0.787198,0.854906
91,0.791895,0.858547
92,0.790931,0.856965
93,0.789945,0.855316
94,0.786115,0.853292
95,0.783484,0.851707
96,0.775115,0.846908
97,0.772925,0.846168
