Frame, eSSIM, SSIM
0,0.960315,0.967345
1,0.947015,0.959983
2,0.947159,0.959482
3,0.952439,0.96189
4,0.94937,0.960233
5,0.951074,0.961287
6,0.955202,0.963551
7,0.948371,0.961266
8,0.950955,0.962178
9,0.939049,0.958435
10,0.942053,0.95926
11,0.949579,0.961367
12,0.945197,0.959837
13,0.954078,0.963186
14,0.946622,0.960721
15,0.942025,0.95918
16,0.948592,0.962038
17,0.935659,0.957688
18,0.941139,0.95909
19,0.948269,0.962157
20,0.945273,0.960412
21,0.949442,0.962829
22,0.932243,0.957025
23,0.922423,0.953731
24,0.939072,0.959475
25,0.93661,0.958115
26,0.940356,0.959687
27,0.942734,0.961247
28,0.938952,0.959274
29,0.94109,0.959244
30,0.946545,0.962283
31,0.938168,0.959378
32,0.941513,0.960389
33,0.931133,0.956785
34,0.942372,0.960872
35,0.93636,0.958544
36,0.936784,0.957991
37,0.945068,0.96192
38,0.938658,0.958988
39,0.937382,0.958336
40,0.945443,0.961697
41,0.941762,0.959976
42,0.949296,0.963172
43,0.946735,0.960889
44,0.946475,0.959172
45,0.952264,0.962623
46,0.942515,0.959229
47,0.940831,0.958774
48,0.953829,0.962437
49,0.942701,0.958687
50,0.947421,0.960202
51,0.950277,0.962422
52,0.947758,0.96012
53,0.953031,0.962395
54,0.951789,0.960958
55,0.95042,0.960021
56,0.95403,0.962686
57,0.940031,0.958581
58,0.944127,0.959009
59,0.954318,0.962524
60,0.952689,0.961072
61,0.951415,0.961112
62,0.953591,0.96306
63,0.952219,0.961643
64,0.955007,0.963173
65,0.952337,0.962161
66,0.954978,0.963574
67,0.952914,0.96195
68,0.953775,0.961449
69,0.957137,0.963704
70,0.953999,0.962899
71,0.95576,0.963956
72,0.954394,0.962761
73,0.956163,0.963909
74,0.956207,0.963454
75,0.95695,0.964029
76,0.956956,0.965621
77,0.957135,0.964498
78,0.954679,0.963312
79,0.955784,0.963784
80,0.955991,0.963547
81,0.958384,0.965103
82,0.956214,0.964236
83,0.955359,0.964006
84,0.956188,0.965542
85,0.952179,0.963931
86,0.955705,0.966226
87,0.952162,0.964352
88,0.955368,0.963458
89,0.957076,0.966332
90,0.95807,0.966242
91,0.959462,0.967942
92,0.954104,0.965826
93,0.959115,0.968787
94,0.95466,0.966266
95,0.954801,0.966968
96,0.941848,0.962293
97,0.94921,0.964855
98,0.952265,0.966205
99,0.957111,0.967618
