Frame, eSSIM, SSIM
0,0.87711,0.909249
1,0.863051,0.904283
2,0.857381,0.900813
3,0.858915,0.898908
4,0.844899,0.888888
5,0.862904,0.902832
6,0.844244,0.890717
7,0.856378,0.896314
8,0.841895,0.887906
9,0.858615,0.897636
10,0.852852,0.898429
11,0.857133,0.899621
12,0.839956,0.888651
13,0.840514,0.888563
14,0.840011,0.892077
15,0.851881,0.895816
16,0.848095,0.895013
17,0.853839,0.897828
18,0.851077,0.897756
19,0.850914,0.892695
20,0.852981,0.895576
21,0.844657,0.893795
22,0.848448,0.896164
23,0.856036,0.898813
24,0.850409,0.894422
25,0.845939,0.893172
26,0.846144,0.890164
27,0.83461,0.883742
28,0.847949,0.893089
29,0.830685,0.88269
30,0.826807,0.878724
31,0.827909,0.878507
32,0.847803,0.890725
33,0.837331,0.887889
34,0.833282,0.882537
35,0.835483,0.885823
36,0.84642,0.889489
37,0.835223,0.884327
38,0.833357,0.881846
39,0.844876,0.888605
40,0.837092,0.886694
41,0.844519,0.89128
42,0.83107,0.884267
43,0.830231,0.881873
44,0.845801,0.889974
45,0.832675,0.882648
46,0.835043,0.884885
47,0.852616,0.894307
48,0.838285,0.883738
49,0.854761,0.896008
50,0.854768,0.899008
51,0.850264,0.892938
52,0.860653,0.897145
53,0.853764,0.894168
54,0.85623,0.897521
55,0.849746,0.8914
56,0.858248,0.895458
57,0.850646,0.89201
58,0.858357,0.900005
59,0.860873,0.89832
60,0.863552,0.899944
61,0.852231,0.895817
62,0.850476,0.893759
63,0.853226,0.89537
64,0.857787,0.89519
65,0.857792,0.897985
66,0.859898,0.896416
67,0.845983,0.888317
68,0.856459,0.896735
69,0.856265,0.893793
70,0.842939,0.885253
71,0.857683,0.894937
72,0.860334,0.898715
73,0.850341,0.889989
74,0.852331,0.890021
75,0.852043,0.892961
76,0.851897,0.890765
77,0.84331,0.88469
78,0.850196,0.892569
79,0.855092,0.893291
80,0.853052,0.896255
81,0.844192,0.888452
82,0.853358,0.892173
83,0.843289,0.887184
84,0.841733,0.887474
85,0.850115,0.890877
86,0.850517,0.891232
87,0.846965,0.891939
88,0.846738,0.887594
89,0.841716,0.887178
90,0.84931,0.889743
91,0.838556,0.883559
92,0.844784,0.886151
93,0.832646,0.879866
94,0.823974,0.874303
95,0.828199,0.876352
