Frame, eSSIM, SSIM
0,0.898343,0.938136
1,0.885103,0.929081
2,0.879382,0.922894
3,0.878884,0.922728
4,0.875576,0.920818
5,0.875943,0.919225
6,0.877055,0.920967
7,0.873494,0.917395
8,0.876177,0.920284
9,0.869455,0.917945
10,0.865741,0.917439
11,0.867667,0.918657
12,0.872284,0.922129
13,0.871236,0.919856
14,0.867697,0.916559
15,0.87294,0.918789
16,0.873879,0.919207
17,0.873561,0.917752
18,0.87733,0.920684
19,0.871434,0.916173
20,0.875133,0.919644
21,0.876009,0.919909
22,0.875042,0.921451
23,0.879427,0.924693
24,0.880326,0.925466
25,0.874776,0.921718
26,0.86905,0.917486
27,0.876698,0.921025
28,0.878205,0.921789
29,0.877519,0.92
30,0.881305,0.923503
31,0.877839,0.919571
32,0.882015,0.923491
33,0.879422,0.922405
34,0.879049,0.923611
35,0.884982,0.926748
36,0.884043,0.928212
37,0.882121,0.924753
38,0.87686,0.921207
39,0.880587,0.923445
40,0.880559,0.92365
41,0.880659,0.921898
42,0.881794,0.92403
43,0.875576,0.919182
44,0.878966,0.922373
45,0.880722,0.922433
46,0.883792,0.926498
47,0.883854,0.926941
48,0.884952,0.928523
49,0.883768,0.927115
50,0.883304,0.923413
51,0.88382,0.925265
52,0.883311,0.924645
53,0.876945,0.919336
54,0.878169,0.920922
55,0.880448,0.92115
56,0.882499,0.923796
57,0.881966,0.923021
58,0.886265,0.927757
59,0.886053,0.927504
60,0.886406,0.92879
61,0.885225,0.92759
62,0.883018,0.923593
63,0.884466,0.925654
64,0.8843,0.925316
65,0.876575,0.919586
66,0.878614,0.922106
67,0.880412,0.920872
68,0.881967,0.922981
69,0.883327,0.924123
70,0.885865,0.926921
71,0.886603,0.927378
72,0.887318,0.928928
73,0.886135,0.927661
74,0.88368,0.923761
75,0.884217,0.925255
76,0.883523,0.924639
77,0.880298,0.920462
78,0.883212,0.923533
79,0.882214,0.922265
80,0.885149,0.925035
81,0.88139,0.922935
82,0.881036,0.925013
83,0.884479,0.92663
84,0.884631,0.928913
85,0.881674,0.925343
86,0.87774,0.922329
87,0.881691,0.924892
88,0.881858,0.92458
89,0.881162,0.9231
90,0.88212,0.924332
91,0.881426,0.92331
92,0.882441,0.925288
93,0.881635,0.924015
94,0.88476,0.92743
95,0.884886,0.927384
96,0.885072,0.928986
97,0.882227,0.926006
98,0.878777,0.92274
99,0.877541,0.922325
100,0.874026,0.92036
101,0.867679,0.915179
