Frame, eSSIM, SSIM
0,0.793914,0.87129
1,0.772101,0.857408
2,0.770097,0.855134
3,0.747305,0.842682
4,0.746889,0.842336
5,0.767078,0.852818
6,0.750502,0.844597
7,0.747337,0.843412
8,0.763579,0.85146
9,0.756259,0.848542
10,0.758648,0.849244
11,0.755431,0.8481
12,0.764496,0.853139
13,0.75625,0.848985
14,0.766116,0.854557
15,0.7601,0.851695
16,0.767461,0.85573
17,0.757934,0.851375
18,0.762895,0.853458
19,0.757378,0.85127
20,0.763282,0.852982
21,0.755602,0.848913
22,0.760604,0.851714
23,0.761169,0.852273
24,0.762766,0.852738
25,0.758151,0.850363
26,0.764968,0.853387
27,0.757446,0.84915
28,0.764775,0.852974
29,0.755386,0.847748
30,0.762781,0.85198
31,0.746806,0.844622
32,0.744886,0.844631
33,0.76365,0.854252
34,0.752043,0.847854
35,0.751616,0.846923
36,0.745766,0.84412
37,0.754573,0.848309
38,0.74422,0.843571
39,0.753404,0.847521
40,0.743376,0.842635
41,0.750881,0.845942
42,0.750031,0.846338
43,0.756432,0.849365
44,0.746088,0.843877
45,0.760154,0.850763
46,0.748917,0.845035
47,0.75743,0.848562
48,0.743472,0.841026
49,0.758745,0.848742
50,0.749844,0.844121
51,0.757689,0.84947
52,0.748519,0.845229
53,0.759594,0.851069
54,0.751473,0.846977
55,0.760884,0.852044
56,0.748006,0.845811
57,0.762723,0.853603
58,0.740623,0.840853
59,0.741593,0.839851
60,0.761992,0.851442
61,0.751323,0.847284
62,0.757866,0.849555
63,0.749391,0.846539
64,0.749906,0.846399
65,0.766391,0.854622
66,0.746155,0.845041
67,0.742396,0.845697
68,0.763572,0.854835
69,0.754946,0.849711
70,0.760399,0.852743
71,0.745543,0.845907
72,0.74504,0.84601
73,0.766368,0.857434
74,0.752191,0.851336
75,0.766739,0.858062
76,0.751777,0.850876
77,0.749941,0.851483
78,0.770835,0.862066
79,0.758119,0.855835
80,0.752048,0.852825
81,0.770787,0.862799
82,0.761721,0.859699
83,0.767841,0.862702
84,0.757277,0.857289
85,0.767382,0.862159
86,0.764064,0.862277
87,0.767086,0.862786
88,0.750111,0.854344
89,0.755141,0.858475
90,0.770944,0.86573
91,0.75427,0.856505
92,0.759628,0.85953
93,0.76789,0.864484
94,0.753714,0.857278
95,0.753026,0.856581
