Frame, eSSIM, SSIM
0,0.535404,0.663931
1,0.459693,0.608152
2,0.442181,0.589906
3,0.424816,0.572798
4,0.417136,0.563511
5,0.408423,0.552624
6,0.393652,0.538592
7,0.411895,0.560438
8,0.409064,0.556393
9,0.396848,0.542223
10,0.405586,0.553527
11,0.395581,0.544191
12,0.383572,0.530279
13,0.377001,0.522159
14,0.365863,0.508898
15,0.370931,0.513664
16,0.364791,0.505122
17,0.366231,0.507812
18,0.373262,0.515826
19,0.380148,0.522769
20,0.364464,0.507661
21,0.37958,0.519209
22,0.392371,0.532667
23,0.379648,0.523272
24,0.397741,0.541161
25,0.396019,0.540481
26,0.394451,0.540492
27,0.395114,0.542053
28,0.376892,0.525185
29,0.412017,0.554255
30,0.415983,0.558117
31,0.384174,0.532127
32,0.414413,0.555972
33,0.411151,0.552799
34,0.410946,0.552831
35,0.388802,0.535032
36,0.411006,0.553145
37,0.383471,0.528456
38,0.41211,0.553306
39,0.408436,0.549765
40,0.38113,0.523411
41,0.418793,0.55736
42,0.424154,0.562821
43,0.427574,0.568567
44,0.434978,0.575799
45,0.439945,0.58297
46,0.443074,0.587385
47,0.454908,0.60034
48,0.460727,0.608588
49,0.474905,0.622021
50,0.487524,0.632986
51,0.474278,0.624874
52,0.431349,0.590618
53,0.47088,0.621091
54,0.439824,0.593446
55,0.481483,0.627952
56,0.458148,0.609
57,0.503165,0.644831
58,0.507028,0.647908
59,0.475969,0.62384
60,0.645241,0.758044
61,0.553492,0.698028
62,0.63418,0.749957
63,0.567117,0.704424
64,0.629253,0.746653
65,0.574392,0.715774
66,0.601513,0.726812
67,0.631713,0.748202
68,0.538118,0.68976
69,0.614074,0.735731
70,0.642613,0.755593
71,0.621224,0.745964
72,0.635044,0.750921
73,0.60629,0.732588
74,0.656311,0.763965
75,0.645745,0.757222
76,0.661,0.766854
77,0.665983,0.770137
78,0.667729,0.771813
79,0.654375,0.761494
80,0.630469,0.750525
81,0.653638,0.761042
82,0.676352,0.777176
