Frame, eSSIM, SSIM
0,0.564121,0.687463
1,0.483563,0.629042
2,0.462428,0.608264
3,0.449148,0.594129
4,0.43999,0.584494
5,0.431609,0.572949
6,0.404363,0.551277
7,0.431492,0.578928
8,0.426072,0.572485
9,0.408252,0.556923
10,0.424641,0.57166
11,0.413314,0.561948
12,0.388644,0.538596
13,0.383768,0.531943
14,0.371233,0.516855
15,0.379501,0.525143
16,0.37006,0.515137
17,0.375632,0.522225
18,0.384171,0.528968
19,0.394016,0.537033
20,0.374673,0.519869
21,0.397238,0.536975
22,0.410431,0.55061
23,0.394416,0.538733
24,0.414028,0.558591
25,0.417569,0.561924
26,0.418647,0.564012
27,0.422501,0.567199
28,0.402967,0.551153
29,0.435447,0.577435
30,0.443128,0.582855
31,0.404944,0.553021
32,0.440121,0.57964
33,0.433746,0.574513
34,0.431085,0.571781
35,0.402895,0.548625
36,0.431579,0.573381
37,0.394112,0.540937
38,0.43423,0.573734
39,0.430816,0.570294
40,0.399501,0.542424
41,0.442782,0.57867
42,0.448114,0.584735
43,0.453341,0.591369
44,0.459436,0.59868
45,0.466951,0.607197
46,0.467906,0.610254
47,0.480066,0.622484
48,0.486233,0.630765
49,0.498798,0.642324
50,0.506941,0.650725
51,0.498862,0.645796
52,0.456572,0.612117
53,0.49891,0.645462
54,0.45571,0.609303
55,0.50426,0.649202
56,0.476906,0.628542
57,0.521552,0.661193
58,0.525208,0.664811
59,0.497708,0.642106
60,0.670907,0.777025
61,0.574863,0.714618
62,0.65792,0.768342
63,0.588333,0.722213
64,0.653004,0.765056
65,0.592801,0.731244
66,0.632547,0.750894
67,0.66016,0.76888
68,0.579991,0.717114
69,0.645519,0.758396
70,0.672348,0.776422
71,0.651361,0.766622
72,0.66287,0.770698
73,0.629909,0.751825
74,0.686471,0.78556
75,0.693673,0.789573
76,0.694825,0.789934
77,0.699095,0.79301
78,0.700544,0.794298
79,0.680328,0.780363
80,0.659731,0.770253
81,0.680224,0.779429
82,0.708219,0.798937
83,0.704804,0.796157
84,0.704885,0.797091
85,0.705008,0.797084
86,0.644117,0.759951
87,0.697706,0.795183
88,0.640209,0.758793
89,0.638894,0.759031
90,0.695226,0.792447
91,0.658595,0.773768
92,0.701403,0.79663
93,0.664199,0.774224
94,0.710281,0.803135
95,0.70121,0.798482
96,0.711373,0.804095
97,0.702454,0.799697
98,0.708909,0.802657
99,0.703287,0.801345
100,0.714842,0.806133
101,0.722222,0.811248
102,0.711984,0.805467
103,0.708433,0.801846
104,0.710624,0.80264
105,0.728794,0.815662
106,0.683034,0.789413
107,0.711306,0.806396
108,0.714823,0.806103
109,0.741819,0.823681
110,0.741429,0.823454
111,0.747392,0.826896
112,0.750183,0.829006
113,0.751172,0.829737
114,0.756451,0.833301
115,0.755292,0.83244
116,0.749439,0.827471
117,0.750794,0.828386
118,0.751096,0.828614
119,0.756263,0.83212
120,0.833683,0.887393
121,0.833371,0.887116
122,0.832527,0.88656
123,0.830483,0.885773
124,0.829821,0.885394
125,0.827626,0.884649
126,0.825711,0.883947
127,0.825026,0.88355
128,0.823941,0.883087
129,0.820389,0.882204
130,0.629965,0.763512
131,0.715314,0.823127
132,0.63086,0.770326
133,0.714688,0.823291
134,0.68145,0.802238
135,0.694344,0.807383
136,0.691347,0.804041
137,0.706004,0.813
138,0.697993,0.808461
139,0.703376,0.810232
140,0.711588,0.814314
141,0.722019,0.819873
142,0.723228,0.820154
143,0.710083,0.814574
144,0.716159,0.816067
145,0.712161,0.813222
146,0.716959,0.814915
147,0.613305,0.755034
148,0.718408,0.817813
149,0.736928,0.827724
150,0.730857,0.824355
151,0.725176,0.819891
152,0.697256,0.802067
153,0.723711,0.81982
154,0.642936,0.770548
155,0.69999,0.806078
156,0.62573,0.754585
157,0.671948,0.785154
158,0.663694,0.777756
159,0.657928,0.771381
160,0.648169,0.764397
161,0.645733,0.761944
162,0.641111,0.759258
163,0.639064,0.75486
164,0.636669,0.753446
165,0.636195,0.756654
166,0.646135,0.765423
167,0.646877,0.768985
168,0.60747,0.751957
169,0.653102,0.781445
170,0.647013,0.777783
171,0.607122,0.758285
172,0.648155,0.780835
173,0.606569,0.759915
174,0.64963,0.784148
175,0.642272,0.780872
176,0.637201,0.777973
177,0.622988,0.767318
178,0.617804,0.762304
179,0.607839,0.753728
180,0.686583,0.803284
181,0.612201,0.762628
182,0.60567,0.754734
183,0.604451,0.75059
184,0.600445,0.745731
185,0.598749,0.743957
186,0.593286,0.738635
187,0.588567,0.733767
188,0.581154,0.726365
189,0.585093,0.726989
190,0.576342,0.721821
191,0.577069,0.719877
192,0.5794,0.720705
193,0.571138,0.714625
194,0.542302,0.695683
195,0.577094,0.718286
196,0.574915,0.714139
197,0.580716,0.718788
198,0.584712,0.721956
199,0.588108,0.724274
200,0.590589,0.725999
201,0.596102,0.729474
202,0.594157,0.728444
203,0.5916,0.727588
204,0.599317,0.732505
205,0.596961,0.731202
206,0.595006,0.730638
207,0.595886,0.731699
208,0.598381,0.734456
209,0.597635,0.73389
210,0.595728,0.73363
211,0.596591,0.73436
212,0.589597,0.729742
213,0.582873,0.725709
214,0.584272,0.72576
215,0.587385,0.727039
216,0.566402,0.717041
217,0.6032,0.738234
218,0.584957,0.728923
219,0.607305,0.744435
220,0.60519,0.743515
221,0.607491,0.747503
222,0.604464,0.747983
223,0.591464,0.742064
224,0.620823,0.761582
225,0.622601,0.76372
226,0.612991,0.761806
227,0.641671,0.7797
228,0.627469,0.775847
229,0.654326,0.793165
230,0.660455,0.800142
231,0.669284,0.807757
232,0.678912,0.815691
233,0.68495,0.820495
234,0.692152,0.826977
235,0.698771,0.83184
236,0.706591,0.836515
237,0.707703,0.836052
238,0.677175,0.823144
239,0.701482,0.835954
240,0.783213,0.882018
241,0.741184,0.862292
242,0.734447,0.858957
243,0.683009,0.837999
244,0.697185,0.843137
245,0.744951,0.86626
246,0.741648,0.86444
247,0.729921,0.858478
248,0.703079,0.846784
249,0.735002,0.861163
250,0.731534,0.859554
251,0.719516,0.853817
252,0.706386,0.844535
253,0.712268,0.848115
254,0.674675,0.832715
255,0.714097,0.853157
256,0.666698,0.831199
257,0.669518,0.831983
258,0.695281,0.843221
259,0.689293,0.839315
260,0.684705,0.835242
261,0.677025,0.833098
262,0.676181,0.832765
263,0.669587,0.829625
264,0.665153,0.827914
265,0.664687,0.827396
266,0.663666,0.825398
267,0.632334,0.80983
268,0.662353,0.821052
269,0.661445,0.818351
270,0.661017,0.817221
271,0.663371,0.818379
