Frame, eSSIM, SSIM
0,0.610104,0.726109
1,0.502104,0.650476
2,0.47768,0.624496
3,0.459185,0.60675
4,0.450797,0.596319
5,0.44432,0.58637
6,0.441103,0.585336
7,0.413713,0.561962
8,0.439546,0.58614
9,0.415408,0.563228
10,0.432186,0.580301
11,0.420578,0.568121
12,0.40472,0.551738
13,0.404058,0.550286
14,0.39035,0.535116
15,0.401499,0.546876
16,0.386716,0.532751
17,0.401225,0.545333
18,0.408497,0.551948
19,0.424155,0.562686
20,0.427075,0.565534
21,0.427355,0.564954
22,0.449418,0.583778
23,0.415994,0.557707
24,0.453535,0.592054
25,0.45202,0.591575
26,0.452965,0.593206
27,0.461749,0.600587
28,0.466221,0.604187
29,0.469896,0.60674
30,0.483591,0.616143
31,0.431306,0.575634
32,0.474568,0.609642
33,0.463946,0.601157
34,0.419622,0.561725
35,0.465182,0.601896
36,0.463128,0.599636
37,0.467647,0.604708
38,0.469256,0.60558
39,0.467374,0.603027
40,0.422878,0.56339
41,0.473222,0.607438
42,0.478194,0.611823
43,0.48739,0.622059
44,0.491654,0.626301
45,0.498732,0.633933
46,0.496446,0.635075
47,0.512877,0.651147
48,0.488866,0.629837
49,0.537815,0.673418
50,0.544698,0.680675
51,0.5315,0.672406
52,0.528984,0.671251
53,0.523071,0.665127
54,0.473444,0.622885
55,0.527529,0.668376
56,0.531497,0.671819
57,0.493109,0.637996
58,0.552366,0.683441
59,0.522243,0.659024
60,0.722357,0.814406
61,0.625714,0.749465
62,0.70279,0.800747
63,0.631873,0.754263
64,0.709831,0.802812
65,0.627382,0.758305
66,0.67924,0.780922
67,0.71437,0.805429
68,0.629968,0.753842
69,0.699203,0.796258
70,0.728962,0.814279
71,0.710265,0.803002
72,0.697691,0.795099
73,0.660762,0.776757
74,0.742312,0.82254
75,0.74776,0.826979
76,0.751144,0.828293
77,0.756941,0.831577
78,0.759522,0.833784
79,0.727858,0.812694
80,0.721879,0.812084
81,0.734604,0.816692
82,0.76649,0.837834
83,0.760074,0.833365
84,0.765982,0.838156
85,0.766004,0.838126
86,0.701492,0.798656
87,0.761128,0.836962
88,0.693802,0.797238
89,0.707077,0.800647
90,0.762605,0.836365
91,0.701808,0.802944
92,0.711343,0.807297
93,0.767884,0.840813
94,0.70938,0.80745
95,0.781228,0.849267
96,0.770988,0.844085
97,0.774747,0.845365
98,0.784949,0.851761
99,0.778078,0.848807
100,0.783979,0.851012
101,0.781591,0.85081
102,0.791147,0.855518
103,0.77459,0.845137
104,0.765627,0.841406
105,0.745209,0.830392
