Frame, eSSIM, SSIM
0,0.844245,0.895554
1,0.766246,0.848616
2,0.752013,0.83403
3,0.729803,0.818062
4,0.718428,0.809219
5,0.709081,0.800319
6,0.694103,0.79203
7,0.648912,0.756457
8,0.691578,0.788737
9,0.633427,0.745823
10,0.679959,0.779447
11,0.658769,0.764084
12,0.579013,0.707858
13,0.601368,0.721024
14,0.545294,0.674838
15,0.58805,0.709
16,0.536177,0.665356
17,0.583172,0.704255
18,0.590326,0.709583
19,0.603579,0.717443
20,0.606259,0.718357
21,0.616439,0.726073
22,0.631051,0.737763
23,0.608374,0.721173
24,0.650113,0.754605
25,0.649637,0.755503
26,0.647181,0.755095
27,0.652885,0.759016
28,0.662205,0.765003
29,0.66926,0.770156
30,0.68249,0.779983
31,0.63837,0.74646
32,0.676923,0.775723
33,0.661862,0.765512
34,0.610664,0.72542
35,0.660965,0.763969
36,0.662416,0.765079
37,0.663834,0.766966
38,0.667021,0.768963
39,0.663469,0.767353
40,0.6264,0.736849
41,0.669357,0.770962
42,0.677762,0.77698
43,0.688368,0.785112
44,0.694828,0.79058
45,0.702752,0.796874
46,0.70355,0.799183
47,0.716156,0.809007
48,0.69581,0.795368
49,0.732288,0.821042
50,0.739769,0.826362
51,0.726277,0.818978
52,0.720191,0.815307
53,0.717779,0.81409
54,0.679928,0.78647
55,0.721512,0.816866
56,0.725758,0.818536
57,0.687953,0.791243
58,0.739551,0.825943
59,0.727818,0.813862
60,0.884792,0.922896
61,0.823496,0.886239
62,0.875999,0.916517
63,0.825894,0.886489
64,0.882474,0.918244
65,0.82723,0.88906
66,0.861365,0.903832
67,0.886647,0.92082
68,0.843983,0.896381
69,0.87418,0.913289
70,0.897846,0.9272
71,0.89234,0.923999
72,0.886613,0.920316
73,0.858218,0.905992
74,0.905559,0.932779
75,0.908,0.93614
76,0.914602,0.938809
77,0.91375,0.938605
78,0.917015,0.940203
79,0.914642,0.938692
80,0.901595,0.930633
81,0.898963,0.929281
82,0.919995,0.941755
83,0.900339,0.930566
84,0.915991,0.939897
85,0.919598,0.942172
86,0.884769,0.923021
87,0.915,0.941021
88,0.887472,0.925538
89,0.884549,0.923369
90,0.915092,0.940275
91,0.889503,0.924846
92,0.891945,0.926679
93,0.917568,0.942105
94,0.890881,0.927191
95,0.924712,0.946238
96,0.907511,0.938048
97,0.912452,0.940318
98,0.927611,0.948051
99,0.920351,0.944661
100,0.922238,0.945212
101,0.923856,0.946545
102,0.931411,0.950133
103,0.922113,0.945056
104,0.920054,0.943842
105,0.908094,0.937233
106,0.934502,0.952459
107,0.912445,0.941036
108,0.925151,0.946745
109,0.932688,0.952302
110,0.939924,0.956005
111,0.941678,0.957122
112,0.940543,0.956325
113,0.939345,0.955396
114,0.939225,0.95523
115,0.924344,0.947562
116,0.926639,0.947558
117,0.935954,0.952837
118,0.938733,0.955061
119,0.94157,0.957037
120,0.972922,0.979355
121,0.972233,0.978905
122,0.969987,0.978205
123,0.967287,0.977481
124,0.966464,0.977191
125,0.964467,0.97669
126,0.962313,0.976281
127,0.961502,0.976111
128,0.961197,0.975881
129,0.957046,0.975456
130,0.853216,0.911572
131,0.891015,0.93893
132,0.863168,0.920245
133,0.890757,0.941022
134,0.867206,0.921595
135,0.89886,0.944307
136,0.878063,0.929395
137,0.891999,0.936243
138,0.907963,0.945991
139,0.903605,0.945716
140,0.910567,0.947676
141,0.908913,0.947486
142,0.91864,0.950023
143,0.913992,0.949557
144,0.92187,0.952263
145,0.919393,0.952178
146,0.928966,0.955105
147,0.90476,0.943262
148,0.920945,0.948383
149,0.925373,0.951446
150,0.931601,0.954401
151,0.917328,0.945635
152,0.905442,0.938851
153,0.923573,0.950743
154,0.892934,0.932371
155,0.911747,0.943348
156,0.873032,0.918428
157,0.896359,0.93296
158,0.892195,0.929036
159,0.886426,0.925099
160,0.880458,0.920922
161,0.876644,0.917631
162,0.872702,0.915174
163,0.869145,0.912375
164,0.866882,0.910306
165,0.865293,0.909339
166,0.868462,0.911796
167,0.868104,0.910349
168,0.870212,0.91272
169,0.871563,0.913809
170,0.869317,0.913301
171,0.873678,0.916208
172,0.873605,0.916232
173,0.874371,0.917205
174,0.876272,0.918739
175,0.874095,0.918208
176,0.869184,0.915357
177,0.863866,0.91165
178,0.858148,0.907815
179,0.854417,0.905253
180,0.9036,0.934772
181,0.857469,0.909596
182,0.846403,0.901999
183,0.837096,0.896005
184,0.830383,0.89184
185,0.822742,0.886915
186,0.816361,0.883411
187,0.810923,0.879061
188,0.779918,0.859449
189,0.804359,0.873927
190,0.804586,0.873714
191,0.806245,0.874564
192,0.809418,0.876111
193,0.810323,0.876466
194,0.809426,0.876095
195,0.81079,0.876234
196,0.809039,0.87454
197,0.809639,0.875232
198,0.809209,0.875202
199,0.810507,0.876072
200,0.812744,0.877658
