Frame, eSSIM, SSIM
0,0.531733,0.661757
1,0.461087,0.605742
2,0.437275,0.581291
3,0.424901,0.566156
4,0.418803,0.559299
5,0.408856,0.547722
6,0.40848,0.550462
7,0.396922,0.53744
8,0.406526,0.548645
9,0.395563,0.536007
10,0.400547,0.542584
11,0.388844,0.532864
12,0.381644,0.524153
13,0.378918,0.520469
14,0.368139,0.507513
15,0.373339,0.51302
16,0.362785,0.500932
17,0.367666,0.504444
18,0.36629,0.502215
19,0.36883,0.505545
20,0.36846,0.505643
21,0.365195,0.502999
22,0.371596,0.506421
23,0.367986,0.500974
24,0.377748,0.514477
25,0.373142,0.510247
26,0.373358,0.511022
27,0.370198,0.509504
28,0.372146,0.512442
29,0.376451,0.515152
30,0.382673,0.520866
31,0.368779,0.508276
32,0.38333,0.522527
33,0.379833,0.518556
34,0.3713,0.507868
35,0.383994,0.522284
36,0.385019,0.5234
37,0.3843,0.523792
38,0.384784,0.522551
39,0.382096,0.520677
40,0.365618,0.501656
41,0.388725,0.524186
42,0.397588,0.532437
43,0.403851,0.53957
44,0.406219,0.54374
45,0.414227,0.55277
46,0.413316,0.555518
47,0.426896,0.57025
48,0.413285,0.557311
49,0.452498,0.596734
50,0.459098,0.603404
51,0.440406,0.588428
52,0.434127,0.583823
53,0.434503,0.58061
54,0.416077,0.561802
55,0.448075,0.590214
56,0.452254,0.595139
57,0.445728,0.584303
58,0.465698,0.604294
59,0.451157,0.590844
60,0.640159,0.754246
61,0.539192,0.683807
62,0.621961,0.740009
63,0.54665,0.688971
64,0.623826,0.739801
65,0.556829,0.701961
66,0.594204,0.718837
67,0.628593,0.743198
68,0.527705,0.681348
69,0.612676,0.732103
70,0.643018,0.752478
71,0.620954,0.742392
72,0.630022,0.745281
73,0.604381,0.730637
74,0.655941,0.761609
75,0.650263,0.757898
76,0.665494,0.768004
77,0.668978,0.770313
78,0.671128,0.77216
79,0.652994,0.759592
80,0.62995,0.748714
81,0.658263,0.762546
82,0.680069,0.777896
83,0.679888,0.777429
84,0.678194,0.777508
85,0.678334,0.777513
86,0.601601,0.726355
87,0.674658,0.777672
88,0.597588,0.73049
89,0.613771,0.734586
90,0.673629,0.775477
91,0.594838,0.732921
92,0.613008,0.742207
93,0.678686,0.779291
94,0.60888,0.739566
95,0.695758,0.791267
96,0.681966,0.784948
97,0.685474,0.785605
98,0.70119,0.794932
99,0.69089,0.790476
100,0.699314,0.793696
101,0.697369,0.79336
102,0.706457,0.798545
103,0.690392,0.788882
104,0.680337,0.783212
105,0.668845,0.777098
106,0.718334,0.805984
107,0.673689,0.781833
108,0.69127,0.789575
109,0.714246,0.802392
110,0.733942,0.815935
111,0.73631,0.817325
112,0.736039,0.816969
113,0.73572,0.816718
114,0.735614,0.816609
115,0.736482,0.817146
116,0.734307,0.814934
117,0.736826,0.816771
118,0.737832,0.817566
119,0.744126,0.821861
120,0.833829,0.885285
121,0.833458,0.884974
122,0.832228,0.884349
123,0.830062,0.883591
124,0.829657,0.883275
125,0.826923,0.882519
126,0.825243,0.88174
127,0.823587,0.881195
128,0.822897,0.880825
129,0.81916,0.879892
130,0.560532,0.713345
131,0.666926,0.794731
132,0.580562,0.735987
133,0.657383,0.78662
134,0.622181,0.761018
135,0.641006,0.770424
136,0.609252,0.753612
137,0.633851,0.764253
138,0.649401,0.776794
139,0.63525,0.771409
140,0.657433,0.781376
141,0.650769,0.780979
142,0.669361,0.789442
143,0.668757,0.789694
144,0.6815,0.79614
145,0.685272,0.799363
146,0.698105,0.805503
147,0.605883,0.746175
