Frame, eSSIM, SSIM
0,0.518117,0.646555
1,0.487897,0.622081
2,0.447563,0.588191
3,0.468372,0.604721
4,0.431772,0.575519
5,0.451267,0.586943
6,0.416191,0.563471
7,0.444231,0.588559
8,0.438759,0.583303
9,0.411491,0.563308
10,0.436823,0.58236
11,0.4112,0.559099
12,0.42287,0.568615
13,0.375815,0.530713
14,0.385968,0.538282
15,0.373023,0.523353
16,0.379509,0.529243
17,0.379896,0.528505
18,0.381361,0.527617
19,0.364251,0.51231
20,0.383106,0.526989
21,0.368796,0.512017
22,0.389314,0.532447
23,0.382364,0.529869
24,0.399118,0.545426
25,0.400907,0.544944
26,0.400584,0.545903
27,0.404044,0.54854
28,0.410516,0.55449
29,0.413509,0.557105
30,0.396847,0.545851
31,0.417053,0.559401
32,0.415681,0.558308
33,0.413205,0.556698
34,0.415589,0.558268
35,0.397689,0.544796
36,0.415345,0.559325
37,0.418796,0.56128
38,0.388547,0.535093
39,0.417382,0.557551
40,0.390521,0.533412
41,0.419664,0.558293
42,0.396811,0.54061
43,0.430017,0.570026
44,0.436452,0.57782
45,0.41263,0.560174
46,0.446443,0.589974
47,0.455813,0.600675
48,0.434702,0.585843
49,0.471553,0.619381
50,0.4583,0.609139
51,0.48473,0.632776
52,0.437301,0.596986
53,0.475219,0.625279
54,0.444564,0.60031
55,0.483533,0.63088
56,0.469224,0.621333
57,0.504206,0.647564
58,0.466241,0.62123
59,0.513197,0.65649
60,0.633467,0.747972
61,0.511523,0.669177
62,0.586735,0.720417
63,0.520862,0.675023
64,0.58762,0.719511
65,0.535739,0.691108
66,0.565352,0.704786
67,0.601513,0.728709
68,0.566849,0.70448
69,0.615403,0.736715
70,0.604123,0.728469
71,0.605564,0.729696
72,0.606775,0.730435
73,0.627632,0.743771
74,0.602302,0.727833
75,0.636912,0.749807
76,0.63752,0.75047
77,0.635711,0.748551
78,0.626327,0.743197
79,0.601673,0.731542
80,0.649313,0.758896
81,0.63605,0.74934
82,0.642918,0.753564
83,0.649962,0.758305
84,0.653649,0.761145
85,0.651833,0.760013
86,0.63789,0.753528
87,0.61108,0.736899
88,0.654244,0.763686
89,0.608613,0.734569
90,0.621814,0.743415
91,0.654035,0.763445
92,0.621251,0.74433
93,0.654479,0.763835
94,0.609366,0.738664
95,0.657052,0.765907
96,0.644887,0.761254
97,0.652883,0.764144
98,0.660593,0.768563
99,0.668206,0.773384
100,0.674325,0.777304
101,0.666831,0.774416
102,0.671808,0.776621
103,0.670112,0.776086
104,0.679239,0.78165
105,0.659293,0.76914
106,0.665718,0.773291
107,0.687469,0.786725
108,0.676845,0.780162
109,0.692302,0.791312
110,0.696012,0.792659
111,0.698368,0.793977
112,0.698428,0.793954
113,0.698308,0.793801
114,0.698177,0.793545
115,0.698068,0.793313
116,0.690873,0.787994
117,0.691263,0.788134
118,0.691232,0.788058
119,0.691058,0.787811
120,0.76011,0.839062
121,0.75985,0.838782
122,0.759162,0.838199
123,0.757771,0.837395
124,0.757285,0.836995
125,0.755467,0.836139
126,0.753522,0.835158
127,0.753046,0.834856
128,0.752158,0.834324
129,0.750802,0.833694
130,0.599917,0.740885
131,0.668261,0.786846
132,0.614408,0.750746
133,0.662005,0.781052
134,0.624889,0.760779
135,0.634868,0.761762
136,0.631067,0.762268
137,0.651674,0.772028
138,0.66395,0.778973
139,0.67014,0.782423
140,0.657602,0.777863
141,0.668383,0.782112
142,0.666392,0.781514
143,0.67313,0.783764
144,0.666764,0.782058
145,0.672761,0.783945
146,0.678897,0.787019
147,0.610118,0.743687
148,0.672748,0.781645
149,0.683339,0.788162
150,0.680182,0.786757
151,0.675552,0.783935
152,0.664028,0.774793
153,0.674014,0.783489
154,0.621026,0.74868
155,0.655281,0.770001
156,0.604011,0.734476
157,0.632452,0.752414
158,0.590543,0.72197
159,0.621094,0.743257
160,0.61258,0.737099
161,0.612263,0.736684
162,0.61027,0.735601
163,0.60622,0.730882
164,0.605299,0.731193
165,0.602619,0.73326
166,0.584753,0.726194
167,0.619576,0.752678
168,0.592996,0.741122
169,0.623553,0.762865
170,0.626361,0.765031
171,0.59701,0.752056
172,0.621823,0.763623
173,0.596574,0.750989
174,0.621348,0.766521
175,0.594326,0.754132
176,0.614957,0.764387
177,0.583281,0.742741
178,0.598739,0.750053
179,0.57284,0.733413
180,0.644749,0.776675
181,0.597434,0.749294
182,0.586963,0.741135
183,0.579473,0.734446
184,0.551432,0.715385
185,0.570809,0.725518
186,0.56253,0.717615
187,0.558415,0.713777
188,0.551668,0.706414
189,0.555782,0.707737
190,0.554038,0.705344
191,0.55349,0.704761
192,0.551137,0.702355
193,0.546726,0.698767
194,0.524966,0.683109
195,0.544436,0.698153
196,0.542376,0.692718
197,0.548438,0.696427
198,0.553076,0.700613
199,0.528375,0.685418
200,0.554898,0.700941
201,0.525302,0.683632
202,0.557628,0.70272
203,0.559339,0.704594
204,0.567332,0.710567
205,0.566297,0.711007
206,0.565617,0.711566
207,0.563671,0.710466
208,0.564338,0.712743
209,0.53438,0.69388
210,0.560832,0.711047
211,0.563618,0.713273
212,0.5637,0.71327
213,0.560607,0.71227
214,0.543757,0.700888
215,0.567525,0.714584
216,0.572154,0.717898
217,0.567283,0.71736
218,0.590117,0.732925
219,0.588749,0.733956
220,0.572425,0.723753
221,0.586468,0.735624
222,0.571248,0.728723
223,0.587746,0.740729
224,0.579892,0.738482
225,0.605018,0.75418
226,0.602623,0.75562
227,0.623808,0.769578
228,0.611528,0.768175
229,0.636383,0.784067
230,0.633163,0.786527
231,0.654618,0.800935
232,0.642636,0.79985
233,0.667015,0.813336
234,0.653712,0.810668
235,0.678434,0.823497
236,0.665487,0.8188
237,0.685383,0.828641
238,0.668833,0.819503
239,0.681501,0.82644
240,0.75319,0.866622
241,0.686208,0.836084
242,0.722585,0.853322
243,0.717284,0.850739
244,0.683421,0.836071
245,0.705383,0.844879
246,0.716307,0.852604
247,0.713558,0.850617
248,0.702764,0.845273
249,0.704846,0.846137
250,0.709366,0.849082
251,0.702857,0.84499
252,0.696556,0.840059
253,0.705248,0.844964
254,0.669207,0.829093
255,0.689942,0.84175
256,0.65093,0.823691
257,0.665478,0.828792
258,0.674706,0.83284
259,0.644734,0.818307
260,0.66099,0.825545
261,0.653303,0.821989
262,0.648763,0.819911
263,0.643108,0.816634
264,0.622589,0.807121
265,0.636602,0.813573
266,0.616767,0.801906
267,0.633039,0.807115
268,0.632149,0.804113
269,0.616618,0.795144
270,0.63275,0.801563
271,0.635231,0.803665
272,0.638448,0.805872
273,0.625614,0.800997
274,0.64323,0.80998
275,0.623284,0.800579
276,0.64937,0.811163
277,0.65147,0.81244
278,0.652512,0.812618
279,0.656238,0.814695
280,0.655229,0.812782
281,0.650019,0.809316
282,0.641289,0.805177
283,0.638634,0.803135
284,0.637264,0.802151
285,0.624247,0.797175
286,0.635924,0.801518
287,0.633824,0.800952
288,0.635509,0.803364
289,0.632558,0.803675
290,0.620188,0.799619
291,0.635646,0.808454
292,0.633488,0.808832
293,0.645208,0.81603
294,0.648892,0.818408
295,0.65515,0.825357
296,0.67187,0.835804
297,0.662726,0.83568
298,0.686028,0.848832
299,0.678908,0.847856
300,0.75923,0.889166
301,0.737422,0.882452
302,0.727737,0.879892
303,0.747639,0.889561
304,0.722587,0.88264
305,0.742197,0.88898
306,0.735122,0.887701
307,0.750418,0.891996
308,0.748455,0.890813
309,0.747154,0.889816
310,0.749275,0.891331
311,0.759202,0.897974
312,0.756286,0.901218
313,0.77425,0.910156
314,0.778958,0.914024
