Frame, eSSIM, SSIM
0,0.617863,0.726612
1,0.591096,0.704822
2,0.548091,0.671449
3,0.571229,0.687216
4,0.527846,0.654029
5,0.553978,0.670857
6,0.516276,0.645572
7,0.540825,0.665315
8,0.536642,0.661891
9,0.50966,0.642099
10,0.533424,0.659711
11,0.492727,0.627698
12,0.517977,0.646298
13,0.433143,0.583472
14,0.460153,0.603133
15,0.420115,0.569934
16,0.448726,0.591318
17,0.453803,0.592471
18,0.450419,0.58828
19,0.411467,0.558407
20,0.443597,0.581106
21,0.412069,0.554388
22,0.443759,0.580879
23,0.42534,0.568787
24,0.450847,0.589923
25,0.452226,0.59083
26,0.455603,0.594374
27,0.456754,0.595561
28,0.460245,0.599154
29,0.466057,0.603291
30,0.451713,0.592376
31,0.473522,0.608635
32,0.473324,0.607781
33,0.472573,0.6069
34,0.473754,0.607371
35,0.444865,0.586743
36,0.474343,0.608956
37,0.477524,0.611826
38,0.446506,0.586139
39,0.48102,0.613242
40,0.457271,0.591779
41,0.488881,0.617978
42,0.467816,0.601546
43,0.501571,0.630408
44,0.511407,0.64023
45,0.486464,0.622806
46,0.518333,0.650654
47,0.528332,0.660818
48,0.514542,0.651824
49,0.543928,0.676726
50,0.523202,0.663021
51,0.553719,0.6878
52,0.518199,0.661377
53,0.546502,0.6814
54,0.515211,0.657181
55,0.553224,0.686599
56,0.529388,0.671616
57,0.574219,0.701337
58,0.541796,0.679564
59,0.583497,0.709125
60,0.698398,0.795139
61,0.616711,0.743626
62,0.674689,0.780296
63,0.608637,0.738954
64,0.671041,0.777579
65,0.616616,0.749775
66,0.655109,0.766331
67,0.681924,0.784463
68,0.658335,0.769628
69,0.698489,0.793836
70,0.676411,0.779126
71,0.690114,0.788222
72,0.683177,0.784498
73,0.707362,0.800213
74,0.663632,0.775055
75,0.71644,0.806148
76,0.718068,0.807449
77,0.716599,0.806392
78,0.716261,0.806221
79,0.71345,0.804732
80,0.72798,0.815269
81,0.710425,0.802836
82,0.718753,0.808902
83,0.724277,0.81206
84,0.731863,0.817466
85,0.731558,0.817185
86,0.719333,0.811346
87,0.7013,0.798212
88,0.7329,0.81908
89,0.687842,0.792256
90,0.710927,0.804726
91,0.732933,0.819393
92,0.710349,0.804712
93,0.732444,0.819499
94,0.710169,0.806877
95,0.736799,0.822332
96,0.730131,0.81997
97,0.733598,0.821602
98,0.738042,0.824316
99,0.744694,0.828311
100,0.749187,0.831333
101,0.74221,0.828489
102,0.744852,0.829291
103,0.742011,0.828074
104,0.752285,0.834717
105,0.729404,0.819351
106,0.737431,0.825278
107,0.758991,0.8384
108,0.740062,0.827221
109,0.755495,0.838616
110,0.761885,0.841126
111,0.765912,0.843408
112,0.766014,0.843556
113,0.766015,0.843583
114,0.766005,0.843506
115,0.765894,0.843341
116,0.75519,0.835279
117,0.756487,0.836128
118,0.756989,0.83645
119,0.757049,0.836502
120,0.814993,0.882605
121,0.814777,0.882351
122,0.814187,0.881804
123,0.812701,0.880919
124,0.812268,0.880612
125,0.811139,0.879913
126,0.809954,0.879258
127,0.809428,0.878927
128,0.808055,0.878297
129,0.806683,0.877732
130,0.694811,0.805376
131,0.7382,0.835919
132,0.684889,0.795614
133,0.733752,0.833074
134,0.706841,0.818378
135,0.721659,0.82464
136,0.719676,0.823241
137,0.729424,0.827549
138,0.739081,0.832329
139,0.745446,0.836255
140,0.736906,0.833569
141,0.742599,0.835338
142,0.739251,0.833899
143,0.745087,0.836082
144,0.744527,0.836529
145,0.746971,0.837531
146,0.751822,0.840158
147,0.687361,0.799799
148,0.741389,0.834181
149,0.750736,0.839144
150,0.746402,0.837056
151,0.744112,0.834818
152,0.732355,0.825409
153,0.743219,0.834121
154,0.696835,0.802889
155,0.727361,0.822295
156,0.680136,0.789263
157,0.706342,0.807287
158,0.663795,0.77709
159,0.692513,0.796424
160,0.687477,0.792355
161,0.685157,0.790153
162,0.685528,0.7902
163,0.681929,0.786437
164,0.682824,0.787253
165,0.684178,0.791138
166,0.669862,0.784993
167,0.691663,0.801339
168,0.679397,0.796503
169,0.697925,0.809889
170,0.697683,0.811105
171,0.676145,0.801216
172,0.691998,0.808452
173,0.669078,0.797293
174,0.688225,0.80893
175,0.664684,0.798018
176,0.68517,0.809031
177,0.653711,0.788851
178,0.666593,0.794305
179,0.640197,0.776883
180,0.720635,0.825612
181,0.680132,0.80087
182,0.666119,0.791073
183,0.656189,0.783857
184,0.617827,0.761343
185,0.639744,0.771913
186,0.63045,0.765298
187,0.62628,0.761389
188,0.622801,0.756433
189,0.620764,0.754354
190,0.620324,0.75349
191,0.618512,0.751403
192,0.617201,0.749917
193,0.612794,0.746616
194,0.583768,0.727151
195,0.605216,0.742424
196,0.608263,0.739865
197,0.611422,0.741771
198,0.617954,0.745837
199,0.58668,0.727096
200,0.617138,0.746151
201,0.592467,0.73067
202,0.621733,0.748313
203,0.630381,0.754323
204,0.637457,0.759628
205,0.64042,0.762166
206,0.642126,0.763471
207,0.640805,0.763386
208,0.640005,0.762705
209,0.607564,0.743965
210,0.636173,0.761998
211,0.634422,0.7619
212,0.63286,0.760533
213,0.629046,0.759192
214,0.605977,0.743465
215,0.626075,0.755816
216,0.629062,0.758183
217,0.616774,0.751706
218,0.644584,0.769999
219,0.642202,0.770777
220,0.628425,0.761298
221,0.642261,0.773133
222,0.618312,0.761011
223,0.640415,0.775291
224,0.629659,0.770854
225,0.65411,0.786121
226,0.638726,0.780691
227,0.671777,0.799764
228,0.659638,0.79643
229,0.685095,0.813869
230,0.673898,0.811885
231,0.700125,0.828207
232,0.694631,0.826942
233,0.712646,0.839277
234,0.705333,0.837779
235,0.728484,0.851081
236,0.718065,0.847363
237,0.741217,0.857828
238,0.715799,0.84547
239,0.733618,0.853924
240,0.79851,0.892332
241,0.738986,0.862978
242,0.771171,0.879726
243,0.765893,0.876425
244,0.742258,0.864829
245,0.749837,0.867484
246,0.76613,0.877518
247,0.7633,0.87559
248,0.75448,0.870541
249,0.742921,0.865536
250,0.758173,0.873505
251,0.746948,0.867318
252,0.738406,0.862053
253,0.747142,0.866863
254,0.719674,0.855197
255,0.737619,0.865357
256,0.707721,0.850798
257,0.71636,0.853657
258,0.72328,0.857297
259,0.697005,0.844687
260,0.710969,0.850264
261,0.706594,0.848866
262,0.704466,0.848464
263,0.703172,0.847544
264,0.684058,0.839352
265,0.696381,0.844874
266,0.679354,0.835346
267,0.691511,0.838682
268,0.693448,0.83677
269,0.679862,0.829081
270,0.692162,0.83443
271,0.69339,0.836084
272,0.6967,0.837983
273,0.684534,0.8336
274,0.699531,0.841632
275,0.68372,0.833842
276,0.702933,0.841565
277,0.707263,0.843219
278,0.709402,0.844379
279,0.710106,0.844758
280,0.710879,0.843889
281,0.709274,0.843374
282,0.70316,0.840168
283,0.703532,0.83894
284,0.701934,0.837988
285,0.683882,0.829967
286,0.692558,0.833256
287,0.691303,0.832897
288,0.695513,0.836635
289,0.696402,0.838059
290,0.682153,0.832686
291,0.693647,0.840055
292,0.694792,0.840915
293,0.702724,0.846517
294,0.704861,0.848334
295,0.704889,0.85148
296,0.720421,0.861036
297,0.71433,0.862124
298,0.733746,0.872712
299,0.725609,0.871158
300,0.807645,0.911392
301,0.788068,0.90448
302,0.772397,0.899633
303,0.792504,0.909048
304,0.778424,0.903514
305,0.79055,0.908891
306,0.781417,0.905695
307,0.791324,0.910183
308,0.79349,0.909614
309,0.793103,0.908962
310,0.79492,0.910896
311,0.801237,0.914989
312,0.801538,0.916766
313,0.811933,0.924536
314,0.816202,0.928827
315,0.81704,0.93284
316,0.820978,0.93633
317,0.823943,0.939825
318,0.824577,0.940382
319,0.826323,0.941217
320,0.827794,0.940942
321,0.828902,0.941346
322,0.829152,0.941784
