Frame, eSSIM, SSIM
0,0.830798,0.905724
1,0.829887,0.905158
2,0.830113,0.905205
3,0.832353,0.905657
4,0.831962,0.90546
5,0.832127,0.905465
6,0.831892,0.905475
7,0.832864,0.905714
8,0.832199,0.905674
9,0.832877,0.905732
10,0.834883,0.906334
11,0.835568,0.906659
12,0.83574,0.907287
13,0.831221,0.906633
14,0.8353,0.907867
15,0.83742,0.908601
16,0.840322,0.909706
17,0.842244,0.910113
18,0.843918,0.91078
19,0.84435,0.910857
20,0.842999,0.910462
21,0.836784,0.908823
22,0.837747,0.908868
23,0.836931,0.908449
24,0.840633,0.908728
25,0.830477,0.90498
26,0.828248,0.903394
27,0.822443,0.901115
28,0.824138,0.901249
29,0.819423,0.899866
30,0.81842,0.899114
31,0.82134,0.899056
32,0.806977,0.892059
33,0.806936,0.891296
34,0.821502,0.898111
35,0.795017,0.885116
36,0.797962,0.887643
37,0.823239,0.897661
38,0.796113,0.886023
39,0.807404,0.890467
40,0.824235,0.898538
41,0.790403,0.884465
42,0.804592,0.889535
43,0.825388,0.898584
44,0.795888,0.887712
45,0.825293,0.898253
46,0.778665,0.880283
47,0.783894,0.880282
48,0.814965,0.893035
49,0.779541,0.880005
50,0.81326,0.891599
51,0.773971,0.876767
52,0.810354,0.889896
53,0.774917,0.87524
54,0.806776,0.888045
55,0.773224,0.873709
56,0.805571,0.886744
57,0.771701,0.871965
58,0.807245,0.88752
59,0.800535,0.882792
60,0.82226,0.90004
61,0.746347,0.869892
62,0.769212,0.875636
63,0.80329,0.889015
64,0.747268,0.863978
65,0.775905,0.873981
66,0.804855,0.887196
67,0.75537,0.865967
68,0.77811,0.873374
69,0.806462,0.886814
70,0.762697,0.867254
71,0.779283,0.874909
72,0.804718,0.885982
73,0.75981,0.865395
74,0.773445,0.870361
75,0.797157,0.881658
76,0.758761,0.864563
77,0.774887,0.872381
78,0.797694,0.882525
79,0.764155,0.868263
80,0.783788,0.875452
81,0.803934,0.885082
82,0.77991,0.874366
83,0.788555,0.879491
84,0.809408,0.888037
85,0.779498,0.876047
86,0.791919,0.881422
87,0.811211,0.889298
88,0.785602,0.879176
89,0.795703,0.883864
90,0.812285,0.890991
91,0.786757,0.881696
92,0.800082,0.886194
93,0.81675,0.893331
94,0.791321,0.883356
95,0.803679,0.888125
96,0.819623,0.895243
97,0.791423,0.884779
98,0.801507,0.889173
99,0.82068,0.895988
100,0.794678,0.886702
101,0.808502,0.891325
102,0.819619,0.896741
103,0.794538,0.887264
104,0.810363,0.893081
105,0.823437,0.898535
106,0.801563,0.889793
107,0.813382,0.894325
108,0.828747,0.900656
109,0.810416,0.893579
110,0.819305,0.896929
111,0.832612,0.902089
112,0.816672,0.895101
113,0.822435,0.89769
114,0.832134,0.901968
115,0.815516,0.895106
116,0.819176,0.896778
117,0.828273,0.900949
118,0.807973,0.892665
119,0.824168,0.899633
120,0.808716,0.905893
121,0.775787,0.888125
122,0.803004,0.89962
123,0.807689,0.901206
124,0.793278,0.893074
125,0.812466,0.901947
126,0.799687,0.894563
127,0.817911,0.902423
128,0.795231,0.893296
129,0.81588,0.901195
130,0.793715,0.891892
131,0.818818,0.901604
132,0.796226,0.892974
133,0.820826,0.901849
134,0.785615,0.886664
135,0.798867,0.891787
136,0.818746,0.900867
137,0.788205,0.890345
138,0.804117,0.894858
139,0.815026,0.899857
140,0.791548,0.892141
141,0.805135,0.895896
142,0.820292,0.901729
143,0.813018,0.899092
144,0.817071,0.900864
145,0.823051,0.903398
146,0.82207,0.902824
147,0.823111,0.903273
148,0.827857,0.905284
149,0.813608,0.899753
150,0.824842,0.904207
151,0.831555,0.906792
152,0.821477,0.902638
153,0.829086,0.905896
154,0.836484,0.908758
155,0.824388,0.904298
156,0.830719,0.906607
157,0.842725,0.910802
158,0.827134,0.905851
159,0.833985,0.907985
160,0.843888,0.911507
161,0.830051,0.906779
162,0.836753,0.908973
163,0.843262,0.911527
164,0.829995,0.907045
165,0.837407,0.908759
166,0.843752,0.911848
167,0.835837,0.908909
168,0.831998,0.908118
169,0.843763,0.911842
170,0.823047,0.903914
171,0.829602,0.905529
172,0.839846,0.909696
173,0.810838,0.897285
174,0.818285,0.900452
175,0.831829,0.906217
176,0.809928,0.897279
177,0.827094,0.904044
178,0.797478,0.892638
179,0.822242,0.902326
180,0.834598,0.916753
181,0.802398,0.900454
182,0.818902,0.906301
183,0.820952,0.907027
184,0.803344,0.898012
185,0.821677,0.905415
186,0.794765,0.894749
187,0.817155,0.903256
188,0.791817,0.892675
189,0.812268,0.900653
190,0.788061,0.890298
191,0.813958,0.899859
192,0.792354,0.889669
193,0.811297,0.897251
194,0.77163,0.880611
195,0.775748,0.881902
196,0.800524,0.892416
197,0.760537,0.876272
198,0.775395,0.880492
199,0.792641,0.888248
200,0.761292,0.874068
201,0.764487,0.8759
202,0.792777,0.886874
203,0.759049,0.871715
204,0.773103,0.876989
205,0.793478,0.886277
206,0.76209,0.872941
207,0.773589,0.876385
208,0.795136,0.88595
209,0.76926,0.873447
210,0.778416,0.877561
211,0.798155,0.886712
212,0.763509,0.872558
213,0.780929,0.878257
214,0.800088,0.88745
215,0.772199,0.87655
216,0.789901,0.882208
217,0.805809,0.889391
218,0.777021,0.878505
219,0.796499,0.884838
220,0.812567,0.892447
221,0.778641,0.880439
222,0.805537,0.889405
223,0.820898,0.89585
224,0.789185,0.884427
225,0.812166,0.891904
226,0.828154,0.899301
227,0.779719,0.880412
228,0.82609,0.897639
229,0.834186,0.901316
230,0.828359,0.8991
231,0.831601,0.900006
232,0.835754,0.902086
233,0.827751,0.898628
234,0.827055,0.89816
235,0.831989,0.899955
236,0.820719,0.89614
237,0.822532,0.896196
238,0.829127,0.898341
239,0.819324,0.893347
240,0.829407,0.905029
241,0.792855,0.888665
242,0.816666,0.897927
243,0.781185,0.883602
244,0.80733,0.893419
245,0.773235,0.879182
246,0.798895,0.889498
247,0.766286,0.875484
248,0.793898,0.887772
249,0.763913,0.875842
250,0.789637,0.885968
251,0.733003,0.864015
252,0.752117,0.871419
253,0.776089,0.880719
254,0.753723,0.870697
255,0.779025,0.880453
256,0.721268,0.858215
257,0.764057,0.874581
258,0.775513,0.879765
259,0.715302,0.854629
260,0.760845,0.87583
261,0.784764,0.883808
262,0.716921,0.859086
263,0.768062,0.877229
264,0.801384,0.892202
265,0.769775,0.881997
266,0.794016,0.888335
267,0.810666,0.89571
268,0.780035,0.884629
269,0.799707,0.890257
270,0.81629,0.898231
271,0.793702,0.889512
272,0.808079,0.894176
273,0.82292,0.900436
274,0.799335,0.892089
275,0.814024,0.896387
276,0.824846,0.901538
277,0.798374,0.892043
278,0.813573,0.896387
279,0.826182,0.902001
280,0.798229,0.892209
281,0.810829,0.895757
282,0.827097,0.902506
283,0.796013,0.891927
284,0.813415,0.896902
285,0.830064,0.903474
286,0.804143,0.893899
287,0.819996,0.899111
288,0.831182,0.904219
289,0.810915,0.896494
290,0.820317,0.899989
291,0.835987,0.906085
292,0.811311,0.896775
293,0.823157,0.900288
294,0.83505,0.905052
295,0.812531,0.897039
296,0.821093,0.899632
297,0.833718,0.904693
298,0.81327,0.897789
299,0.823884,0.900107
300,0.839197,0.915753
301,0.788698,0.89844
302,0.806236,0.902125
303,0.82843,0.908929
304,0.798135,0.897823
305,0.813058,0.901496
306,0.826789,0.90715
