Frame, eSSIM, SSIM
0,0.735042,0.856651
1,0.732937,0.855989
2,0.732711,0.855868
3,0.733638,0.856082
4,0.732831,0.856014
5,0.733437,0.856129
6,0.73398,0.856459
7,0.735817,0.857133
8,0.736387,0.857466
9,0.737691,0.857955
10,0.739196,0.858729
11,0.740855,0.859509
12,0.743116,0.860978
13,0.736244,0.859874
14,0.734537,0.86042
15,0.744796,0.863411
16,0.748861,0.864748
17,0.752564,0.86603
18,0.754694,0.866864
19,0.756073,0.867423
20,0.75575,0.867413
21,0.751889,0.866207
22,0.754565,0.866977
23,0.753697,0.866752
24,0.757356,0.867323
25,0.74802,0.863862
26,0.749174,0.863121
27,0.744422,0.860737
28,0.746052,0.861064
29,0.740027,0.85909
30,0.73849,0.857664
31,0.732587,0.854456
32,0.720688,0.848617
33,0.723605,0.849104
34,0.733191,0.855276
35,0.708335,0.841138
36,0.708813,0.841469
37,0.738792,0.856351
38,0.705389,0.839578
39,0.712924,0.843408
40,0.73346,0.854458
41,0.700071,0.839213
42,0.709987,0.843688
43,0.736045,0.856182
44,0.703229,0.843035
45,0.737109,0.856972
46,0.662162,0.825879
47,0.671492,0.82764
48,0.717143,0.845826
49,0.671358,0.828316
50,0.71081,0.843421
51,0.664709,0.822325
52,0.709716,0.841691
53,0.666607,0.821994
54,0.706548,0.838758
55,0.659896,0.817587
56,0.697297,0.83381
57,0.632082,0.801913
58,0.704209,0.835417
59,0.694757,0.830682
60,0.73308,0.857192
61,0.638572,0.81118
62,0.674431,0.826936
63,0.707087,0.841992
64,0.618409,0.802302
65,0.665744,0.818508
66,0.710624,0.840937
67,0.637299,0.808028
68,0.667049,0.817667
69,0.709752,0.839809
70,0.640396,0.807958
71,0.683997,0.825288
72,0.713179,0.841783
73,0.638894,0.805613
74,0.670871,0.818329
75,0.69976,0.835012
76,0.641057,0.808549
77,0.674302,0.82075
78,0.704711,0.837151
79,0.668873,0.819408
80,0.684276,0.825746
81,0.71002,0.840858
82,0.668853,0.822284
83,0.695415,0.833963
84,0.717592,0.846002
85,0.676587,0.828194
86,0.700494,0.837567
87,0.723906,0.849294
88,0.69112,0.834763
89,0.708144,0.84145
90,0.726926,0.851705
91,0.690594,0.837115
92,0.71348,0.844565
93,0.731807,0.854142
94,0.70158,0.840726
95,0.713172,0.846003
96,0.735276,0.856869
97,0.700593,0.842293
98,0.721396,0.850925
99,0.740142,0.859557
100,0.713495,0.848868
101,0.728796,0.854177
102,0.745418,0.86119
103,0.717797,0.849258
104,0.730652,0.854876
105,0.747279,0.863133
106,0.717174,0.851304
107,0.737443,0.857843
108,0.75327,0.865875
109,0.716748,0.852732
110,0.740929,0.859398
111,0.75866,0.867927
112,0.728298,0.856723
113,0.746007,0.862163
114,0.759661,0.868233
115,0.729039,0.857744
116,0.746243,0.863252
117,0.756535,0.868182
118,0.731476,0.858175
119,0.755711,0.867656
120,0.720171,0.867904
121,0.678157,0.844874
122,0.715853,0.861774
123,0.719483,0.864776
124,0.704568,0.856348
125,0.730234,0.867191
126,0.707866,0.855361
127,0.736662,0.86799
128,0.705516,0.853528
129,0.73054,0.865033
130,0.69707,0.851051
131,0.730471,0.86444
132,0.701565,0.852196
133,0.736531,0.866322
134,0.70199,0.850831
135,0.713416,0.855486
136,0.744872,0.86841
137,0.705318,0.855074
138,0.722096,0.859618
139,0.742641,0.867545
140,0.685391,0.847795
141,0.716486,0.856529
142,0.742715,0.868121
143,0.732085,0.864663
144,0.741143,0.867543
145,0.750532,0.871086
146,0.745752,0.869344
147,0.747307,0.870291
148,0.758458,0.874386
149,0.736485,0.866181
150,0.746677,0.870463
151,0.764234,0.877044
152,0.735082,0.866508
153,0.756689,0.874231
154,0.768626,0.878878
155,0.74976,0.873415
156,0.758225,0.875687
157,0.773406,0.880818
158,0.747274,0.87317
159,0.76447,0.878642
160,0.779305,0.882723
161,0.752496,0.873827
162,0.76901,0.879231
163,0.779603,0.882961
164,0.757511,0.876104
165,0.76912,0.8791
166,0.783138,0.884672
167,0.760527,0.876471
168,0.761974,0.876783
169,0.779878,0.88358
170,0.750195,0.873292
171,0.760163,0.87532
172,0.776214,0.881847
173,0.737453,0.864998
