Frame, eSSIM, SSIM
0,0.842324,0.915015
1,0.829304,0.911436
2,0.830414,0.911127
3,0.824348,0.90953
4,0.826964,0.909842
5,0.820648,0.908002
6,0.821065,0.908139
7,0.819927,0.90787
8,0.827798,0.909483
9,0.830576,0.910148
10,0.821565,0.907898
11,0.82505,0.908405
12,0.822721,0.908051
13,0.828134,0.909378
14,0.819803,0.906899
15,0.816886,0.906013
16,0.815329,0.905314
17,0.817129,0.905895
18,0.815326,0.905793
19,0.823177,0.907404
20,0.823406,0.907636
21,0.817229,0.906068
22,0.819959,0.90669
23,0.818927,0.906468
24,0.82442,0.90703
25,0.820677,0.905277
26,0.822408,0.905395
27,0.829725,0.906831
28,0.827562,0.906124
29,0.829142,0.90666
30,0.831564,0.906311
31,0.82138,0.900544
32,0.82075,0.899666
33,0.831796,0.904881
34,0.806186,0.891678
35,0.80878,0.893664
36,0.82627,0.901231
37,0.789527,0.886051
38,0.802626,0.889584
39,0.82314,0.898043
40,0.773169,0.878151
41,0.789265,0.883317
42,0.818175,0.895988
43,0.764365,0.875784
44,0.789559,0.883338
45,0.812895,0.893867
46,0.738167,0.864875
47,0.762208,0.872559
48,0.797911,0.887407
49,0.75592,0.870817
50,0.795696,0.886053
51,0.741389,0.862899
52,0.790133,0.882448
53,0.738177,0.859686
54,0.776045,0.87619
55,0.71285,0.849779
56,0.764675,0.870257
57,0.67425,0.828769
58,0.695014,0.838838
59,0.76648,0.869431
60,0.797953,0.894138
61,0.693187,0.84582
62,0.764148,0.874247
63,0.768321,0.876306
64,0.678917,0.838523
65,0.760459,0.869431
66,0.769058,0.873613
67,0.698374,0.843291
68,0.760993,0.867619
69,0.774926,0.874854
70,0.703412,0.842756
71,0.740985,0.856758
72,0.775888,0.874769
73,0.710636,0.84524
74,0.73599,0.854184
75,0.768165,0.870604
76,0.720106,0.84833
77,0.744466,0.858494
78,0.769443,0.870857
79,0.723298,0.852224
80,0.741982,0.859356
81,0.772347,0.873376
82,0.736132,0.8576
83,0.756463,0.864886
84,0.784575,0.877737
85,0.740449,0.859291
86,0.75818,0.866009
87,0.783107,0.877534
88,0.742703,0.860714
89,0.755626,0.865513
90,0.782933,0.877644
91,0.743176,0.862249
92,0.760033,0.866619
93,0.781984,0.877633
94,0.746229,0.862415
95,0.759182,0.868101
96,0.779914,0.878267
97,0.744501,0.863192
98,0.764887,0.871624
99,0.784429,0.880179
100,0.745741,0.865533
101,0.76805,0.873222
102,0.787563,0.881342
103,0.747276,0.863573
104,0.768645,0.87346
105,0.793472,0.884258
106,0.759174,0.870633
107,0.784178,0.879731
108,0.801017,0.887421
109,0.763317,0.874673
110,0.787428,0.882068
111,0.806728,0.890363
112,0.763378,0.875805
113,0.787041,0.883046
114,0.807512,0.890616
115,0.775208,0.879935
116,0.786499,0.883132
117,0.805157,0.89064
118,0.781706,0.881085
119,0.805038,0.890835
120,0.771434,0.895405
121,0.727379,0.870657
122,0.764856,0.886337
123,0.772442,0.889339
124,0.740911,0.87275
125,0.777008,0.888225
126,0.782496,0.89095
127,0.756549,0.878692
128,0.782307,0.889722
129,0.751666,0.874933
130,0.777755,0.888348
131,0.74985,0.873221
132,0.788577,0.890694
133,0.756853,0.877705
134,0.770999,0.882154
135,0.788922,0.889714
136,0.758182,0.876699
137,0.774817,0.883002
138,0.788052,0.888681
139,0.749006,0.876789
140,0.765892,0.880347
141,0.787558,0.888462
142,0.768466,0.881049
143,0.782445,0.885999
144,0.79697,0.89235
145,0.792153,0.891231
146,0.798073,0.892993
147,0.805508,0.896299
148,0.796049,0.892267
149,0.79803,0.893197
150,0.812162,0.898867
151,0.792466,0.89319
152,0.806127,0.897047
153,0.816992,0.901274
154,0.798856,0.895337
155,0.808113,0.898802
156,0.819505,0.902559
157,0.792126,0.894026
158,0.810232,0.899394
159,0.82685,0.904931
160,0.805824,0.89818
161,0.81331,0.900484
162,0.829277,0.905891
163,0.806421,0.898455
164,0.818068,0.901927
165,0.830627,0.906448
166,0.81388,0.900471
167,0.817489,0.901664
168,0.8282,0.905444
169,0.798455,0.895978
170,0.810346,0.899182
171,0.822768,0.903099
172,0.792304,0.891266
173,0.798073,0.892065
174,0.813685,0.899462
175,0.769329,0.881262
176,0.776082,0.883577
177,0.800867,0.894402
178,0.764347,0.878343
179,0.796107,0.89184
180,0.79065,0.906453
181,0.751679,0.883721
182,0.772385,0.892646
183,0.773358,0.893144
184,0.75179,0.879976
185,0.781296,0.891514
186,0.753121,0.878305
187,0.780441,0.890165
188,0.752783,0.877087
189,0.782897,0.889002
190,0.753571,0.875209
191,0.781111,0.886957
192,0.750157,0.872652
193,0.783541,0.886512
194,0.750444,0.871287
195,0.780316,0.883842
196,0.736498,0.864737
197,0.744926,0.866336
198,0.775763,0.880985
199,0.738876,0.863634
200,0.753013,0.867575
201,0.774763,0.877751
202,0.730834,0.858624
203,0.737659,0.860001
204,0.768556,0.873872
205,0.720036,0.855338
206,0.734016,0.857638
207,0.759461,0.870195
208,0.708831,0.851385
209,0.732129,0.857121
210,0.759378,0.868729
211,0.707276,0.847591
212,0.726664,0.852244
213,0.762118,0.868474
214,0.701708,0.845947
215,0.732049,0.854821
216,0.761322,0.868136
217,0.694314,0.843396
218,0.73183,0.855441
219,0.769408,0.871378
220,0.683437,0.841275
221,0.740559,0.858816
222,0.777112,0.874429
223,0.705992,0.848424
224,0.756001,0.866141
225,0.787354,0.879008
226,0.707495,0.849966
227,0.752822,0.863591
228,0.794103,0.882334
229,0.791051,0.881544
230,0.797646,0.883882
231,0.802353,0.88632
232,0.793682,0.882791
233,0.796325,0.883218
234,0.800264,0.88518
235,0.789719,0.881501
236,0.794099,0.88252
237,0.799706,0.884607
238,0.778725,0.874146
239,0.776621,0.874842
240,0.797085,0.894146
241,0.757693,0.874995
242,0.780934,0.88489
243,0.7411,0.867616
244,0.77371,0.881687
245,0.733461,0.863733
246,0.765987,0.877913
247,0.72474,0.85962
248,0.76481,0.876936
249,0.728099,0.860882
250,0.762939,0.87632
251,0.696747,0.847061
252,0.719088,0.855191
253,0.760954,0.874405
254,0.716132,0.854977
255,0.764855,0.875316
256,0.676577,0.840853
257,0.716255,0.853223
258,0.752865,0.870397
259,0.667577,0.834801
260,0.686536,0.841933
261,0.758405,0.873236
262,0.673768,0.840981
263,0.71227,0.855494
264,0.777087,0.881612
265,0.71424,0.861451
266,0.758642,0.875278
267,0.786181,0.885074
268,0.73842,0.868003
269,0.766731,0.877879
270,0.790689,0.88681
271,0.730322,0.866211
272,0.766158,0.876369
273,0.795669,0.888701
274,0.743073,0.871535
275,0.773691,0.879997
276,0.794098,0.888754
277,0.739331,0.87117
278,0.7698,0.879893
279,0.79461,0.889292
280,0.732957,0.868956
281,0.770403,0.879235
282,0.79579,0.889723
283,0.736413,0.870452
284,0.774194,0.880918
285,0.800143,0.891125
286,0.740179,0.872782
287,0.777563,0.882817
288,0.803865,0.892333
289,0.750584,0.875915
290,0.783354,0.885506
291,0.808211,0.89457
292,0.74661,0.875583
293,0.78093,0.884848
294,0.805228,0.893042
295,0.751832,0.876676
296,0.781924,0.885233
297,0.804934,0.89333
298,0.765627,0.879352
299,0.79025,0.886435
300,0.8065,0.908651
301,0.755545,0.887507
302,0.770924,0.891167
303,0.794664,0.898678
304,0.746496,0.879307
305,0.772097,0.887905
306,0.793854,0.896388
307,0.744282,0.877863
308,0.777598,0.889535
309,0.802003,0.897294
310,0.751946,0.879079
311,0.784564,0.889269
312,0.805467,0.896652
313,0.745606,0.875398
314,0.782532,0.887049
315,0.802603,0.895062
316,0.756325,0.877284
317,0.772123,0.882552
318,0.792575,0.891262
319,0.761254,0.87827
320,0.769695,0.88179
321,0.786284,0.88872
322,0.765575,0.881074
323,0.773576,0.882911
324,0.788865,0.889149
325,0.777044,0.884123
326,0.784033,0.886478
327,0.792701,0.890602
328,0.783344,0.886227
329,0.791714,0.889307
330,0.800654,0.89356
331,0.792339,0.889339
332,0.797663,0.891458
333,0.799339,0.892203
334,0.810151,0.896955
335,0.803133,0.893361
336,0.804607,0.894505
337,0.806979,0.895163
338,0.814604,0.899158
339,0.806968,0.895296
340,0.80689,0.895689
341,0.810237,0.896521
342,0.819417,0.901134
343,0.811604,0.897278
344,0.811282,0.897631
345,0.813676,0.898065
346,0.821844,0.902639
347,0.81465,0.898768
348,0.815726,0.89972
349,0.816515,0.899658
350,0.82553,0.90415
351,0.812059,0.898015
352,0.81067,0.897442
353,0.811713,0.897327
354,0.818917,0.901421
355,0.809098,0.896627
356,0.808032,0.895565
357,0.809113,0.895767
358,0.818903,0.900655
359,0.813565,0.896599
360,0.832606,0.92001
361,0.816715,0.911281
362,0.814124,0.907459
363,0.810912,0.905711
364,0.813808,0.907098
365,0.801978,0.900202
366,0.801726,0.897184
367,0.799672,0.896399
368,0.814335,0.904411
369,0.773927,0.888705
370,0.787526,0.892957
371,0.810128,0.903478
372,0.762679,0.884199
373,0.783834,0.892577
374,0.766133,0.885591
375,0.804403,0.90023
376,0.755068,0.882022
377,0.781671,0.891463
378,0.759358,0.882393
379,0.802511,0.898299
380,0.75916,0.882791
381,0.784405,0.891758
382,0.765937,0.886098
383,0.804045,0.899606
384,0.768326,0.887818
385,0.788663,0.893855
386,0.768926,0.887614
387,0.811006,0.9019
388,0.774533,0.889555
389,0.795031,0.896375
390,0.786449,0.893506
391,0.812986,0.903614
392,0.781828,0.893626
393,0.802569,0.899223
394,0.785692,0.894873
395,0.818942,0.905081
396,0.79469,0.897649
397,0.81065,0.901347
398,0.794108,0.897627
399,0.82527,0.90684
400,0.793582,0.897561
401,0.817381,0.903818
402,0.800986,0.900803
403,0.833228,0.909311
404,0.799484,0.899865
405,0.821172,0.904987
406,0.806403,0.901679
407,0.834869,0.909857
408,0.814211,0.90169
409,0.827109,0.907654
410,0.822143,0.905148
411,0.839255,0.911376
412,0.808869,0.901204
413,0.819258,0.904816
414,0.802257,0.8995
415,0.833108,0.909194
416,0.800144,0.896268
417,0.814148,0.901924
418,0.797087,0.894766
419,0.825298,0.905744
420,0.791301,0.91126
421,0.755392,0.8914
422,0.782296,0.899758
423,0.786647,0.900513
424,0.749401,0.880781
425,0.788315,0.898161
426,0.788748,0.898181
427,0.75881,0.88104
428,0.777768,0.890271
429,0.795683,0.89855
430,0.754323,0.879883
431,0.779938,0.889952
432,0.79613,0.897999
433,0.763713,0.885586
434,0.785042,0.892335
435,0.802626,0.898788
436,0.775824,0.88975
437,0.791551,0.894561
438,0.808047,0.900456
439,0.787385,0.892537
440,0.793984,0.896155
441,0.790306,0.89369
442,0.807418,0.900565
443,0.783803,0.891237
444,0.794734,0.895982
445,0.794561,0.89465
446,0.80303,0.89886
447,0.791689,0.893663
448,0.795452,0.894743
449,0.796541,0.895034
450,0.809931,0.900427
451,0.797458,0.895746
452,0.801699,0.898004
453,0.785816,0.893167
454,0.813536,0.90254
455,0.800696,0.89785
456,0.808538,0.900481
457,0.80239,0.899706
458,0.822032,0.907154
459,0.802392,0.899024
460,0.81458,0.903548
461,0.797484,0.899441
462,0.832331,0.910505
463,0.808941,0.902078
464,0.814505,0.902314
465,0.801268,0.899625
466,0.830075,0.90973
467,0.795419,0.89885
468,0.803393,0.899911
469,0.829449,0.908981
470,0.80894,0.901213
471,0.811204,0.901789
472,0.832021,0.909462
473,0.805588,0.898136
474,0.812548,0.90155
475,0.836163,0.910176
476,0.806731,0.898613
477,0.820956,0.903368
478,0.835908,0.909904
479,0.830799,0.906146
480,0.808096,0.916121
481,0.765973,0.895172
482,0.778268,0.899343
483,0.793296,0.904371
484,0.772008,0.892451
485,0.784155,0.897346
486,0.773921,0.89427
487,0.804843,0.905325
488,0.775515,0.89499
489,0.788381,0.897897
490,0.806397,0.904882
491,0.773016,0.893147
492,0.784718,0.89574
493,0.810733,0.904055
494,0.767219,0.888996
495,0.786914,0.894133
496,0.810645,0.902495
497,0.774095,0.890489
498,0.79605,0.895532
499,0.77679,0.891026
500,0.808049,0.900197
501,0.768643,0.887712
502,0.784014,0.890608
503,0.807801,0.899251
504,0.771263,0.886846
505,0.794062,0.892871
506,0.774127,0.887202
507,0.804734,0.89751
508,0.757626,0.881433
509,0.77719,0.88621
510,0.801378,0.896142
511,0.765182,0.882903
512,0.774876,0.885362
513,0.797047,0.894809
514,0.759415,0.881672
515,0.769095,0.883114
516,0.793044,0.893181
517,0.747089,0.876632
518,0.771943,0.882719
519,0.794095,0.891472
520,0.747594,0.875003
521,0.776769,0.882647
522,0.794451,0.890682
523,0.758215,0.877258
524,0.783486,0.884854
525,0.798887,0.892112
526,0.757185,0.878079
527,0.783658,0.884951
528,0.803378,0.893266
529,0.758422,0.879502
530,0.785601,0.885628
531,0.808751,0.895169
532,0.767286,0.88202
533,0.790433,0.887455
534,0.809473,0.895361
535,0.763077,0.88002
536,0.784162,0.885538
537,0.805159,0.893954
538,0.765818,0.88042
539,0.793316,0.887355
540,0.811549,0.909179
541,0.74965,0.888054
542,0.769235,0.891373
543,0.799079,0.900563
544,0.751958,0.881942
545,0.775108,0.889725
546,0.800367,0.89863
547,0.755988,0.881839
548,0.785512,0.891326
549,0.804303,0.898679
550,0.753195,0.879604
551,0.783211,0.889119
552,0.805778,0.898049
553,0.76635,0.882262
554,0.783787,0.889985
555,0.770389,0.882095
556,0.804412,0.896051
557,0.76297,0.878816
558,0.783537,0.888974
559,0.776873,0.882497
560,0.80494,0.895595
561,0.776096,0.882801
562,0.788438,0.889164
563,0.782968,0.88356
564,0.808229,0.895292
565,0.793732,0.887742
566,0.793423,0.888407
567,0.793289,0.888309
568,0.808719,0.896087
569,0.769318,0.879746
570,0.79087,0.889599
571,0.774333,0.883314
572,0.814316,0.897607
573,0.770383,0.882911
574,0.797593,0.89072
575,0.814194,0.897001
576,0.765246,0.881327
577,0.783428,0.886105
578,0.808351,0.895229
579,0.750773,0.875681
580,0.774722,0.880498
581,0.802662,0.892805
582,0.745322,0.872033
583,0.779995,0.883707
584,0.79887,0.891657
585,0.774322,0.881229
586,0.784149,0.885325
587,0.798726,0.891711
588,0.762134,0.87886
589,0.774731,0.882679
590,0.802359,0.892545
591,0.746013,0.874224
592,0.784588,0.88574
593,0.806819,0.894206
594,0.768893,0.881213
595,0.791396,0.887644
596,0.809673,0.895527
597,0.773297,0.882226
598,0.791125,0.887234
599,0.807536,0.893597
600,0.787668,0.901278
601,0.745363,0.880764
602,0.773809,0.891269
603,0.778867,0.892332
604,0.755057,0.880523
605,0.783503,0.890584
606,0.787306,0.892103
607,0.759357,0.880699
608,0.785544,0.889295
609,0.789643,0.891538
610,0.754425,0.877897
611,0.774722,0.884139
612,0.793451,0.892088
613,0.772475,0.882688
614,0.784064,0.887063
615,0.793448,0.891553
616,0.752757,0.877315
617,0.774853,0.884674
618,0.796779,0.892303
619,0.7626,0.881032
620,0.777991,0.88433
