Frame, eSSIM, SSIM
0,0.905807,0.94514
1,0.893743,0.941906
2,0.893701,0.941312
3,0.888048,0.940163
4,0.892172,0.940476
5,0.88276,0.93843
6,0.884693,0.938581
7,0.884162,0.938404
8,0.891935,0.93964
9,0.892417,0.940014
10,0.882399,0.93803
11,0.883675,0.937973
12,0.882545,0.937621
13,0.88593,0.938369
14,0.873278,0.93519
15,0.868367,0.933782
16,0.865846,0.932791
17,0.868878,0.933302
18,0.869766,0.933286
19,0.870596,0.933665
20,0.877239,0.935074
21,0.871568,0.933624
22,0.872651,0.933887
23,0.871077,0.933553
24,0.877687,0.933871
25,0.873272,0.93146
26,0.876469,0.931263
27,0.881063,0.931904
28,0.878636,0.93099
29,0.880996,0.931171
30,0.883462,0.931168
31,0.87276,0.925843
32,0.872607,0.925277
33,0.88365,0.930247
34,0.863089,0.920159
35,0.869832,0.923513
36,0.8815,0.928448
37,0.855892,0.917055
38,0.865304,0.920385
39,0.880518,0.926807
40,0.850022,0.913578
41,0.859023,0.9165
42,0.873397,0.924028
43,0.835457,0.907615
44,0.848413,0.913182
45,0.870556,0.922267
46,0.825025,0.903477
47,0.843666,0.910002
48,0.865335,0.919172
49,0.831031,0.905283
50,0.861842,0.917888
51,0.824455,0.901598
52,0.855605,0.914502
53,0.818576,0.898658
54,0.850055,0.911438
55,0.807109,0.893133
56,0.8454,0.908991
57,0.780364,0.881732
58,0.7942,0.886479
59,0.842241,0.906584
60,0.855747,0.922152
61,0.78138,0.888597
62,0.831421,0.906772
63,0.834133,0.907549
64,0.774213,0.880901
65,0.833229,0.90337
66,0.83899,0.906536
67,0.789185,0.884679
68,0.833921,0.90235
69,0.840775,0.907128
70,0.796669,0.887498
71,0.815836,0.89446
72,0.841211,0.906308
73,0.797682,0.885954
74,0.809463,0.890605
75,0.835491,0.902438
76,0.799646,0.886945
77,0.813378,0.892232
78,0.834695,0.902416
79,0.801818,0.888861
80,0.815449,0.893812
81,0.836888,0.903789
82,0.802264,0.889061
83,0.817675,0.895838
84,0.840639,0.905222
85,0.805846,0.890911
86,0.821137,0.896828
87,0.840785,0.905512
88,0.806954,0.89264
89,0.824586,0.898181
90,0.845333,0.907143
91,0.81696,0.895877
92,0.830167,0.900344
93,0.845433,0.907793
94,0.812495,0.895644
95,0.824884,0.900088
