Frame, eSSIM, SSIM
0,0.962544,0.974778
1,0.943512,0.971238
2,0.943503,0.970545
3,0.937364,0.96941
4,0.943743,0.970036
5,0.934748,0.96825
6,0.935636,0.968297
7,0.933203,0.96805
8,0.943355,0.969399
9,0.94252,0.969319
10,0.932963,0.96746
11,0.933362,0.967413
12,0.932639,0.967154
13,0.937728,0.968047
14,0.920205,0.964613
15,0.917628,0.963417
16,0.913692,0.962409
17,0.919308,0.963238
18,0.918421,0.962969
19,0.920278,0.963089
20,0.924806,0.963923
21,0.916156,0.962157
22,0.918266,0.962168
23,0.916588,0.961576
24,0.922083,0.959443
25,0.915615,0.954566
26,0.916929,0.953556
27,0.924282,0.954429
28,0.923133,0.953759
29,0.924964,0.953958
30,0.929024,0.954563
31,0.918399,0.949452
32,0.91846,0.949707
33,0.929274,0.954669
34,0.91195,0.945095
35,0.915171,0.947409
36,0.927778,0.953766
37,0.906276,0.941749
38,0.914024,0.946147
39,0.928797,0.953893
40,0.905491,0.941269
41,0.912282,0.944799
42,0.923215,0.951774
43,0.89697,0.937145
44,0.903976,0.941289
45,0.921786,0.949994
46,0.88793,0.933109
47,0.899012,0.937508
48,0.916002,0.94601
49,0.892758,0.934919
50,0.914925,0.945081
51,0.894101,0.93483
52,0.912261,0.943901
53,0.887942,0.931834
54,0.907818,0.94194
55,0.884436,0.929831
56,0.907039,0.941031
57,0.870533,0.922949
58,0.877,0.926362
59,0.905787,0.939382
60,0.928154,0.954304
61,0.867423,0.925222
62,0.900573,0.93771
63,0.905048,0.940819
64,0.849264,0.915084
65,0.88847,0.93093
66,0.901625,0.93891
67,0.855022,0.916235
68,0.889495,0.93
69,0.904395,0.938979
70,0.874621,0.92315
71,0.885471,0.929199
72,0.905018,0.938783
73,0.873088,0.921439
74,0.881853,0.926174
75,0.898403,0.934699
76,0.872502,0.921721
77,0.883969,0.926454
78,0.896751,0.933563
79,0.87476,0.922717
80,0.886943,0.927541
81,0.897392,0.933758
82,0.8773,0.923275
83,0.887611,0.927239
84,0.898603,0.933956
85,0.880577,0.924298
86,0.8869,0.927572
87,0.899387,0.934852
88,0.880083,0.924859
89,0.888771,0.928427
90,0.903767,0.936532
91,0.888838,0.92861
92,0.891691,0.930551
93,0.904387,0.937567
94,0.882218,0.926861
95,0.889818,0.929954
96,0.903035,0.937571
97,0.883701,0.927826
98,0.889913,0.931177
99,0.904843,0.939009
100,0.882929,0.928716
101,0.890369,0.93184
102,0.904208,0.939431
103,0.88505,0.929213
104,0.894402,0.932747
105,0.910652,0.941673
106,0.889621,0.931602
107,0.899008,0.935074
108,0.913918,0.943384
109,0.898108,0.935073
110,0.905327,0.938352
111,0.917566,0.944659
112,0.898017,0.934549
113,0.903673,0.93721
114,0.914709,0.942696
115,0.895109,0.933534
116,0.900738,0.935781
117,0.911436,0.941885
118,0.893465,0.932983
119,0.906143,0.940549
120,0.918109,0.956688
121,0.873597,0.930109
122,0.907088,0.945019
123,0.905598,0.944105
124,0.865434,0.924344
125,0.89782,0.937127
126,0.90919,0.94437
127,0.889288,0.935096
128,0.904479,0.942739
129,0.888267,0.934457
130,0.904722,0.942676
131,0.891155,0.935219
132,0.907497,0.943313
133,0.882262,0.930281
134,0.888129,0.933689
135,0.90322,0.940359
136,0.880202,0.930037
137,0.88921,0.933634
138,0.903473,0.939629
139,0.877648,0.932023
140,0.888101,0.93526
141,0.906455,0.9417
142,0.899618,0.939861
143,0.905117,0.941716
144,0.9138,0.945632
145,0.910233,0.944321
146,0.910342,0.944706
147,0.91507,0.946761
148,0.90532,0.942817
149,0.906582,0.943643
150,0.915784,0.947664
151,0.898448,0.941766
152,0.909221,0.944725
153,0.918104,0.948863
154,0.899885,0.94264
155,0.911709,0.945728
156,0.920651,0.950014
157,0.906605,0.944068
158,0.912766,0.946268
159,0.921344,0.951105
160,0.908414,0.94413
161,0.912454,0.946628
162,0.922672,0.95188
163,0.907701,0.944799
164,0.917883,0.948525
165,0.923791,0.952497
166,0.915725,0.948701
167,0.913118,0.947861
168,0.921843,0.951453
169,0.902742,0.94178
170,0.907842,0.943327
171,0.918379,0.949394
172,0.89481,0.936513
173,0.897499,0.938486
174,0.911193,0.94442
175,0.884757,0.933004
176,0.891828,0.936059
177,0.905109,0.942492
178,0.881583,0.932423
179,0.903292,0.941696
180,0.92533,0.961115
181,0.886557,0.938128
182,0.902476,0.945525
183,0.90366,0.945285
184,0.883334,0.935193
185,0.903955,0.944458
186,0.883713,0.933801
187,0.900615,0.942495
188,0.878846,0.931636
189,0.895201,0.940501
190,0.873847,0.930237
191,0.896034,0.939089
192,0.878038,0.929985
193,0.896247,0.937648
194,0.874345,0.927792
195,0.893075,0.935105
196,0.861413,0.921994
197,0.8671,0.924687
198,0.886948,0.932491
199,0.862176,0.921691
200,0.873379,0.925004
201,0.888199,0.93203
202,0.857691,0.920023
203,0.869095,0.923729
204,0.888213,0.931936
205,0.85406,0.918691
206,0.87299,0.924378
207,0.890773,0.933254
208,0.859962,0.921702
209,0.873945,0.926312
210,0.895523,0.935534
211,0.864792,0.923325
212,0.88165,0.928604
213,0.900178,0.937925
214,0.875883,0.926932
215,0.889769,0.93183
216,0.9038,0.939582
217,0.879126,0.92856
218,0.894827,0.934641
219,0.908231,0.941329
220,0.890755,0.933354
221,0.898855,0.936112
222,0.913353,0.94328
223,0.895165,0.935525
224,0.903567,0.93844
225,0.916237,0.944948
226,0.902424,0.938858
227,0.909263,0.940636
228,0.919617,0.946495
229,0.912955,0.94274
230,0.915276,0.943611
231,0.921773,0.947643
232,0.912649,0.942601
233,0.913768,0.942813
234,0.918848,0.945744
235,0.908028,0.940574
236,0.910238,0.94106
237,0.914845,0.943568
238,0.900291,0.936133
239,0.903277,0.936707
240,0.93474,0.958208
241,0.903812,0.943605
242,0.910657,0.945808
243,0.888213,0.937085
244,0.903568,0.942374
245,0.884365,0.93572
246,0.901083,0.94152
247,0.874655,0.932864
248,0.896336,0.939793
249,0.876381,0.933299
250,0.894236,0.939283
251,0.850798,0.923821
252,0.850894,0.923753
253,0.87975,0.933651
254,0.851762,0.923759
255,0.87963,0.932222
256,0.839896,0.916946
257,0.86838,0.926227
258,0.883288,0.932711
259,0.852036,0.922939
260,0.864068,0.926916
261,0.890059,0.935314
262,0.867246,0.926355
263,0.875052,0.929157
264,0.903416,0.941428
265,0.886534,0.933827
266,0.897685,0.93829
267,0.90738,0.94326
268,0.887968,0.935121
269,0.89567,0.938591
270,0.906414,0.943644
271,0.887295,0.93397
272,0.896995,0.938575
