Frame, eSSIM, SSIM
0,0.730733,0.857133
1,0.721952,0.854414
2,0.720514,0.853846
3,0.716674,0.85253
4,0.718036,0.852712
5,0.712369,0.85104
6,0.712177,0.850921
7,0.712711,0.851133
8,0.717768,0.852703
9,0.721994,0.853876
10,0.714857,0.851613
11,0.71767,0.852305
12,0.714074,0.851402
13,0.718391,0.852669
14,0.715749,0.851475
15,0.717206,0.851863
16,0.715134,0.851462
17,0.718453,0.852736
18,0.719084,0.853273
19,0.721831,0.854393
20,0.724436,0.855498
21,0.720695,0.854321
22,0.72448,0.855555
23,0.72503,0.855702
24,0.729552,0.856738
25,0.725277,0.854886
26,0.72733,0.855277
27,0.733499,0.856985
28,0.730945,0.855751
29,0.733813,0.856612
30,0.733415,0.855633
31,0.723706,0.850805
32,0.7242,0.850516
33,0.726803,0.853143
34,0.704087,0.839241
35,0.701876,0.838299
36,0.720386,0.849083
37,0.683415,0.82761
38,0.689152,0.831686
39,0.713714,0.844071
40,0.661921,0.818806
41,0.67663,0.82636
42,0.713408,0.843328
43,0.655001,0.819094
44,0.679209,0.827668
45,0.70735,0.841228
46,0.607884,0.798986
47,0.636107,0.806776
48,0.671061,0.823046
49,0.63198,0.806424
50,0.676317,0.825196
51,0.61644,0.796135
52,0.65965,0.814422
53,0.60333,0.785385
54,0.631988,0.800188
55,0.596527,0.779624
56,0.622557,0.793931
57,0.560709,0.756706
58,0.569762,0.765076
59,0.621005,0.792639
60,0.688323,0.835832
61,0.57239,0.778453
62,0.632367,0.801424
63,0.64294,0.809538
64,0.567039,0.769949
65,0.624869,0.794736
66,0.642082,0.805871
67,0.569225,0.768485
68,0.61296,0.787174
69,0.640445,0.803287
70,0.540159,0.752203
71,0.594177,0.776515
72,0.639629,0.802994
73,0.560102,0.762033
74,0.608679,0.782246
75,0.639219,0.801287
76,0.578794,0.77056
77,0.608724,0.784276
78,0.641231,0.802434
79,0.588173,0.776308
80,0.622131,0.791748
81,0.652163,0.809044
82,0.600719,0.784298
83,0.63816,0.800863
84,0.664086,0.81626
85,0.616617,0.793163
86,0.645323,0.806796
87,0.670795,0.820126
88,0.620316,0.796021
89,0.64577,0.806931
90,0.675748,0.822636
91,0.621989,0.800206
92,0.654234,0.812835
93,0.674474,0.823937
94,0.630796,0.803335
95,0.662198,0.816376
96,0.678854,0.826443
97,0.635066,0.806916
98,0.65759,0.816358
99,0.682046,0.827874
100,0.636705,0.808417
101,0.661142,0.818502
102,0.680194,0.827219
103,0.633108,0.807875
104,0.658191,0.818073
105,0.676743,0.826191
106,0.631058,0.808787
107,0.657504,0.818364
108,0.677884,0.827352
109,0.638611,0.813145
110,0.663936,0.820852
111,0.684017,0.82847
112,0.631819,0.811035
113,0.663452,0.820952
