Frame, eSSIM, SSIM
0,0.767922,0.877273
1,0.758009,0.874212
2,0.757237,0.8737
3,0.75141,0.871918
4,0.75322,0.872242
5,0.747009,0.870356
6,0.748757,0.870753
7,0.746832,0.870374
8,0.753476,0.872066
9,0.758848,0.873711
10,0.753108,0.871868
11,0.756494,0.872664
12,0.753441,0.872079
13,0.757318,0.873132
14,0.751572,0.871143
15,0.751664,0.87102
16,0.749056,0.870233
17,0.752866,0.871535
18,0.752291,0.871793
19,0.757087,0.873314
20,0.759263,0.874006
21,0.75328,0.872349
22,0.758427,0.87371
23,0.756023,0.873166
24,0.76358,0.874743
25,0.760022,0.872931
26,0.760418,0.872834
27,0.767581,0.874456
28,0.766069,0.874027
29,0.767842,0.874675
30,0.76979,0.874453
31,0.758932,0.869121
32,0.758727,0.868447
33,0.762929,0.871623
34,0.740018,0.857885
35,0.738488,0.857078
36,0.760655,0.868824
37,0.718391,0.847229
38,0.733074,0.854526
39,0.755197,0.865247
40,0.694559,0.838413
41,0.72422,0.850845
42,0.754545,0.86448
43,0.686626,0.837891
44,0.716266,0.847775
45,0.746366,0.861485
46,0.640078,0.821041
47,0.668455,0.826666
48,0.713931,0.846483
49,0.660108,0.82501
50,0.707376,0.845421
51,0.649723,0.818608
52,0.694955,0.835969
53,0.633636,0.806565
54,0.681072,0.828761
55,0.627504,0.801629
56,0.66242,0.818934
57,0.581064,0.773197
58,0.594949,0.784487
59,0.663954,0.817492
60,0.726163,0.856189
61,0.596526,0.795088
62,0.678478,0.828508
63,0.684928,0.832541
64,0.593911,0.788989
65,0.670848,0.821385
66,0.685769,0.82983
67,0.598625,0.789382
68,0.662016,0.815534
69,0.686339,0.829354
70,0.587246,0.781246
71,0.648072,0.805792
72,0.690239,0.831016
73,0.624474,0.798976
74,0.662535,0.813934
75,0.689145,0.829755
76,0.617972,0.795728
77,0.672762,0.818055
78,0.695747,0.832276
79,0.629381,0.799837
80,0.674774,0.821198
81,0.701236,0.835977
82,0.644991,0.810438
83,0.682372,0.824999
84,0.711724,0.842029
85,0.662958,0.822277
86,0.695592,0.834086
87,0.716721,0.845007
88,0.670642,0.823736
89,0.696359,0.833557
90,0.716543,0.844925
91,0.67012,0.825747
92,0.698368,0.835249
93,0.714067,0.844385
94,0.659182,0.820187
95,0.687953,0.831688
96,0.711741,0.843937
97,0.656784,0.820428
98,0.683963,0.831049
99,0.709157,0.842901
100,0.66351,0.823611
101,0.691238,0.834519
102,0.717287,0.845664
103,0.669387,0.825591
104,0.693206,0.836047
105,0.710702,0.844019
106,0.665951,0.827408
107,0.697519,0.837689
108,0.720703,0.848134
109,0.671392,0.83181
110,0.70305,0.841007
111,0.730007,0.852237
112,0.688254,0.839009
113,0.711572,0.844622
114,0.730441,0.851854
115,0.68819,0.837119
116,0.708379,0.842581
117,0.724494,0.849601
118,0.697967,0.839031
119,0.72041,0.84865
120,0.706863,0.866799
121,0.654964,0.835692
122,0.689232,0.850955
123,0.693911,0.854588
124,0.662869,0.836553
125,0.696593,0.85234
126,0.702247,0.856591
127,0.669918,0.839458
128,0.698232,0.851952
129,0.66546,0.834523
130,0.69291,0.848084
131,0.669703,0.834702
132,0.701781,0.849378
133,0.652931,0.826112
134,0.680303,0.836049
135,0.701851,0.849307
136,0.655336,0.830903
137,0.682902,0.841808
138,0.701105,0.848446
139,0.627929,0.824823
140,0.671503,0.836889
141,0.709581,0.851099
142,0.692421,0.844078
143,0.70156,0.848072
144,0.716326,0.854596
145,0.709511,0.853436
146,0.718104,0.856916
147,0.729275,0.861014
148,0.714092,0.8556
149,0.721247,0.858891
150,0.739415,0.8663
151,0.69427,0.85201
152,0.723236,0.861239
153,0.750382,0.870709
154,0.687663,0.852253
155,0.730731,0.864154
156,0.755258,0.873068
157,0.725944,0.865036
158,0.744196,0.86942
159,0.763009,0.875882
160,0.725094,0.86317
161,0.754874,0.87315
162,0.769874,0.877676
163,0.708842,0.860915
164,0.749009,0.871193
165,0.769027,0.877653
166,0.753221,0.872574
167,0.757874,0.873917
168,0.77017,0.877641
169,0.739066,0.867868
170,0.751948,0.870527
171,0.767982,0.876107
172,0.722951,0.858483
173,0.737971,0.862507
174,0.755273,0.870417
175,0.709129,0.850421
176,0.720615,0.854583
177,0.736259,0.862704
178,0.698652,0.845572
179,0.730481,0.859082
180,0.725206,0.877247
181,0.688645,0.851263
182,0.709382,0.861855
183,0.710573,0.862978
184,0.67884,0.844165
185,0.711136,0.859132
186,0.675663,0.840467
187,0.707727,0.85516
188,0.672646,0.837532
189,0.705438,0.851082
190,0.672831,0.834415
191,0.701048,0.847538
192,0.673275,0.831738
193,0.705218,0.846791
194,0.670447,0.829731
195,0.704607,0.845214
196,0.652804,0.820327
197,0.663723,0.823262
198,0.695557,0.839726
199,0.648609,0.816607
200,0.667692,0.822275
201,0.689222,0.833262
202,0.636314,0.809305
203,0.653921,0.814412
204,0.686131,0.829779
205,0.625678,0.804446
206,0.65745,0.814429
207,0.67939,0.824491
208,0.608162,0.793826
209,0.645092,0.80569
210,0.678114,0.821514
211,0.605686,0.790348
212,0.646894,0.805469
213,0.676866,0.819798
214,0.594905,0.785217
215,0.64735,0.805638
216,0.676563,0.818535
217,0.596124,0.78768
218,0.638443,0.80185
219,0.68568,0.82274
220,0.600651,0.787178
221,0.651517,0.808809
222,0.688936,0.824651
223,0.604953,0.789499
224,0.655506,0.808595
225,0.698398,0.829376
226,0.643803,0.805158
227,0.674786,0.818781
228,0.704575,0.833177
229,0.699726,0.832348
230,0.706763,0.835261
231,0.712075,0.837628
232,0.705213,0.834741
233,0.709124,0.835834
234,0.711409,0.836752
235,0.704637,0.834193
236,0.705437,0.83477
237,0.708236,0.835923
238,0.694996,0.829038
239,0.680756,0.823328
240,0.739875,0.863273
241,0.698294,0.842942
242,0.714223,0.849891
243,0.672096,0.830104
244,0.702253,0.844383
245,0.665367,0.826248
246,0.695188,0.840852
247,0.66268,0.823433
248,0.692184,0.839767
249,0.659209,0.823389
250,0.690257,0.838742
251,0.622912,0.805779
252,0.639746,0.811928
253,0.693099,0.838451
254,0.65532,0.818916
255,0.696778,0.839131
256,0.61495,0.800827
257,0.633038,0.806564
258,0.674839,0.828247
259,0.618537,0.801351
260,0.628623,0.806663
261,0.681987,0.832692
262,0.598033,0.79631
263,0.616535,0.803799
264,0.694555,0.839246
265,0.604203,0.801521
266,0.653396,0.821487
267,0.705043,0.843821
268,0.606549,0.804464
269,0.670399,0.828439
270,0.714641,0.848292
271,0.644159,0.821009
272,0.684189,0.835495
273,0.716866,0.850083
274,0.646579,0.823013
275,0.689348,0.838764
276,0.718146,0.851269
277,0.652148,0.826687
278,0.694199,0.840678
279,0.721262,0.853146
280,0.656649,0.828117
281,0.693114,0.841588
