Frame, eSSIM, SSIM
0,0.799385,0.893009
1,0.797669,0.892193
2,0.796987,0.891813
3,0.795766,0.891426
4,0.795315,0.891214
5,0.794815,0.891114
6,0.794662,0.891025
7,0.795468,0.891162
8,0.795437,0.891062
9,0.796392,0.891533
10,0.795922,0.891428
11,0.795707,0.891632
12,0.797015,0.892336
13,0.797053,0.892438
14,0.798663,0.89319
15,0.794135,0.891962
16,0.795119,0.892653
17,0.795923,0.89317
18,0.801058,0.894939
19,0.802674,0.896006
20,0.803337,0.896117
21,0.802142,0.89542
22,0.799953,0.894259
23,0.793733,0.891559
24,0.792397,0.890525
25,0.790082,0.889049
26,0.791679,0.888841
27,0.792798,0.888627
28,0.793269,0.888651
29,0.794249,0.88892
30,0.794611,0.888876
31,0.786746,0.88529
32,0.786178,0.884557
33,0.790691,0.885982
34,0.776784,0.878796
35,0.774851,0.879087
36,0.789935,0.885525
37,0.774289,0.878042
38,0.776697,0.879405
39,0.793557,0.886569
40,0.772172,0.876831
41,0.778582,0.879554
42,0.792839,0.885935
43,0.770135,0.876166
44,0.775689,0.879163
45,0.792118,0.886302
46,0.771544,0.878098
47,0.787287,0.884984
48,0.761775,0.872652
49,0.76581,0.873723
50,0.785869,0.882594
51,0.761711,0.871597
52,0.782486,0.880011
53,0.762513,0.869643
54,0.780033,0.87812
55,0.759539,0.868001
56,0.776286,0.875165
57,0.759354,0.866844
58,0.779316,0.875619
59,0.768014,0.869567
60,0.803607,0.891545
61,0.76809,0.87253
62,0.769942,0.874455
63,0.791903,0.883764
64,0.763792,0.868703
65,0.770306,0.872772
66,0.786061,0.880128
67,0.75911,0.866062
68,0.761187,0.867291
69,0.782926,0.877416
70,0.755429,0.864232
71,0.763068,0.867757
72,0.782811,0.877334
73,0.759369,0.864808
74,0.763337,0.867232
75,0.776613,0.874363
76,0.758743,0.865107
77,0.763541,0.868016
78,0.777163,0.874821
79,0.76035,0.866179
80,0.766362,0.869202
81,0.779395,0.876372
82,0.761467,0.867715
83,0.769319,0.872188
84,0.781884,0.878757
85,0.763959,0.870032
86,0.767875,0.872437
87,0.783582,0.88016
88,0.765849,0.871503
89,0.771116,0.874759
90,0.782624,0.881488
91,0.768214,0.874499
92,0.774138,0.877275
93,0.785589,0.883404
94,0.769925,0.87539
95,0.774903,0.878781
96,0.786954,0.884624
97,0.768341,0.876094
98,0.773687,0.879103
99,0.78708,0.885281
100,0.768469,0.876669
101,0.775527,0.880219
102,0.787298,0.886125
103,0.770933,0.878505
104,0.77632,0.881469
105,0.790602,0.888378
106,0.776378,0.881514
107,0.78179,0.884568
108,0.795389,0.89059
109,0.788412,0.886917
110,0.790733,0.888631
111,0.796882,0.891935
112,0.782728,0.885215
113,0.787035,0.887378
114,0.79436,0.890632
115,0.780451,0.884203
116,0.781337,0.884842
117,0.790724,0.888936
118,0.774139,0.881202
119,0.787086,0.887286
120,0.79527,0.897227
121,0.774257,0.884382
122,0.78727,0.892189
123,0.765928,0.879074
124,0.77388,0.884403
125,0.787376,0.892073
126,0.775617,0.886051
127,0.786367,0.891141
128,0.772816,0.884042
129,0.785984,0.890121
130,0.775446,0.88458
131,0.788212,0.890392
132,0.775968,0.884562
133,0.790261,0.891011
134,0.771402,0.882034
135,0.769811,0.882044
136,0.786801,0.889584
137,0.77212,0.88273
138,0.778615,0.885914
139,0.787743,0.890112
140,0.772868,0.884573
141,0.778612,0.887016
142,0.792809,0.892691
143,0.788265,0.891609
144,0.792397,0.89333
145,0.796569,0.89504
146,0.791515,0.893594
147,0.791553,0.89369
148,0.798589,0.896506
149,0.785713,0.89224
150,0.790173,0.893647
151,0.79835,0.897065
152,0.786529,0.892588
153,0.791735,0.894764
154,0.802274,0.898807
155,0.787411,0.893069
156,0.79303,0.89544
157,0.804248,0.900162
158,0.788652,0.894206
159,0.794106,0.896712
160,0.804034,0.900305
161,0.791245,0.895536
162,0.794873,0.896832
163,0.803571,0.900292
164,0.789768,0.894987
165,0.794243,0.896582
166,0.807,0.901406
167,0.794019,0.896858
168,0.797291,0.89809
169,0.805107,0.90084
170,0.790501,0.894014
171,0.794912,0.895628
172,0.803175,0.899361
173,0.778049,0.88772
174,0.782506,0.889313
175,0.792798,0.893892
176,0.774373,0.885497
177,0.788543,0.891518
178,0.769891,0.882607
179,0.785149,0.889645
180,0.810769,0.907042
181,0.781105,0.890057
182,0.78977,0.894268
183,0.794114,0.897218
184,0.776113,0.887914
185,0.791749,0.894999
186,0.768465,0.883335
187,0.785699,0.89122
188,0.766752,0.882182
189,0.780479,0.887766
190,0.765016,0.87916
191,0.779793,0.885775
192,0.758558,0.875358
193,0.763162,0.876739
194,0.775409,0.882475
195,0.756867,0.873155
196,0.758683,0.874137
197,0.770373,0.879394
198,0.752101,0.870228
199,0.755035,0.871022
200,0.772548,0.878657
201,0.747011,0.867358
202,0.756502,0.870829
203,0.771126,0.87771
204,0.749584,0.867634
205,0.759936,0.871573
206,0.771364,0.877684
207,0.754416,0.869657
208,0.761048,0.87196
209,0.773808,0.878267
210,0.755457,0.869039
211,0.76231,0.872331
212,0.77627,0.878861
213,0.757425,0.869959
214,0.765981,0.873873
215,0.781016,0.880834
216,0.764605,0.873233
217,0.771816,0.876439
218,0.78481,0.882555
219,0.7711,0.876038
220,0.777805,0.879117
221,0.79032,0.884711
222,0.775201,0.877494
223,0.779338,0.879445
224,0.791319,0.885747
225,0.775597,0.878288
226,0.782098,0.881589
227,0.794273,0.887486
228,0.78467,0.881758
229,0.789999,0.884288
230,0.796576,0.888114
231,0.790535,0.885148
232,0.790123,0.884522
233,0.792448,0.884985
234,0.786024,0.882294
235,0.785857,0.881891
236,0.788155,0.882682
237,0.777623,0.878329
238,0.774684,0.876494
239,0.785183,0.881078
240,0.803696,0.894228
241,0.772368,0.878191
242,0.782733,0.88292
243,0.785214,0.883942
244,0.760655,0.872295
245,0.776281,0.878429
246,0.749266,0.867001
247,0.772016,0.876099
248,0.742767,0.863579
249,0.749136,0.866737
250,0.76623,0.873207
251,0.736953,0.860965
252,0.744749,0.864358
253,0.76345,0.872259
254,0.742786,0.86368
255,0.76349,0.87225
256,0.746325,0.864808
257,0.767357,0.874631
258,0.744343,0.864695
259,0.754558,0.869191
260,0.773755,0.878807
261,0.757469,0.871961
262,0.764418,0.875411
263,0.779398,0.8824
264,0.76718,0.877049
265,0.771995,0.879228
266,0.781217,0.884495
267,0.769872,0.878486
268,0.775009,0.881484
269,0.784283,0.886071
270,0.772376,0.880142
271,0.779078,0.88348
272,0.788205,0.888073
273,0.774986,0.881369
274,0.782442,0.885817
275,0.791781,0.89042
276,0.77847,0.883788
277,0.784938,0.887108
278,0.794683,0.891859
279,0.780246,0.885149
280,0.785304,0.887957
281,0.793739,0.891906
282,0.779609,0.88485
283,0.784141,0.887444
284,0.793384,0.891857
285,0.78112,0.885767
286,0.786514,0.888491
287,0.796452,0.89337
288,0.783188,0.886537
289,0.789359,0.889579
290,0.798397,0.894289
291,0.78585,0.887161
292,0.787236,0.888142
293,0.795732,0.892447
294,0.778809,0.885154
295,0.78789,0.888782
296,0.794735,0.892526
297,0.778978,0.885263
298,0.786178,0.888071
299,0.794387,0.891985
300,0.805531,0.900533
301,0.782408,0.888936
302,0.791525,0.892955
303,0.795202,0.894835
304,0.775302,0.884751
305,0.78845,0.89103
306,0.792991,0.893175
307,0.779227,0.88653
308,0.79149,0.891893
309,0.794703,0.893284
310,0.777185,0.884861
311,0.78227,0.887433
312,0.789911,0.89132
313,0.771256,0.883249
314,0.777279,0.886067
315,0.790833,0.891861
316,0.769424,0.882668
317,0.778921,0.88691
318,0.791024,0.891634
319,0.771919,0.883963
320,0.777476,0.886042
321,0.789592,0.8913
322,0.773142,0.884865
323,0.778147,0.886547
324,0.791272,0.892143
325,0.776669,0.886738
326,0.780223,0.888164
327,0.791227,0.893055
328,0.782276,0.889346
329,0.785254,0.890429
330,0.796246,0.895134
331,0.788568,0.892253
332,0.792754,0.894062
333,0.79919,0.897326
334,0.792978,0.894497
335,0.795407,0.895969
336,0.801724,0.898957
337,0.793221,0.89513
338,0.791883,0.895033
339,0.793573,0.895614
340,0.802676,0.899889
341,0.795675,0.896363
342,0.795469,0.896256
343,0.796469,0.896938
344,0.804038,0.900829
345,0.797009,0.897683
346,0.798287,0.898611
347,0.805271,0.902014
348,0.797789,0.898269
349,0.797385,0.898517
350,0.798009,0.898619
351,0.805908,0.902798
352,0.795606,0.897568
353,0.796274,0.897829
354,0.794535,0.896455
355,0.800568,0.899336
356,0.791824,0.895216
357,0.791738,0.895365
358,0.790128,0.894557
359,0.797067,0.897551
360,0.815056,0.910465
361,0.801185,0.903346
362,0.798578,0.901435
363,0.792773,0.899107
364,0.796568,0.900494
365,0.788043,0.895856
366,0.78541,0.894453
367,0.782149,0.892748
368,0.792485,0.897512
369,0.7748,0.888274
370,0.78222,0.892586
371,0.789673,0.896002
372,0.771697,0.887402
373,0.777121,0.890282
374,0.793507,0.8972
375,0.775466,0.88896
376,0.780087,0.891302
377,0.79522,0.898018
378,0.777584,0.890448
379,0.782535,0.892669
380,0.777738,0.890621
381,0.794651,0.897869
382,0.7822,0.892593
383,0.787516,0.894558
384,0.799227,0.899486
385,0.787933,0.894673
386,0.790737,0.895851
387,0.803704,0.901153
388,0.792219,0.896099
389,0.792521,0.897096
390,0.803478,0.901859
391,0.793215,0.896999
392,0.796487,0.898985
393,0.803089,0.902316
394,0.791876,0.89734
395,0.795438,0.899818
396,0.803858,0.903796
397,0.795258,0.899475
398,0.799305,0.901617
399,0.795424,0.900297
400,0.806881,0.905255
401,0.800206,0.901837
402,0.803136,0.903514
403,0.800932,0.90247
404,0.809796,0.9065
405,0.802554,0.90291
406,0.8051,0.904371
407,0.799631,0.902502
408,0.811302,0.907222
409,0.805852,0.905323
410,0.803834,0.904736
411,0.799993,0.902991
412,0.813491,0.908234
413,0.796365,0.900845
414,0.799204,0.901721
415,0.793896,0.89911
416,0.806711,0.90409
417,0.791029,0.896599
418,0.790579,0.896804
419,0.80583,0.902549
420,0.815805,0.911253
421,0.768907,0.890011
422,0.783011,0.89405
423,0.798731,0.901774
424,0.761732,0.884152
425,0.780654,0.893476
426,0.801544,0.901136
427,0.765408,0.885568
428,0.781347,0.892401
429,0.799089,0.898792
430,0.777075,0.88755
431,0.78263,0.890823
432,0.796902,0.896554
433,0.771522,0.885575
434,0.784259,0.890834
435,0.797308,0.896788
436,0.782856,0.890155
437,0.786641,0.892758
438,0.796805,0.897743
439,0.780715,0.890483
440,0.787673,0.894111
441,0.781565,0.892094
442,0.799919,0.899422
443,0.784099,0.892754
444,0.790134,0.895643
445,0.787573,0.895461
446,0.801838,0.901361
447,0.793439,0.898105
448,0.796072,0.898875
449,0.794863,0.898992
450,0.805788,0.903407
451,0.793093,0.898886
452,0.798243,0.901224
453,0.795195,0.899981
454,0.809576,0.906402
455,0.794117,0.900766
456,0.797506,0.902352
457,0.794459,0.901278
458,0.811429,0.907973
459,0.796866,0.902268
460,0.800235,0.903675
461,0.79662,0.902279
462,0.808508,0.907255
463,0.795345,0.901638
464,0.799423,0.903868
465,0.807793,0.907801
466,0.80114,0.903796
467,0.800971,0.903821
468,0.81404,0.908962
469,0.7946,0.900431
470,0.801964,0.903768
471,0.815422,0.909152
472,0.794994,0.899407
473,0.799977,0.901383
474,0.810477,0.906497
475,0.788929,0.896395
476,0.796311,0.8994
477,0.807262,0.904473
478,0.788394,0.89601
479,0.795113,0.899034
480,0.822641,0.915556
481,0.795911,0.900872
482,0.798139,0.903122
483,0.808944,0.908187
484,0.79089,0.899972
485,0.800363,0.903435
486,0.80823,0.906818
487,0.792087,0.898797
488,0.79516,0.9005
489,0.805858,0.904958
490,0.786035,0.896311
491,0.78726,0.896996
492,0.800349,0.90226
493,0.785401,0.895746
494,0.790122,0.897787
495,0.802371,0.902679
496,0.786849,0.895792
497,0.791037,0.897724
498,0.801723,0.902249
499,0.789078,0.895883
500,0.793382,0.897573
501,0.802135,0.90153
502,0.788936,0.89529
503,0.792099,0.896739
504,0.802514,0.90098
505,0.785919,0.893443
506,0.791002,0.895766
507,0.802945,0.900746
508,0.786109,0.892857
509,0.79152,0.895188
510,0.8018,0.89977
511,0.782927,0.891152
512,0.79027,0.89407
513,0.800691,0.899116
514,0.780041,0.889311
515,0.787338,0.892693
516,0.798476,0.89796
517,0.7786,0.888919
518,0.786598,0.892205
519,0.797469,0.897061
520,0.779468,0.888026
521,0.787357,0.891878
522,0.799034,0.896734
523,0.784151,0.889328
524,0.788197,0.891438
525,0.800095,0.897124
526,0.784131,0.888979
527,0.789794,0.891994
528,0.801581,0.897669
529,0.784118,0.889045
530,0.788742,0.891985
531,0.800051,0.897292
532,0.783031,0.888903
533,0.786806,0.890088
534,0.797155,0.894584
535,0.780594,0.887053
536,0.785781,0.888997
537,0.796206,0.893356
538,0.780394,0.886294
539,0.785777,0.887785
540,0.815109,0.908283
541,0.788814,0.89512
542,0.789817,0.895518
543,0.7999,0.899409
544,0.778759,0.890296
545,0.785496,0.892296
546,0.796553,0.896408
547,0.775966,0.887801
548,0.782574,0.890032
549,0.792557,0.894107
550,0.77242,0.885406
551,0.780958,0.888387
552,0.790159,0.892052
553,0.767582,0.881764
554,0.781925,0.888365
555,0.792443,0.892313
556,0.772958,0.883589
557,0.781789,0.888099
558,0.794395,0.893069
559,0.77527,0.884845
560,0.785151,0.889128
561,0.796928,0.894187
562,0.783083,0.887711
563,0.789941,0.891157
564,0.788654,0.889846
565,0.79896,0.89491
566,0.794032,0.892475
567,0.791488,0.891752
568,0.783895,0.887789
569,0.798544,0.895145
570,0.783378,0.888325
571,0.788656,0.890445
