Frame, eSSIM, SSIM
0,0.815377,0.907731
1,0.814232,0.906966
2,0.813774,0.906629
3,0.813071,0.906207
4,0.812258,0.905949
5,0.812098,0.905845
6,0.81186,0.905758
7,0.812094,0.905693
8,0.812158,0.905661
9,0.812462,0.905885
10,0.81247,0.905756
11,0.81227,0.905772
12,0.813113,0.906239
13,0.813689,0.906593
14,0.814737,0.907267
15,0.811502,0.90612
16,0.811686,0.906283
17,0.811536,0.906372
18,0.814522,0.907761
19,0.814797,0.908213
20,0.815086,0.907966
21,0.814797,0.907598
22,0.814125,0.90704
23,0.809794,0.904782
24,0.809163,0.903891
25,0.807651,0.902781
26,0.80952,0.902764
27,0.811543,0.903056
28,0.812191,0.903309
29,0.812419,0.903632
30,0.812942,0.90365
31,0.805354,0.899796
32,0.805797,0.899447
33,0.811421,0.901527
34,0.799859,0.895261
35,0.79833,0.894648
36,0.810884,0.900773
37,0.797808,0.89352
38,0.800558,0.894554
39,0.813738,0.901221
40,0.795756,0.892245
41,0.802088,0.894961
42,0.814352,0.901182
43,0.79846,0.893119
44,0.802464,0.89532
45,0.813419,0.90097
46,0.792114,0.892367
47,0.80513,0.898771
48,0.786446,0.88778
49,0.789384,0.888322
50,0.80448,0.896327
51,0.787372,0.887845
52,0.802787,0.894744
53,0.788325,0.88617
54,0.80138,0.893101
55,0.786418,0.88492
56,0.80228,0.891814
57,0.787669,0.884395
58,0.802954,0.891801
59,0.794933,0.886939
60,0.819506,0.90537
61,0.792978,0.888996
62,0.793352,0.889474
63,0.810753,0.898013
64,0.788117,0.885231
65,0.794047,0.888266
66,0.807311,0.89502
67,0.784412,0.881787
68,0.784978,0.882251
69,0.804113,0.892302
70,0.781679,0.880693
71,0.787832,0.883928
72,0.804238,0.892084
73,0.782617,0.880172
74,0.784717,0.881631
75,0.797049,0.887812
76,0.779156,0.878495
77,0.784501,0.881207
78,0.796977,0.887942
79,0.779239,0.878636
80,0.785185,0.88219
81,0.797905,0.889355
82,0.780264,0.880311
83,0.786655,0.884183
84,0.800568,0.891739
85,0.785401,0.883406
86,0.790356,0.887183
87,0.801893,0.893278
88,0.786545,0.885276
89,0.792329,0.888728
90,0.803151,0.895227
91,0.789601,0.88893
92,0.795002,0.891274
93,0.805047,0.896985
94,0.789842,0.888608
95,0.794993,0.892639
96,0.80685,0.898779
97,0.790586,0.89046
98,0.795044,0.893728
99,0.807011,0.89951
100,0.790684,0.891282
101,0.796443,0.894597
102,0.807787,0.900234
103,0.793898,0.892611
104,0.798759,0.896303
105,0.810425,0.902423
106,0.797348,0.895432
107,0.802079,0.898417
108,0.812391,0.903623
109,0.806731,0.899483
110,0.807681,0.901173
111,0.813012,0.904559
112,0.803756,0.898668
113,0.804991,0.899762
114,0.810852,0.902779
115,0.798376,0.896983
116,0.799872,0.897519
117,0.807299,0.901065
118,0.794183,0.894563
119,0.804688,0.899626
120,0.813385,0.90977
121,0.795174,0.897634
122,0.805464,0.904432
123,0.787909,0.892714
124,0.794302,0.89706
125,0.804454,0.903282
126,0.79391,0.89774
127,0.803607,0.90242
128,0.792087,0.89606
129,0.803599,0.90149
130,0.79534,0.89678
131,0.807139,0.902571
132,0.797416,0.896944
133,0.808783,0.9031
134,0.795729,0.895223
135,0.795811,0.89658
136,0.807954,0.902791
137,0.794642,0.896144
138,0.799562,0.899285
139,0.810674,0.904384
140,0.797014,0.898579
141,0.801401,0.90108
142,0.812198,0.906199
143,0.807657,0.905003
144,0.81242,0.906999
145,0.814915,0.908163
146,0.808883,0.906122
147,0.809484,0.906373
148,0.814728,0.90873
149,0.802898,0.904516
150,0.8072,0.90606
151,0.814101,0.909365
152,0.805511,0.905065
153,0.808398,0.906448
154,0.817275,0.910691
155,0.807886,0.906336
156,0.811008,0.907886
157,0.818135,0.911536
158,0.807652,0.906799
159,0.811207,0.908446
160,0.818556,0.912179
161,0.807742,0.907163
162,0.811519,0.908303
163,0.817719,0.911627
164,0.806345,0.90669
165,0.810131,0.908209
166,0.819193,0.912172
167,0.80882,0.908058
168,0.812333,0.909089
169,0.818361,0.91171
170,0.80802,0.906571
171,0.811052,0.907444
172,0.817423,0.91037
173,0.799147,0.899699
174,0.80189,0.901599
175,0.810579,0.905787
176,0.792481,0.897809
177,0.806178,0.90335
178,0.789035,0.895065
179,0.80472,0.901763
180,0.820825,0.916037
181,0.795464,0.899517
182,0.804898,0.904478
183,0.808097,0.907466
184,0.794019,0.898976
185,0.807994,0.9058
186,0.790649,0.896205
187,0.803775,0.902497
188,0.788211,0.893833
189,0.801112,0.899943
190,0.7865,0.891791
191,0.800233,0.898149
192,0.778922,0.887222
193,0.784583,0.889397
194,0.798148,0.8959
195,0.781364,0.886644
196,0.784244,0.888567
197,0.796286,0.894013
198,0.779926,0.885797
199,0.779912,0.886086
200,0.796879,0.893434
201,0.775237,0.883416
202,0.782897,0.886538
203,0.796686,0.893743
204,0.780288,0.88538
205,0.787738,0.88871
206,0.798576,0.894643
207,0.78456,0.887128
208,0.791661,0.890487
209,0.803429,0.896467
210,0.78906,0.888822
211,0.791832,0.890846
212,0.803798,0.896748
213,0.787739,0.888524
214,0.7945,0.891874
215,0.806037,0.898215
216,0.791121,0.889856
217,0.796082,0.893311
218,0.806781,0.898841
219,0.796251,0.892791
220,0.800977,0.89519
221,0.808667,0.899313
222,0.796423,0.892096
223,0.798999,0.894142
224,0.809469,0.899974
225,0.796069,0.892585
226,0.800656,0.89502
227,0.811138,0.901166
