Frame, eSSIM, SSIM
0,0.661231,0.817476
1,0.659442,0.816743
2,0.659129,0.816753
3,0.65896,0.816711
4,0.658598,0.816812
5,0.658876,0.8173
6,0.66367,0.818707
7,0.665864,0.81973
8,0.666907,0.820159
9,0.667616,0.820621
10,0.669763,0.821914
11,0.671061,0.822823
12,0.670341,0.823479
13,0.667416,0.824477
14,0.671899,0.827064
15,0.66793,0.825974
16,0.667701,0.826363
17,0.677599,0.828667
18,0.686513,0.831444
19,0.693242,0.833765
20,0.695079,0.834188
21,0.694715,0.833921
22,0.692563,0.833171
23,0.684249,0.8304
24,0.685039,0.829723
25,0.68025,0.827133
26,0.681026,0.826159
27,0.671873,0.821964
28,0.670607,0.82058
29,0.668358,0.819435
30,0.670974,0.820838
31,0.666244,0.818869
32,0.669915,0.819985
33,0.672124,0.821906
34,0.660741,0.814199
35,0.661353,0.814277
36,0.67693,0.823565
37,0.660293,0.813337
38,0.662928,0.815398
39,0.678492,0.823903
40,0.653219,0.810169
41,0.659875,0.813982
42,0.67436,0.821818
43,0.643504,0.808524
44,0.652001,0.812624
45,0.673144,0.822843
46,0.645622,0.809757
47,0.66652,0.81862
48,0.62362,0.797408
49,0.633954,0.801437
50,0.662894,0.815408
51,0.624389,0.796531
52,0.65679,0.810337
53,0.616308,0.789889
54,0.649015,0.805451
55,0.613054,0.786913
56,0.642772,0.80085
57,0.595383,0.7761
58,0.643808,0.800908
59,0.631536,0.794429
60,0.698028,0.834347
61,0.601611,0.790147
62,0.621886,0.794382
63,0.675654,0.821734
64,0.605862,0.787793
65,0.637638,0.800598
66,0.669394,0.817193
67,0.600022,0.784076
68,0.614662,0.78829
69,0.664335,0.813549
70,0.602634,0.784427
71,0.639592,0.799574
72,0.661857,0.812714
73,0.614141,0.79022
74,0.634405,0.796938
75,0.654889,0.808838
76,0.611599,0.787137
77,0.636236,0.799285
78,0.656613,0.810534
79,0.61891,0.793918
80,0.636346,0.799103
81,0.65747,0.812904
82,0.629889,0.798853
83,0.64472,0.806076
84,0.666997,0.818995
85,0.634298,0.804861
86,0.650016,0.811083
87,0.668221,0.821141
88,0.631538,0.804373
89,0.653778,0.814185
90,0.670251,0.823441
91,0.647169,0.81277
92,0.655293,0.817014
93,0.676481,0.827899
94,0.656059,0.818158
95,0.662903,0.821892
96,0.679613,0.830933
97,0.657175,0.822162
98,0.666054,0.82557
99,0.681243,0.833253
100,0.658808,0.823483
101,0.676728,0.830276
102,0.688491,0.836845
103,0.665097,0.825934
104,0.677819,0.83118
105,0.691283,0.839106
106,0.671684,0.830551
107,0.683242,0.834929
108,0.696989,0.841246
109,0.670281,0.831454
110,0.690488,0.837908
111,0.700939,0.843279
112,0.675431,0.834416
113,0.691808,0.838699
114,0.701001,0.842723
115,0.681189,0.834855
116,0.688243,0.83772
117,0.698264,0.842221
118,0.677361,0.833149
119,0.693935,0.840564
120,0.671636,0.838489
121,0.622967,0.81702
122,0.675644,0.837578
123,0.638164,0.818002
124,0.658329,0.827315
125,0.689594,0.843606
126,0.666842,0.833837
127,0.689865,0.843029
128,0.661529,0.831363
129,0.682219,0.840393
130,0.662357,0.831988
131,0.684662,0.841887
132,0.654076,0.83047
133,0.682518,0.84194
134,0.656618,0.829365
135,0.662272,0.831678
136,0.687129,0.843284
137,0.65645,0.832888
138,0.670054,0.835783
