Frame, eSSIM, SSIM
0,0.880128,0.927405
1,0.848501,0.906891
2,0.859439,0.913468
3,0.849884,0.907678
4,0.839137,0.898393
5,0.849128,0.904765
6,0.8456,0.902168
7,0.84301,0.901015
8,0.840786,0.900174
9,0.841165,0.900377
10,0.829005,0.891131
11,0.839631,0.897742
12,0.80894,0.879177
13,0.781812,0.86477
14,0.799308,0.871901
15,0.805833,0.875425
16,0.798048,0.868819
17,0.812786,0.879999
18,0.80456,0.873516
19,0.821494,0.885277
20,0.813813,0.878964
21,0.833011,0.891111
22,0.822672,0.884098
23,0.839197,0.89378
24,0.846463,0.898751
25,0.849277,0.902918
26,0.855093,0.906584
27,0.839616,0.89653
28,0.852925,0.905784
29,0.857863,0.90934
30,0.857512,0.910171
31,0.859888,0.912136
32,0.858004,0.912574
33,0.850657,0.908853
34,0.862669,0.916641
35,0.852134,0.911786
36,0.865007,0.919815
37,0.867464,0.925585
38,0.870019,0.931685
39,0.869728,0.934271
40,0.870015,0.936604
41,0.872595,0.938668
42,0.873406,0.940077
43,0.873921,0.941287
44,0.871547,0.940775
45,0.867299,0.938472
46,0.861253,0.93472
47,0.855978,0.929991
48,0.850171,0.924727
49,0.844896,0.91899
50,0.843777,0.914852
51,0.838122,0.911434
52,0.83823,0.911997
53,0.837804,0.911241
54,0.837788,0.911347
55,0.834173,0.909637
56,0.832349,0.907688
57,0.829308,0.905697
58,0.831081,0.905895
59,0.830225,0.903463
60,0.895697,0.945561
61,0.86233,0.926443
62,0.857989,0.921861
63,0.844078,0.912835
64,0.852329,0.916672
65,0.849682,0.914283
66,0.847387,0.911629
67,0.846061,0.909588
68,0.846702,0.909383
69,0.838876,0.904932
70,0.846226,0.911033
71,0.844545,0.911302
72,0.841786,0.908099
73,0.852966,0.920546
74,0.8547,0.922053
75,0.854988,0.921845
76,0.852358,0.920587
77,0.835485,0.911958
78,0.848308,0.918272
79,0.845406,0.916945
80,0.848836,0.918231
81,0.83049,0.909298
82,0.84755,0.917952
83,0.833986,0.910379
84,0.850015,0.919875
85,0.835724,0.912153
86,0.841293,0.915945
87,0.855552,0.924979
88,0.841918,0.917717
89,0.845189,0.920302
90,0.861648,0.928609
91,0.84367,0.919729
92,0.844305,0.92046
93,0.864495,0.932165
94,0.85007,0.924226
95,0.853767,0.927522
96,0.871148,0.936628
97,0.856234,0.927551
98,0.862238,0.932623
99,0.881783,0.942532
100,0.862553,0.933818
101,0.875027,0.94058
102,0.872706,0.938707
103,0.887563,0.94583
104,0.870487,0.938739
105,0.878984,0.942876
106,0.87511,0.941378
107,0.89409,0.951519
108,0.89253,0.950728
109,0.891335,0.950254
110,0.881191,0.945696
111,0.896657,0.95243
112,0.891195,0.949501
113,0.892095,0.949854
114,0.891223,0.949141
115,0.894649,0.951565
116,0.875581,0.941454
117,0.881182,0.94543
118,0.874974,0.941914
119,0.889137,0.949684
120,0.906014,0.962699
121,0.87801,0.94554
122,0.878932,0.946389
123,0.868192,0.94218
124,0.88828,0.951574
125,0.875104,0.942871
126,0.877615,0.944922
127,0.874567,0.942805
128,0.888127,0.950047
129,0.884405,0.947477
130,0.87933,0.945367
131,0.87672,0.945904
132,0.887323,0.950613
133,0.874512,0.942605
134,0.881162,0.947428
135,0.880075,0.946519
136,0.892554,0.951901
137,0.882189,0.946872
138,0.884188,0.948552
139,0.878554,0.945831
140,0.896146,0.953813
141,0.885621,0.94857
142,0.88867,0.949971
143,0.894144,0.950939
144,0.897959,0.954353
145,0.889693,0.948893
146,0.89082,0.95017
147,0.881551,0.946056
148,0.894181,0.952365
149,0.883699,0.945776
150,0.88591,0.946432
151,0.892992,0.951241
152,0.880154,0.944496
153,0.88266,0.946364
154,0.896684,0.954281
155,0.881359,0.946595
156,0.889099,0.951175
157,0.88564,0.94943
158,0.898536,0.955217
159,0.883071,0.947312
160,0.885067,0.950005
161,0.886118,0.948529
162,0.901195,0.955777
163,0.887051,0.950062
164,0.889474,0.950679
165,0.885166,0.949047
166,0.901031,0.955284
167,0.892736,0.950558
168,0.893899,0.951566
169,0.884131,0.946613
170,0.89814,0.954334
171,0.882228,0.945609
172,0.88031,0.946586
173,0.875534,0.943319
174,0.892715,0.94932
175,0.872768,0.940193
176,0.87658,0.940608
177,0.889897,0.947462
178,0.876645,0.940884
179,0.880238,0.944505
180,0.90568,0.964092
181,0.881423,0.947133
182,0.881676,0.948278
183,0.881611,0.945537
184,0.889485,0.951394
185,0.877114,0.943285
186,0.881644,0.945723
187,0.876796,0.942249
188,0.882068,0.946483
189,0.885712,0.945524
190,0.887478,0.943329
191,0.881424,0.940523
192,0.869336,0.9338
193,0.878999,0.938317
194,0.870866,0.932486
195,0.861731,0.924485
196,0.84848,0.907676
197,0.867204,0.918698
198,0.855964,0.910083
199,0.844318,0.897821
200,0.838981,0.893441
201,0.837524,0.889396
202,0.835149,0.886517
203,0.823531,0.879871
204,0.831965,0.887216
205,0.825513,0.884392
206,0.841789,0.898
207,0.82508,0.887741
208,0.828062,0.889877
209,0.842561,0.899508
210,0.81634,0.883588
211,0.826813,0.891142
212,0.816704,0.88629
213,0.833013,0.893834
214,0.839174,0.90203
215,0.839695,0.907727
216,0.848318,0.906961
217,0.825041,0.897049
218,0.842567,0.918481
219,0.822451,0.905795
220,0.837887,0.913443
221,0.82354,0.904292
222,0.838553,0.914351
223,0.839667,0.917586
224,0.840677,0.919044
225,0.841931,0.918637
226,0.845441,0.92178
227,0.848358,0.924594
228,0.856013,0.928688
229,0.861516,0.933425
230,0.869766,0.937734
231,0.852571,0.928367
232,0.865712,0.936304
233,0.852449,0.92861
234,0.866734,0.936092
235,0.850706,0.926836
236,0.867157,0.936784
237,0.847925,0.926531
238,0.860053,0.931866
239,0.859348,0.929792
240,0.889543,0.948488
241,0.837524,0.919198
242,0.851483,0.924296
243,0.842867,0.918856
244,0.840318,0.915911
245,0.843527,0.916939
246,0.821346,0.903402
247,0.842039,0.915269
248,0.823312,0.903657
249,0.830687,0.908524
250,0.846946,0.91894
251,0.841931,0.914577
252,0.851663,0.920969
253,0.849889,0.919616
254,0.832961,0.911149
255,0.846947,0.918842
256,0.846064,0.91923
257,0.848777,0.920477
258,0.848405,0.920005
