Frame, eSSIM, SSIM
0,0.654402,0.790122
1,0.615328,0.757942
2,0.635928,0.774153
3,0.631493,0.768359
4,0.612487,0.754327
5,0.63468,0.770209
6,0.628608,0.767609
7,0.63033,0.76882
8,0.630356,0.766595
9,0.628669,0.766048
10,0.610294,0.753709
11,0.627347,0.764922
12,0.610424,0.751641
13,0.609134,0.751116
14,0.621066,0.759061
15,0.631529,0.76787
16,0.621696,0.761915
17,0.663931,0.788372
18,0.656967,0.783808
19,0.689967,0.803008
20,0.679975,0.797164
21,0.704946,0.810189
22,0.693237,0.802249
23,0.722342,0.819134
24,0.726063,0.82239
25,0.72821,0.827023
26,0.721393,0.824915
27,0.693857,0.806198
28,0.711332,0.818164
29,0.716837,0.821122
30,0.724458,0.825148
31,0.732487,0.829669
32,0.733354,0.831437
33,0.727336,0.827538
34,0.746099,0.839265
35,0.737109,0.833495
36,0.749969,0.844941
37,0.754286,0.853775
38,0.756014,0.860484
39,0.75368,0.863961
40,0.756507,0.869099
41,0.752355,0.868364
42,0.749747,0.870455
43,0.743917,0.868851
44,0.742433,0.869113
45,0.726025,0.861335
46,0.707501,0.85044
47,0.688621,0.838711
48,0.669299,0.823981
49,0.663077,0.812425
50,0.658395,0.806177
51,0.657452,0.804734
52,0.653458,0.801727
53,0.654377,0.802061
54,0.648438,0.797233
55,0.648413,0.798603
56,0.647644,0.79579
57,0.646533,0.793881
58,0.642437,0.793591
59,0.642545,0.789241
60,0.709056,0.835685
61,0.674252,0.810932
62,0.65677,0.798218
63,0.634126,0.78196
64,0.666176,0.802239
65,0.662907,0.797095
66,0.66434,0.794449
67,0.667109,0.794664
68,0.678579,0.800769
69,0.662123,0.791002
70,0.679438,0.805357
71,0.664875,0.798103
72,0.658051,0.791267
73,0.670253,0.80764
74,0.667336,0.807684
75,0.665111,0.806226
76,0.656444,0.801329
77,0.620472,0.77896
78,0.652903,0.797904
79,0.649723,0.794803
80,0.651097,0.795418
81,0.62648,0.780667
82,0.655339,0.799214
83,0.634121,0.787229
84,0.66389,0.805801
85,0.636386,0.789547
86,0.651659,0.799959
87,0.672333,0.814631
88,0.652304,0.799767
89,0.659505,0.806512
90,0.678835,0.819159
91,0.653962,0.801979
92,0.663994,0.807529
93,0.685056,0.823843
94,0.652248,0.806467
95,0.67731,0.818642
96,0.693537,0.83167
97,0.671153,0.816466
98,0.688067,0.826298
99,0.709267,0.842968
100,0.693041,0.826572
101,0.71415,0.841859
102,0.712889,0.84107
103,0.725607,0.852229
104,0.699749,0.834872
105,0.719639,0.847366
106,0.708872,0.840836
107,0.74725,0.865361
108,0.745373,0.862455
109,0.741977,0.86002
110,0.719227,0.85205
111,0.752939,0.868901
112,0.743371,0.859398
113,0.746307,0.864082
114,0.729421,0.854428
115,0.748568,0.866621
116,0.716696,0.848964
117,0.730378,0.8567
118,0.722408,0.850092
119,0.742785,0.864158
120,0.785809,0.891709
121,0.712962,0.850209
122,0.734939,0.863424
123,0.701135,0.849389
124,0.766688,0.880342
125,0.706712,0.850613
126,0.731335,0.860817
127,0.722022,0.854876
128,0.754969,0.871504
129,0.751504,0.86848
130,0.731308,0.857949
131,0.740611,0.864536
132,0.758323,0.872808
133,0.734882,0.858697
134,0.759265,0.873495
135,0.730796,0.857695
136,0.773629,0.882312
137,0.755922,0.874043
138,0.764827,0.87729
139,0.746206,0.86916
140,0.784544,0.888886
141,0.767786,0.880303
142,0.780172,0.884855
143,0.782721,0.884506
144,0.7858,0.887808
145,0.767479,0.873466
146,0.770496,0.876824
147,0.759436,0.871212
148,0.779177,0.883211
