Frame, eSSIM, SSIM
0,0.740626,0.850038
1,0.681953,0.817496
2,0.677757,0.812289
3,0.657341,0.789778
4,0.688353,0.810789
5,0.677725,0.803801
6,0.677815,0.803454
7,0.67061,0.799073
8,0.672545,0.799203
9,0.665954,0.795557
10,0.665488,0.794821
11,0.643058,0.778425
12,0.663134,0.792687
13,0.637944,0.773556
14,0.659993,0.788964
15,0.640785,0.777609
16,0.698768,0.811276
17,0.685991,0.802783
18,0.742561,0.833946
19,0.729062,0.824762
20,0.763691,0.845313
21,0.746323,0.83359
22,0.775669,0.852334
23,0.787182,0.858845
24,0.792879,0.863554
25,0.796147,0.868594
26,0.789005,0.865654
27,0.753539,0.842551
28,0.772383,0.857105
29,0.755947,0.844697
30,0.794598,0.868271
31,0.777518,0.857213
32,0.801477,0.87415
33,0.785148,0.864522
34,0.806761,0.878959
35,0.788376,0.867886
36,0.806401,0.883173
37,0.816896,0.893155
38,0.821031,0.900795
39,0.822317,0.905403
40,0.823131,0.908092
41,0.818655,0.907871
42,0.82647,0.914051
43,0.821859,0.912041
44,0.819291,0.911743
45,0.813264,0.909364
46,0.802114,0.902406
47,0.785052,0.892172
48,0.776646,0.88394
49,0.765491,0.875071
50,0.763169,0.871115
51,0.758394,0.867985
52,0.754698,0.866639
53,0.760429,0.867788
54,0.740993,0.855537
55,0.756899,0.86744
56,0.744263,0.858826
57,0.742846,0.856844
58,0.740442,0.855992
59,0.741139,0.852953
60,0.847298,0.914245
61,0.779519,0.878665
62,0.768525,0.868995
63,0.763957,0.865376
64,0.760116,0.860873
65,0.755206,0.856249
66,0.753327,0.851208
67,0.752579,0.848561
68,0.756857,0.850819
69,0.759749,0.853628
70,0.758228,0.855315
71,0.751732,0.854422
72,0.741269,0.845543
73,0.750745,0.860091
74,0.732969,0.853373
75,0.7317,0.850623
76,0.701994,0.832201
77,0.7345,0.851474
78,0.700692,0.831932
79,0.724542,0.845055
80,0.72905,0.846577
81,0.695764,0.825372
82,0.729354,0.846965
83,0.709978,0.8345
84,0.741639,0.857027
85,0.716822,0.842273
86,0.750905,0.865116
87,0.734278,0.850746
88,0.741093,0.857508
89,0.763239,0.873103
90,0.749319,0.862747
91,0.776743,0.880316
92,0.765472,0.872444
93,0.787076,0.886366
94,0.758692,0.871026
95,0.775973,0.880672
96,0.801418,0.894898
97,0.77927,0.882893
98,0.81784,0.903962
99,0.78797,0.887001
100,0.804341,0.89612
101,0.80895,0.897972
102,0.830502,0.911541
103,0.808079,0.897602
104,0.823395,0.906738
105,0.81471,0.900282
106,0.844193,0.918274
107,0.819778,0.901901
108,0.846965,0.917906
109,0.823572,0.908162
110,0.853747,0.92363
111,0.821277,0.908777
112,0.850224,0.920692
113,0.852951,0.92217
114,0.853632,0.922973
115,0.829034,0.909609
116,0.833186,0.911742
117,0.821926,0.903887
118,0.846884,0.918146
119,0.825477,0.909559
120,0.908327,0.951326
121,0.81224,0.906895
122,0.841322,0.921016
123,0.817955,0.90898
124,0.865037,0.932492
125,0.830867,0.910975
126,0.842196,0.919306
127,0.825909,0.91045
128,0.856741,0.926818
129,0.833708,0.91719
130,0.838297,0.915959
131,0.836981,0.914569
132,0.858086,0.926915
133,0.82759,0.910996
134,0.851865,0.924308
135,0.838652,0.919123
136,0.871548,0.934608
