Frame, eSSIM, SSIM
0,0.628683,0.769206
1,0.589763,0.735962
2,0.589899,0.734981
3,0.581142,0.72775
4,0.587798,0.732964
5,0.584518,0.732046
6,0.586401,0.733402
7,0.588071,0.733216
8,0.590235,0.733611
9,0.586123,0.730764
10,0.584243,0.729788
11,0.576021,0.721925
12,0.577199,0.721898
13,0.571654,0.717728
14,0.582533,0.726695
15,0.579556,0.724671
16,0.601076,0.739245
17,0.598222,0.737745
18,0.632778,0.759724
19,0.629769,0.756969
20,0.657016,0.773808
21,0.642656,0.765079
22,0.667987,0.78012
23,0.67975,0.786256
24,0.686103,0.791195
25,0.683867,0.793282
26,0.683948,0.794914
27,0.657195,0.777286
28,0.676026,0.793884
29,0.659739,0.781712
30,0.690987,0.800236
31,0.675758,0.789563
32,0.704816,0.806489
33,0.691828,0.799482
34,0.716835,0.814595
35,0.703768,0.806649
36,0.717488,0.818053
37,0.723801,0.827614
38,0.724577,0.834249
39,0.723888,0.837424
40,0.718755,0.835722
41,0.713845,0.835696
42,0.712404,0.836341
43,0.706453,0.834484
44,0.700678,0.830861
45,0.69025,0.826363
46,0.672428,0.814825
47,0.652093,0.801355
48,0.634748,0.788089
49,0.618648,0.774569
50,0.621529,0.772036
51,0.610524,0.764441
52,0.605785,0.758217
53,0.604113,0.753875
54,0.577869,0.737185
55,0.603303,0.757103
56,0.59496,0.747459
57,0.592495,0.744638
58,0.581992,0.73525
59,0.582883,0.734585
60,0.669685,0.813953
61,0.598349,0.758396
62,0.589779,0.749056
63,0.578468,0.736617
64,0.583704,0.741173
65,0.595336,0.747053
66,0.592434,0.740836
67,0.598911,0.741891
68,0.609694,0.750099
69,0.612375,0.751503
70,0.611456,0.751613
71,0.601904,0.745357
72,0.595861,0.741653
73,0.617811,0.762525
74,0.612392,0.764891
75,0.617733,0.765409
76,0.591559,0.747776
77,0.617086,0.763835
78,0.587807,0.745845
79,0.612313,0.760358
80,0.609864,0.75919
81,0.586022,0.745664
82,0.611174,0.759623
83,0.588312,0.744835
84,0.607274,0.757066
85,0.588066,0.745345
86,0.614636,0.760866
87,0.588599,0.746867
88,0.601777,0.752752
89,0.614141,0.761846
90,0.589888,0.750361
91,0.617503,0.767402
92,0.592766,0.752023
93,0.621044,0.770132
94,0.592941,0.753285
95,0.614218,0.765147
96,0.6243,0.775868
97,0.612604,0.767249
98,0.643047,0.789936
99,0.616421,0.768357
100,0.624035,0.775972
101,0.645342,0.79536
102,0.65786,0.803508
103,0.628676,0.78712
104,0.649566,0.79421
105,0.62729,0.784462
106,0.67574,0.816443
107,0.649196,0.798567
108,0.665591,0.808772
109,0.663886,0.809043
110,0.685548,0.824741
111,0.664994,0.8142
112,0.678691,0.814421
113,0.687938,0.821862
114,0.689041,0.823286
115,0.655909,0.803165
116,0.655815,0.800623
117,0.635037,0.791185
118,0.687896,0.822518
119,0.664872,0.808725
120,0.735811,0.868469
121,0.636172,0.804547
122,0.655873,0.815665
123,0.65067,0.825933
124,0.714403,0.856105
125,0.647771,0.818999
126,0.683707,0.830186
127,0.669125,0.820387
128,0.695108,0.839552
129,0.691714,0.83721
130,0.67429,0.829973
131,0.693318,0.83643
132,0.695491,0.837634
133,0.650353,0.809693
134,0.691016,0.833744
135,0.670993,0.825377
136,0.708618,0.849094
137,0.705487,0.845485
138,0.705923,0.843198
139,0.679408,0.828912
140,0.727228,0.8602
141,0.712807,0.851132
142,0.712806,0.846966
143,0.711282,0.845778
144,0.726264,0.855775
145,0.706101,0.838991
146,0.701033,0.835344
147,0.681227,0.828675
148,0.716477,0.847513
149,0.672826,0.815066
150,0.685894,0.823197
151,0.716024,0.847268
152,0.657431,0.808023
153,0.682194,0.825314
154,0.715516,0.849803
155,0.673079,0.825524
156,0.712112,0.844617
157,0.703936,0.841556
158,0.728157,0.855963
159,0.696972,0.830212
160,0.706276,0.837831
161,0.704988,0.839083
162,0.736494,0.859634
163,0.720906,0.850807
164,0.717751,0.847686
165,0.700461,0.843506
166,0.735184,0.858517
167,0.711143,0.847899
168,0.7238,0.849687
169,0.692735,0.831371
170,0.735759,0.858655
171,0.704808,0.837582
172,0.697854,0.832976
173,0.695769,0.828965
174,0.729076,0.851165
175,0.687008,0.824743
176,0.71505,0.838608
177,0.695287,0.830833
178,0.727371,0.848854
179,0.712615,0.837939
180,0.766161,0.883826
181,0.688964,0.834984
182,0.716933,0.848909
183,0.698891,0.837711
184,0.724935,0.858359
185,0.684053,0.827202
186,0.701631,0.836309
187,0.69125,0.828596
188,0.718774,0.847288
189,0.710149,0.839683
190,0.680576,0.816887
191,0.610976,0.773235
192,0.656102,0.800085
193,0.645654,0.792061
194,0.638711,0.787384
195,0.628805,0.776693
196,0.637014,0.763328
197,0.687043,0.797998
198,0.684323,0.78888
199,0.665806,0.769506
200,0.647906,0.756872
201,0.641842,0.749975
202,0.641128,0.748635
203,0.630257,0.739948
204,0.624247,0.738329
205,0.63195,0.741966
206,0.67303,0.777663
207,0.651985,0.765646
208,0.647335,0.759662
209,0.671327,0.774754
210,0.656563,0.766417
211,0.680925,0.782254
212,0.645424,0.76171
213,0.675306,0.778765
214,0.692945,0.794016
215,0.698749,0.802667
216,0.699688,0.800643
217,0.64357,0.769446
218,0.655645,0.797666
219,0.58922,0.751609
220,0.631918,0.775968
221,0.586222,0.744428
222,0.630652,0.775561
223,0.62228,0.77504
224,0.632751,0.783529
225,0.628602,0.780123
226,0.624386,0.776501
227,0.627601,0.779793
228,0.614545,0.769617
229,0.60967,0.770093
230,0.613497,0.775287
231,0.52206,0.71508
232,0.586429,0.755422
233,0.510487,0.709785
234,0.561091,0.738144
235,0.525015,0.711143
236,0.587489,0.75282
237,0.536983,0.718661
238,0.565901,0.739851
239,0.543954,0.720166
240,0.677099,0.826463
241,0.580161,0.748391
242,0.605938,0.768025
243,0.586227,0.752807
244,0.58368,0.745985
245,0.596247,0.750293
246,0.535302,0.703838
247,0.598816,0.749053
248,0.554923,0.720644
249,0.55898,0.721872
250,0.576855,0.737304
251,0.538137,0.71354
252,0.566385,0.734001
253,0.581942,0.736378
254,0.580574,0.738244
255,0.561399,0.725931
256,0.556669,0.723046
257,0.55202,0.718712
258,0.547129,0.715728
259,0.546704,0.717171
260,0.56316,0.733651
261,0.56635,0.740254
262,0.578037,0.749526
263,0.588346,0.757133
264,0.601256,0.764247
265,0.599597,0.767268
266,0.599438,0.765252
267,0.602561,0.765507
268,0.601856,0.76446
269,0.602227,0.758497
270,0.603517,0.762343
271,0.623834,0.772087
272,0.615872,0.766047
273,0.61785,0.766945
274,0.630589,0.779175
275,0.623568,0.771423
276,0.625515,0.774833
277,0.629734,0.776378
278,0.635993,0.782057
279,0.639667,0.784853
280,0.645943,0.789676
281,0.646202,0.788712
282,0.644651,0.792945
283,0.651753,0.796103
284,0.656307,0.796226
285,0.656935,0.797543
286,0.652536,0.79235
287,0.647601,0.789094
288,0.637378,0.781034
289,0.642805,0.783036
290,0.646316,0.783485
291,0.630834,0.770366
292,0.620728,0.762357
293,0.619002,0.755983
294,0.612864,0.751883
295,0.612553,0.748811
296,0.610221,0.74555
297,0.603555,0.739564
298,0.624608,0.769372
299,0.623929,0.766612
300,0.679161,0.819643
301,0.624976,0.780014
302,0.637379,0.783057
303,0.60548,0.759371
304,0.624934,0.767531
305,0.597815,0.748783
306,0.620262,0.761462
307,0.608092,0.753483
308,0.620465,0.762467
309,0.607026,0.754558
310,0.619682,0.764085
311,0.594961,0.751013
312,0.619684,0.764958
313,0.598902,0.753443
314,0.620163,0.766917
315,0.595962,0.756197
316,0.618682,0.770678
317,0.595112,0.761057
318,0.617752,0.775048
319,0.641641,0.791148
320,0.666404,0.810047
321,0.66981,0.813383
322,0.676746,0.818023
323,0.701475,0.831998
324,0.718948,0.840294
325,0.730621,0.849406
326,0.758123,0.867141
327,0.758127,0.867146
328,0.75813,0.867151
329,0.758131,0.867152
330,0.75071,0.863796
331,0.750889,0.863939
332,0.741195,0.858235
333,0.75084,0.867553
334,0.793422,0.887084
335,0.7861,0.882331
336,0.789493,0.885435
337,0.786541,0.884438
338,0.777918,0.88272
339,0.780165,0.883477
340,0.769469,0.878974
341,0.762248,0.874357
342,0.739441,0.856262
343,0.731147,0.845437
344,0.708883,0.833041
345,0.710413,0.833208
346,0.704347,0.831122
347,0.708117,0.834398
348,0.701828,0.833927
349,0.685923,0.825498
350,0.67241,0.817919
351,0.667515,0.813212
352,0.674499,0.815328
353,0.709635,0.829639
354,0.741974,0.847906
355,0.748621,0.851138
356,0.740748,0.8472
357,0.716955,0.831745
358,0.697078,0.823608
359,0.681181,0.817795
360,0.732558,0.865278
361,0.715779,0.847253
362,0.669972,0.81855
363,0.662861,0.817055
364,0.655971,0.810353
365,0.644781,0.800741
366,0.63512,0.79727
367,0.592335,0.769035
368,0.626537,0.784102
369,0.616319,0.777223
370,0.620645,0.780942
371,0.623477,0.782115
372,0.616744,0.777197
373,0.622532,0.781254
374,0.626263,0.785847
375,0.637503,0.793854
376,0.642995,0.79729
377,0.648021,0.803392
378,0.648367,0.804254
379,0.652049,0.80631
380,0.650123,0.804891
381,0.647967,0.80434
382,0.645291,0.803041
383,0.639486,0.799027
384,0.629876,0.79275
385,0.629136,0.791695
386,0.628148,0.789616
387,0.633492,0.793001
388,0.618608,0.783502
389,0.632262,0.792099
390,0.623498,0.790036
391,0.626826,0.792352
392,0.620362,0.790131
393,0.618768,0.787716
394,0.610979,0.782798
395,0.609536,0.779553
396,0.604108,0.773652
397,0.603544,0.774867
398,0.606658,0.780304
399,0.614077,0.7874
400,0.619885,0.794994
401,0.621531,0.797142
402,0.623935,0.799578
403,0.624924,0.802288
404,0.628475,0.805427
405,0.628811,0.808045
406,0.62997,0.810911
407,0.638637,0.81798
408,0.659187,0.833127
409,0.680573,0.846589
410,0.69818,0.856291
411,0.712436,0.864308
412,0.721574,0.869076
413,0.732946,0.87431
414,0.749032,0.879551
415,0.76222,0.884086
416,0.772376,0.88701
417,0.780379,0.88899
418,0.785683,0.890579
419,0.7794,0.887221
420,0.806722,0.918053
421,0.762527,0.897353
422,0.728637,0.879968
423,0.696112,0.856542
424,0.670285,0.838108
425,0.655962,0.82526
426,0.646302,0.814786
427,0.644955,0.809794
428,0.636281,0.801053
429,0.633778,0.798219
430,0.633877,0.796685
431,0.633299,0.794444
432,0.622761,0.78476
433,0.629472,0.787578
434,0.628193,0.787483
435,0.62346,0.782682
436,0.6193,0.779928
437,0.60885,0.772501
438,0.562431,0.748886
439,0.608138,0.771269
440,0.611791,0.773014
441,0.616041,0.775452
442,0.617801,0.775061
443,0.605439,0.768059
444,0.552674,0.740444
445,0.596033,0.7643
446,0.598339,0.765763
447,0.610149,0.769845
448,0.574587,0.749761
449,0.604063,0.766749
450,0.602479,0.762869
451,0.585001,0.749385
452,0.533083,0.718183
453,0.580663,0.746562
454,0.52476,0.711496
455,0.568424,0.736198
456,0.52846,0.709754
457,0.574593,0.741646
458,0.572283,0.738755
459,0.519791,0.706166
460,0.568305,0.736739
461,0.548921,0.719665
462,0.500789,0.680007
463,0.553767,0.714663
464,0.520012,0.688822
465,0.556258,0.7165
466,0.517116,0.688392
467,0.558847,0.7178
468,0.526901,0.693781
469,0.561037,0.72169
470,0.560662,0.721737
471,0.51387,0.686673
472,0.558877,0.717118
473,0.514468,0.683127
474,0.55382,0.715106
475,0.545578,0.709781
476,0.553377,0.707993
477,0.557047,0.708616
478,0.558507,0.709082
479,0.540231,0.690786
480,0.613052,0.764124
481,0.584119,0.733385
482,0.579097,0.720793
483,0.539883,0.688116
484,0.578272,0.717052
485,0.548564,0.689281
486,0.568102,0.711303
487,0.560849,0.702613
488,0.55634,0.696061
489,0.556407,0.698232
490,0.554894,0.694227
491,0.557984,0.696383
492,0.553994,0.691069
493,0.551391,0.683742
494,0.510517,0.64082
495,0.558509,0.690973
496,0.548465,0.683712
497,0.542776,0.679976
498,0.542122,0.680024
499,0.547423,0.684693
500,0.539048,0.679388
501,0.51307,0.655658
502,0.527118,0.675703
503,0.517407,0.668716
504,0.516974,0.666736
505,0.510694,0.660521
506,0.515976,0.662289
507,0.510813,0.65815
508,0.499356,0.646433
509,0.486005,0.635778
510,0.499101,0.646478
511,0.495465,0.639797
512,0.493362,0.633465
513,0.48899,0.630388
514,0.455204,0.597003
515,0.486573,0.623692
516,0.438551,0.581137
517,0.472488,0.610445
518,0.471676,0.604055
519,0.467766,0.601383
520,0.464665,0.596169
521,0.462488,0.59202
