Frame, eSSIM, SSIM
0,0.642503,0.78092
1,0.60367,0.746273
2,0.601938,0.743794
3,0.587687,0.732963
4,0.60065,0.741978
5,0.594347,0.740012
6,0.597012,0.741846
7,0.596037,0.740106
8,0.596569,0.738652
9,0.593632,0.736929
10,0.593156,0.736646
11,0.581742,0.727251
12,0.589615,0.7327
13,0.5784,0.723228
14,0.594383,0.733913
15,0.584701,0.728773
16,0.614946,0.748975
17,0.607463,0.745657
18,0.653601,0.774314
19,0.643827,0.768403
20,0.674154,0.787097
21,0.660082,0.777945
22,0.689427,0.795772
23,0.700891,0.802467
24,0.705415,0.806916
25,0.706824,0.810171
26,0.709584,0.813169
27,0.675514,0.791193
28,0.697744,0.80983
29,0.681093,0.798137
30,0.716484,0.817305
31,0.700559,0.805331
32,0.725955,0.821974
33,0.713606,0.813614
34,0.737288,0.829565
35,0.72511,0.820476
36,0.73609,0.831534
37,0.744955,0.842659
38,0.744735,0.847919
39,0.74444,0.852737
40,0.740224,0.852162
41,0.736495,0.853077
42,0.733186,0.853067
43,0.729394,0.851398
44,0.721907,0.848533
45,0.709377,0.842208
46,0.691152,0.832119
47,0.67471,0.820382
48,0.654923,0.80709
49,0.645811,0.796202
50,0.644744,0.791049
51,0.639127,0.785887
52,0.636376,0.781014
53,0.630902,0.777057
54,0.596531,0.756279
55,0.630895,0.778483
56,0.618334,0.767914
57,0.6123,0.762785
58,0.612996,0.762858
59,0.602965,0.750644
60,0.692576,0.82802
61,0.631176,0.779666
62,0.611806,0.765647
63,0.599543,0.752283
64,0.60009,0.752104
65,0.611065,0.757229
66,0.61671,0.756265
67,0.61722,0.754121
68,0.632345,0.764052
69,0.639532,0.768459
70,0.639824,0.77071
71,0.63245,0.768698
72,0.624624,0.760983
73,0.639414,0.779377
74,0.63667,0.78003
75,0.639783,0.782335
76,0.602353,0.758761
77,0.637464,0.781448
78,0.601522,0.759494
79,0.631323,0.777203
80,0.628535,0.774513
81,0.597774,0.756388
82,0.629858,0.774152
83,0.604987,0.762203
84,0.63041,0.776606
85,0.604291,0.760355
86,0.637766,0.780269
87,0.602828,0.760815
88,0.623274,0.772631
89,0.636814,0.782729
90,0.602441,0.765435
91,0.644551,0.789178
92,0.61394,0.770698
93,0.651418,0.794247
94,0.611452,0.770144
95,0.643063,0.788064
96,0.657154,0.80186
97,0.641771,0.790396
98,0.67462,0.8145
99,0.649055,0.791821
100,0.660349,0.801635
101,0.668059,0.813172
102,0.688059,0.826179
103,0.658874,0.806446
104,0.679514,0.816863
105,0.66362,0.807954
106,0.702533,0.836644
107,0.667512,0.81331
108,0.689694,0.826407
109,0.684614,0.825042
110,0.712081,0.843917
111,0.682728,0.827931
112,0.701814,0.834405
113,0.709321,0.841101
114,0.710544,0.84291
115,0.681338,0.821984
116,0.682943,0.821834
117,0.658182,0.807928
118,0.709765,0.840168
119,0.695597,0.830422
120,0.759951,0.882377
121,0.654195,0.816204
122,0.679875,0.830911
123,0.667925,0.835176
124,0.740708,0.869998
125,0.662648,0.828592
126,0.713421,0.846552
127,0.69222,0.829788
128,0.714182,0.854491
129,0.706711,0.850218
130,0.694875,0.843575
131,0.71557,0.851317
132,0.719145,0.853777
133,0.685308,0.830248
134,0.714712,0.851602
135,0.68916,0.838451
136,0.740763,0.867568
137,0.727843,0.860315
138,0.733638,0.859541
139,0.715388,0.849294
140,0.755848,0.876255
141,0.739654,0.86637
142,0.742818,0.866997
143,0.738827,0.8611
144,0.754624,0.872779
145,0.731305,0.853478
146,0.731493,0.854762
147,0.719013,0.847894
148,0.7442,0.864965
149,0.702709,0.834543
150,0.721915,0.847535
151,0.741961,0.864203
152,0.688043,0.827589
153,0.71455,0.84513
154,0.745833,0.869353
155,0.694204,0.839803
156,0.732198,0.857759
157,0.713316,0.848551
158,0.754352,0.872975
159,0.730426,0.851025
160,0.73458,0.856413
161,0.73044,0.853965
162,0.763406,0.877025
163,0.746077,0.866783
164,0.752559,0.866279
165,0.732043,0.860401
166,0.764095,0.876625
167,0.74419,0.867618
168,0.756384,0.869933
169,0.73201,0.854752
170,0.767238,0.876932
171,0.730028,0.853452
172,0.741661,0.857082
173,0.720369,0.844617
174,0.754701,0.867957
175,0.713944,0.840119
176,0.73687,0.854126
177,0.731408,0.850145
178,0.752537,0.865353
179,0.739497,0.853811
180,0.803976,0.901141
181,0.717874,0.854366
182,0.748108,0.865609
183,0.715304,0.85155
184,0.750534,0.874613
185,0.722346,0.849494
186,0.72799,0.855155
187,0.709416,0.842815
188,0.747471,0.867011
189,0.731886,0.856238
190,0.713146,0.837293
191,0.624503,0.785424
192,0.671603,0.81563
193,0.669116,0.810639
194,0.663145,0.807101
195,0.660284,0.799313
196,0.659004,0.778679
197,0.70782,0.812922
198,0.702793,0.802747
199,0.684597,0.784318
200,0.674292,0.775387
201,0.665018,0.768194
202,0.665429,0.766698
203,0.653054,0.758551
204,0.647881,0.756308
205,0.653401,0.759926
206,0.691096,0.792039
207,0.670632,0.778802
208,0.664132,0.773171
209,0.693098,0.792692
210,0.676654,0.781143
211,0.701862,0.798616
212,0.656298,0.772138
213,0.69408,0.793135
214,0.708797,0.805425
215,0.714261,0.815286
216,0.71696,0.816205
217,0.653121,0.779145
218,0.67084,0.810135
219,0.604327,0.764636
220,0.654845,0.795203
221,0.612171,0.765456
222,0.653533,0.796472
223,0.652018,0.799301
224,0.65483,0.80196
225,0.652437,0.800361
226,0.649208,0.794663
227,0.654146,0.797757
228,0.648584,0.793767
229,0.652962,0.800462
230,0.660625,0.806579
231,0.596486,0.767572
232,0.650238,0.800769
233,0.576143,0.75477
234,0.634055,0.790634
235,0.592161,0.759195
236,0.646529,0.796679
237,0.598008,0.763434
238,0.639265,0.790007
239,0.599633,0.762366
240,0.707214,0.845401
241,0.599999,0.763502
242,0.639545,0.789774
243,0.618535,0.775548
244,0.612058,0.765127
245,0.619927,0.768795
246,0.557599,0.72034
247,0.622397,0.770151
248,0.567244,0.734639
249,0.586574,0.742365
250,0.610878,0.763444
251,0.566713,0.736089
252,0.605807,0.761346
253,0.627242,0.775135
254,0.615369,0.766506
255,0.608138,0.760873
256,0.600789,0.758488
257,0.58886,0.75211
258,0.58244,0.748822
259,0.585546,0.749463
260,0.6021,0.769012
261,0.602809,0.772235
262,0.616659,0.78102
263,0.631065,0.793121
264,0.639965,0.795972
265,0.634209,0.794791
266,0.623696,0.790378
267,0.624268,0.786454
268,0.626568,0.785566
269,0.632499,0.782502
270,0.633347,0.785884
271,0.649344,0.795674
272,0.647449,0.792328
