Frame, eSSIM, SSIM
0,0.766741,0.86802
1,0.756916,0.86075
2,0.750072,0.853687
3,0.763258,0.861616
4,0.758676,0.856378
5,0.770759,0.863483
6,0.77481,0.865933
7,0.774941,0.866475
8,0.776557,0.868568
9,0.769229,0.863269
10,0.781582,0.871008
11,0.782359,0.87137
12,0.748743,0.846614
13,0.75056,0.851074
14,0.737642,0.838558
15,0.751038,0.84904
16,0.740724,0.840526
17,0.76516,0.856941
18,0.754608,0.849348
19,0.775579,0.862964
20,0.766204,0.855314
21,0.779126,0.864006
22,0.78122,0.865244
23,0.787496,0.868678
24,0.779367,0.864192
25,0.790672,0.87317
26,0.791683,0.872746
27,0.780515,0.865268
28,0.79346,0.874407
29,0.794551,0.876487
30,0.797118,0.879284
31,0.790756,0.875115
32,0.800853,0.883368
33,0.795007,0.880502
34,0.806107,0.888029
35,0.79828,0.884787
36,0.806479,0.891781
37,0.809533,0.899796
38,0.809818,0.905391
39,0.810826,0.909444
40,0.811229,0.912435
41,0.812569,0.914306
42,0.81268,0.916375
43,0.810025,0.916551
44,0.80726,0.915371
45,0.800533,0.911957
46,0.78897,0.906403
47,0.780359,0.898301
48,0.775677,0.892155
49,0.775439,0.887741
50,0.776747,0.884891
51,0.762612,0.877911
52,0.775678,0.883852
53,0.762968,0.876496
54,0.773807,0.881769
55,0.755846,0.872817
56,0.763516,0.876155
57,0.75991,0.872467
58,0.760638,0.872826
59,0.752983,0.863951
60,0.807093,0.906511
61,0.783736,0.887487
62,0.780376,0.882765
63,0.766308,0.873465
64,0.778117,0.878896
65,0.775918,0.875824
66,0.775495,0.87258
67,0.769768,0.866466
68,0.777878,0.871626
69,0.771369,0.868055
70,0.777526,0.873729
71,0.772076,0.872247
72,0.769299,0.869033
73,0.779095,0.883433
74,0.780784,0.885662
75,0.780431,0.884972
76,0.763943,0.874716
77,0.777251,0.88145
78,0.761755,0.872554
79,0.773541,0.878715
80,0.757879,0.869531
81,0.773312,0.878785
82,0.760162,0.869797
83,0.76514,0.873355
84,0.776577,0.882701
85,0.763158,0.874167
86,0.768516,0.878739
87,0.781671,0.888659
88,0.768423,0.879822
89,0.767954,0.879175
90,0.784359,0.89218
91,0.770315,0.883372
92,0.772894,0.886475
93,0.788533,0.897136
94,0.777469,0.888718
95,0.779246,0.892557
96,0.791762,0.901152
97,0.781797,0.893785
98,0.789512,0.899214
99,0.801324,0.908364
100,0.789201,0.900399
101,0.795561,0.905816
102,0.794245,0.904452
103,0.803809,0.911487
104,0.792608,0.904395
105,0.796393,0.906943
106,0.792453,0.905591
107,0.808363,0.915651
108,0.807197,0.914711
109,0.806942,0.914676
110,0.800942,0.911637
111,0.807814,0.915709
112,0.803333,0.911981
113,0.80372,0.912272
114,0.803296,0.911973
115,0.804438,0.913758
116,0.797956,0.9075
117,0.802677,0.910881
118,0.799226,0.908841
119,0.806248,0.913706
120,0.813095,0.92333
121,0.793193,0.908521
122,0.793513,0.90894
123,0.789352,0.905508
124,0.803406,0.914628
125,0.789472,0.90511
126,0.790966,0.906205
127,0.790072,0.905391
128,0.803069,0.912758
129,0.801483,0.910923
130,0.799024,0.909213
131,0.799563,0.909969
132,0.804492,0.913624
133,0.788705,0.903812
134,0.79807,0.909363
135,0.797018,0.908645
136,0.805025,0.91388
137,0.801001,0.910817
138,0.801346,0.911722
139,0.791918,0.906777
140,0.806289,0.915154
141,0.796718,0.90954
142,0.798704,0.910431
143,0.806237,0.913709
144,0.808399,0.916349
145,0.805237,0.912199
146,0.805911,0.913051
147,0.80017,0.909486
148,0.807037,0.915071
149,0.801537,0.909652
150,0.799846,0.909519
151,0.806177,0.914181
152,0.796542,0.907945
153,0.797093,0.909266
154,0.810002,0.917183
155,0.804887,0.912362
156,0.812349,0.917436
157,0.810593,0.916415
158,0.816511,0.919837
159,0.806898,0.913278
160,0.809126,0.915276
161,0.808816,0.914549
162,0.817743,0.920148
163,0.810479,0.916098
164,0.808907,0.915362
165,0.808855,0.914932
166,0.816708,0.919254
167,0.811748,0.915868
168,0.812592,0.916403
169,0.807282,0.912114
170,0.814462,0.917621
171,0.804134,0.910449
172,0.805025,0.91125
173,0.798908,0.907184
174,0.811012,0.913811
175,0.798797,0.906098
176,0.799552,0.905984
177,0.807184,0.911862
178,0.801816,0.90636
179,0.801862,0.906784
180,0.820471,0.926502
181,0.80493,0.91224
182,0.803534,0.911225
183,0.812727,0.91744
184,0.800015,0.907734
185,0.803764,0.910191
186,0.809232,0.913648
187,0.797118,0.90594
188,0.799743,0.906581
189,0.803547,0.908236
190,0.809647,0.906647
191,0.807316,0.904651
192,0.797991,0.897577
193,0.806081,0.9018
194,0.803402,0.899188
195,0.799471,0.893983
196,0.790759,0.87625
197,0.819928,0.895996
198,0.813444,0.890279
199,0.784671,0.864321
200,0.792706,0.867174
201,0.78817,0.862119
202,0.785747,0.860655
203,0.768493,0.852055
204,0.778791,0.861875
205,0.780848,0.864928
206,0.778123,0.86498
207,0.787808,0.872543
208,0.775009,0.86315
209,0.781679,0.866627
210,0.790413,0.873559
211,0.776686,0.863151
212,0.777209,0.868521
213,0.782121,0.867162
214,0.790803,0.876258
215,0.785609,0.877768
216,0.795616,0.87859
217,0.758539,0.858423
218,0.77337,0.880963
219,0.75881,0.871061
220,0.770949,0.877178
221,0.758078,0.868578
222,0.772653,0.879071
223,0.774729,0.883186
224,0.778707,0.887212
225,0.769777,0.880006
226,0.781174,0.888582
227,0.782149,0.891542
228,0.787641,0.894731
229,0.791655,0.89933
230,0.783669,0.894465
231,0.795765,0.902967
232,0.779023,0.893458
233,0.797684,0.902902
234,0.795733,0.901627
235,0.780138,0.892952
236,0.793581,0.900821
237,0.77609,0.890406
238,0.788075,0.896716
239,0.777123,0.887701
240,0.811147,0.911219
241,0.779658,0.889984
242,0.789385,0.893482
243,0.784258,0.888913
244,0.781879,0.886214
245,0.782401,0.885817
246,0.769519,0.875964
247,0.786386,0.887185
248,0.770568,0.877906
249,0.774485,0.881339
250,0.785292,0.887303
251,0.780867,0.884125
252,0.786293,0.887392
253,0.783094,0.886773
254,0.781669,0.886604
255,0.782508,0.88769
256,0.782696,0.888826
257,0.782521,0.88919
258,0.781314,0.889645
259,0.779502,0.889972
260,0.769354,0.884523
261,0.782986,0.892971
262,0.782902,0.893567
263,0.789066,0.897549
264,0.777523,0.891408
265,0.786673,0.895036
266,0.783886,0.892163
267,0.783293,0.889477
268,0.783138,0.888215
269,0.784432,0.88595
270,0.786923,0.88602
271,0.789655,0.888851
272,0.789451,0.888442
273,0.792033,0.890614
274,0.794969,0.892554
275,0.793399,0.892335
276,0.796417,0.893342
277,0.79651,0.892774
278,0.796938,0.894629
279,0.79926,0.896456
280,0.798507,0.895681
281,0.800169,0.897199
282,0.80089,0.898612
283,0.802211,0.90002
284,0.802377,0.89971
285,0.802185,0.900288
286,0.800494,0.898769
287,0.798198,0.897598
288,0.795977,0.895263
289,0.791569,0.892197
290,0.777808,0.884282
291,0.78604,0.886553
292,0.769875,0.874833
293,0.776663,0.875028
294,0.772524,0.871917
295,0.754298,0.859632
296,0.758681,0.861924
297,0.744257,0.852854
298,0.76789,0.871411
299,0.762721,0.869876
300,0.784499,0.88646
301,0.758863,0.870615
302,0.76302,0.873155
303,0.748268,0.863354
304,0.752113,0.864145
305,0.742801,0.855425
306,0.751704,0.861075
307,0.738998,0.853443
308,0.751186,0.860747
309,0.738805,0.853812
310,0.753389,0.862313
311,0.740772,0.855272
312,0.752556,0.862485
313,0.745045,0.857425
314,0.758333,0.865596
315,0.745592,0.85937
316,0.761698,0.869492
317,0.752366,0.864399
318,0.764165,0.872589
319,0.774896,0.880142
320,0.784122,0.888411
321,0.79757,0.896123
322,0.790316,0.891461
323,0.805442,0.900907
324,0.805535,0.901658
325,0.824879,0.911071
326,0.841856,0.921898
327,0.841883,0.921926
328,0.841864,0.92191
329,0.841849,0.921901
330,0.83845,0.920948
331,0.838568,0.921086
332,0.836446,0.921013
333,0.841651,0.925871
334,0.862863,0.938383
335,0.861906,0.938647
336,0.854066,0.935192
337,0.857716,0.93798
338,0.851619,0.934845
339,0.854275,0.936228
340,0.85055,0.934356
341,0.845279,0.931295
342,0.828559,0.91855
343,0.823742,0.91169
344,0.81137,0.903101
345,0.818739,0.907648
346,0.809034,0.903133
347,0.812473,0.906552
348,0.81084,0.906474
349,0.800595,0.901431
350,0.79877,0.899579
351,0.793535,0.895109
352,0.795952,0.897235
353,0.801644,0.900861
354,0.828865,0.914835
355,0.832579,0.916221
356,0.829484,0.913932
357,0.813374,0.905024
358,0.802193,0.902132
359,0.791915,0.897566
360,0.830993,0.924304
361,0.807827,0.908819
362,0.794856,0.899857
363,0.797284,0.905061
364,0.803493,0.90777
365,0.789798,0.899885
366,0.796573,0.903822
367,0.782734,0.895717
368,0.792608,0.899305
369,0.788124,0.896448
370,0.782878,0.893651
371,0.774286,0.889233
372,0.771343,0.886765
373,0.769414,0.886696
374,0.76611,0.885379
375,0.776677,0.889946
376,0.781539,0.893467
377,0.786065,0.895863
378,0.791627,0.899014
379,0.798106,0.902331
380,0.794943,0.901151
381,0.792532,0.900134
382,0.790757,0.89936
383,0.787631,0.897383
384,0.780238,0.89469
385,0.768521,0.888434
386,0.773036,0.892138
387,0.764334,0.888499
388,0.768348,0.890784
389,0.759329,0.887362
390,0.766914,0.8916
391,0.756063,0.887554
392,0.761921,0.888677
393,0.745799,0.879933
394,0.751047,0.88058
395,0.745653,0.8751
396,0.741921,0.871112
397,0.743636,0.871445
398,0.745729,0.875021
399,0.741991,0.874577
400,0.758554,0.885029
401,0.752937,0.882355
402,0.767247,0.890722
403,0.768387,0.893049
404,0.770517,0.895506
405,0.774556,0.898009
406,0.769001,0.898208
407,0.772841,0.901395
408,0.789653,0.911289
409,0.7967,0.915954
410,0.819695,0.926284
411,0.812943,0.925359
412,0.825024,0.930429
413,0.825512,0.931665
414,0.832155,0.934293
415,0.838634,0.935946
416,0.844334,0.937832
417,0.84928,0.938366
418,0.850504,0.937883
419,0.848476,0.935427
420,0.861081,0.944883
421,0.839913,0.931888
422,0.811615,0.918129
423,0.798448,0.905141
424,0.788758,0.896004
425,0.783882,0.890148
426,0.779596,0.886678
427,0.779247,0.885129
428,0.777205,0.882324
429,0.772028,0.877303
430,0.770116,0.875148
431,0.768753,0.874309
432,0.751774,0.866904
433,0.763434,0.870594
434,0.765289,0.871428
435,0.766796,0.872027
436,0.765601,0.871696
437,0.765426,0.871234
438,0.750119,0.865
439,0.761362,0.870161
440,0.76516,0.872012
441,0.762275,0.870238
442,0.759606,0.868523
443,0.761551,0.869038
444,0.760002,0.869022
445,0.758147,0.868018
446,0.759353,0.868369
447,0.760028,0.868788
448,0.760546,0.86762
449,0.758736,0.866185
450,0.757991,0.865756
451,0.752827,0.862616
452,0.752504,0.861799
453,0.751975,0.860805
454,0.731421,0.849854
455,0.748646,0.856679
456,0.748035,0.855925
457,0.730681,0.846235
458,0.746665,0.855095
459,0.730729,0.8464
460,0.743665,0.853113
461,0.739185,0.848667
462,0.720292,0.836335
463,0.735129,0.843444
