Frame, eSSIM, SSIM
0,0.609174,0.755348
1,0.602198,0.749948
2,0.593854,0.742017
3,0.608321,0.753442
4,0.59967,0.747359
5,0.612337,0.757389
6,0.614212,0.759928
7,0.61568,0.761836
8,0.615235,0.761749
9,0.605879,0.75474
10,0.615542,0.762096
11,0.614301,0.762154
12,0.602667,0.751741
13,0.606203,0.756535
14,0.599085,0.750461
15,0.618015,0.763673
16,0.613135,0.761355
17,0.639933,0.779212
18,0.638722,0.778991
19,0.661041,0.792579
20,0.655877,0.789106
21,0.676185,0.800354
22,0.679708,0.802819
23,0.688546,0.80808
24,0.684282,0.805375
25,0.692689,0.813254
26,0.686418,0.808262
27,0.666319,0.79523
28,0.680099,0.803389
29,0.683419,0.805828
30,0.68808,0.80928
31,0.680266,0.805709
32,0.701419,0.818483
33,0.697408,0.816363
34,0.713303,0.826103
35,0.708052,0.824036
36,0.715877,0.831699
37,0.720306,0.841477
38,0.718977,0.846978
39,0.717214,0.850588
40,0.714623,0.852929
41,0.713173,0.853459
42,0.710839,0.855938
43,0.70623,0.855589
44,0.704618,0.855478
45,0.68979,0.848531
46,0.668137,0.83575
47,0.651045,0.824579
48,0.633434,0.808248
49,0.625368,0.794756
50,0.618642,0.784369
51,0.607785,0.776775
52,0.619833,0.785462
53,0.603595,0.774658
54,0.614317,0.781046
55,0.604968,0.774043
56,0.618222,0.782603
57,0.615426,0.778523
58,0.615729,0.780697
59,0.604855,0.768776
60,0.673453,0.815025
61,0.638863,0.791962
62,0.632593,0.786296
63,0.615734,0.772572
64,0.638265,0.789371
65,0.634892,0.784542
66,0.637688,0.783046
67,0.630938,0.775011
68,0.65081,0.789774
69,0.641529,0.783494
70,0.651193,0.793011
71,0.639695,0.786759
72,0.630712,0.780021
73,0.644326,0.797748
74,0.644285,0.799741
75,0.642616,0.796832
76,0.615818,0.781006
77,0.636474,0.793521
78,0.612738,0.777232
79,0.632076,0.790414
80,0.615803,0.778948
81,0.632087,0.789225
82,0.619887,0.780392
83,0.623563,0.784773
84,0.633942,0.791906
85,0.615858,0.778531
86,0.630391,0.790464
87,0.646394,0.801457
88,0.635114,0.79204
89,0.637334,0.79498
90,0.649626,0.804048
91,0.63144,0.793681
92,0.640933,0.798046
93,0.656977,0.810055
94,0.632297,0.795062
95,0.652412,0.806935
96,0.665833,0.816874
97,0.6539,0.807834
98,0.665755,0.815068
99,0.679889,0.827025
100,0.666602,0.815853
101,0.681557,0.827023
102,0.66131,0.815899
103,0.69481,0.836048
104,0.674791,0.822102
105,0.68888,0.830794
106,0.683652,0.825396
107,0.701656,0.842876
