Frame, eSSIM, SSIM
0,0.791261,0.891138
1,0.788531,0.886176
2,0.785786,0.881928
3,0.795025,0.887671
4,0.794024,0.88508
5,0.802383,0.890373
6,0.805904,0.892728
7,0.807141,0.893718
8,0.808376,0.895574
9,0.804139,0.891898
10,0.812121,0.89752
11,0.814889,0.898674
12,0.797037,0.882704
13,0.803119,0.886629
14,0.780231,0.868716
15,0.788305,0.875211
16,0.781325,0.868858
17,0.799348,0.882204
18,0.794688,0.879211
19,0.810205,0.890464
20,0.804786,0.886244
21,0.812464,0.891477
22,0.814666,0.892769
23,0.819657,0.895178
24,0.814827,0.892485
25,0.822639,0.899235
26,0.82215,0.898238
27,0.813067,0.891226
28,0.820982,0.897241
29,0.824504,0.901348
30,0.825156,0.902523
31,0.82022,0.89963
32,0.828653,0.906792
33,0.82284,0.903781
34,0.830877,0.910147
35,0.8244,0.907041
36,0.832581,0.914645
37,0.831824,0.918698
38,0.830047,0.922056
39,0.829221,0.924115
40,0.828863,0.92616
41,0.831718,0.929067
42,0.830873,0.92999
43,0.828229,0.930174
44,0.827674,0.929623
45,0.820623,0.926952
46,0.808994,0.921172
47,0.802389,0.914913
48,0.801185,0.911309
49,0.799998,0.907015
50,0.799609,0.903526
51,0.789645,0.898161
52,0.799441,0.90225
53,0.790981,0.898065
54,0.799096,0.901479
55,0.786729,0.894794
56,0.795593,0.899171
57,0.793745,0.897095
58,0.794705,0.898024
59,0.787164,0.889524
60,0.817747,0.917843
61,0.805918,0.90519
62,0.802983,0.901801
63,0.794311,0.895124
64,0.802088,0.899053
65,0.801641,0.897435
66,0.801088,0.894952
67,0.796923,0.889994
68,0.80402,0.894297
69,0.797005,0.891081
70,0.804301,0.896681
71,0.799827,0.895877
72,0.796978,0.893205
73,0.803122,0.90432
74,0.805514,0.906356
75,0.805129,0.905473
76,0.792047,0.898017
77,0.803569,0.903334
78,0.791437,0.895417
79,0.799689,0.900035
80,0.788499,0.893187
81,0.798957,0.89945
82,0.788398,0.892124
83,0.791464,0.894879
84,0.799629,0.901444
85,0.790648,0.895751
86,0.794485,0.899104
87,0.802206,0.90566
88,0.791718,0.899134
89,0.792609,0.899988
90,0.80324,0.908243
91,0.795621,0.902863
92,0.795957,0.904631
93,0.805549,0.911839
94,0.795945,0.904586
95,0.797245,0.907558
96,0.805366,0.91371
97,0.799447,0.908025
98,0.803499,0.912132
99,0.810694,0.918307
100,0.803674,0.912869
101,0.806643,0.916245
102,0.805905,0.91567
103,0.81166,0.920519
104,0.805004,0.914824
105,0.80673,0.916292
106,0.803836,0.915316
107,0.814183,0.922891
108,0.813541,0.922219
109,0.813487,0.922257
110,0.808474,0.919227
111,0.81295,0.922301
112,0.809951,0.919806
113,0.810246,0.919984
114,0.810021,0.919801
115,0.809712,0.920552
116,0.808637,0.917552
117,0.811039,0.91943
118,0.809234,0.917881
119,0.812063,0.92112
120,0.815065,0.926106
121,0.806024,0.918122
122,0.806232,0.918255
123,0.802696,0.915867
124,0.811453,0.921457
125,0.803968,0.916119
126,0.805883,0.917388
127,0.805643,0.917312
128,0.811973,0.921139
129,0.810955,0.920123
130,0.808901,0.918522
131,0.808854,0.919158
132,0.812151,0.921073
133,0.802408,0.914461
134,0.808822,0.918407
135,0.808665,0.918306
136,0.812761,0.921901
137,0.810172,0.919846
138,0.810748,0.920466
139,0.804385,0.916766
140,0.812748,0.922834
141,0.80719,0.91903
142,0.807816,0.918967
143,0.812376,0.921156
144,0.81361,0.923181
145,0.813355,0.921099
146,0.814092,0.921874
147,0.810845,0.919716
148,0.812826,0.922856
149,0.812404,0.920407
150,0.809646,0.919759
151,0.812392,0.922472
152,0.806289,0.917374
153,0.808759,0.920095
154,0.815631,0.924934
155,0.814912,0.92188
156,0.820681,0.925906
