Frame, eSSIM, SSIM
0,0.656656,0.791363
1,0.648845,0.785622
2,0.638105,0.775004
3,0.657826,0.788468
4,0.644931,0.779543
5,0.662189,0.791761
6,0.665138,0.794191
7,0.663659,0.794171
8,0.663752,0.794818
9,0.650439,0.785162
10,0.664663,0.795656
11,0.663949,0.795133
12,0.644071,0.780908
13,0.649155,0.785847
14,0.635756,0.776581
15,0.656816,0.789628
16,0.651504,0.787294
17,0.686275,0.806522
18,0.678719,0.800851
19,0.705742,0.818379
20,0.699932,0.813345
21,0.718991,0.824275
22,0.725294,0.827187
23,0.733257,0.831312
24,0.725691,0.827607
25,0.736665,0.836355
26,0.732006,0.833912
27,0.716062,0.823612
28,0.729815,0.832209
29,0.732737,0.834945
30,0.736677,0.837651
31,0.73158,0.83368
32,0.744658,0.844107
33,0.739916,0.840452
34,0.752749,0.84966
35,0.74684,0.845988
36,0.754983,0.854038
37,0.759281,0.863315
38,0.759495,0.869848
39,0.759382,0.874569
40,0.759489,0.877485
41,0.760758,0.88032
42,0.758435,0.881646
43,0.753325,0.881303
44,0.748832,0.879901
45,0.737293,0.874313
46,0.722211,0.865746
47,0.70587,0.854355
48,0.691734,0.842071
49,0.686345,0.832457
50,0.681477,0.824888
51,0.666145,0.814692
52,0.678675,0.823313
53,0.665457,0.81489
54,0.677496,0.82162
55,0.660851,0.812406
56,0.67147,0.817768
57,0.663424,0.811321
58,0.666601,0.813535
59,0.653997,0.800462
60,0.744241,0.859631
61,0.709539,0.836228
62,0.698842,0.827735
63,0.685929,0.816309
64,0.698463,0.826522
65,0.689704,0.818199
66,0.69036,0.814738
67,0.683142,0.806955
68,0.698643,0.817787
69,0.687689,0.811177
70,0.697446,0.819963
71,0.687782,0.815348
72,0.680632,0.810496
73,0.690377,0.824739
74,0.685825,0.82577
75,0.687192,0.824551
76,0.659838,0.807676
77,0.685629,0.822346
78,0.66051,0.808265
79,0.679492,0.817726
80,0.652906,0.802794
81,0.678092,0.816242
82,0.65585,0.803098
83,0.668011,0.810457
84,0.685096,0.822361
85,0.667094,0.809707
86,0.676608,0.817982
87,0.693055,0.830772
88,0.675285,0.818402
89,0.679184,0.821293
90,0.699877,0.835523
91,0.680173,0.823541
92,0.696977,0.834253
93,0.712813,0.845576
94,0.693022,0.833161
95,0.705626,0.841486
96,0.722465,0.853407
97,0.705934,0.840638
98,0.708474,0.845859
99,0.737665,0.863216
100,0.721442,0.851766
101,0.734514,0.861711
102,0.731045,0.858836
103,0.74938,0.870821
104,0.738082,0.862373
105,0.743675,0.86768
106,0.744624,0.867445
107,0.761589,0.879471
108,0.759268,0.877291
109,0.759867,0.87816
110,0.753187,0.873648
111,0.766131,0.882862
112,0.758889,0.876433
113,0.760073,0.877626
114,0.758592,0.875626
115,0.762695,0.879671
116,0.746416,0.86768
117,0.752659,0.872676
118,0.743012,0.867731
119,0.759585,0.877867
120,0.789595,0.900959
121,0.751117,0.873775
122,0.754724,0.879061
123,0.734143,0.864399
124,0.770645,0.888204
125,0.729057,0.865492
126,0.755513,0.877686
127,0.750501,0.873566
128,0.76198,0.880996
129,0.746439,0.873551
130,0.744138,0.868864
131,0.754535,0.877767
132,0.766324,0.883768
133,0.741606,0.870334
134,0.760539,0.880915
135,0.760033,0.879985
136,0.76946,0.886362
137,0.762814,0.881978
138,0.763546,0.882499
139,0.757811,0.879908
140,0.770692,0.887897
141,0.76248,0.88174
142,0.762747,0.881813
143,0.770702,0.88441
144,0.773063,0.88723
145,0.766754,0.881109
146,0.766925,0.882277
147,0.759486,0.877939
148,0.775662,0.88885
149,0.761049,0.877113
150,0.759807,0.876817
151,0.774169,0.887308
152,0.747918,0.870319
153,0.749709,0.872876
154,0.770916,0.885937
155,0.756485,0.87474
156,0.770399,0.883387
157,0.766858,0.880865
158,0.77771,0.888841
159,0.761397,0.877489
160,0.767829,0.883576
161,0.761482,0.878022
162,0.784235,0.893166
163,0.777351,0.888705
164,0.77525,0.888387
165,0.774319,0.88525
166,0.786793,0.895906
167,0.779115,0.890614
168,0.780709,0.891888
169,0.770602,0.884459
170,0.7868,0.895081
171,0.773813,0.885787
172,0.776837,0.888772
173,0.77002,0.884099
174,0.784303,0.892722
175,0.761482,0.876397
176,0.760765,0.875677
177,0.7732,0.885589
178,0.763092,0.87655
179,0.763621,0.876305
180,0.800621,0.906168
181,0.765123,0.880856
182,0.764062,0.879719
183,0.778314,0.892079
184,0.759774,0.877778
185,0.761838,0.878914
186,0.773356,0.8867
187,0.757233,0.873975
188,0.762403,0.87691
189,0.763441,0.878623
190,0.761632,0.870114
191,0.752811,0.863759
192,0.723057,0.846606
193,0.745354,0.857669
194,0.74355,0.855515
195,0.733999,0.846707
196,0.713432,0.821828
197,0.752053,0.847707
198,0.749132,0.841842
199,0.709811,0.810142
200,0.716466,0.813043
201,0.716455,0.808849
202,0.709902,0.8042
203,0.683301,0.789625
204,0.69806,0.804367
205,0.70281,0.80798
206,0.705435,0.811094
