Frame, eSSIM, SSIM
0,0.927495,0.975224
1,0.926904,0.974887
2,0.926486,0.974598
3,0.926507,0.974438
4,0.926318,0.972891
5,0.925386,0.972536
6,0.92352,0.972005
7,0.927547,0.97384
8,0.925737,0.973277
9,0.924028,0.972948
10,0.924148,0.97269
11,0.926448,0.973274
12,0.92224,0.972582
13,0.92438,0.973181
14,0.922911,0.972678
15,0.905031,0.972865
16,0.904135,0.972636
17,0.904655,0.972872
18,0.904848,0.972953
19,0.905935,0.973135
20,0.902045,0.972294
21,0.903596,0.972501
22,0.900558,0.971728
23,0.905397,0.972761
24,0.902067,0.972673
25,0.90551,0.973575
26,0.903575,0.972903
27,0.906345,0.973491
28,0.904198,0.972927
29,0.906363,0.973507
30,0.906361,0.973558
31,0.908978,0.97458
32,0.909092,0.974976
33,0.909461,0.975314
34,0.909641,0.975554
35,0.924224,0.976246
36,0.928365,0.977753
37,0.929443,0.97805
38,0.93178,0.978828
39,0.929144,0.978327
40,0.931196,0.978618
41,0.930942,0.978495
42,0.933071,0.979352
43,0.932232,0.978997
44,0.932158,0.979243
45,0.931288,0.979085
46,0.93359,0.97975
47,0.932568,0.979417
48,0.932707,0.979603
49,0.93161,0.979391
50,0.933969,0.980079
51,0.932002,0.979711
52,0.933342,0.979932
53,0.933019,0.979863
54,0.933859,0.980325
55,0.933612,0.980155
56,0.93433,0.980302
57,0.933934,0.980288
58,0.934381,0.98056
59,0.934618,0.9805
60,0.933902,0.979991
61,0.933629,0.979876
62,0.933217,0.979811
63,0.93204,0.979399
64,0.935111,0.980016
65,0.93359,0.97962
66,0.935795,0.98002
67,0.934486,0.979383
68,0.9324,0.979317
69,0.934401,0.97942
70,0.934802,0.979504
71,0.934043,0.979033
72,0.932647,0.978844
73,0.932124,0.978437
74,0.933656,0.978711
75,0.931591,0.97859
76,0.932425,0.978545
77,0.93126,0.978246
78,0.930363,0.978469
79,0.92758,0.978354
80,0.933637,0.980165
81,0.931356,0.97934
82,0.933329,0.979681
83,0.93056,0.979175
84,0.93356,0.979956
85,0.931205,0.979426
86,0.932788,0.979805
87,0.931076,0.97956
88,0.933505,0.980233
89,0.932585,0.979804
90,0.933307,0.980014
91,0.931157,0.979936
92,0.935033,0.980493
93,0.934074,0.980265
94,0.932902,0.98033
95,0.932543,0.980271
96,0.934121,0.980844
97,0.934835,0.981164
98,0.934577,0.9813
99,0.931577,0.982076
100,0.931702,0.98235
101,0.932621,0.982565
102,0.933559,0.982732
103,0.933365,0.982749
104,0.933653,0.982939
105,0.933876,0.98296
106,0.934108,0.983014
107,0.933864,0.983011
108,0.934265,0.98316
109,0.934376,0.983085
110,0.934302,0.983088
111,0.934345,0.983081
112,0.934467,0.983157
113,0.934439,0.983232
114,0.934512,0.983234
115,0.925132,0.9789
116,0.936858,0.982217
117,0.936947,0.982256
118,0.933374,0.98149
119,0.933634,0.98148
120,0.932917,0.979353
121,0.928939,0.978467
122,0.933348,0.978946
123,0.932311,0.978686
124,0.932718,0.97902
125,0.936468,0.980393
126,0.936597,0.980479
127,0.935509,0.979777
128,0.936754,0.980109
129,0.93454,0.979713
130,0.934997,0.980224
131,0.934816,0.97985
132,0.935398,0.980021
133,0.934205,0.97982
134,0.936829,0.980305
135,0.935193,0.979842
136,0.93495,0.980046
137,0.935298,0.979764
138,0.937259,0.980575
139,0.934926,0.980046
140,0.931527,0.979619
141,0.927596,0.979489
142,0.928506,0.979929
143,0.92839,0.979826
144,0.928354,0.979945
145,0.927635,0.979952
146,0.928687,0.980163
147,0.928243,0.98034
148,0.928063,0.980259
149,0.928531,0.980367
150,0.928784,0.980403
151,0.929107,0.980602
152,0.92918,0.98054
153,0.928392,0.980545
154,0.928269,0.980468
155,0.928967,0.980587
156,0.927018,0.980451
157,0.928394,0.980557
158,0.923253,0.979788
159,0.923845,0.979705
160,0.927848,0.980243
161,0.926399,0.979946
162,0.927395,0.980027
163,0.927526,0.979885
164,0.92903,0.980414
165,0.926675,0.979739
166,0.926124,0.979814
167,0.927335,0.979657
168,0.929572,0.980081
169,0.92697,0.979999
170,0.928141,0.980005
171,0.92831,0.980145
172,0.936468,0.981061
173,0.936417,0.981025
174,0.938894,0.981648
175,0.937045,0.980946
176,0.937147,0.981117
177,0.936309,0.980888
178,0.938318,0.981526
179,0.937287,0.98106
180,0.939163,0.982046
181,0.936373,0.981361
182,0.937404,0.981398
183,0.936558,0.981188
184,0.93869,0.981644
185,0.937592,0.981227
186,0.937874,0.981222
187,0.937018,0.981056
188,0.938355,0.981509
189,0.937874,0.981333
190,0.938042,0.981273
191,0.94048,0.98171
192,0.934928,0.980627
193,0.932827,0.980366
194,0.930567,0.980344
195,0.929229,0.980205
196,0.929813,0.980404
197,0.93001,0.980598
198,0.930433,0.98084
199,0.930862,0.981028
200,0.930161,0.980847
201,0.931177,0.980933
202,0.931552,0.980998
203,0.930801,0.980733
204,0.931515,0.980824
205,0.929892,0.980653
206,0.931556,0.980964
207,0.931992,0.981121
208,0.930786,0.980837
209,0.930333,0.980833
210,0.930417,0.980739
211,0.931068,0.980892
212,0.93058,0.980724
213,0.930954,0.980774
214,0.931388,0.980702
215,0.930064,0.980387
216,0.930902,0.980399
217,0.926889,0.979795
218,0.92741,0.979638
219,0.927621,0.979917
220,0.926047,0.979431
221,0.92688,0.979627
222,0.926321,0.979483
223,0.928385,0.980095
224,0.925699,0.979513
225,0.927717,0.97987
226,0.92648,0.979715
227,0.928545,0.980225
228,0.926593,0.979912
229,0.925351,0.97994
230,0.927569,0.980031
231,0.930145,0.980519
232,0.92872,0.980124
233,0.929447,0.980248
234,0.928726,0.980057
235,0.929923,0.980333
236,0.928255,0.979902
237,0.928628,0.979974
238,0.927129,0.979815
239,0.927148,0.979949
240,0.927929,0.981061
241,0.929417,0.980929
242,0.929184,0.980825
243,0.929108,0.980724
244,0.929034,0.98065
245,0.928816,0.980601
246,0.928083,0.980257
247,0.929963,0.980896
248,0.929246,0.980907
249,0.929054,0.981066
250,0.929986,0.980926
251,0.930059,0.980994
252,0.930343,0.980957
253,0.930709,0.981116
254,0.930307,0.981015
255,0.930268,0.981007
256,0.930302,0.981078
257,0.929781,0.981184
258,0.929813,0.981176
259,0.9301,0.981335
260,0.929825,0.981324
261,0.931235,0.98153
262,0.931464,0.981592
263,0.931658,0.981709
264,0.931468,0.981704
265,0.929881,0.981858
266,0.931621,0.981919
267,0.931352,0.981996
268,0.931602,0.981998
269,0.931808,0.982153
270,0.93151,0.982105
271,0.931796,0.982196
272,0.931896,0.982191
273,0.930278,0.982278
274,0.932101,0.982406
275,0.932248,0.982498
276,0.931271,0.982475
277,0.932366,0.982687
278,0.931902,0.982699
279,0.932105,0.982742
280,0.932045,0.982746
281,0.932167,0.982824
282,0.932369,0.982983
283,0.932455,0.983039
284,0.932077,0.983079
285,0.932148,0.983134
286,0.932155,0.983137
287,0.932576,0.983178
288,0.932621,0.983194
289,0.932351,0.983196
290,0.932739,0.983207
291,0.932686,0.983063
292,0.9326,0.982956
293,0.932242,0.982875
294,0.932391,0.98282
295,0.931314,0.982757
296,0.932146,0.982748
297,0.932001,0.982726
298,0.931928,0.982637
299,0.931785,0.982493
300,0.931431,0.982313
301,0.931089,0.982166
302,0.930923,0.982129
303,0.93117,0.982094
304,0.931053,0.982097
305,0.931232,0.982143
306,0.93085,0.982126
307,0.930964,0.981998
308,0.931095,0.982002
309,0.931135,0.981985
310,0.931248,0.98206
311,0.93113,0.981962
312,0.931139,0.981963
313,0.931131,0.981951
314,0.931179,0.982006
315,0.931208,0.981975
316,0.93118,0.981997
