Frame, eSSIM, SSIM
0,0.751048,0.874211
1,0.748279,0.873511
2,0.744021,0.872456
3,0.742772,0.871817
4,0.720095,0.860425
5,0.71717,0.859576
6,0.71475,0.858834
7,0.730678,0.865592
8,0.722818,0.863336
9,0.724445,0.863314
10,0.722273,0.862758
11,0.727662,0.864023
12,0.717085,0.861387
13,0.71335,0.86013
14,0.704913,0.85708
15,0.715808,0.862106
16,0.709121,0.86045
17,0.710822,0.860996
18,0.709984,0.860462
19,0.715489,0.86127
20,0.685692,0.85354
21,0.694852,0.854475
22,0.680077,0.850206
23,0.697761,0.853549
24,0.685153,0.853249
25,0.703689,0.85738
26,0.692231,0.853562
27,0.701356,0.855036
28,0.690895,0.851986
29,0.690162,0.851593
30,0.692365,0.851741
31,0.706563,0.854626
32,0.714109,0.857512
33,0.727113,0.86257
34,0.733913,0.865751
35,0.721733,0.869412
36,0.751072,0.880813
37,0.742971,0.881155
38,0.761679,0.886177
39,0.75165,0.885037
40,0.765938,0.889083
41,0.755672,0.887326
42,0.776526,0.893237
43,0.754822,0.889027
44,0.776106,0.893926
45,0.765572,0.891832
46,0.789694,0.898386
47,0.785516,0.897766
48,0.79302,0.900963
49,0.791386,0.900828
50,0.807535,0.905814
51,0.799992,0.903297
52,0.80136,0.904355
53,0.80385,0.904756
54,0.80831,0.906285
55,0.808652,0.906352
56,0.809885,0.906919
57,0.812534,0.90808
58,0.814994,0.909245
59,0.813744,0.908628
60,0.784114,0.894801
61,0.783963,0.894702
62,0.783109,0.89436
63,0.780873,0.89362
64,0.782517,0.894858
65,0.789261,0.896808
66,0.792749,0.898185
67,0.78906,0.896428
68,0.788436,0.897281
69,0.776054,0.894984
70,0.792321,0.89844
71,0.788572,0.89664
72,0.790014,0.897533
73,0.785401,0.89586
74,0.792343,0.898332
75,0.785929,0.896368
76,0.7817,0.895935
77,0.770995,0.894246
78,0.771624,0.89545
79,0.761886,0.892979
80,0.791172,0.900343
81,0.787811,0.898663
82,0.786246,0.898139
83,0.792618,0.900113
84,0.797956,0.902521
85,0.797373,0.902226
86,0.799201,0.90273
87,0.801043,0.903769
88,0.804318,0.905311
89,0.8056,0.905709
90,0.807436,0.906469
91,0.808479,0.907547
92,0.811806,0.90876
93,0.812577,0.909213
94,0.813253,0.909636
95,0.81375,0.91003
96,0.815276,0.910745
97,0.819442,0.912922
98,0.820126,0.914081
99,0.83075,0.921039
100,0.83199,0.921887
101,0.83656,0.923409
102,0.8402,0.924768
103,0.841271,0.925429
104,0.843427,0.926096
105,0.845276,0.927112
106,0.848343,0.928304
107,0.848077,0.928657
108,0.850196,0.929359
109,0.851014,0.929923
110,0.852329,0.930526
111,0.853465,0.931002
112,0.854713,0.931406
113,0.853366,0.931034
114,0.852749,0.930848
115,0.708717,0.897579
116,0.841815,0.925879
117,0.841751,0.925647
118,0.833756,0.923374
119,0.822345,0.920859
120,0.742489,0.873969
121,0.74183,0.873492
122,0.742842,0.87346
123,0.744048,0.874089
124,0.745362,0.874975
125,0.771347,0.88669
126,0.772412,0.887169
127,0.769029,0.885396
128,0.768615,0.885123
129,0.772552,0.887102
130,0.777798,0.88942
131,0.775925,0.88832
132,0.774882,0.887731
133,0.77688,0.888561
134,0.779522,0.889949
135,0.780234,0.890086
136,0.78055,0.890424
137,0.779212,0.889661
138,0.76285,0.887945
139,0.752171,0.886658
140,0.763695,0.889606
141,0.767667,0.891142
142,0.776791,0.893175
143,0.776967,0.892586
144,0.782934,0.894184
145,0.783063,0.894338
146,0.785307,0.895248
147,0.791975,0.898902
148,0.78774,0.89904
149,0.79571,0.901183
150,0.796465,0.901698
151,0.799501,0.903009
152,0.800824,0.903674
153,0.801349,0.904338
154,0.801633,0.904785
155,0.802026,0.905062
156,0.806859,0.908033
157,0.804131,0.908074
158,0.800101,0.906881
159,0.795484,0.905994
160,0.809933,0.90894
161,0.799262,0.907497
162,0.811277,0.910567
163,0.808104,0.910544
164,0.825029,0.914568
165,0.808652,0.911243
166,0.816408,0.912337
167,0.809639,0.91125
168,0.821293,0.913464
169,0.81452,0.912449
170,0.816712,0.912781
171,0.820107,0.913638
172,0.808159,0.909396
173,0.807118,0.909025
174,0.810775,0.910534
175,0.806511,0.908752
176,0.801783,0.907525
177,0.806508,0.908645
178,0.81139,0.910354
179,0.810797,0.909713
180,0.82814,0.915844
181,0.824611,0.914518
182,0.822838,0.913784
183,0.823389,0.914176
184,0.82561,0.914952
185,0.823415,0.913943
186,0.821136,0.91296
187,0.819541,0.912428
188,0.819405,0.912613
189,0.818756,0.912644
190,0.817212,0.912148
191,0.805279,0.909703
192,0.753401,0.899724
193,0.749969,0.898359
194,0.766551,0.901089
195,0.76224,0.900674
196,0.772646,0.902952
197,0.776006,0.904294
198,0.77864,0.905566
199,0.785542,0.906812
200,0.787201,0.90676
201,0.786338,0.905921
202,0.787405,0.906006
203,0.786552,0.906038
204,0.795395,0.907561
205,0.791489,0.90731
206,0.798737,0.908606
207,0.809888,0.911799
208,0.802249,0.910723
209,0.80777,0.911646
210,0.80522,0.911131
211,0.809212,0.911806
212,0.80707,0.911692
213,0.8101,0.912442
214,0.81259,0.913027
215,0.811473,0.912602
