Frame, eSSIM, SSIM
0,0.784754,0.892897
1,0.781937,0.892249
2,0.779123,0.891508
3,0.77636,0.890676
4,0.754824,0.880813
5,0.7483,0.879368
6,0.749328,0.878772
7,0.764055,0.884871
8,0.757667,0.882838
9,0.756658,0.882265
10,0.753289,0.88182
11,0.764116,0.884204
12,0.75108,0.881356
13,0.74789,0.879698
14,0.737592,0.876769
15,0.747673,0.881373
16,0.739658,0.879593
17,0.74236,0.880165
18,0.741922,0.879843
19,0.746296,0.880444
20,0.716093,0.873463
21,0.724072,0.874019
22,0.706747,0.869592
23,0.731099,0.874376
24,0.718926,0.873854
25,0.743368,0.879099
26,0.722236,0.873797
27,0.731943,0.875057
28,0.724541,0.872495
29,0.725961,0.872592
30,0.724648,0.872256
31,0.741058,0.875273
32,0.743629,0.877022
33,0.758708,0.88261
34,0.76769,0.886327
35,0.758282,0.889557
36,0.779499,0.89804
37,0.778887,0.899292
38,0.792417,0.903386
39,0.785093,0.902576
40,0.797217,0.905489
41,0.793614,0.905023
42,0.805647,0.908481
43,0.794282,0.906713
44,0.808663,0.910266
45,0.798551,0.908343
46,0.818525,0.913152
47,0.811972,0.912477
48,0.819959,0.915458
49,0.819306,0.915544
50,0.832243,0.919403
51,0.825595,0.917329
52,0.828272,0.918568
53,0.830492,0.918909
54,0.835482,0.920599
55,0.835261,0.920541
56,0.83575,0.921019
57,0.838793,0.922159
58,0.841794,0.923349
59,0.840512,0.922756
60,0.819461,0.912533
61,0.81878,0.912292
62,0.818039,0.911908
63,0.809358,0.909708
64,0.81701,0.912559
65,0.820367,0.91342
66,0.824915,0.914863
67,0.819918,0.913082
68,0.819849,0.914171
69,0.8132,0.912655
70,0.824474,0.915267
71,0.821858,0.914134
72,0.82346,0.914744
73,0.817819,0.913243
74,0.823867,0.91513
75,0.817266,0.913137
76,0.815262,0.912865
77,0.808138,0.9114
78,0.803401,0.911667
79,0.79557,0.909984
80,0.820804,0.915947
81,0.815911,0.914116
82,0.815957,0.914057
83,0.820071,0.915348
84,0.825069,0.91719
85,0.824404,0.916798
86,0.826135,0.917206
87,0.828802,0.918339
88,0.832324,0.919831
89,0.832153,0.919643
90,0.832518,0.919903
91,0.833937,0.920789
92,0.8366,0.921815
93,0.837447,0.92224
94,0.837558,0.922727
95,0.838462,0.923188
96,0.840164,0.923947
97,0.843597,0.925859
98,0.8449,0.927219
99,0.8533,0.932654
100,0.853835,0.933406
101,0.857656,0.934751
102,0.860239,0.935794
103,0.861245,0.936355
104,0.863925,0.936958
105,0.866366,0.938096
106,0.868661,0.939151
107,0.868287,0.939523
108,0.871379,0.940278
109,0.871059,0.940634
110,0.872169,0.941078
111,0.873429,0.941463
112,0.874676,0.941791
113,0.873025,0.941442
114,0.873369,0.941555
115,0.724314,0.909611
116,0.865156,0.937516
117,0.8656,0.937353
118,0.856568,0.935528
119,0.854583,0.935173
120,0.780126,0.894045
121,0.777936,0.89329
122,0.778558,0.893059
123,0.779677,0.893674
124,0.78136,0.894755
125,0.806989,0.905336
126,0.808382,0.90595
127,0.80343,0.903867
128,0.802249,0.903502
129,0.805767,0.904914
130,0.810984,0.907161
131,0.808615,0.906175
132,0.807765,0.905822
133,0.810109,0.906618
134,0.813828,0.9082
135,0.813714,0.908148
136,0.813482,0.908339
137,0.812,0.907461
138,0.797047,0.906252
139,0.78719,0.904777
140,0.792348,0.906247
141,0.797894,0.90807
142,0.807408,0.910006
143,0.807763,0.909455
144,0.812711,0.910683
145,0.812034,0.910632
146,0.814339,0.911356
147,0.820325,0.9144
148,0.81923,0.914768
149,0.82341,0.916251
150,0.822333,0.916592
151,0.827065,0.917843
152,0.828782,0.918722
153,0.829738,0.919587
154,0.830793,0.920228
155,0.831959,0.920654
156,0.834386,0.922496
157,0.829854,0.922115
158,0.828661,0.921578
159,0.825044,0.921088
160,0.837363,0.92354
161,0.824812,0.922008
162,0.835966,0.924659
163,0.833622,0.924689
164,0.849806,0.928232
165,0.837107,0.925574
166,0.842431,0.92647
167,0.837173,0.925556
168,0.8474,0.927353
169,0.841564,0.92666
170,0.843758,0.927048
171,0.845795,0.927784
172,0.836551,0.924504
173,0.834852,0.923916
174,0.839812,0.925524
175,0.83532,0.923793
176,0.830277,0.922877
177,0.833101,0.923514
178,0.838612,0.925026
179,0.837128,0.924092
180,0.85143,0.928458
181,0.847087,0.927107
182,0.845043,0.92643
183,0.846625,0.92693
184,0.849511,0.927734
185,0.846579,0.92665
186,0.843651,0.925616
187,0.842757,0.925179
188,0.842856,0.925387
189,0.840642,0.925124
190,0.838421,0.924334
191,0.79985,0.916473
192,0.773767,0.911722
193,0.781981,0.91296
194,0.797556,0.915202
195,0.7933,0.914758
196,0.800221,0.916534
197,0.797146,0.917055
198,0.801295,0.918349
199,0.809662,0.919675
200,0.810127,0.919548
201,0.816886,0.920271
202,0.818242,0.921349
203,0.817896,0.921036
204,0.824419,0.922041
205,0.819846,0.921632
206,0.826582,0.92267
207,0.83674,0.925573
208,0.832024,0.924894
209,0.834416,0.925461
210,0.832934,0.925228
211,0.837062,0.925814
212,0.834978,0.925795
213,0.837077,0.926487
214,0.839026,0.92695
215,0.839134,0.926697
216,0.840945,0.927114
217,0.829798,0.925114
218,0.828186,0.924708
219,0.83833,0.926572
220,0.826919,0.925022
221,0.83441,0.926459
222,0.830934,0.926013
223,0.849348,0.929309
224,0.839141,0.927801
225,0.847276,0.92979
226,0.848686,0.930408
227,0.858018,0.932253
228,0.852472,0.931957
229,0.854753,0.932772
230,0.855772,0.933478
231,0.86477,0.935281
232,0.849004,0.932624
233,0.848328,0.932479
234,0.851666,0.932613
235,0.854783,0.933053
236,0.853721,0.9328
237,0.854034,0.932941
238,0.856406,0.933456
239,0.859315,0.933911
240,0.842957,0.924492
241,0.841462,0.924067
242,0.839819,0.923562
243,0.838865,0.923105
244,0.839484,0.923099
245,0.839909,0.923437
246,0.838732,0.923192
247,0.83607,0.922893
248,0.836123,0.923035
249,0.837091,0.923094
250,0.836253,0.922868
251,0.834792,0.922633
252,0.832509,0.92208
253,0.834355,0.922219
254,0.833179,0.922245
255,0.834402,0.922731
256,0.830794,0.922595
257,0.831116,0.922784
258,0.829382,0.923191
259,0.832288,0.924053
260,0.834673,0.924597
261,0.840399,0.925641
262,0.841537,0.926444
263,0.843427,0.927307
264,0.846397,0.928109
265,0.848374,0.928495
266,0.851771,0.929723
267,0.853089,0.930568
268,0.853044,0.931034
269,0.857473,0.931984
270,0.858216,0.932659
271,0.861343,0.933796
272,0.861985,0.934345
273,0.862965,0.934961
274,0.866588,0.936342
275,0.869221,0.93757
276,0.869598,0.938274
277,0.872625,0.939067
278,0.873986,0.940038
279,0.875243,0.94086
280,0.876632,0.941376
281,0.877385,0.941638
282,0.880659,0.943298
283,0.883704,0.944493
284,0.885471,0.945563
285,0.887008,0.946413
286,0.889172,0.947497
287,0.890954,0.948284
288,0.891631,0.948705
289,0.891928,0.948838
290,0.892659,0.949126
291,0.890019,0.948441
292,0.887021,0.947775
293,0.885536,0.94742
294,0.883941,0.947027
295,0.882077,0.946737
296,0.881103,0.946572
297,0.885247,0.947279
298,0.883423,0.946954
299,0.880369,0.94639
300,0.852984,0.929268
301,0.852659,0.92927
302,0.851846,0.929175
303,0.851751,0.929064
304,0.851613,0.928836
305,0.852585,0.929166
306,0.852481,0.929098
307,0.851813,0.928918
308,0.851579,0.928854
309,0.851269,0.928758
310,0.851401,0.928679
311,0.851426,0.928736
312,0.851915,0.928856
313,0.852031,0.928843
314,0.851749,0.928791
315,0.852014,0.929104
316,0.852251,0.929368
317,0.852341,0.929488
318,0.852749,0.929536
319,0.852176,0.929665
320,0.851532,0.929693
321,0.851826,0.92969
322,0.851463,0.929644
323,0.852335,0.930128
324,0.852374,0.930451
325,0.853213,0.93066
326,0.854059,0.930865
327,0.855599,0.932197
328,0.860281,0.934559
329,0.863093,0.935861
330,0.864731,0.936366
331,0.866055,0.936777
332,0.868444,0.937987
333,0.870241,0.939015
334,0.871398,0.939655
335,0.872088,0.940126
336,0.87536,0.941729
337,0.877176,0.943008
338,0.878885,0.943816
339,0.879984,0.944403
340,0.883795,0.946133
341,0.88669,0.947575
342,0.888698,0.948496
343,0.890177,0.949234
344,0.890061,0.949231
345,0.890128,0.949322
346,0.890245,0.94929
347,0.890301,0.949259
348,0.890153,0.94915
349,0.889565,0.948921
350,0.888354,0.948525
351,0.887777,0.948388
352,0.887071,0.948183
353,0.887616,0.948059
354,0.883039,0.947234
355,0.880058,0.946744
356,0.877794,0.94628
357,0.880781,0.946458
358,0.881893,0.947358
359,0.882405,0.947245
360,0.849831,0.928197
361,0.841628,0.927208
362,0.841949,0.927125
363,0.846271,0.927451
364,0.848878,0.927896
365,0.84517,0.927483
366,0.845325,0.927772
367,0.847524,0.928044
368,0.851233,0.928543
369,0.850102,0.928365
370,0.849897,0.928453
371,0.850551,0.928496
372,0.851577,0.928617
373,0.8513,0.928791
374,0.851455,0.92902
375,0.851627,0.929152
376,0.852211,0.929304
377,0.848645,0.928911
378,0.849982,0.929465
379,0.85009,0.929458
380,0.854104,0.930436
381,0.851714,0.930396
382,0.854475,0.931233
383,0.853853,0.931506
384,0.856388,0.932244
385,0.856945,0.932763
386,0.858574,0.933746
387,0.859592,0.934237
388,0.86324,0.935136
389,0.864204,0.935674
390,0.865264,0.936321
391,0.864474,0.936383
392,0.867218,0.937195
393,0.866098,0.937185
394,0.866168,0.937554
395,0.866906,0.937613
396,0.869162,0.938033
397,0.870886,0.939417
398,0.872907,0.940471
399,0.866042,0.939594
400,0.870333,0.940323
401,0.868595,0.940579
402,0.873275,0.942149
403,0.861719,0.941569
404,0.872166,0.942921
405,0.871844,0.943196
406,0.87791,0.944453
407,0.866235,0.943339
408,0.871637,0.943901
409,0.865791,0.943195
410,0.88105,0.944667
411,0.852498,0.941426
412,0.857233,0.941744
413,0.86819,0.942792
414,0.877823,0.943974
415,0.881601,0.945045
416,0.880443,0.94526
417,0.884443,0.945931
418,0.88407,0.946167
419,0.887158,0.94674
420,0.85931,0.93262
421,0.857004,0.932443
422,0.858399,0.932784
423,0.858936,0.932864
424,0.860215,0.933154
425,0.86014,0.933176
426,0.860151,0.933242
427,0.858387,0.93305
428,0.859906,0.933282
429,0.86025,0.933491
430,0.861094,0.933843
431,0.860905,0.933839
432,0.861228,0.93385
433,0.863256,0.934818
434,0.862971,0.935176
435,0.863809,0.935541
436,0.86461,0.935815
437,0.865688,0.936003
438,0.865911,0.936412
439,0.867022,0.936826
440,0.86711,0.937042
441,0.868494,0.937191
442,0.872279,0.939191
