Frame, eSSIM, SSIM
0,0.868422,0.936396
1,0.86351,0.935569
2,0.865773,0.935803
3,0.867297,0.935993
4,0.856895,0.932278
5,0.855103,0.931542
6,0.850374,0.930278
7,0.85622,0.9324
8,0.851574,0.93129
9,0.849635,0.93091
10,0.852453,0.931451
11,0.860957,0.93361
12,0.850368,0.931383
13,0.848833,0.931013
14,0.842451,0.9291
15,0.839958,0.930286
16,0.828979,0.928093
17,0.829241,0.928153
18,0.828617,0.927869
19,0.833852,0.928377
20,0.832851,0.927706
21,0.80191,0.921598
22,0.811997,0.923167
23,0.799582,0.920643
24,0.830956,0.927304
25,0.825254,0.926072
26,0.819262,0.925638
27,0.817752,0.924114
28,0.832472,0.926443
29,0.827946,0.925339
30,0.834518,0.926554
31,0.827126,0.926001
32,0.843463,0.928781
33,0.852723,0.931854
34,0.865751,0.936492
35,0.871671,0.942556
36,0.870034,0.943431
37,0.881921,0.946484
38,0.879114,0.946295
39,0.88987,0.948764
40,0.879643,0.947506
41,0.892099,0.94994
42,0.879129,0.948629
43,0.89871,0.951978
44,0.890039,0.951055
45,0.898995,0.952932
46,0.895996,0.952199
47,0.908332,0.955164
48,0.904652,0.955138
49,0.910899,0.956879
50,0.910395,0.957017
51,0.917456,0.959057
52,0.906818,0.956794
53,0.910622,0.957258
54,0.909961,0.95703
55,0.914446,0.957965
56,0.91334,0.95787
57,0.914071,0.958433
58,0.915559,0.959096
59,0.918985,0.959943
60,0.904997,0.953902
61,0.90139,0.953175
62,0.897837,0.952205
63,0.894133,0.951275
64,0.898715,0.952488
65,0.890029,0.950854
66,0.891208,0.951966
67,0.882757,0.949943
68,0.904201,0.95376
69,0.901646,0.953242
70,0.900409,0.95336
71,0.899483,0.952985
72,0.90189,0.953265
73,0.883754,0.949579
74,0.890579,0.950685
75,0.877954,0.948689
76,0.863989,0.946159
77,0.864227,0.946652
78,0.864938,0.948259
79,0.849963,0.942411
80,0.875411,0.946589
81,0.882354,0.948376
82,0.881089,0.947398
83,0.881536,0.947897
84,0.884862,0.948292
85,0.891366,0.950348
86,0.89148,0.950229
87,0.892472,0.951149
88,0.897296,0.951986
89,0.902215,0.953504
90,0.903309,0.953906
91,0.904247,0.954586
92,0.907306,0.95545
93,0.909313,0.956205
94,0.908876,0.956351
95,0.909541,0.95686
96,0.910709,0.95748
97,0.912506,0.958035
98,0.912253,0.958456
99,0.921507,0.963149
100,0.922716,0.963796
101,0.925771,0.964636
102,0.926668,0.965066
103,0.929501,0.965859
104,0.930524,0.966127
105,0.932015,0.966521
106,0.933286,0.967087
107,0.934424,0.967579
108,0.934401,0.967743
