Frame, eSSIM, SSIM
0,0.932209,0.965781
1,0.926658,0.964893
2,0.928443,0.964952
3,0.930141,0.965204
4,0.896911,0.958381
5,0.895131,0.957814
6,0.891546,0.957308
7,0.900688,0.959373
8,0.896986,0.95854
9,0.892229,0.958205
10,0.897639,0.958651
11,0.912913,0.961208
12,0.905636,0.959911
13,0.908007,0.960383
14,0.902443,0.959343
15,0.907009,0.961168
16,0.903422,0.960478
17,0.903609,0.960466
18,0.904718,0.960375
19,0.906228,0.960506
20,0.909028,0.960568
21,0.89624,0.958182
22,0.900518,0.958817
23,0.895299,0.957744
24,0.908148,0.960426
25,0.90286,0.959929
26,0.901253,0.959717
27,0.895043,0.958499
28,0.909427,0.960706
29,0.902533,0.959675
30,0.906564,0.960713
31,0.906675,0.961145
32,0.917809,0.962828
33,0.92892,0.966026
34,0.932228,0.96724
35,0.93346,0.969523
36,0.926777,0.969379
37,0.938153,0.971326
38,0.93696,0.971115
39,0.944035,0.972602
40,0.941486,0.972377
41,0.945345,0.973321
42,0.943031,0.973298
43,0.948003,0.974402
44,0.947081,0.974365
45,0.949672,0.975253
46,0.948827,0.975306
47,0.953934,0.976538
48,0.950101,0.976407
49,0.954812,0.977336
50,0.953874,0.977261
51,0.958666,0.978559
52,0.953733,0.977416
53,0.956951,0.977781
54,0.954663,0.977424
55,0.957162,0.977922
56,0.955658,0.977713
57,0.956667,0.978014
58,0.956923,0.978264
59,0.959291,0.978752
60,0.952529,0.975256
61,0.948362,0.97462
62,0.946295,0.973963
63,0.942054,0.97325
64,0.946694,0.973922
65,0.938917,0.972872
66,0.943798,0.973947
67,0.937438,0.973236
68,0.949054,0.974428
69,0.9475,0.97411
70,0.94731,0.974245
71,0.946925,0.973921
72,0.947279,0.974227
73,0.934958,0.972343
74,0.940903,0.972849
75,0.935255,0.971883
76,0.926935,0.970812
77,0.926082,0.971215
78,0.925794,0.971821
79,0.918261,0.969134
80,0.934424,0.971145
81,0.938766,0.972135
82,0.933478,0.970929
83,0.936207,0.972167
84,0.935698,0.971461
85,0.942913,0.973173
86,0.941538,0.972786
87,0.944836,0.973971
88,0.94274,0.97377
89,0.948582,0.974933
90,0.94852,0.974937
91,0.94963,0.975459
92,0.951226,0.975857
93,0.953106,0.976509
94,0.951483,0.976386
95,0.95279,0.976867
96,0.953365,0.977228
97,0.9556,0.977681
98,0.954139,0.977714
99,0.960185,0.980435
100,0.960678,0.980739
101,0.963275,0.981331
102,0.963093,0.98149
103,0.964578,0.98192
104,0.964565,0.982025
105,0.965764,0.982313
106,0.96612,0.982541
107,0.966334,0.982759
108,0.966195,0.982831
109,0.967426,0.983129
110,0.966713,0.982915
111,0.966938,0.982922
112,0.966759,0.982944
113,0.967537,0.983052
114,0.963459,0.982698
115,0.853063,0.965933
116,0.954905,0.979787
117,0.953257,0.97936
118,0.957054,0.980103
119,0.938295,0.977955
120,0.943567,0.97206
121,0.916361,0.96923
122,0.909209,0.968512
123,0.925476,0.968987
124,0.93112,0.969971
125,0.938376,0.971446
126,0.936615,0.97104
127,0.934664,0.970647
128,0.933596,0.970246
129,0.942506,0.972143
130,0.937607,0.971282
131,0.942366,0.972377
132,0.940575,0.971649
133,0.945089,0.972646
134,0.94339,0.972136
135,0.943134,0.972166
136,0.94272,0.972162
137,0.943003,0.972163
138,0.917279,0.96927
139,0.93,0.971399
140,0.928179,0.971782
141,0.941037,0.97382
142,0.943865,0.974119
143,0.944444,0.974238
144,0.947617,0.97458
145,0.949636,0.975051
146,0.951888,0.975891
147,0.953826,0.976857
148,0.952585,0.976799
149,0.953658,0.977212
150,0.9545,0.977279
151,0.956226,0.977737
152,0.956407,0.977941
153,0.956826,0.978324
154,0.955667,0.978478
155,0.95721,0.978864
156,0.95762,0.979164
157,0.952409,0.97836
158,0.952248,0.977772
159,0.94967,0.977457
160,0.957369,0.97849
161,0.950996,0.977386
162,0.954908,0.978086
163,0.95208,0.977609
164,0.959456,0.979239
165,0.955125,0.978362
166,0.955684,0.978931
167,0.955024,0.978975
168,0.959727,0.979869
169,0.956629,0.979538
170,0.957283,0.979681
171,0.959408,0.98008
172,0.952275,0.978739
173,0.954114,0.978859
174,0.950795,0.978089
175,0.955955,0.97913
176,0.951832,0.978114
177,0.954138,0.978761
178,0.953481,0.978305
179,0.956554,0.979142
180,0.956938,0.977704
181,0.949608,0.976589
182,0.95161,0.976769
183,0.948896,0.976645
184,0.954844,0.976981
185,0.95205,0.976663
186,0.953298,0.976683
187,0.951695,0.976404
188,0.952816,0.976725
189,0.952247,0.976554
190,0.952645,0.976606
191,0.897915,0.968683
192,0.935283,0.973969
193,0.926452,0.972618
194,0.931198,0.973461
195,0.934,0.973505
196,0.938039,0.974119
197,0.943054,0.975108
198,0.937384,0.975035
199,0.937132,0.974963
200,0.936679,0.974908
201,0.936271,0.974928
202,0.93951,0.975152
203,0.943208,0.975458
204,0.940096,0.974982
205,0.941075,0.975042
206,0.94314,0.975071
207,0.944741,0.975414
208,0.949319,0.976447
209,0.942965,0.975804
210,0.946629,0.976237
211,0.944743,0.976165
212,0.95058,0.976769
213,0.947839,0.976467
214,0.950554,0.976784
215,0.947971,0.976382
216,0.948475,0.976425
217,0.940374,0.974756
218,0.947535,0.975798
219,0.942039,0.975225
220,0.951194,0.976617
221,0.945863,0.97568
222,0.947607,0.97631
223,0.948923,0.976348
224,0.955362,0.977725
225,0.947952,0.976564
226,0.954083,0.977673
227,0.952002,0.977756
228,0.958143,0.978702
229,0.953156,0.978188
230,0.956509,0.978805
231,0.955489,0.978812
232,0.960747,0.979585
233,0.943811,0.978008
234,0.946185,0.978067
235,0.943642,0.9776
236,0.945304,0.977714
237,0.941459,0.977187
238,0.943292,0.976978
239,0.944607,0.976829
240,0.963342,0.980534
241,0.954181,0.979863
242,0.955412,0.97959
243,0.953853,0.979288
244,0.955542,0.979048
245,0.956676,0.979087
246,0.949241,0.978548
247,0.950328,0.978521
248,0.949208,0.978352
249,0.951443,0.978657
250,0.948172,0.978295
251,0.949814,0.978363
252,0.947378,0.977953
253,0.949567,0.977995
254,0.946382,0.977994
255,0.947435,0.978125
256,0.946355,0.978212
257,0.946324,0.978389
258,0.943449,0.978389
259,0.942391,0.978382
260,0.945349,0.978653
261,0.952988,0.979283
262,0.949344,0.979493
263,0.954005,0.979881
264,0.954107,0.980078
265,0.95825,0.980392
266,0.962329,0.98127
267,0.960503,0.981224
268,0.962845,0.981539
269,0.962483,0.981614
270,0.963187,0.981818
271,0.963492,0.982048
272,0.964389,0.982335
273,0.964168,0.98243
274,0.965338,0.982705
275,0.966168,0.983147
276,0.968184,0.983612
277,0.968344,0.983817
278,0.969981,0.984195
279,0.969889,0.984585
280,0.971222,0.984926
281,0.971054,0.985069
282,0.972052,0.985294
283,0.972364,0.985565
284,0.973288,0.985811
285,0.973299,0.985887
286,0.973799,0.986041
287,0.973969,0.986171
288,0.974579,0.986324
289,0.974488,0.986346
290,0.975161,0.986473
291,0.974103,0.986182
292,0.972643,0.985954
293,0.971939,0.985802
294,0.971814,0.985733
295,0.971344,0.985663
296,0.971429,0.985696
297,0.972128,0.985738
298,0.970523,0.985548
299,0.968675,0.985192
300,0.965587,0.981759
301,0.963463,0.981655
302,0.964347,0.981679
303,0.963487,0.981607
304,0.964998,0.981617
305,0.963793,0.98153
306,0.964116,0.981515
307,0.964176,0.981454
308,0.964297,0.981465
309,0.963984,0.981438
310,0.964381,0.981474
311,0.964348,0.981446
312,0.964569,0.981487
313,0.964874,0.981721
314,0.963274,0.981746
315,0.964001,0.981916
316,0.963805,0.981941
317,0.965277,0.982094
318,0.965066,0.982178
319,0.965454,0.982277
320,0.965412,0.982332
321,0.966598,0.982478
322,0.966034,0.982553
323,0.966851,0.982693
324,0.9658,0.982706
325,0.967263,0.982835
326,0.968151,0.983358
327,0.968664,0.983719
328,0.969556,0.983968
329,0.97034,0.984271
330,0.970889,0.984698
331,0.971509,0.985026
332,0.971702,0.985202
333,0.972547,0.985497
334,0.97314,0.98583
335,0.973899,0.986092
336,0.97405,0.986238
337,0.974934,0.986509
338,0.975391,0.98687
339,0.976144,0.987155
340,0.976495,0.987315
341,0.977188,0.987601
342,0.977484,0.987929
343,0.978446,0.988181
344,0.978359,0.988282
345,0.979024,0.988505
346,0.979266,0.988673
347,0.979694,0.988817
348,0.979711,0.988839
349,0.980096,0.988992
350,0.97944,0.98891
351,0.979339,0.989004
352,0.979452,0.98897
353,0.980373,0.989137
354,0.972977,0.988509
355,0.971583,0.988221
356,0.966611,0.987935
357,0.969094,0.987939
358,0.967727,0.987833
359,0.970524,0.987764
360,0.963067,0.9812
361,0.957842,0.980665
362,0.96049,0.980707
363,0.960452,0.980595
364,0.961944,0.980623
365,0.958556,0.980642
366,0.961417,0.98087
367,0.961476,0.980953
368,0.963809,0.981205
369,0.962036,0.981177
370,0.963825,0.981332
371,0.963473,0.981347
372,0.964221,0.981438
373,0.964155,0.981441
374,0.964275,0.98152
375,0.963781,0.981479
376,0.964576,0.981551
377,0.965182,0.981802
378,0.96293,0.9816
379,0.963925,0.981844
380,0.962796,0.981869
381,0.964748,0.982247
382,0.964359,0.982269
383,0.965169,0.982514
384,0.964964,0.98252
385,0.966627,0.982849
386,0.966199,0.98286
387,0.967051,0.983142
388,0.967028,0.983129
389,0.968033,0.983432
390,0.967265,0.983402
391,0.968525,0.983621
392,0.968225,0.983674
393,0.969377,0.983968
394,0.967262,0.983767
395,0.968392,0.983973
396,0.968351,0.98395
397,0.970161,0.984267
398,0.970185,0.984595
399,0.965743,0.984235
400,0.968902,0.98449
401,0.966649,0.984455
402,0.968662,0.984924
403,0.965139,0.984915
404,0.967356,0.985192
405,0.968516,0.985286
406,0.968334,0.985595
407,0.951407,0.985013
408,0.957525,0.985254
409,0.958148,0.985061
410,0.968298,0.985673
411,0.948755,0.984216
412,0.95583,0.984619
413,0.959142,0.984731
414,0.967721,0.985236
415,0.96619,0.985113
416,0.968216,0.985302
417,0.967876,0.985394
418,0.971825,0.985726
419,0.971464,0.985585
420,0.967476,0.982916
421,0.9646,0.982683
422,0.96591,0.982813
423,0.961169,0.98269
424,0.967387,0.983035
425,0.966465,0.982905
426,0.966682,0.982912
427,0.961158,0.98282
428,0.966491,0.983018
429,0.965776,0.982942
430,0.966776,0.983044
431,0.96603,0.983025
432,0.967023,0.983114
433,0.965403,0.983003
434,0.965838,0.983042
435,0.965175,0.983038
436,0.967297,0.983115
437,0.967565,0.983184
438,0.967721,0.98328
439,0.967726,0.983323
440,0.968009,0.983374
441,0.968297,0.98356
442,0.968956,0.98371
443,0.968575,0.983745
444,0.969313,0.983847
445,0.969362,0.984028
446,0.969717,0.984166
447,0.969807,0.984226
448,0.970242,0.984349
449,0.970904,0.984709
450,0.971545,0.984979
451,0.971595,0.985094
452,0.972301,0.985303
453,0.972924,0.985798
454,0.973919,0.986159
455,0.974398,0.986359
456,0.974982,0.98664
457,0.975744,0.987008
458,0.976215,0.987265
459,0.976357,0.987399
460,0.977016,0.987653
461,0.977427,0.987916
462,0.978078,0.988145
463,0.978262,0.988243
464,0.979066,0.988512
465,0.979327,0.988671
466,0.979856,0.988846
467,0.979836,0.988911
468,0.980415,0.989083
469,0.980453,0.989296
470,0.981169,0.989489
471,0.981149,0.989537
472,0.981662,0.989733
473,0.976359,0.989321
474,0.97358,0.989013
475,0.968467,0.988688
476,0.971639,0.988518
477,0.970574,0.988675
478,0.975304,0.988956
479,0.980125,0.989219
480,0.966781,0.982258
481,0.964288,0.981973
482,0.963626,0.981823
483,0.96227,0.981691
484,0.964106,0.981637
485,0.965611,0.982083
486,0.963254,0.982068
487,0.964142,0.982156
488,0.963988,0.982204
489,0.966389,0.982341
490,0.96577,0.982412
491,0.966612,0.982534
492,0.966273,0.982568
493,0.967643,0.982681
494,0.966872,0.982665
495,0.967652,0.982763
496,0.967403,0.98275
497,0.967908,0.982811
498,0.967612,0.983042
499,0.968716,0.98326
500,0.968707,0.983343
501,0.969224,0.983447
502,0.969425,0.983718
503,0.970241,0.98398
504,0.970191,0.984071
505,0.971065,0.98427
506,0.971367,0.984592
507,0.972248,0.984874
508,0.972093,0.984957
509,0.97287,0.98514
510,0.973381,0.985508
511,0.974021,0.98578
512,0.974256,0.985889
513,0.974537,0.986054
514,0.975267,0.986503
515,0.976006,0.986851
516,0.976388,0.98701
517,0.976704,0.987238
518,0.977306,0.987552
519,0.977759,0.987777
520,0.977783,0.987885
521,0.978447,0.988118
522,0.978844,0.988429
523,0.979457,0.988668
524,0.979793,0.988789
525,0.980281,0.989017
526,0.980532,0.989259
527,0.981092,0.989447
528,0.981218,0.989531
529,0.981539,0.989684
530,0.981938,0.989946
531,0.981586,0.990099
532,0.981409,0.990139
533,0.981611,0.990305
534,0.976795,0.989949
535,0.974925,0.989692
536,0.975291,0.989537
537,0.976388,0.989472
538,0.976435,0.989564
539,0.979656,0.989666
540,0.966858,0.982393
541,0.965665,0.982286
542,0.965635,0.982249
543,0.965006,0.982197
544,0.965864,0.982246
545,0.966008,0.982464
546,0.966473,0.982645
547,0.966533,0.98273
548,0.967689,0.982907
549,0.966694,0.982816
550,0.967266,0.982849
551,0.967003,0.982831
552,0.967413,0.982836
553,0.965539,0.982759
554,0.965107,0.982769
555,0.964504,0.982736
556,0.961253,0.981412
557,0.959754,0.981002
558,0.96127,0.981232
559,0.959887,0.980928
560,0.964494,0.981939
561,0.960969,0.981324
562,0.964922,0.982159
563,0.962868,0.981463
564,0.966472,0.982364
565,0.964256,0.982052
566,0.966154,0.982391
567,0.965884,0.982346
568,0.966875,0.982821
569,0.965001,0.982521
570,0.966418,0.982814
571,0.966308,0.982867
572,0.96655,0.983073
573,0.965773,0.982756
