Frame, eSSIM, SSIM
0,0.783405,0.892154
1,0.779297,0.891195
2,0.781171,0.891704
3,0.782768,0.892001
4,0.75916,0.88282
5,0.756541,0.881919
6,0.755545,0.881353
7,0.76947,0.886551
8,0.765795,0.88541
9,0.765208,0.885194
10,0.76666,0.885954
11,0.776927,0.888755
12,0.763922,0.88579
13,0.763822,0.884937
14,0.750781,0.881072
15,0.76086,0.885673
16,0.75082,0.883053
17,0.747712,0.882741
18,0.745714,0.881737
19,0.752863,0.882901
20,0.752902,0.882109
21,0.720361,0.874792
22,0.730328,0.875735
23,0.719685,0.873189
24,0.753696,0.881505
25,0.745682,0.880224
26,0.738856,0.87856
27,0.738658,0.877974
28,0.748947,0.879758
29,0.74193,0.878341
30,0.748942,0.879883
31,0.742206,0.878733
32,0.760927,0.882691
33,0.771749,0.886922
34,0.783519,0.89238
35,0.785001,0.900402
36,0.777324,0.901031
37,0.797314,0.906491
38,0.788617,0.905517
39,0.807818,0.910244
40,0.796222,0.908318
41,0.813082,0.91256
42,0.80699,0.911572
43,0.825221,0.916099
44,0.812073,0.913714
45,0.825122,0.917016
46,0.818653,0.915786
47,0.835579,0.920281
48,0.823443,0.9183
49,0.835028,0.92185
50,0.833536,0.921439
51,0.84941,0.926226
52,0.839316,0.923043
53,0.838382,0.923239
54,0.841841,0.923579
55,0.845792,0.924771
56,0.8468,0.925034
57,0.848594,0.925953
58,0.851372,0.927355
59,0.854376,0.928549
60,0.829772,0.918681
61,0.827715,0.918004
62,0.822933,0.916486
63,0.821247,0.915989
64,0.826027,0.917771
65,0.819922,0.916019
66,0.818581,0.916618
67,0.817486,0.915347
68,0.833267,0.919975
69,0.825394,0.917996
70,0.830849,0.91951
71,0.827706,0.918444
72,0.829726,0.919098
73,0.80145,0.912648
74,0.810568,0.914331
75,0.786117,0.90977
76,0.772466,0.906143
77,0.775764,0.907493
78,0.782008,0.911089
79,0.755968,0.899191
80,0.787528,0.906307
81,0.795552,0.909077
82,0.794294,0.907875
83,0.79239,0.907397
84,0.802585,0.909729
85,0.809877,0.912348
86,0.812688,0.912789
87,0.814036,0.913522
88,0.819208,0.915393
89,0.824505,0.917562
90,0.825984,0.917984
91,0.829658,0.918844
92,0.833118,0.92018
93,0.835492,0.921307
94,0.83571,0.921689
95,0.835964,0.9222
96,0.836772,0.922872
97,0.837774,0.923351
98,0.839702,0.924788
99,0.857985,0.933488
100,0.860082,0.934728
101,0.863373,0.936001
102,0.865779,0.936867
103,0.869926,0.938149
104,0.870987,0.938634
105,0.872455,0.939211
106,0.875094,0.940404
107,0.879018,0.941855
