Frame, eSSIM, SSIM
0,0.803844,0.9281
1,0.803641,0.927928
2,0.80351,0.927861
3,0.803212,0.92772
4,0.796031,0.920533
5,0.796051,0.920556
6,0.793415,0.919594
7,0.804995,0.925441
8,0.805882,0.926176
9,0.801842,0.924379
10,0.803264,0.924731
11,0.802036,0.924249
12,0.803734,0.92519
13,0.800861,0.924124
14,0.80144,0.924534
15,0.796729,0.927427
16,0.795593,0.927218
17,0.797216,0.927829
18,0.798062,0.927978
19,0.799247,0.9284
20,0.794457,0.927429
21,0.796222,0.927606
22,0.792226,0.926417
23,0.794654,0.927296
24,0.793251,0.928239
25,0.798681,0.930148
26,0.795269,0.928867
27,0.799381,0.929662
28,0.796341,0.928817
29,0.796797,0.928992
30,0.798647,0.929808
31,0.79937,0.930781
32,0.799809,0.931481
33,0.799843,0.931594
34,0.799714,0.931757
35,0.802982,0.934387
36,0.806839,0.937611
37,0.810751,0.939261
38,0.808641,0.938695
39,0.807889,0.938715
40,0.807297,0.93832
41,0.809216,0.939122
42,0.807591,0.939024
43,0.808774,0.939234
44,0.807147,0.93895
45,0.8078,0.939543
46,0.807971,0.939276
47,0.809315,0.939579
48,0.80791,0.939188
49,0.808517,0.939874
50,0.808369,0.939455
51,0.80891,0.939869
52,0.807519,0.939653
53,0.809412,0.940372
54,0.809021,0.940062
55,0.809712,0.940171
56,0.808883,0.939993
57,0.808879,0.940274
58,0.809352,0.940396
59,0.809937,0.940449
60,0.809151,0.939143
61,0.809286,0.93911
62,0.809288,0.939078
63,0.808402,0.93857
64,0.811105,0.940614
65,0.811087,0.940368
66,0.813882,0.941091
67,0.81321,0.940381
68,0.811456,0.940257
69,0.813651,0.940266
70,0.811992,0.940463
71,0.812418,0.939744
72,0.810183,0.939087
73,0.809761,0.938565
74,0.810644,0.938739
75,0.807684,0.938497
76,0.81036,0.939075
77,0.80816,0.938881
78,0.808739,0.940169
79,0.81128,0.938826
80,0.820099,0.942349
81,0.817875,0.94131
82,0.819636,0.941801
83,0.818124,0.941227
84,0.81918,0.942046
85,0.817456,0.941268
86,0.818625,0.941601
87,0.818194,0.941487
88,0.819666,0.942088
89,0.818382,0.941496
90,0.818527,0.941576
91,0.817732,0.941678
92,0.820294,0.942527
93,0.820107,0.943032
94,0.819106,0.942989
95,0.819763,0.943198
96,0.819921,0.943218
97,0.820721,0.943343
98,0.820211,0.943482
99,0.817035,0.947061
100,0.817084,0.947109
101,0.818376,0.947776
102,0.818581,0.947911
103,0.818522,0.948004
104,0.818648,0.948024
105,0.819231,0.948176
106,0.819492,0.948359
107,0.819381,0.948376
108,0.818888,0.948098
109,0.819062,0.948078
110,0.818872,0.947964
111,0.819021,0.947981
112,0.819115,0.948064
113,0.81926,0.948275
114,0.819513,0.948552
115,0.815443,0.941146
116,0.817147,0.943844
117,0.817196,0.943855
118,0.815372,0.942762
119,0.816101,0.942972
120,0.815991,0.942306
121,0.812312,0.941288
122,0.815359,0.941961
123,0.814427,0.941456
124,0.814426,0.941505
125,0.821789,0.943218
126,0.821793,0.943246
127,0.820317,0.942317
128,0.821484,0.942906
129,0.819079,0.94227
130,0.819724,0.942755
131,0.818399,0.941962
132,0.818659,0.942361
133,0.819438,0.942284
134,0.820461,0.9428
135,0.818806,0.941979
136,0.818987,0.94201
137,0.819553,0.942098
138,0.824054,0.945068
139,0.822758,0.94537
140,0.81401,0.944376
141,0.812447,0.944788
142,0.814267,0.9453
143,0.81507,0.944878
144,0.815522,0.945037
145,0.815543,0.94529
146,0.815039,0.945164
147,0.814943,0.945094
148,0.814312,0.944957
149,0.814977,0.945167
150,0.814826,0.945107
151,0.815114,0.945214
152,0.815159,0.9452
153,0.814745,0.945219
154,0.814474,0.945234
155,0.814536,0.94526
156,0.811781,0.943882
157,0.813812,0.944429
158,0.808742,0.942517
159,0.810642,0.943022
160,0.809007,0.942083
161,0.809597,0.942357
162,0.808826,0.941727
163,0.809469,0.941702
164,0.808404,0.941361
165,0.809973,0.941872
166,0.809199,0.941566
167,0.809451,0.941714
168,0.810036,0.941643
169,0.810582,0.942357
170,0.811386,0.942307
171,0.81063,0.942306
172,0.822814,0.943956
173,0.821366,0.943246
174,0.820214,0.942328
175,0.819921,0.941905
176,0.821696,0.942839
177,0.819436,0.941779
178,0.820388,0.942065
179,0.819855,0.941721
180,0.822215,0.943661
181,0.820169,0.942621
182,0.819766,0.942384
183,0.819508,0.942191
184,0.821185,0.942867
185,0.820699,0.942486
186,0.820449,0.942468
187,0.819851,0.94234
188,0.821036,0.943162
189,0.821176,0.943371
190,0.821432,0.943164
191,0.823771,0.943657
192,0.823603,0.944473
193,0.817569,0.943831
194,0.812579,0.943086
195,0.813147,0.943693
196,0.813308,0.944167
197,0.814873,0.945182
198,0.815692,0.945626
199,0.815065,0.945384
200,0.815856,0.945246
201,0.816734,0.945325
202,0.817286,0.945427
203,0.817487,0.945021
204,0.818035,0.945151
205,0.816824,0.944852
206,0.817647,0.9452
207,0.817848,0.945359
208,0.817288,0.944975
209,0.816467,0.944814
210,0.815914,0.944541
211,0.816545,0.944656
212,0.815649,0.944399
213,0.814974,0.944346
214,0.815319,0.94428
215,0.814063,0.943543
216,0.816264,0.943931
217,0.812121,0.942548
218,0.810736,0.941968
219,0.810343,0.942038
220,0.810146,0.941352
221,0.81004,0.94121
222,0.809029,0.940867
223,0.812576,0.941851
224,0.811997,0.941764
225,0.811293,0.941616
226,0.810309,0.941304
227,0.811618,0.941639
228,0.810024,0.941405
229,0.810289,0.941612
230,0.811411,0.941732
231,0.811928,0.94184
232,0.811664,0.941763
233,0.813308,0.942223
234,0.811893,0.941713
235,0.811829,0.941635
236,0.811041,0.941369
237,0.811552,0.941558
238,0.811392,0.94157
239,0.811274,0.941503
240,0.81111,0.941986
