Frame, eSSIM, SSIM
0,0.633857,0.804433
1,0.633603,0.804561
2,0.632716,0.80439
3,0.633796,0.805071
4,0.615367,0.792021
5,0.616137,0.792441
6,0.613532,0.792205
7,0.631078,0.803417
8,0.632536,0.804202
9,0.626737,0.801831
10,0.628184,0.801879
11,0.626279,0.801488
12,0.630027,0.803068
13,0.626265,0.80227
14,0.624734,0.801718
15,0.634411,0.808836
16,0.633414,0.80884
17,0.637687,0.81055
18,0.639443,0.811027
19,0.64474,0.813046
20,0.631961,0.809397
21,0.640723,0.811387
22,0.635926,0.809277
23,0.644862,0.811986
24,0.643809,0.813078
25,0.652253,0.816702
26,0.643583,0.813176
27,0.645203,0.813244
28,0.643081,0.813098
29,0.6455,0.814451
30,0.652428,0.817291
31,0.659468,0.822325
32,0.669235,0.827661
33,0.679049,0.833208
34,0.684928,0.837106
35,0.67005,0.842074
36,0.694352,0.852804
37,0.70483,0.857031
38,0.695947,0.855402
39,0.705229,0.858714
40,0.699123,0.857288
41,0.711153,0.861048
42,0.70597,0.860477
43,0.716018,0.864099
44,0.712453,0.86364
45,0.725065,0.868054
46,0.719185,0.866641
47,0.725494,0.86939
48,0.724529,0.869557
49,0.734729,0.873295
50,0.732222,0.872768
51,0.733502,0.874234
52,0.736743,0.875509
53,0.741891,0.87747
54,0.738366,0.876257
55,0.734853,0.875093
56,0.733785,0.874582
57,0.733562,0.874453
58,0.734683,0.874837
59,0.734233,0.87453
60,0.717037,0.862706
61,0.71623,0.862487
62,0.715441,0.862183
63,0.712318,0.860947
64,0.715732,0.86354
65,0.718334,0.864649
66,0.719855,0.865176
67,0.716579,0.863386
68,0.712509,0.862799
69,0.710647,0.862241
70,0.717676,0.864402
71,0.710953,0.861217
72,0.714597,0.862453
73,0.7094,0.860807
74,0.714808,0.862232
75,0.709183,0.861401
76,0.712031,0.862322
77,0.696346,0.858973
78,0.706516,0.86399
79,0.701781,0.860295
80,0.72206,0.867214
81,0.719796,0.86623
82,0.720396,0.866229
83,0.722293,0.867161
84,0.725807,0.868751
85,0.726582,0.869042
86,0.727962,0.86973
87,0.729542,0.870644
88,0.731481,0.871655
89,0.731428,0.871845
90,0.731826,0.872322
91,0.732443,0.872963
92,0.735372,0.874079
93,0.740763,0.877398
94,0.741467,0.878344
95,0.741923,0.878858
96,0.743444,0.879941
97,0.745124,0.881148
98,0.745332,0.881812
99,0.758686,0.891875
100,0.759574,0.892491
101,0.761466,0.893274
102,0.763469,0.89445
103,0.765625,0.895592
104,0.766325,0.896118
105,0.768072,0.896642
106,0.770899,0.898572
107,0.772422,0.900047
108,0.77246,0.90033
109,0.772701,0.900679
110,0.773526,0.901032
111,0.77417,0.901302
112,0.773743,0.901077
113,0.773067,0.900778
114,0.773618,0.900992
115,0.661832,0.866674
116,0.760552,0.892044
117,0.760647,0.8918
118,0.756603,0.890293
119,0.755458,0.889821
120,0.702245,0.853795
121,0.699048,0.852822
122,0.699179,0.852448
123,0.699486,0.852515
124,0.699926,0.852905
125,0.690726,0.850605
126,0.69273,0.851184
127,0.691222,0.850588
128,0.693158,0.850938
129,0.695802,0.852038
130,0.699044,0.85346
131,0.697342,0.852896
132,0.696361,0.852598
133,0.698176,0.853148
134,0.700228,0.853998
135,0.699099,0.854096
136,0.696086,0.853235
137,0.691137,0.851593
138,0.673116,0.851726
139,0.683487,0.856564
140,0.688865,0.859094
141,0.703775,0.863662
142,0.71417,0.86595
143,0.717263,0.866279
144,0.721405,0.867994
145,0.722277,0.868559
146,0.725416,0.870162
147,0.728979,0.872009
148,0.729439,0.872882
149,0.732693,0.87403
150,0.734094,0.875158
151,0.736807,0.876799
152,0.738488,0.877742
153,0.739365,0.878275
154,0.74207,0.880105
155,0.743767,0.881515
156,0.740442,0.880479
157,0.742873,0.881589
158,0.73385,0.878274
159,0.739006,0.879693
160,0.729838,0.876931
161,0.739258,0.879394
162,0.731685,0.87695
163,0.736715,0.877999
164,0.735898,0.877698
165,0.742854,0.879725
166,0.732733,0.876911
167,0.736489,0.877597
168,0.731168,0.876099
169,0.738054,0.878008
170,0.738522,0.87936
171,0.74097,0.881355
172,0.756324,0.885275
173,0.751808,0.883386
174,0.747649,0.881798
175,0.745831,0.881027
176,0.743585,0.880745
177,0.737522,0.878778
178,0.730753,0.87671
179,0.722171,0.874695
180,0.747641,0.879426
181,0.745116,0.878116
182,0.742548,0.877027
183,0.742734,0.877069
184,0.744755,0.877833
185,0.743743,0.877422
186,0.742037,0.876925
187,0.741991,0.876738
188,0.742231,0.876926
189,0.743255,0.877325
190,0.741768,0.876742
191,0.66168,0.856493
192,0.687219,0.864292
193,0.714476,0.871208
194,0.70823,0.869822
195,0.711647,0.870983
196,0.711628,0.871396
197,0.718145,0.873703
198,0.722459,0.876175
199,0.719307,0.875512
200,0.717914,0.875091
201,0.722404,0.874742
202,0.728826,0.876241
203,0.732715,0.877117
204,0.735963,0.877855
205,0.735943,0.878223
206,0.73731,0.878439
207,0.745792,0.881513
208,0.743187,0.881019
209,0.744988,0.881662
210,0.744096,0.88158
211,0.74616,0.882001
212,0.744548,0.881906
213,0.745638,0.882316
214,0.747065,0.88279
215,0.745936,0.881944
216,0.747128,0.882399
217,0.736497,0.879715
218,0.733715,0.878755
219,0.741167,0.880511
220,0.73458,0.878803
221,0.737252,0.879598
222,0.733743,0.878704
223,0.748063,0.882444
224,0.7527,0.885345
225,0.755925,0.887515
226,0.751897,0.887099
227,0.755732,0.888497
228,0.754753,0.888454
229,0.758947,0.889521
230,0.754344,0.888749
231,0.75868,0.889929
232,0.758383,0.890061
233,0.762065,0.891072
234,0.758802,0.890032
235,0.756189,0.889115
236,0.754831,0.888434
237,0.754498,0.888097
238,0.757055,0.889086
239,0.756819,0.888996
240,0.735255,0.874118
241,0.734602,0.873868
242,0.734129,0.873652
243,0.733394,0.873253
244,0.734733,0.87397
245,0.735474,0.874422
246,0.735118,0.874144
247,0.732688,0.873554
248,0.732424,0.873552
249,0.731933,0.873298
250,0.732405,0.873484
251,0.731626,0.873144
252,0.729114,0.872429
253,0.730152,0.872671
254,0.731012,0.873433
255,0.732813,0.874346
256,0.731189,0.874622
257,0.733291,0.87524
258,0.733187,0.875827
259,0.735198,0.876547
260,0.736289,0.876974
261,0.740574,0.878098
262,0.743579,0.879663
263,0.745555,0.881133
264,0.747526,0.882532
265,0.746785,0.882843
266,0.749288,0.883575
267,0.750054,0.884117
268,0.752017,0.884986
269,0.751843,0.885076
270,0.75477,0.885952
271,0.760464,0.88946
272,0.75955,0.889914
273,0.761309,0.891077
274,0.760856,0.89162
275,0.764523,0.892694
276,0.763631,0.893072
277,0.765959,0.894019
278,0.766377,0.894359
279,0.767749,0.894661
280,0.770819,0.896421
281,0.772408,0.897386
282,0.773591,0.898059
283,0.773464,0.898053
284,0.773784,0.898327
285,0.773197,0.898143
286,0.773321,0.898121
287,0.773362,0.898086
288,0.774463,0.898669
289,0.775841,0.899721
290,0.777025,0.900416
291,0.775614,0.899838
292,0.774551,0.899272
293,0.773453,0.898747
294,0.773303,0.898594
295,0.774103,0.898982
296,0.774974,0.899787
297,0.776475,0.900772
298,0.777475,0.901514
299,0.777775,0.902053
300,0.753373,0.885354
301,0.754783,0.886174
302,0.755112,0.886457
303,0.75467,0.886392
304,0.753787,0.886124
305,0.754207,0.886169
306,0.754066,0.886082
307,0.754377,0.886268
308,0.754041,0.886169
309,0.753842,0.88606
310,0.753722,0.885939
311,0.753521,0.885818
312,0.753425,0.885852
313,0.75328,0.885839
314,0.753607,0.885892
315,0.753902,0.885959
316,0.755236,0.886728
317,0.756282,0.887523
318,0.757178,0.888404
319,0.758042,0.889549
320,0.758088,0.890551
321,0.758077,0.891732
322,0.758675,0.892446
323,0.760696,0.893259
324,0.763201,0.893961
325,0.764642,0.894419
326,0.76625,0.895467
327,0.767072,0.896242
328,0.768123,0.896726
329,0.768627,0.896938
330,0.771114,0.898849
331,0.773176,0.900411
332,0.774307,0.901384
333,0.775241,0.902046
334,0.777923,0.90356
335,0.777228,0.903334
336,0.776693,0.903141
337,0.776822,0.903039
338,0.776636,0.902855
339,0.776558,0.902763
340,0.776326,0.902638
341,0.776182,0.902523
342,0.775796,0.902354
343,0.774997,0.902156
344,0.774689,0.902017
345,0.774834,0.901961
346,0.774981,0.901883
347,0.778878,0.903993
348,0.781659,0.906033
349,0.783853,0.907709
350,0.784025,0.90814
351,0.784442,0.90879
352,0.785973,0.909303
353,0.787326,0.90988
354,0.785686,0.90915
355,0.784058,0.908846
356,0.783525,0.908601
357,0.784688,0.908807
358,0.782355,0.908376
359,0.782088,0.907941
360,0.756011,0.887576
361,0.754137,0.887031
362,0.753678,0.886792
363,0.755212,0.88708
364,0.756175,0.887316
365,0.754643,0.886851
366,0.751902,0.88643
367,0.752988,0.886685
368,0.754258,0.886961
369,0.756451,0.887398
370,0.757071,0.887826
371,0.757403,0.887931
372,0.757528,0.887867
373,0.756801,0.887775
374,0.75612,0.887674
375,0.756596,0.887702
376,0.757332,0.887778
377,0.752545,0.886898
378,0.75249,0.886913
379,0.74986,0.886379
380,0.754487,0.887331
381,0.749934,0.886648
382,0.750608,0.887147
383,0.751058,0.887224
384,0.752967,0.887768
385,0.750203,0.88769
386,0.751965,0.8883
387,0.753086,0.888575
388,0.756368,0.88933
389,0.755751,0.890063
390,0.758032,0.891231
391,0.759864,0.891881
392,0.763515,0.892976
393,0.76676,0.895295
394,0.764035,0.894906
395,0.764543,0.895169
396,0.76252,0.894608
397,0.765195,0.895003
398,0.76701,0.896683
399,0.762882,0.895679
400,0.76403,0.896548
401,0.76663,0.897858
402,0.771144,0.900223
403,0.767103,0.899426
404,0.769074,0.900179
405,0.769339,0.900646
406,0.773133,0.902128
407,0.77166,0.902166
408,0.7722,0.902564
409,0.768892,0.901893
410,0.776204,0.902992
411,0.762935,0.900266
412,0.76719,0.900901
413,0.770762,0.901816
414,0.775482,0.903017
415,0.776043,0.903397
416,0.777928,0.904175
417,0.779338,0.904839
418,0.781355,0.905541
419,0.780264,0.905073
420,0.754399,0.886057
421,0.752865,0.885841
422,0.753866,0.886081
423,0.754323,0.88619
424,0.75485,0.886368
425,0.754609,0.886357
426,0.754652,0.886356
427,0.752886,0.885944
428,0.753979,0.886233
429,0.753762,0.886361
430,0.75427,0.886559
431,0.754204,0.886461
432,0.754707,0.886506
433,0.756454,0.887359
434,0.757224,0.887902
435,0.758354,0.888875
436,0.761143,0.890063
437,0.761564,0.890584
438,0.761558,0.890948
439,0.762108,0.891245
440,0.76248,0.891419
441,0.763019,0.89152
442,0.76484,0.892719
443,0.766529,0.893867
444,0.767726,0.894918
445,0.769338,0.895747
446,0.770818,0.896788
447,0.772712,0.897985
448,0.773981,0.899134
449,0.775501,0.900044
450,0.776513,0.900781
451,0.777699,0.901612
452,0.778988,0.902394
453,0.780132,0.903167
454,0.780385,0.903445
455,0.781052,0.90394
456,0.781713,0.904442
457,0.782856,0.905164
458,0.783864,0.905933
459,0.784811,0.906813
460,0.785629,0.907625
461,0.786378,0.908281
462,0.787504,0.909084
463,0.788185,0.909651
464,0.788797,0.910177
465,0.789393,0.910843
466,0.790157,0.911652
467,0.791143,0.912324
468,0.792226,0.913283
469,0.792881,0.913839
470,0.793386,0.914362
471,0.792694,0.913998
472,0.791721,0.913523
473,0.791496,0.913282
474,0.790952,0.91293
475,0.79147,0.9131
476,0.792198,0.91342
477,0.792833,0.913767
478,0.792593,0.913669
479,0.792575,0.913688
480,0.75411,0.885859
481,0.753956,0.885804
482,0.753982,0.885868
483,0.754445,0.886102
484,0.754652,0.88619
485,0.754699,0.886272
486,0.754716,0.886232
487,0.754858,0.886256
488,0.7558,0.886565
489,0.756592,0.886974
490,0.756646,0.887044
491,0.756807,0.887169
492,0.757631,0.887844
493,0.75841,0.888457
494,0.759461,0.889641
495,0.761593,0.890735
496,0.762891,0.891472
497,0.763094,0.891981
498,0.763763,0.892424
499,0.764403,0.892848
500,0.765178,0.893144
501,0.765435,0.89321
502,0.766701,0.894602
503,0.768252,0.895713
504,0.769677,0.897029
505,0.771234,0.897835
506,0.770756,0.897561
507,0.771867,0.898057
508,0.772296,0.898309
